compound_code	compound_name	cd630_clindamycin_score	escherichia_630_score	ratio	magnitude	interaction_score	percentile
C05100	3-Ureidoisobutyrate	-3.322	-9.568	0.013	769.024	-3.341	50.0
C00160	Glycolate	7.647	-6.234	0.376	275.706	-6.694	90.0
C02554	L-Valyl-tRNA(Val)	-5.644	-8.379	0.15	382.918	-5.846	90.0
C00931	Porphobilinogen	3.807	9.26	0.411	627.106	8.01	80.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	0.415	3.0	0.138	9.333	0.369	60.0
C18239	Precursor_Z	-3.248	5.426	0.221	52.493	-3.536	60.0
C00446	alpha-D-Galactose_1-phosphate	5.129	-6.83	0.308	148.765	-5.516	80.0
C01762	Xanthosine	4.768	-8.454	0.078	377.924	-4.876	80.0
C00441	L-Aspartate_4-semialdehyde	6.977	9.03	0.773	648.734	8.969	90.0
C00440	5-Methyltetrahydrofolate	-2.817	8.384	0.021	341.115	-2.847	50.0
C00526	Deoxyuridine	-3.0	7.426	0.047	179.968	-3.066	50.0
C00448	trans,trans-Farnesyl_diphosphate	2.755	7.592	0.363	199.689	6.179	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.0	7.484	0.401	187.023	6.228	70.0
C00921	Dihydropteroate	-3.459	-5.129	0.314	45.99	-3.853	60.0
C03838	5'-Phosphoribosylglycinamide	-3.322	-8.039	0.038	273.015	-3.376	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-2.954	-10.517	0.005	1473.069	-2.962	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.0	12.443	0.0	5570.218	-1.001	60.0
C03939	Acetyl-[acyl-carrier_protein]	3.652	10.17	0.359	1164.631	8.708	90.0
C04039	2,3-Dihydroxy-3-methylbutanoate	2.0	8.224	0.243	303.0	6.203	70.0
C00627	Pyridoxine_phosphate	-2.807	6.516	0.076	98.517	-2.913	50.0
C00459	dTTP	3.636	6.182	0.588	85.037	5.644	70.0
C01228	Guanosine_3',5'-bis(diphosphate)	-1.585	-8.451	0.009	352.949	-1.597	50.0
C00231	D-Xylulose_5-phosphate	-4.693	-3.481	0.432	37.032	-3.999	60.0
C00232	Succinate_semialdehyde	-5.605	3.536	0.238	60.271	-3.844	60.0
C00234	10-Formyltetrahydrofolate	-5.468	9.389	0.066	714.719	-5.56	80.0
C00235	Dimethylallyl_diphosphate	-2.322	7.002	0.039	133.178	-2.377	50.0
C01613	Stachyose	1.0	12.443	0.08	5570.218	8.806	90.0
C00159	D-Mannose	6.308	-11.773	0.023	3578.894	-6.34	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-5.0	-9.342	0.049	680.966	-5.069	80.0
C00014	Ammonia	-7.111	8.592	0.358	524.115	-7.553	90.0
C05980	Cardiolipin	-4.644	-7.248	0.164	177.01	-4.864	80.0
C00018	Pyridoxal_phosphate	-2.807	6.031	0.107	72.388	-2.954	50.0
C00152	L-Asparagine	3.532	10.537	0.335	1497.343	8.971	90.0
C00155	L-Homocysteine	0.585	-9.666	0.002	813.874	-0.588	60.0
C02876	Propanoyl_phosphate	-2.459	7.637	0.028	204.55	-2.498	50.0
C02336	beta-D-Fructose	1.0	8.175	0.122	291.015	5.154	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-2.954	-10.517	0.005	1473.069	-2.962	50.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	5.062	7.304	0.693	191.429	7.052	80.0
C00301	ADP-ribose	4.954	8.589	0.577	416.072	7.907	80.0
C00718	Amylose	-4.0	-9.007	0.031	530.49	-4.044	60.0
C02232	3-Oxoadipyl-CoA	-8.082	-8.028	0.963	531.989	-9.001	90.0
C14089	1-Hydroxymethylnaphthalene	5.768	11.009	0.524	2115.309	10.114	90.0
C02909	(2-Naphthyl)methanol	5.768	11.009	0.524	2115.309	10.114	90.0
C17551	2-Polyprenyl-6-hydroxyphenol	-2.0	-8.555	0.011	380.107	-2.015	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1.0	8.842	0.113	460.889	5.704	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	4.728	-6.144	0.375	97.219	-5.187	80.0
C06188	Salicin_6-phosphate	6.781	8.762	0.774	544.108	8.718	90.0
C05665	3-Aminopropanal	1.0	-6.7	0.019	105.968	-1.027	60.0
C06186	Arbutin	4.426	6.7	0.661	125.464	6.373	70.0
C06187	Arbutin_6-phosphate	-2.17	5.858	0.078	62.501	-2.278	50.0
C00655	Xanthosine_5'-phosphate	2.956	-5.901	0.13	67.515	-3.132	50.0
C03294	N-Formylmethionyl-tRNA	-3.807	-10.217	0.012	1204.206	-3.824	60.0
C03114	Dimethylbenzimidazole	4.807	8.175	0.588	317.008	7.542	80.0
C00979	O-Acetyl-L-serine	3.476	-6.69	0.108	114.377	-3.624	60.0
C00877	Crotonoyl-CoA	2.519	4.569	0.551	29.468	4.022	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	3.459	-9.594	0.014	783.823	-3.479	50.0
C03373	Aminoimidazole_ribotide	-4.17	7.97	0.072	268.733	-4.27	70.0
C00407	L-Isoleucine	6.109	-4.202	0.267	87.427	-4.543	70.0
C01151	D-Ribose_1,5-bisphosphate	-3.17	-6.687	0.087	112.036	-3.291	50.0
C01144	(S)-3-Hydroxybutanoyl-CoA	5.759	-3.137	0.162	62.951	-3.354	50.0
C06508	Adenosyl_cobinamide	4.248	8.017	0.53	278.035	7.203	80.0
C09332	Tetrahydrofolyl-[Glu](2)	-3.585	-7.5	0.066	193.02	-3.678	60.0
C00577	D-Glyceraldehyde	-8.349	-9.313	0.513	962.113	-8.946	90.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	2.322	7.748	0.3	219.972	6.043	70.0
C00279	D-Erythrose_4-phosphate	3.173	8.048	0.394	273.68	6.754	80.0
C00906	5,6-Dihydrothymine	3.322	9.568	0.347	769.024	8.061	80.0
C00275	D-Mannose_6-phosphate	-6.214	-10.76	0.043	1808.368	-6.274	90.0
C00270	N-Acetylneuraminate	2.0	9.299	0.215	633.909	7.091	80.0
C00475	Cytidine	-0.36	-8.454	0.004	351.961	-0.365	60.0
C12215	Iminoerythrose_4-phosphate	-7.435	-8.29	0.553	486.04	-8.07	90.0
C12214	Aminofructose_6-phosphate	7.435	8.29	0.897	486.04	8.768	90.0
C00294	Inosine	4.437	-6.558	0.23	115.883	-4.736	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-7.945	7.066	0.544	380.416	-7.692	90.0
C05698	Selenohomocysteine	-1.0	8.079	0.007	272.409	-1.011	60.0
C00668	alpha-D-Glucose_6-phosphate	3.856	-9.56	0.019	769.306	-3.883	60.0
C00352	D-Glucosamine_6-phosphate	-5.361	-8.86	0.088	505.748	-5.483	80.0
C00299	Uridine	-2.155	10.962	0.002	1999.214	-2.158	50.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-0.531	5.329	0.036	41.641	-0.582	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-5.858	8.455	0.165	408.921	-6.079	90.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	4.17	8.889	0.469	492.085	7.851	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	5.087	-9.349	0.052	686.112	-5.16	80.0
C00993	D-Alanyl-D-alanine	-3.807	-9.635	0.018	809.101	-3.832	60.0
C05382	Sedoheptulose_7-phosphate	-5.984	-5.704	0.824	115.423	-6.571	90.0
C00120	Biotin	0.737	-7.687	0.008	207.738	-0.749	60.0
C00122	Fumarate	-1.348	13.233	0.0	9630.409	-1.348	60.0
C00123	L-Leucine	5.248	-3.544	0.307	49.666	-3.93	60.0
C00129	Isopentenyl_diphosphate	-2.248	6.91	0.04	125.009	-2.304	50.0
C15532	N-Acetyl-L-citrulline	1.585	7.468	0.212	180.048	5.256	70.0
C05749	Hexanoyl-[acp]	4.459	10.17	0.438	1174.053	9.008	90.0
C05748	trans-Hex-2-enoyl-[acp]	3.459	-9.594	0.014	783.823	-3.479	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-3.322	-10.932	0.005	1963.71	-3.329	50.0
C05746	3-Oxohexanoyl-[acp]	-4.524	10.621	0.015	1597.858	-4.545	70.0
C05745	Butyryl-[acp]	4.459	10.17	0.438	1174.053	9.008	90.0
C05744	Acetoacetyl-[acp]	-2.883	9.885	0.008	952.92	-2.894	50.0
C03150	Nicotinamide-beta-riboside	4.492	-8.454	0.064	373.18	-4.582	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-2.678	-10.196	0.005	1179.41	-2.686	50.0
C02091	(S)-Ureidoglycine	-3.907	6.858	0.129	131.003	-4.082	60.0
C00199	D-Ribulose_5-phosphate	-4.052	9.524	0.023	752.811	-4.084	60.0
C00051	Glutathione	2.585	7.478	0.346	184.28	5.993	70.0
C00052	UDP-alpha-D-galactose	-3.342	-4.269	0.526	29.42	-3.952	60.0
C00194	Cobamide_coenzyme	-3.624	-8.267	0.04	320.375	-3.681	60.0
C00197	3-Phospho-D-glycerate	-1.56	-7.88	0.013	238.517	-1.578	50.0
C00058	Formate	6.426	12.998	0.494	8266.636	11.997	90.0
C02714	N-Acetylputrescine	-4.0	-9.116	0.029	570.868	-4.041	60.0
C01050	UDP-N-acetylmuramate	4.914	7.828	0.628	257.377	7.336	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-3.907	-8.351	0.046	341.515	-3.972	60.0
C00206	dADP	7.284	-7.112	0.888	294.181	-8.029	90.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-2.503	-8.175	0.02	294.684	-2.531	50.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	2.322	7.748	0.3	219.972	6.043	70.0
C03539	S-Ribosyl-L-homocysteine	-3.807	10.079	0.013	1095.633	-3.826	60.0
