compound_code	compound_name	escherichia_630_score	cd630_clindamycin_score	ratio	magnitude	interaction_score	percentile
C00015	UDP	-8.996	-4.615	0.048	535.087	-4.683	70.0
C05100	3-Ureidoisobutyrate	-9.568	-3.322	0.013	769.024	-3.341	50.0
C00160	Glycolate	-6.234	7.647	0.376	275.706	-6.694	90.0
C02554	L-Valyl-tRNA(Val)	-8.379	-5.644	0.15	382.918	-5.846	90.0
C00931	Porphobilinogen	9.26	3.807	0.411	627.106	8.01	80.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	3.0	0.415	0.138	9.333	0.369	60.0
C18239	Precursor_Z	5.426	-3.248	0.221	52.493	-3.536	60.0
C00446	alpha-D-Galactose_1-phosphate	-6.83	5.129	0.308	148.765	-5.516	80.0
C01762	Xanthosine	-8.454	4.768	0.078	377.924	-4.876	80.0
C00441	L-Aspartate_4-semialdehyde	9.03	6.977	0.773	648.734	8.969	90.0
C00440	5-Methyltetrahydrofolate	8.384	-2.817	0.021	341.115	-2.847	50.0
C00526	Deoxyuridine	7.426	-3.0	0.047	179.968	-3.066	50.0
C00448	trans,trans-Farnesyl_diphosphate	7.592	2.755	0.363	199.689	6.179	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	7.484	3.0	0.401	187.023	6.228	70.0
C01672	Cadaverine	7.399	1.0	0.135	170.78	4.529	70.0
C03838	5'-Phosphoribosylglycinamide	-8.039	-3.322	0.038	273.015	-3.376	50.0
C02091	(S)-Ureidoglycine	6.858	-3.907	0.129	131.003	-4.082	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	12.443	-1.0	0.0	5570.218	-1.001	60.0
C03939	Acetyl-[acyl-carrier_protein]	10.17	3.652	0.359	1164.631	8.708	90.0
C04039	2,3-Dihydroxy-3-methylbutanoate	8.224	2.0	0.243	303.0	6.203	70.0
C00627	Pyridoxine_phosphate	6.516	-2.807	0.076	98.517	-2.913	50.0
C00459	dTTP	6.182	3.636	0.588	85.037	5.644	70.0
C01228	Guanosine_3',5'-bis(diphosphate)	-8.451	-1.585	0.009	352.949	-1.597	50.0
C00231	D-Xylulose_5-phosphate	-3.481	-4.693	0.432	37.032	-3.999	60.0
C00232	Succinate_semialdehyde	3.536	-5.605	0.238	60.271	-3.844	60.0
C00234	10-Formyltetrahydrofolate	9.389	-5.468	0.066	714.719	-5.56	80.0
C00235	Dimethylallyl_diphosphate	7.002	-2.322	0.039	133.178	-2.377	50.0
C01613	Stachyose	12.443	1.0	0.08	5570.218	8.806	90.0
C00159	D-Mannose	-11.773	6.308	0.023	3578.894	-6.34	90.0
C00011	CO2	-2.358	7.949	0.021	252.235	-2.388	50.0
C00014	Ammonia	8.592	-7.111	0.358	524.115	-7.553	90.0
C05980	Cardiolipin	-7.248	-4.644	0.164	177.01	-4.864	80.0
C00018	Pyridoxal_phosphate	6.031	-2.807	0.107	72.388	-2.954	50.0
C00152	L-Asparagine	10.537	3.532	0.335	1497.343	8.971	90.0
C00155	L-Homocysteine	-9.666	0.585	0.002	813.874	-0.588	60.0
C02876	Propanoyl_phosphate	7.637	-2.459	0.028	204.55	-2.498	50.0
C02336	beta-D-Fructose	8.175	1.0	0.122	291.015	5.154	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-10.517	-2.954	0.005	1473.069	-2.962	50.0
C16630	5,6-Dihydro-5-fluorouracil	9.568	3.322	0.347	769.024	8.061	80.0
C00301	ADP-ribose	8.589	4.954	0.577	416.072	7.907	80.0
C00718	Amylose	-9.007	-4.0	0.031	530.49	-4.044	60.0
C02232	3-Oxoadipyl-CoA	-8.028	-8.082	0.963	531.989	-9.001	90.0
C14089	1-Hydroxymethylnaphthalene	11.009	5.768	0.524	2115.309	10.114	90.0
C02909	(2-Naphthyl)methanol	11.009	5.768	0.524	2115.309	10.114	90.0
C17551	2-Polyprenyl-6-hydroxyphenol	-8.555	-2.0	0.011	380.107	-2.015	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	8.842	1.0	0.113	460.889	5.704	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-6.144	4.728	0.375	97.219	-5.187	80.0
C06188	Salicin_6-phosphate	8.762	6.781	0.774	544.108	8.718	90.0
C05665	3-Aminopropanal	-6.7	1.0	0.019	105.968	-1.027	60.0
C06186	Arbutin	6.7	4.426	0.661	125.464	6.373	70.0
C06187	Arbutin_6-phosphate	5.858	-2.17	0.078	62.501	-2.278	50.0
C00655	Xanthosine_5'-phosphate	-5.901	2.956	0.13	67.515	-3.132	50.0
C03294	N-Formylmethionyl-tRNA	-10.217	-3.807	0.012	1204.206	-3.824	60.0
C03114	Dimethylbenzimidazole	8.175	4.807	0.588	317.008	7.542	80.0
C00979	O-Acetyl-L-serine	-6.69	3.476	0.108	114.377	-3.624	60.0
C00877	Crotonoyl-CoA	4.569	2.519	0.551	29.468	4.022	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-9.594	3.459	0.014	783.823	-3.479	50.0
C03373	Aminoimidazole_ribotide	7.97	-4.17	0.072	268.733	-4.27	70.0
C00407	L-Isoleucine	-4.202	6.109	0.267	87.427	-4.543	70.0
C01151	D-Ribose_1,5-bisphosphate	-6.687	-3.17	0.087	112.036	-3.291	50.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-3.137	5.759	0.162	62.951	-3.354	50.0
C06508	Adenosyl_cobinamide	8.017	4.248	0.53	278.035	7.203	80.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.5	-3.585	0.066	193.02	-3.678	60.0
C00577	D-Glyceraldehyde	-9.313	-8.349	0.513	962.113	-8.946	90.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	7.748	2.322	0.3	219.972	6.043	70.0
C00279	D-Erythrose_4-phosphate	8.048	3.173	0.394	273.68	6.754	80.0
C00906	5,6-Dihydrothymine	9.568	3.322	0.347	769.024	8.061	80.0
C00275	D-Mannose_6-phosphate	-10.76	-6.214	0.043	1808.368	-6.274	90.0
C00270	N-Acetylneuraminate	9.299	2.0	0.215	633.909	7.091	80.0
C00475	Cytidine	-8.454	-0.36	0.004	351.961	-0.365	60.0
C12215	Iminoerythrose_4-phosphate	-8.29	-7.435	0.553	486.04	-8.07	90.0
C12214	Aminofructose_6-phosphate	8.29	7.435	0.897	486.04	8.768	90.0
C00294	Inosine	-6.558	4.437	0.23	115.883	-4.736	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	7.066	-7.945	0.544	380.416	-7.692	90.0
C05698	Selenohomocysteine	8.079	-1.0	0.007	272.409	-1.011	60.0
C00354	D-Fructose_1,6-bisphosphate	-6.03	-5.672	0.78	116.33	-6.504	90.0
C00352	D-Glucosamine_6-phosphate	-8.86	-5.361	0.088	505.748	-5.483	80.0
C00299	Uridine	10.962	-2.155	0.002	1999.214	-2.158	50.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	5.329	-0.531	0.036	41.641	-0.582	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	8.455	-5.858	0.165	408.921	-6.079	90.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	8.889	4.17	0.469	492.085	7.851	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-9.349	5.087	0.052	686.112	-5.16	80.0
C00993	D-Alanyl-D-alanine	-9.635	-3.807	0.018	809.101	-3.832	60.0
C05382	Sedoheptulose_7-phosphate	-5.704	-5.984	0.824	115.423	-6.571	90.0
C00120	Biotin	-7.687	0.737	0.008	207.738	-0.749	60.0
C00122	Fumarate	13.233	-1.348	0.0	9630.409	-1.348	60.0
C00123	L-Leucine	-3.544	5.248	0.307	49.666	-3.93	60.0
C00129	Isopentenyl_diphosphate	6.91	-2.248	0.04	125.009	-2.304	50.0
C15532	N-Acetyl-L-citrulline	7.468	1.585	0.212	180.048	5.256	70.0
C05749	Hexanoyl-[acp]	10.17	4.459	0.438	1174.053	9.008	90.0
C05748	trans-Hex-2-enoyl-[acp]	-9.594	3.459	0.014	783.823	-3.479	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-10.932	-3.322	0.005	1963.71	-3.329	50.0
C05746	3-Oxohexanoyl-[acp]	10.621	-4.524	0.015	1597.858	-4.545	70.0
C05745	Butyryl-[acp]	10.17	4.459	0.438	1174.053	9.008	90.0
C05744	Acetoacetyl-[acp]	9.885	-2.883	0.008	952.92	-2.894	50.0
C03150	Nicotinamide-beta-riboside	-8.454	4.492	0.064	373.18	-4.582	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-10.196	-2.678	0.005	1179.41	-2.686	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-10.517	-2.954	0.005	1473.069	-2.962	50.0
C00199	D-Ribulose_5-phosphate	9.524	-4.052	0.023	752.811	-4.084	60.0
C00051	Glutathione	7.478	2.585	0.346	184.28	5.993	70.0
C00052	UDP-alpha-D-galactose	-4.269	-3.342	0.526	29.42	-3.952	60.0
C00194	Cobamide_coenzyme	-8.267	-3.624	0.04	320.375	-3.681	60.0
C00197	3-Phospho-D-glycerate	-7.88	-1.56	0.013	238.517	-1.578	50.0
C00058	Formate	12.998	6.426	0.494	8266.636	11.997	90.0
C02714	N-Acetylputrescine	-9.116	-4.0	0.029	570.868	-4.041	60.0
C01050	UDP-N-acetylmuramate	7.828	4.914	0.628	257.377	7.336	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-8.351	-3.907	0.046	341.515	-3.972	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	7.685	-4.304	0.096	225.539	-4.436	70.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-8.175	-2.503	0.02	294.684	-2.531	50.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	7.748	2.322	0.3	219.972	6.043	70.0
C03539	S-Ribosyl-L-homocysteine	10.079	-3.807	0.013	1095.633	-3.826	60.0
