compound_code	compound_name	lactobacillus_mock_score	escherichia_mock_score	ratio	magnitude	interaction_score	percentile
C05749	Hexanoyl-[acp]	-7.229	2.0	0.027	154.019	-2.038	90.0
C00441	L-Aspartate_4-semialdehyde	-6.225	0.637	0.021	76.357	-0.667	70.0
C05748	trans-Hex-2-enoyl-[acp]	-7.788	-2.322	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	-7.229	2.0	0.027	154.019	-2.038	90.0
C00831	Pantetheine	8.349	1.585	0.19	329.062	5.965	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	2.209	-1.222	0.505	6.956	-1.811	90.0
C00042	Succinate	7.087	2.585	0.365	141.957	5.694	70.0
C00041	L-Alanine	-7.602	-0.585	0.0	0.0	0.0	50.0
C00040	Acyl-CoA	8.688	1.0	0.115	414.428	5.576	70.0
C00047	L-Lysine	7.129	2.322	0.326	144.973	5.561	70.0
C00046	RNA	-9.733	3.322	0.012	860.991	-3.339	90.0
C00044	GTP	-10.082	1.17	0.002	1086.138	-1.173	80.0
C00049	L-Aspartate	5.635	-1.347	0.051	52.238	-1.419	80.0
C01212	UDP-N-acetylmuramoyl-L-alanine	8.16	0.807	0.099	287.775	4.831	70.0
C00416	Phosphatidate	-8.105	0.874	0.007	277.159	-0.884	70.0
