compound_code	compound_name	cd630_streptomycin_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	4.954	-3.585	0.387	42.996	-4.057	70.0
C16633	5-Fluorouridine	5.883	8.707	0.676	476.911	8.332	80.0
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-4.087	-3.17	0.0	0.0	0.0	50.0
C16630	5,6-Dihydro-5-fluorouracil	4.087	3.17	0.776	25.995	4.334	70.0
C16634	5-Fluorouridine_monophosphate	-5.883	-8.707	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	6.539	6.524	0.998	185.018	7.528	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	5.492	7.547	0.728	232.018	7.4	80.0
C00668	alpha-D-Glucose_6-phosphate	7.097	9.736	0.729	989.664	9.495	90.0
C00666	LL-2,6-Diaminoheptanedioate	-6.647	-7.107	0.0	0.0	0.0	50.0
C00663	beta-D-Glucose_1-phosphate	-1.585	-8.165	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-5.392	-8.804	0.0	0.0	0.0	50.0
C00988	2-Phosphoglycolate	4.524	4.248	0.939	42.008	5.302	70.0
C00114	Choline	-3.907	-7.762	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-8.485	9.76	0.413	1225.361	-8.984	90.0
C00111	Glycerone_phosphate	-7.34	10.742	0.095	1874.649	-7.47	90.0
C02380	6-Mercaptopurine	4.644	8.738	0.531	451.975	7.908	80.0
C00112	CDP	-6.349	-5.555	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-5.57	-10.369	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	-6.707	-11.805	0.0	0.0	0.0	50.0
C03492	D-4'-Phosphopantothenate	5.426	-4.392	0.488	63.987	-4.966	80.0
C01346	dUDP	3.115	7.103	0.439	146.136	6.002	70.0
C11924	Perillic_acid	-2.807	-3.0	0.0	0.0	0.0	50.0
C05750	3-Oxooctanoyl-[acp]	-5.295	9.103	0.071	589.151	-5.394	80.0
C05751	trans-Oct-2-enoyl-[acp]	-5.322	-6.615	0.0	0.0	0.0	50.0
C14145	(3S)-3-Hydroxyadipyl-CoA	10.82	4.322	0.399	1827.777	9.512	90.0
C05753	3-Oxodecanoyl-[acp]	-5.295	9.103	0.071	589.151	-5.394	80.0
C05754	trans-Dec-2-enoyl-[acp]	-5.322	-6.615	0.0	0.0	0.0	50.0
C05755	Decanoyl-[acp]	5.755	-7.741	0.252	267.935	-6.08	90.0
C05756	3-Oxododecanoyl-[acp]	-5.7	9.518	0.071	785.152	-5.799	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	5.248	-8.725	0.09	461.144	-5.372	80.0
C05758	trans-Dodec-2-enoyl-[acp]	-5.322	-6.615	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	-5.7	9.518	0.071	785.152	-5.799	80.0
C05811	2-Octaprenyl-6-hydroxyphenol	-3.17	-7.418	0.0	0.0	0.0	50.0
C05810	2-Octaprenylphenol	3.17	7.418	0.427	180.018	6.265	70.0
C00188	L-Threonine	7.462	-7.226	0.849	326.021	-8.113	90.0
C00189	Ethanolamine	4.03	-7.762	0.075	233.404	-4.135	70.0
C02702	L-Prolyl-tRNA(Pro)	-8.931	-9.948	0.0	0.0	0.0	50.0
C00183	L-Valine	6.6	-6.917	0.803	217.85	-7.45	90.0
C00180	Benzoate	-7.658	-6.418	0.0	0.0	0.0	50.0
C00181	D-Xylose	-1.585	3.7	0.231	15.996	-1.885	70.0
C05985	2-Propynal	2.807	3.0	0.936	14.998	3.811	60.0
C04216	all-trans-Heptaprenyl_diphosphate	-3.322	-8.322	0.0	0.0	0.0	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-5.492	-10.133	0.0	0.0	0.0	50.0
C05984	2-Hydroxybutanoic_acid	6.687	12.847	0.521	7470.743	11.925	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.233	-2.939	0.816	17.071	-3.799	70.0
C02553	L-Seryl-tRNA(Ser)	-7.16	-9.658	0.0	0.0	0.0	50.0
C16348	cis-3-Chloroallyl_aldehyde	-8.481	-9.752	0.0	0.0	0.0	50.0
C02946	4-Acetamidobutanoate	-2.807	-3.0	0.0	0.0	0.0	50.0
C00015	UDP	-5.762	-5.276	0.0	0.0	0.0	50.0
C05100	3-Ureidoisobutyrate	-4.087	-3.17	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	5.392	7.748	0.696	256.962	7.482	80.0
C05823	3-Mercaptolactate	-6.687	-12.847	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-5.672	-8.401	0.0	0.0	0.0	50.0
C16551	Alcophosphamide	-5.285	-11.379	0.0	0.0	0.0	50.0
C06715	3-Oxopimeloyl-CoA	2.807	7.451	0.377	181.973	6.099	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	1.485	-1.202	0.822	5.1	-2.067	70.0
C16237	Protein_N6-(lipoyl)lysine	-6.358	-10.472	0.0	0.0	0.0	50.0
C18239	Precursor_Z	-4.755	-3.459	0.0	0.0	0.0	50.0
C00446	alpha-D-Galactose_1-phosphate	4.858	-8.122	0.104	307.59	-5.001	80.0
C00445	5,10-Methenyltetrahydrofolate	-3.544	5.7	0.224	63.648	-3.836	70.0
C01762	Xanthosine	6.248	8.381	0.745	409.378	8.254	80.0
C00441	L-Aspartate_4-semialdehyde	7.384	-4.807	0.168	195.027	-5.031	80.0
C00440	5-Methyltetrahydrofolate	-5.257	1.222	0.061	40.572	-1.307	70.0
C00526	Deoxyuridine	-1.585	8.971	0.006	504.811	-1.594	70.0
C00527	Glutaryl-CoA	-2.807	-7.451	0.0	0.0	0.0	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	1.7	1.7	1.0	6.498	2.7	60.0
C00831	Pantetheine	5.492	7.547	0.728	232.018	7.4	80.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.807	-5.585	0.292	61.998	-4.176	70.0
C16221	(2E)-Octadecenoyl-[acp]	-5.322	-6.615	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-4.7	-5.858	0.0	0.0	0.0	50.0
C00288	HCO3-	6.721	8.31	0.809	422.858	8.418	90.0
C03722	Quinolinate	1.0	-3.585	0.167	14.0	-1.222	70.0
C05402	Melibiose	-1.585	8.794	0.007	446.872	-1.595	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.585	9.793	0.003	890.129	-1.59	70.0
C03939	Acetyl-[acyl-carrier_protein]	4.644	-6.68	0.244	127.539	-4.959	80.0
C04039	2,3-Dihydroxy-3-methylbutanoate	1.585	3.322	0.477	13.001	2.633	60.0
C00627	Pyridoxine_phosphate	-4.585	-11.604	0.0	0.0	0.0	50.0
C00459	dTTP	4.872	-8.68	0.071	439.431	-4.971	80.0
C01228	Guanosine_3',5'-bis(diphosphate)	-2.585	-7.858	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-7.392	7.431	0.973	340.529	-8.373	90.0
C00232	Succinate_semialdehyde	-6.653	-3.954	0.0	0.0	0.0	50.0
C00234	10-Formyltetrahydrofolate	-8.274	-6.643	0.0	0.0	0.0	50.0
C00235	Dimethylallyl_diphosphate	-4.336	3.681	0.635	33.022	-4.39	80.0
C01613	Stachyose	1.585	10.231	0.155	1204.816	7.544	80.0
C00159	D-Mannose	7.95	11.233	0.708	2654.246	10.875	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.304	-8.954	0.0	0.0	0.0	50.0
C00014	Ammonia	-9.177	7.98	0.436	831.307	-8.502	90.0
C05980	Cardiolipin	-6.0	-7.948	0.0	0.0	0.0	50.0
C00018	Pyridoxal_phosphate	-4.585	-11.604	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-5.771	0.807	0.032	56.356	-0.852	70.0
C00153	Nicotinamide	-5.781	-8.079	0.0	0.0	0.0	50.0
C00152	L-Asparagine	7.232	-7.951	0.608	397.782	-7.917	90.0
C00155	L-Homocysteine	-2.907	-7.405	0.0	0.0	0.0	50.0
C02835	Imidazole-4-acetate	-2.807	-3.0	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	6.788	-7.2	0.752	257.541	-7.597	90.0
C02336	beta-D-Fructose	2.0	8.994	0.222	513.875	6.836	70.0
C00058	Formate	8.63	11.603	0.744	3506.826	11.349	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	4.845	-8.311	0.09	346.325	-4.97	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	7.181	3.672	0.511	157.856	6.335	70.0
C00301	ADP-ribose	6.539	8.801	0.743	539.021	8.646	90.0
C00718	Amylose	-7.476	-8.003	0.0	0.0	0.0	50.0
C02232	3-Oxoadipyl-CoA	-10.82	-4.322	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	10.223	11.713	0.873	4552.27	11.956	90.0
C02909	(2-Naphthyl)methanol	10.223	11.713	0.873	4552.27	11.956	90.0
C17551	2-Polyprenyl-6-hydroxyphenol	-3.17	-7.418	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-3.0	-5.672	0.0	0.0	0.0	50.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	5.492	1.585	0.289	48.005	3.792	60.0
C01127	4-Hydroxy-2-oxoglutarate	6.57	4.644	0.707	120.012	6.407	70.0
C06188	Salicin_6-phosphate	6.87	11.96	0.574	4100.965	11.202	90.0
C05665	3-Aminopropanal	2.807	3.0	0.936	14.998	3.811	60.0
C06186	Arbutin	4.0	7.066	0.566	149.992	6.408	70.0
C06187	Arbutin_6-phosphate	5.977	-7.0	0.492	190.988	-6.554	90.0
C00655	Xanthosine_5'-phosphate	4.971	8.02	0.62	290.937	7.494	80.0
C18902	Methylselenic_acid	10.043	10.79	0.931	2825.552	11.361	90.0
C03294	N-Formylmethionyl-tRNA	-5.209	-8.267	0.0	0.0	0.0	50.0
C02051	Lipoylprotein	-5.7	-10.237	0.0	0.0	0.0	50.0
C06613	trans-3-Chloroallyl_aldehyde	-8.481	-9.752	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	3.644	9.126	0.399	571.228	7.833	80.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	-2.322	7.451	0.029	179.975	-2.363	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-5.322	-6.615	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-5.087	9.57	0.045	794.065	-5.15	80.0
C00402	D-Aspartate	-6.459	-9.392	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	7.384	-6.845	0.688	281.995	-7.601	90.0
C06056	4-Hydroxy-L-threonine	-4.322	-8.375	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	4.322	6.6	0.655	117.007	6.26	70.0
C03479	Folinic_acid	5.644	5.0	0.886	82.005	6.183	70.0
C01412	Butanal	11.199	11.441	0.979	5131.156	12.294	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-5.248	-7.665	0.0	0.0	0.0	50.0
C02576	Perillyl_aldehyde	2.807	3.0	0.936	14.998	3.811	60.0
C03972	2,3,4,5-Tetrahydrodipicolinate	3.494	-5.489	0.251	56.178	-3.817	70.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-2.807	-7.451	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-9.794	-13.823	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	-8.259	13.733	0.022	13922.198	-8.291	90.0
C00906	5,6-Dihydrothymine	4.087	3.17	0.776	25.995	4.334	70.0
C00275	D-Mannose_6-phosphate	-7.866	-11.701	0.0	0.0	0.0	50.0
C00270	N-Acetylneuraminate	7.658	8.409	0.911	541.878	8.947	90.0
C00900	2-Acetolactate	1.0	8.347	0.12	327.61	5.295	70.0
C12215	Iminoerythrose_4-phosphate	-10.015	-5.392	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	10.015	5.392	0.538	1076.693	9.179	90.0
C00294	Inosine	5.807	8.074	0.719	325.46	7.871	80.0
C05699	L-Selenocystathionine	5.392	7.748	0.696	256.962	7.482	80.0
C05698	Selenohomocysteine	-3.907	-7.665	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-7.151	-11.238	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-4.524	-6.983	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-2.104	-9.615	0.0	0.0	0.0	50.0
C00299	Uridine	-3.016	6.222	0.108	82.736	-3.164	70.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-1.474	-3.459	0.0	0.0	0.0	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-7.547	-8.923	0.0	0.0	0.0	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-7.547	-8.963	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.044	8.771	0.575	469.843	8.078	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.15	6.781	0.948	251.997	7.901	80.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-9.277	-8.053	0.0	0.0	0.0	50.0
C00993	D-Alanyl-D-alanine	4.322	-11.324	0.008	2583.68	-4.333	70.0
C05382	Sedoheptulose_7-phosphate	-8.763	-3.846	0.0	0.0	0.0	50.0
C00120	Biotin	1.585	6.714	0.236	107.982	4.672	70.0
C00121	D-Ribose	4.0	10.267	0.39	1248.182	8.926	90.0
C00122	Fumarate	-3.048	-7.875	0.0	0.0	0.0	50.0
C00123	L-Leucine	6.615	-6.143	0.721	168.688	-6.926	90.0
C00129	Isopentenyl_diphosphate	-4.248	-5.14	0.0	0.0	0.0	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-5.322	-8.253	0.0	0.0	0.0	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	7.442	10.341	0.72	1470.92	10.048	90.0
C05749	Hexanoyl-[acp]	5.755	-7.741	0.252	267.935	-6.08	90.0
C05748	trans-Hex-2-enoyl-[acp]	-5.322	-6.615	0.0	0.0	0.0	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	5.248	-8.725	0.09	461.144	-5.372	80.0
C05746	3-Oxohexanoyl-[acp]	-5.7	9.518	0.071	785.152	-5.799	80.0
C05745	Butyryl-[acp]	5.755	-7.741	0.252	267.935	-6.08	90.0
C05744	Acetoacetyl-[acp]	-4.19	8.849	0.04	479.373	-4.246	70.0
C03150	Nicotinamide-beta-riboside	5.781	8.079	0.716	325.395	7.863	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	4.536	-7.99	0.091	277.431	-4.662	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	4.845	-8.311	0.09	346.325	-4.97	80.0
C00054	Adenosine_3',5'-bisphosphate	-5.285	-8.418	0.0	0.0	0.0	50.0
C00725	Lipoate	6.358	10.472	0.607	1502.345	9.833	90.0
C00199	D-Ribulose_5-phosphate	-5.694	-9.321	0.0	0.0	0.0	50.0
C00051	Glutathione	5.044	4.0	0.793	48.991	5.28	70.0
C00052	UDP-alpha-D-galactose	2.865	9.114	0.314	561.384	7.463	80.0
C00010	CoA	-9.407	7.372	0.244	844.525	-7.687	90.0
C00197	3-Phospho-D-glycerate	-2.682	-7.725	0.0	0.0	0.0	50.0
C03785	D-Tagatose_1,6-bisphosphate	6.263	-11.875	0.02	3832.847	-6.292	90.0
C00192	Hydroxylamine	3.17	3.17	1.0	18.001	4.17	70.0
C00011	CO2	9.412	4.24	0.45	700.127	8.301	80.0
C01050	UDP-N-acetylmuramate	6.084	7.892	0.771	305.373	7.879	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.15	7.726	0.335	282.73	-6.567	90.0
C05130	Imidazole-4-acetaldehyde	2.807	3.0	0.936	14.998	3.811	60.0
C00206	dADP	8.088	-7.71	0.77	481.484	-8.533	90.0
C03028	Thiamin_triphosphate	-4.807	-8.721	0.0	0.0	0.0	50.0
C03539	S-Ribosyl-L-homocysteine	4.459	9.428	0.473	710.821	8.393	80.0
C06010	(S)-2-Acetolactate	0.737	6.042	0.122	67.557	3.043	60.0
