compound_code	compound_name	lactobacillus_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C00353	Geranylgeranyl_diphosphate	-2.322	-6.426	0.058	90.984	-2.404	50.0
C00526	Deoxyuridine	5.91	3.907	0.661	75.131	5.634	70.0
C03150	Nicotinamide-beta-riboside	5.073	7.304	0.695	191.685	7.057	90.0
C05752	Octanoyl-[acp]	-2.322	6.498	0.055	95.385	-2.4	50.0
C00831	Pantetheine	4.087	5.615	0.728	66.004	5.586	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	1.087	3.536	0.307	13.724	2.077	60.0
C00042	Succinate	2.322	6.989	0.332	132.028	5.455	70.0
C00041	L-Alanine	4.17	-4.97	0.574	49.342	-4.825	80.0
C00040	Acyl-CoA	3.478	7.136	0.487	151.796	6.209	80.0
C00047	L-Lysine	-3.392	6.931	0.086	132.52	-3.511	60.0
C00046	RNA	-4.694	-6.306	0.327	105.006	-5.102	80.0
C00044	GTP	-5.31	-6.623	0.402	138.235	-5.798	90.0
C00049	L-Aspartate	1.69	-3.779	0.235	16.954	-1.995	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	3.524	-5.119	0.331	46.255	-3.937	70.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-3.459	6.629	0.111	109.972	-3.611	60.0
C02291	L-Cystathionine	3.755	6.129	0.613	83.487	5.677	70.0
