compound_code	compound_name	alistipes_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C03294	N-Formylmethionyl-tRNA	-6.229	-5.044	0.44	108.0	-5.57	80.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-6.629	-4.807	0.283	126.969	-5.166	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-5.7	1.585	0.058	54.984	-1.666	50.0
C03375	Norspermidine	-6.15	-4.7	0.366	97.005	-5.15	80.0
C03373	Aminoimidazole_ribotide	-5.7	-4.954	0.596	82.98	-5.629	80.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.19	-3.807	0.192	87.005	-4.06	60.0
C03479	Folinic_acid	-6.57	4.087	0.179	112.004	-4.324	70.0
C09332	Tetrahydrofolyl-[Glu](2)	-6.426	-3.17	0.105	94.985	-3.314	50.0
C00583	Propane-1,2-diol	7.728	6.443	0.834	299.015	7.962	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-1.976	1.105	0.547	6.085	-1.734	50.0
C00577	D-Glyceraldehyde	-7.366	-7.15	0.861	306.988	-8.046	90.0
C00279	D-Erythrose_4-phosphate	-3.68	-6.779	0.117	122.637	-3.839	60.0
C00275	D-Mannose_6-phosphate	6.714	3.568	0.531	116.842	5.956	70.0
C00475	Cytidine	-5.258	1.189	0.06	40.546	-1.272	50.0
C12215	Iminoerythrose_4-phosphate	-7.476	-7.852	0.771	409.073	-8.3	90.0
C12214	Aminofructose_6-phosphate	7.476	7.852	0.952	409.073	8.605	90.0
C00294	Inosine	7.304	4.087	0.56	175.019	6.614	80.0
C05699	L-Selenocystathionine	6.129	7.807	0.785	293.931	7.85	90.0
C05698	Selenohomocysteine	-1.585	-7.492	0.017	183.018	-1.609	50.0
C00354	D-Fructose_1,6-bisphosphate	-2.459	-4.605	0.226	29.834	-2.753	50.0
C00353	Geranylgeranyl_diphosphate	-6.426	-3.807	0.163	99.981	-4.025	60.0
C00352	D-Glucosamine_6-phosphate	-5.728	1.848	0.068	56.603	-1.943	50.0
C00299	Uridine	-1.399	-0.304	0.468	3.872	-0.858	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.19	-4.907	0.411	103.011	-5.404	80.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.426	-5.044	0.384	118.975	-5.513	80.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	6.022	3.907	0.649	79.985	5.697	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.954	4.0	0.516	46.996	-4.6	70.0
C00993	D-Alanyl-D-alanine	-3.0	-4.087	0.471	24.995	-3.557	60.0
C00120	Biotin	6.267	2.585	0.412	83.012	5.098	70.0
C00122	Fumarate	4.809	1.469	0.305	30.8	3.234	60.0
C00123	L-Leucine	-3.322	-0.737	0.167	11.667	-0.959	50.0
C00124	D-Galactose	6.098	-4.363	0.3	89.076	-4.742	70.0
C05749	Hexanoyl-[acp]	7.229	1.0	0.138	152.019	4.394	60.0
C05748	trans-Hex-2-enoyl-[acp]	-5.7	1.585	0.058	54.984	-1.666	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.484	-4.524	0.129	202.03	-4.698	70.0
C05746	3-Oxohexanoyl-[acp]	6.34	4.322	0.682	101.009	6.106	70.0
C05745	Butyryl-[acp]	7.229	1.0	0.138	152.019	4.394	60.0
C05744	Acetoacetyl-[acp]	6.074	3.966	0.653	82.996	5.76	70.0
C03150	Nicotinamide-beta-riboside	7.304	4.087	0.56	175.019	6.614	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.752	-3.828	0.132	121.986	-4.007	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-7.071	-4.129	0.13	151.953	-4.305	70.0
C00199	D-Ribulose_5-phosphate	-4.418	-4.049	0.774	37.93	-4.876	70.0
C02659	Acetone_cyanohydrin	-7.435	-5.524	0.266	219.059	-5.864	80.0
C00197	3-Phospho-D-glycerate	6.427	6.311	0.982	165.44	7.344	90.0
C03785	D-Tagatose_1,6-bisphosphate	-8.022	-6.943	0.473	382.975	-7.502	90.0
C02714	N-Acetylputrescine	-6.615	-4.392	0.214	119.015	-4.672	70.0
C01050	UDP-N-acetylmuramate	5.64	-3.793	0.278	63.728	-4.147	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.0	-4.585	0.375	88.001	-5.044	80.0
C00206	dADP	4.018	7.077	0.568	151.218	6.424	80.0
