compound_code	compound_name	butyrivibrio_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00147	Adenine	4.295	-6.608	0.201	117.175	-4.56	80.0
C00144	GMP	-7.547	-8.565	0.0	0.0	0.0	50.0
C05729	R-S-Cysteinylglycine	6.384	10.589	0.603	1623.822	9.935	90.0
C04631	UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine	-8.282	-5.931	0.0	0.0	0.0	50.0
C03232	3-Phosphonooxypyruvate	-0.678	-1.138	0.0	0.0	0.0	50.0
C02737	Phosphatidylserine	-0.222	-5.992	0.0	0.0	0.0	50.0
C00099	beta-Alanine	-2.0	7.451	0.023	178.974	-2.033	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-6.19	-4.943	0.0	0.0	0.0	50.0
C05726	S-Substituted_L-cysteine	-6.384	-10.589	0.0	0.0	0.0	50.0
C00700	XTP	6.022	9.543	0.631	810.967	8.999	80.0
C06250	Holo-[carboxylase]	-7.998	-8.214	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	2.722	6.639	0.41	106.262	5.445	60.0
C03194	(R)-1-Aminopropan-2-ol	4.459	6.687	0.667	125.029	6.381	60.0
C01528	Hydrogen_selenide	-7.547	-8.907	0.0	0.0	0.0	50.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	4.0	8.165	0.49	303.019	7.214	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	6.426	8.604	0.747	475.085	8.471	80.0
C01134	Pantetheine_4'-phosphate	7.767	-7.18	0.666	362.83	-7.916	90.0
C01131	L-Rhamnulose_1-phosphate	6.524	10.16	0.642	1236.13	9.633	90.0
C06037	Digalactosyl-diacylglycerol	8.028	9.18	0.875	841.054	9.523	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-7.873	-9.641	0.0	0.0	0.0	50.0
C06032	D-erythro-3-Methylmalate	2.205	-5.078	0.137	38.388	-2.39	80.0
C01100	L-Histidinol_phosphate	-4.524	-4.776	0.0	0.0	0.0	50.0
C05659	5-Methoxytryptamine	-6.476	-6.845	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	6.892	-3.931	0.128	134.021	-4.105	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-8.114	-9.814	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-8.17	-9.426	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-8.028	-9.18	0.0	0.0	0.0	50.0
C03691	CMP-N-glycoloylneuraminate	-7.814	-8.91	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-6.977	-10.617	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-2.322	9.263	0.008	619.386	-2.334	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-6.977	-10.617	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-2.322	9.263	0.008	619.386	-2.334	70.0
C20375	Glutaryl-[acp]_methyl_ester	8.693	8.667	0.997	820.329	9.676	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	-8.155	9.106	0.517	836.071	-8.756	90.0
C05596	p-Hydroxyphenylacetylglycine	-4.7	-2.0	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-8.155	9.106	0.517	836.071	-8.756	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	8.028	9.18	0.875	841.054	9.523	90.0
C00966	2-Dehydropantoate	-5.358	-7.854	0.0	0.0	0.0	50.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	6.384	-6.011	0.772	148.007	-6.837	90.0
C00415	Dihydrofolate	6.33	-4.605	0.302	104.785	-4.986	80.0
C00416	Phosphatidate	-5.426	8.021	0.166	302.746	-5.647	80.0
C01005	O-Phospho-L-serine	-6.947	-9.526	0.0	0.0	0.0	50.0
C00037	Glycine	8.083	8.499	0.951	632.948	9.234	80.0
C17949	N-Acetyldemethylphosphinothricin	-5.392	-3.7	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	7.735	-6.304	0.371	292.055	-6.759	90.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	3.17	6.575	0.482	104.34	5.653	60.0
C01798	D-Glucoside	9.95	10.551	0.943	2489.382	11.197	90.0
C19972	2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose	4.644	1.585	0.341	28.003	3.257	60.0
C10700	4'-Hydroxyacetophenone	-4.858	-8.651	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	9.72	11.736	0.828	4254.407	11.783	90.0
C04006	1D-myo-Inositol_3-phosphate	7.285	-11.604	0.05	3268.763	-7.356	90.0
C02686	Galactosylceramide	-7.468	-8.333	0.0	0.0	0.0	50.0
C03263	Coproporphyrinogen_III	8.52	5.17	0.607	403.094	7.934	70.0
C00243	Lactose	6.516	11.461	0.569	2910.582	10.692	90.0
C00242	Guanine	-2.624	-8.595	0.0	0.0	0.0	50.0
C00245	Taurine	-7.418	-6.486	0.0	0.0	0.0	50.0
C18172	Carboxyspermidine	6.322	8.566	0.738	458.99	8.404	80.0
C18174	Carboxynorspermidine	6.322	8.566	0.738	458.99	8.404	80.0
C02442	N-Methyltyramine	6.476	6.845	0.946	203.977	7.592	70.0
C00568	4-Aminobenzoate	5.0	8.124	0.615	310.977	7.58	70.0
C01099	L-Fuculose_1-phosphate	8.271	-4.248	0.062	327.902	-4.334	80.0
C01097	D-Tagatose_6-phosphate	11.526	9.329	0.809	3592.124	11.506	90.0
C00561	Mandelonitrile	-9.95	-10.551	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	10.353	10.599	0.977	2858.885	11.447	90.0
C01721	L-Fuculose	-7.15	-9.651	0.0	0.0	0.0	50.0
C01092	8-Amino-7-oxononanoate	2.807	8.558	0.328	383.888	6.976	70.0
C00068	Thiamin_diphosphate	4.777	4.229	0.885	46.169	5.353	60.0
C00342	Thioredoxin	9.0	-7.406	0.331	681.601	-7.819	90.0
C00343	Thioredoxin_disulfide	-9.0	7.322	0.313	672.008	-7.714	90.0
C00344	Phosphatidylglycerol	7.87	7.087	0.901	369.897	8.38	80.0
C05684	Selenite	7.547	9.441	0.799	882.077	9.462	80.0
C00063	CTP	9.067	9.99	0.908	1553.265	10.461	90.0
C00062	L-Arginine	-5.044	-5.081	0.0	0.0	0.0	50.0
C00065	L-Serine	-7.009	-7.847	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-7.294	-8.294	0.0	0.0	0.0	50.0
C00066	tRNA	6.943	8.98	0.773	627.993	8.923	80.0
C16633	5-Fluorouridine	7.577	8.725	0.868	614.086	9.059	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.963	8.518	0.465	382.179	7.474	70.0
C16635	5'-Deoxy-5-fluorocytidine	7.672	8.516	0.901	570.016	9.004	80.0
C16634	5-Fluorouridine_monophosphate	-8.464	-9.773	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	8.693	9.691	0.897	1240.434	10.12	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	6.925	8.725	0.794	544.658	8.756	80.0
C00668	alpha-D-Glucose_6-phosphate	8.772	-9.765	0.502	1307.232	-9.359	90.0
C00666	LL-2,6-Diaminoheptanedioate	7.073	7.857	0.9	366.486	8.366	80.0
C02163	L-Arginyl-tRNA(Arg)	-7.435	-9.36	0.0	0.0	0.0	50.0
C00988	2-Phosphoglycolate	9.079	6.358	0.7	622.844	8.769	80.0
C00114	Choline	-8.281	-7.0	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-10.034	-9.819	0.0	0.0	0.0	50.0
C00116	Glycerol	7.061	-8.132	0.476	414.056	-7.623	90.0
C00111	Glycerone_phosphate	-6.386	-9.192	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	7.864	9.241	0.851	838.057	9.478	80.0
C00112	CDP	-7.547	-8.65	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-7.049	-6.682	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	5.968	8.074	0.739	332.07	7.939	70.0
C03492	D-4'-Phosphopantothenate	-6.721	5.781	0.521	160.479	-6.386	90.0
C05750	3-Oxooctanoyl-[acp]	-2.0	9.041	0.008	530.759	-2.011	70.0
C02412	Glycyl-tRNA(Gly)	-8.804	-8.743	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	5.907	8.592	0.688	445.882	8.26	70.0
C05753	3-Oxodecanoyl-[acp]	-2.0	9.041	0.008	530.759	-2.011	70.0
C05754	trans-Dec-2-enoyl-[acp]	6.15	7.317	0.841	230.467	7.598	70.0
C05755	Decanoyl-[acp]	5.907	8.667	0.682	466.473	8.313	70.0
C05756	3-Oxododecanoyl-[acp]	-2.322	9.263	0.008	619.386	-2.334	70.0
C02474	Arabinan	9.317	10.471	0.89	2057.153	10.838	90.0
C05758	trans-Dodec-2-enoyl-[acp]	6.15	7.317	0.841	230.467	7.598	70.0
C05759	3-Oxotetradecanoyl-[acp]	-2.322	9.263	0.008	619.386	-2.334	70.0
C00249	Hexadecanoic_acid	9.257	10.087	0.918	1699.487	10.607	90.0
C00188	L-Threonine	-3.577	5.923	0.197	72.608	-3.836	80.0
C00189	Ethanolamine	-8.281	-7.0	0.0	0.0	0.0	50.0
C02702	L-Prolyl-tRNA(Pro)	-8.371	-9.34	0.0	0.0	0.0	50.0
C00185	Cellobiose	9.931	10.298	0.964	2235.123	11.074	90.0
C00183	L-Valine	6.986	-5.915	0.476	187.102	-6.477	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.322	-6.369	0.0	0.0	0.0	50.0
C00181	D-Xylose	-6.883	11.506	0.041	3026.409	-6.94	90.0
C00159	D-Mannose	-7.766	-9.025	0.0	0.0	0.0	50.0
C00011	CO2	5.206	10.508	0.495	1493.119	9.531	90.0
C06548	Ethylene_oxide	4.858	8.651	0.562	430.986	7.919	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-5.163	3.561	0.329	47.63	-3.972	80.0
C13952	UDP-N-acetyl-D-galactosaminuronic_acid	-7.607	-6.476	0.0	0.0	0.0	50.0
C14765	13-OxoODE	-4.858	-8.651	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	7.577	-5.322	0.209	230.945	-5.596	80.0
C05980	Cardiolipin	-7.87	-8.17	0.0	0.0	0.0	50.0
C00459	dTTP	7.798	-8.832	0.488	678.271	-8.372	90.0
C06142	1-Butanol	-4.858	-8.651	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	7.131	9.486	0.752	857.252	9.332	80.0
C03546	myo-Inositol_4-phosphate	7.285	7.476	0.974	333.989	8.346	70.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-3.0	-8.401	0.0	0.0	0.0	50.0
C06715	3-Oxopimeloyl-CoA	4.7	2.0	0.426	29.992	3.674	60.0
C14519	1-Hydroxypyrene	6.476	6.845	0.946	203.977	7.592	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-4.121	-5.946	0.0	0.0	0.0	50.0
C05751	trans-Oct-2-enoyl-[acp]	6.15	7.317	0.841	230.467	7.598	70.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	7.055	11.461	0.616	2952.037	10.827	90.0
C01096	Sorbitol_6-phosphate	4.858	8.651	0.562	430.986	7.919	70.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	4.524	8.267	0.547	331.053	7.501	70.0
C00445	5,10-Methenyltetrahydrofolate	6.371	7.106	0.897	220.527	7.627	70.0
C01762	Xanthosine	7.676	9.618	0.798	990.296	9.626	90.0
C12632	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	-4.392	-3.7	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	6.524	7.639	0.854	291.356	7.959	70.0
C00440	5-Methyltetrahydrofolate	4.755	6.644	0.716	127.012	6.506	60.0
C00526	Deoxyuridine	-5.958	8.582	0.162	445.376	-6.175	90.0
C00527	Glutaryl-CoA	-4.7	-2.0	0.0	0.0	0.0	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-6.331	7.698	0.388	288.153	-6.804	90.0
C00522	(R)-Pantoate	2.807	7.924	0.354	249.861	6.468	60.0
C00831	Pantetheine	6.925	8.725	0.794	544.658	8.756	80.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-4.322	7.531	0.108	204.952	-4.47	80.0
C16221	(2E)-Octadecenoyl-[acp]	6.15	9.106	0.675	622.047	8.715	80.0
C05335	L-Selenomethionine	6.409	8.358	0.767	413.079	8.307	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.476	-10.822	0.0	0.0	0.0	50.0
C00009	Orthophosphate	-7.883	-8.827	0.0	0.0	0.0	50.0
C04133	N-Acetyl-L-glutamate_5-phosphate	5.443	6.627	0.821	142.34	6.869	70.0
C03838	5'-Phosphoribosylglycinamide	5.858	-6.366	0.703	140.482	-6.626	90.0
C05400	Epimelibiose	8.028	9.18	0.875	841.054	9.523	90.0
C03722	Quinolinate	-3.7	7.889	0.055	250.038	-3.777	80.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.459	9.18	0.704	668.01	8.877	80.0
C03939	Acetyl-[acyl-carrier_protein]	3.259	-8.948	0.019	503.447	-3.287	80.0
C00623	sn-Glycerol_1-phosphate	-6.858	-2.585	0.0	0.0	0.0	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-10.148	-9.229	0.0	0.0	0.0	50.0
C00627	Pyridoxine_phosphate	-6.17	-7.864	0.0	0.0	0.0	50.0
C02988	L-Histidyl-tRNA(His)	-7.615	-8.508	0.0	0.0	0.0	50.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-6.873	-2.954	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	2.0	8.539	0.234	375.959	6.46	60.0
C00780	Serotonin	6.476	6.845	0.946	203.977	7.592	70.0
C01228	Guanosine_3',5'-bis(diphosphate)	-7.276	-3.0	0.0	0.0	0.0	50.0
C00239	dCMP	-6.322	-7.354	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-9.179	-8.858	0.0	0.0	0.0	50.0
C01345	dITP	6.022	-7.977	0.258	316.935	-6.353	90.0
C00233	4-Methyl-2-oxopentanoate	6.842	7.451	0.918	289.697	8.055	70.0
C00234	10-Formyltetrahydrofolate	6.413	6.811	0.942	197.496	7.539	70.0
C00235	Dimethylallyl_diphosphate	-8.912	7.152	0.295	623.925	-7.525	90.0
C01613	Stachyose	7.858	9.18	0.856	812.04	9.441	80.0
C00010	CoA	-8.521	-8.285	0.0	0.0	0.0	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.006	-9.579	0.0	0.0	0.0	50.0
C00014	Ammonia	-4.607	-7.126	0.0	0.0	0.0	50.0
C00015	UDP	-6.366	-8.186	0.0	0.0	0.0	50.0
C00018	Pyridoxal_phosphate	-5.562	-1.0	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-8.062	-1.047	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-7.791	-8.913	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-7.197	-6.251	0.0	0.0	0.0	50.0
C00155	L-Homocysteine	-5.299	-8.531	0.0	0.0	0.0	50.0
C00154	Palmitoyl-CoA	-9.257	-10.087	0.0	0.0	0.0	50.0
C06399	Hydrogenobyrinate	5.358	3.0	0.56	49.013	4.778	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	9.192	-7.629	0.338	782.832	-8.05	90.0
C02876	Propanoyl_phosphate	-2.115	-6.615	0.0	0.0	0.0	50.0
C00424	(S)-Lactaldehyde	-8.195	-9.649	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	8.261	8.055	0.975	572.715	9.125	80.0
C00058	Formate	9.999	-6.827	0.111	1136.826	-6.979	90.0
C02218	Dehydroalanine	-5.087	-8.718	0.0	0.0	0.0	50.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-6.566	-9.981	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-7.212	-7.622	0.0	0.0	0.0	50.0
C00300	Creatine	-2.0	-3.459	0.0	0.0	0.0	50.0
C00718	Amylose	-8.51	-6.384	0.0	0.0	0.0	50.0
C00714	Pectin	7.451	9.85	0.756	1097.855	9.698	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.977	-10.203	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-8.443	-9.397	0.0	0.0	0.0	50.0
C00760	Cellulose	9.347	9.299	0.995	1281.129	10.316	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-6.96	-9.246	0.0	0.0	0.0	50.0
C01127	4-Hydroxy-2-oxoglutarate	9.937	10.006	0.993	2008.514	10.962	90.0
C06504	Cob(II)yrinate_a,c_diamide	-5.358	-4.858	0.0	0.0	0.0	50.0
C03506	Indoleglycerol_phosphate	7.634	7.222	0.946	347.931	8.363	70.0
C05143	Dhurrin	9.95	10.551	0.943	2489.382	11.197	90.0
C18902	Methylselenic_acid	7.547	9.441	0.799	882.077	9.462	80.0
C00330	Deoxyguanosine	5.923	8.17	0.725	348.689	7.982	70.0
C03114	Dimethylbenzimidazole	4.392	7.459	0.589	196.943	6.858	60.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.472	-9.109	0.0	0.0	0.0	50.0
C18260	1,6-Dimethoxypyrene	-6.476	-6.845	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	-6.877	-8.468	0.0	0.0	0.0	50.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	4.7	2.0	0.426	29.992	3.674	60.0
C04246	But-2-enoyl-[acyl-carrier_protein]	6.15	7.317	0.841	230.467	7.598	70.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.2	-8.945	0.0	0.0	0.0	50.0
C01019	6-Deoxy-L-galactose	5.544	9.683	0.573	868.659	8.958	80.0
C04242	5-Fluorodeoxyuridine_monophosphate	-6.087	-8.271	0.0	0.0	0.0	50.0
C03375	Norspermidine	-6.322	-8.566	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-8.308	-8.948	0.0	0.0	0.0	50.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.943	-8.98	0.0	0.0	0.0	50.0
C01151	D-Ribose_1,5-bisphosphate	-4.248	-6.508	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-8.124	-9.253	0.0	0.0	0.0	50.0
C06507	Adenosyl_cobyrinate_hexaamide	4.459	-5.542	0.472	68.585	-5.017	80.0
C03479	Folinic_acid	7.615	-9.041	0.372	722.799	-8.071	90.0
C01412	Butanal	4.858	8.651	0.562	430.986	7.919	70.0
C06508	Adenosyl_cobinamide	-6.95	5.392	0.34	165.631	-5.814	80.0
C06509	Adenosyl_cobinamide_phosphate	-4.459	3.874	0.667	36.655	-4.611	80.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.401	-7.901	0.0	0.0	0.0	50.0
C00582	Phenylacetyl-CoA	-9.246	-3.585	0.0	0.0	0.0	50.0
C00583	Propane-1,2-diol	8.82	9.649	0.914	1254.801	10.164	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-2.972	-7.337	0.0	0.0	0.0	50.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-4.7	-2.0	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-10.943	-11.182	0.0	0.0	0.0	50.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	1.0	4.322	0.231	22.001	2.348	60.0
C00575	3',5'-Cyclic_AMP	-6.895	-4.459	0.0	0.0	0.0	50.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	-2.0	6.279	0.052	81.655	-2.072	70.0
C00279	D-Erythrose_4-phosphate	-9.739	-9.449	0.0	0.0	0.0	50.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	5.755	-7.775	0.247	273.037	-6.073	90.0
C02470	Xanthurenic_acid	6.476	6.845	0.946	203.977	7.592	70.0
C00270	N-Acetylneuraminate	7.786	8.326	0.935	541.613	8.984	80.0
C00900	2-Acetolactate	9.809	9.054	0.923	1428.55	10.365	90.0
C00475	Cytidine	5.0	6.348	0.788	113.459	6.482	60.0
C12215	Iminoerythrose_4-phosphate	-11.438	-10.672	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	11.438	10.672	0.933	4405.996	12.005	90.0
C00470	Pectate	-7.451	-9.85	0.0	0.0	0.0	50.0
C00294	Inosine	7.715	9.618	0.802	995.9	9.642	90.0
C05699	L-Selenocystathionine	7.451	9.486	0.785	892.059	9.453	80.0
C05698	Selenohomocysteine	4.7	-8.945	0.053	518.84	-4.774	80.0
C00354	D-Fructose_1,6-bisphosphate	-8.26	-8.416	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-7.672	-8.551	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	6.436	-8.342	0.267	411.065	-6.777	90.0
C00299	Uridine	-2.709	7.183	0.045	151.85	-2.772	80.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-7.486	-5.695	0.0	0.0	0.0	50.0
C05399	Melibiitol	8.028	9.18	0.875	841.054	9.523	90.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-4.392	-4.644	0.0	0.0	0.0	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.281	5.524	0.148	357.063	-5.723	80.0
C11736	5-Fluorodeoxyuridine	6.087	8.271	0.736	376.879	8.116	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.596	-8.585	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	7.6	8.119	0.936	472.023	8.787	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.735	-6.304	0.371	292.055	-6.759	90.0
C06503	Hydrogenobyrinate_a,c_diamide	-5.358	5.426	0.954	84.005	-6.324	90.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-7.877	3.644	0.053	247.58	-3.719	80.0
C00993	D-Alanyl-D-alanine	-3.17	-8.508	0.0	0.0	0.0	50.0
C05382	Sedoheptulose_7-phosphate	-6.078	8.826	0.149	521.383	-6.278	90.0
C00120	Biotin	6.829	7.542	0.905	300.06	8.086	70.0
C00121	D-Ribose	8.752	1.585	0.181	434.136	6.297	60.0
C00122	Fumarate	3.879	-9.624	0.019	803.778	-3.906	80.0
C00123	L-Leucine	-4.79	6.632	0.279	126.847	-5.145	80.0
C00124	D-Galactose	7.776	9.79	0.794	1104.47	9.777	90.0
C00128	CMP-N-acetylneuraminate	-7.814	-8.91	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-8.665	5.913	0.148	466.16	-6.113	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-5.954	3.17	0.145	70.992	-3.366	80.0
C00288	HCO3-	7.371	-8.19	0.567	457.571	-8.019	90.0
C05749	Hexanoyl-[acp]	5.907	8.667	0.682	466.473	8.313	70.0
C05748	trans-Hex-2-enoyl-[acp]	6.15	7.317	0.841	230.467	7.598	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.977	-10.203	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	-2.322	9.263	0.008	619.386	-2.334	70.0
C05745	Butyryl-[acp]	5.907	8.667	0.682	466.473	8.313	70.0
C05744	Acetoacetyl-[acp]	2.459	8.124	0.303	284.475	6.428	60.0
C03150	Nicotinamide-beta-riboside	7.676	9.618	0.798	990.296	9.626	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.248	-9.788	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-6.566	-9.981	0.0	0.0	0.0	50.0
C00054	Adenosine_3',5'-bisphosphate	-8.155	-2.585	0.0	0.0	0.0	50.0
C00055	CMP	-5.764	-7.212	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-6.01	-7.103	0.0	0.0	0.0	50.0
C00053	3'-Phosphoadenylyl_sulfate	-3.652	2.0	0.318	16.571	-2.399	80.0
C02659	Acetone_cyanohydrin	-9.95	-10.551	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	6.624	9.963	0.665	1096.705	9.51	80.0
C00191	D-Glucuronate	9.187	9.498	0.967	1305.932	10.303	90.0
C02714	N-Acetylputrescine	-7.055	-7.983	0.0	0.0	0.0	50.0
C01051	Uroporphyrinogen_III	3.624	-7.775	0.056	231.361	-3.703	80.0
C01050	UDP-N-acetylmuramate	-4.994	-5.664	0.0	0.0	0.0	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	6.0	-1.415	0.042	66.667	-1.474	70.0
C00206	dADP	8.904	7.905	0.888	718.725	9.318	80.0
C05338	4-Hydroxyphenylacetyl-CoA	4.7	2.0	0.426	29.992	3.674	60.0
C18261	1-Hydroxy-6-methoxypyrene	6.476	6.845	0.946	203.977	7.592	70.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-2.807	7.326	0.044	167.451	-2.869	80.0
C03539	S-Ribosyl-L-homocysteine	5.524	-5.931	0.754	107.025	-6.335	90.0
C06010	(S)-2-Acetolactate	8.811	8.057	0.914	715.45	9.354	80.0
