compound_code	compound_name	alistipes_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00181	D-Xylose	7.827	5.672	0.725	278.056	7.655	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.807	-3.585	0.107	123.973	-3.732	60.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.0	0.263	0.088	9.2	-0.31	60.0
C00842	dTDP-glucose	-5.087	-2.0	0.118	37.989	-2.161	50.0
C00015	UDP	-3.907	-3.0	0.533	23.001	-3.617	60.0
C02291	L-Cystathionine	6.129	3.585	0.585	81.987	5.584	70.0
C02554	L-Valyl-tRNA(Val)	-6.443	-4.17	0.207	105.004	-4.441	70.0
C16237	Protein_N6-(lipoyl)lysine	6.022	2.722	0.452	71.581	5.016	70.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.248	10.522	0.594	1546.411	9.843	90.0
C16239	Lipoyl-[acp]	-6.022	-1.585	0.046	67.984	-1.65	50.0
C00445	5,10-Methenyltetrahydrofolate	3.781	2.165	0.573	18.231	3.384	60.0
C01762	Xanthosine	7.304	2.954	0.404	165.773	6.067	80.0
C00441	L-Aspartate_4-semialdehyde	-4.815	1.959	0.138	32.037	-2.146	50.0
C00440	5-Methyltetrahydrofolate	-2.939	2.291	0.638	12.563	-3.003	50.0
C00526	Deoxyuridine	3.907	-2.678	0.427	21.401	-3.191	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-3.7	3.426	0.827	23.744	-4.295	70.0
C00522	(R)-Pantoate	7.129	1.138	0.16	142.173	4.504	60.0
C00831	Pantetheine	5.615	3.0	0.534	57.01	4.929	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	5.7	2.807	0.492	58.982	4.86	70.0
C01024	Hydroxymethylbilane	6.585	3.585	0.544	108.003	5.878	80.0
C12739	5'-Deoxy-5-fluorouridine	-6.954	-3.322	0.081	133.984	-3.434	60.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.248	-9.937	0.078	1056.25	-6.356	90.0
C03838	5'-Phosphoribosylglycinamide	-6.741	-1.322	0.023	109.465	-1.355	50.0
C03722	Quinolinate	-6.109	3.907	0.217	84.024	-4.191	70.0
C03939	Acetyl-[acyl-carrier_protein]	3.051	-7.528	0.045	192.855	-3.114	50.0
C00620	alpha-D-Ribose_1-phosphate	7.492	6.57	0.877	275.028	7.914	90.0
C00627	Pyridoxine_phosphate	-6.629	-2.0	0.04	102.976	-2.057	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-3.459	2.663	0.576	17.33	-3.319	60.0
C18040	5alpha-Dihydrodeoxycorticosterone	-6.15	-2.585	0.084	77.013	-2.702	50.0
C00231	D-Xylulose_5-phosphate	-5.576	-5.032	0.686	80.42	-5.785	90.0
C01345	dITP	7.484	-3.322	0.056	189.023	-3.4	60.0
C00234	10-Formyltetrahydrofolate	-3.229	-0.339	0.135	10.641	-0.522	60.0
C05688	L-Selenocysteine	6.741	2.585	0.383	112.966	5.437	70.0
C00010	CoA	-6.755	-1.0	0.019	110.008	-1.026	60.0
C00011	CO2	7.581	6.457	0.852	279.325	7.894	90.0
C00062	L-Arginine	5.883	-3.879	0.249	73.727	-4.2	70.0
C00014	Ammonia	-4.031	-4.471	0.737	38.525	-4.828	80.0
C05980	Cardiolipin	-6.426	-2.585	0.07	91.984	-2.682	50.0
C00019	S-Adenosyl-L-methionine	-4.022	5.5	0.359	61.501	-4.465	70.0
C00153	Nicotinamide	-7.304	-3.524	0.073	169.528	-3.625	60.0
C00152	L-Asparagine	6.7	3.218	0.48	113.273	5.766	70.0
C00155	L-Homocysteine	-1.379	2.592	0.431	8.63	-1.896	50.0
C00154	Palmitoyl-CoA	-8.651	-5.129	0.087	436.979	-5.249	80.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-6.629	-5.426	0.434	141.968	-5.946	90.0
C00066	tRNA	6.19	3.459	0.559	84.006	5.553	70.0
C02876	Propanoyl_phosphate	-7.238	2.807	0.046	157.956	-2.872	50.0
C04146	all-trans-Octaprenyl_diphosphate	3.907	-2.585	0.4	21.001	-3.07	50.0
C00259	L-Arabinose	8.262	3.585	0.434	318.98	7.113	90.0
C03205	11-Deoxycorticosterone	6.15	2.585	0.42	77.013	5.017	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-7.071	-4.402	0.157	155.598	-4.613	70.0
C00655	Xanthosine_5'-phosphate	-2.773	-3.575	0.574	18.753	-3.427	60.0
C00718	Amylose	-2.55	-3.524	0.509	17.36	-3.144	50.0
C00714	Pectin	6.919	3.459	0.5	132.008	6.044	80.0
C00760	Cellulose	7.435	6.15	0.827	244.057	7.657	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-4.977	-1.322	0.079	33.994	-1.432	50.0
C01127	4-Hydroxy-2-oxoglutarate	7.827	5.248	0.67	265.073	7.474	90.0
C06022	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine	-3.17	-3.907	0.6	24.002	-3.848	70.0
C06025	Di[3-deoxy-D-manno-octulosonyl]-lipid_IV(A)	-4.196	-4.143	0.964	35.995	-5.117	80.0
C05143	Dhurrin	7.435	7.14	0.96	314.088	8.237	90.0
C03508	L-2-Amino-3-oxobutanoic_acid	-8.358	-3.17	0.027	337.102	-3.209	60.0
C02059	Phylloquinone	-5.883	-3.807	0.237	73.011	-4.114	70.0
C18902	Methylselenic_acid	6.943	3.7	0.533	136.037	6.18	80.0
C03294	N-Formylmethionyl-tRNA	-6.229	-1.585	0.04	78.01	-1.642	50.0
C02051	Lipoylprotein	-4.585	-7.435	0.139	197.045	-4.772	80.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-6.629	-4.615	0.248	123.48	-4.934	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-5.7	-3.0	0.154	59.984	-3.207	50.0
C03373	Aminoimidazole_ribotide	-5.7	-4.982	0.608	83.587	-5.667	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.19	-3.459	0.151	84.006	-3.661	60.0
C01151	D-Ribose_1,5-bisphosphate	-6.409	-5.755	0.636	138.981	-6.465	90.0
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate	6.935	5.285	0.762	161.35	6.942	80.0
C03479	Folinic_acid	-6.57	-2.907	0.079	102.51	-3.017	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.484	-4.615	0.137	203.528	-4.8	80.0
C09332	Tetrahydrofolyl-[Glu](2)	-6.426	-1.0	0.023	87.984	-1.033	60.0
C00583	Propane-1,2-diol	7.728	3.585	0.464	224.012	6.699	80.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-1.976	-0.737	0.424	5.601	-1.247	60.0
C00577	D-Glyceraldehyde	-7.366	-6.672	0.618	266.933	-7.366	90.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	-3.7	4.7	0.5	38.988	-4.285	70.0
C00279	D-Erythrose_4-phosphate	-3.68	5.33	0.319	53.042	-4.079	70.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-6.044	-3.907	0.227	80.983	-4.203	70.0
C00275	D-Mannose_6-phosphate	6.714	4.682	0.697	130.652	6.51	80.0
C00475	Cytidine	-5.258	1.0	0.052	40.266	-1.073	60.0
C12215	Iminoerythrose_4-phosphate	-7.476	-6.524	0.517	270.061	-7.125	90.0
C12214	Aminofructose_6-phosphate	7.476	6.524	0.873	270.061	7.881	90.0
C00470	Pectate	-6.919	-3.459	0.091	132.008	-3.584	60.0
C00294	Inosine	7.304	3.0	0.411	166.024	6.092	80.0
C05699	L-Selenocystathionine	6.129	3.585	0.585	81.987	5.584	70.0
C05698	Selenohomocysteine	-1.585	3.0	0.375	11.0	-2.044	50.0
C00354	D-Fructose_1,6-bisphosphate	-2.459	-2.939	0.717	13.167	-3.239	60.0
C00353	Geranylgeranyl_diphosphate	-6.426	-4.392	0.244	106.98	-4.707	80.0
C00352	D-Glucosamine_6-phosphate	-5.728	4.524	0.434	76.01	-5.044	80.0
C00299	Uridine	-1.399	-1.158	0.846	4.869	-2.043	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.19	-1.585	0.041	76.009	-1.643	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.426	-2.807	0.081	92.982	-2.92	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	6.022	2.322	0.386	69.984	4.754	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.954	-2.322	0.161	35.996	-2.538	50.0
C11638	3-Amino-2-oxopropyl_phosphate	-4.298	-4.437	0.908	41.332	-5.23	80.0
C00993	D-Alanyl-D-alanine	-3.0	-2.807	0.875	14.998	-3.714	60.0
C00120	Biotin	6.267	5.261	0.839	115.357	6.598	80.0
C00122	Fumarate	4.809	-5.509	0.616	73.57	-5.501	80.0
C00123	L-Leucine	-3.322	1.939	0.383	13.835	-2.407	50.0
C00124	D-Galactose	6.098	-7.973	0.273	319.752	-6.446	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	5.392	3.459	0.642	52.987	5.087	70.0
C05749	Hexanoyl-[acp]	7.229	5.768	0.798	204.512	7.35	90.0
C05748	trans-Hex-2-enoyl-[acp]	-5.7	-3.0	0.154	59.984	-3.207	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.484	-4.615	0.137	203.528	-4.8	80.0
C05746	3-Oxohexanoyl-[acp]	6.34	-4.585	0.296	105.009	-4.959	80.0
C05745	Butyryl-[acp]	7.229	5.768	0.798	204.512	7.35	90.0
C05744	Acetoacetyl-[acp]	6.074	-6.69	0.652	170.619	-6.799	90.0
C03150	Nicotinamide-beta-riboside	7.304	3.087	0.423	166.521	6.137	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.752	-4.219	0.173	126.407	-4.449	70.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-7.071	-4.402	0.157	155.598	-4.613	70.0
C00199	D-Ribulose_5-phosphate	-4.418	-4.783	0.776	48.908	-5.247	80.0
C00053	3'-Phosphoadenylyl_sulfate	7.615	2.202	0.289	200.641	5.858	80.0
C02659	Acetone_cyanohydrin	-7.435	-7.14	0.815	314.088	-8.0	90.0
C00197	3-Phospho-D-glycerate	6.427	5.64	0.878	135.91	6.898	80.0
C03785	D-Tagatose_1,6-bisphosphate	-8.022	-4.807	0.108	287.927	-4.955	80.0
C02714	N-Acetylputrescine	-6.615	-3.585	0.122	110.02	-3.752	60.0
C01051	Uroporphyrinogen_III	-6.585	-3.585	0.125	108.003	-3.755	60.0
C01050	UDP-N-acetylmuramate	5.64	3.123	0.554	58.579	5.02	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.0	-2.663	0.099	70.333	-2.799	50.0
C00206	dADP	4.018	2.874	0.715	23.532	4.073	60.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-3.7	-5.555	0.276	60.009	-4.052	70.0
