compound_code	compound_name	parabacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.561	-1.0	0.169	13.802	-1.226	70.0
C00842	dTDP-glucose	-5.322	-1.585	0.0	0.0	0.0	50.0
C00015	UDP	-8.186	-0.585	0.0	0.0	0.0	50.0
C06142	1-Butanol	-8.651	-4.392	0.0	0.0	0.0	50.0
C03546	myo-Inositol_4-phosphate	7.476	4.17	0.558	196.034	6.773	70.0
C06715	3-Oxopimeloyl-CoA	2.0	2.585	0.774	10.0	2.952	60.0
C16237	Protein_N6-(lipoyl)lysine	2.888	-7.977	0.029	259.354	-2.93	80.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	11.461	7.055	0.616	2952.037	10.827	90.0
C00445	5,10-Methenyltetrahydrofolate	7.106	-2.644	0.045	144.009	-2.708	70.0
C01762	Xanthosine	9.618	5.387	0.56	827.635	8.857	90.0
C00441	L-Aspartate_4-semialdehyde	7.639	3.611	0.473	211.546	6.644	70.0
C00526	Deoxyuridine	8.582	5.91	0.689	443.342	8.254	80.0
C00527	Glutaryl-CoA	-2.0	-2.585	0.0	0.0	0.0	50.0
C00448	trans,trans-Farnesyl_diphosphate	-6.129	2.807	0.1	76.985	-2.944	80.0
C16221	(2E)-Octadecenoyl-[acp]	9.106	-3.459	0.02	562.032	-3.488	80.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-10.822	-7.055	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-6.366	-2.807	0.0	0.0	0.0	50.0
C05400	Epimelibiose	9.18	6.954	0.758	704.02	9.059	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	9.18	6.954	0.758	704.02	9.059	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	9.18	6.687	0.728	683.072	8.959	90.0
C03939	Acetyl-[acyl-carrier_protein]	-8.948	-2.515	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	11.736	7.788	0.664	3632.064	11.235	90.0
C00627	Pyridoxine_phosphate	-7.864	-8.055	0.0	0.0	0.0	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-5.157	1.874	0.103	39.344	-2.015	70.0
C01228	Guanosine_3',5'-bis(diphosphate)	-3.0	-4.755	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-8.858	2.907	0.016	471.507	-2.93	80.0
C01345	dITP	-7.977	5.0	0.127	283.951	-5.172	90.0
C01344	dIDP	9.961	5.426	0.545	1039.681	9.146	90.0
C00234	10-Formyltetrahydrofolate	6.811	-1.565	0.026	115.242	-1.603	70.0
C05688	L-Selenocysteine	8.547	4.17	0.488	392.028	7.579	80.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	9.18	6.954	0.758	704.02	9.059	90.0
C00010	CoA	-8.285	4.841	0.092	340.574	-4.968	90.0
C00011	CO2	10.508	3.392	0.323	1466.705	8.887	90.0
C00062	L-Arginine	-5.081	-3.386	0.0	0.0	0.0	50.0
C00014	Ammonia	-7.126	-2.52	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-8.17	-2.807	0.0	0.0	0.0	50.0
C00018	Pyridoxal_phosphate	-1.0	-8.055	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-1.047	-1.0	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-8.913	-5.073	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-6.251	-1.188	0.0	0.0	0.0	50.0
C00155	L-Homocysteine	-8.531	-3.532	0.0	0.0	0.0	50.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-9.109	-3.7	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-6.615	-1.807	0.0	0.0	0.0	50.0
C00424	(S)-Lactaldehyde	-9.649	-1.0	0.0	0.0	0.0	50.0
C04146	all-trans-Octaprenyl_diphosphate	6.476	4.392	0.678	110.012	6.221	70.0
C02336	beta-D-Fructose	8.055	5.555	0.69	312.961	7.754	80.0
C00058	Formate	-6.827	10.263	0.092	1342.306	-6.954	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-9.981	-2.954	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-7.622	3.298	0.05	206.828	-3.368	80.0
C00718	Amylose	-6.384	-4.248	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	3.17	2.585	0.815	15.001	3.613	60.0
C18902	Methylselenic_acid	9.441	6.966	0.738	820.082	9.241	90.0
C03294	N-Formylmethionyl-tRNA	-8.15	-4.459	0.0	0.0	0.0	50.0
C02051	Lipoylprotein	9.4	-7.6	0.287	869.6	-7.964	90.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-9.109	-3.7	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	-8.468	6.78	0.31	463.993	-7.17	90.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	2.0	2.585	0.774	10.0	2.952	60.0
C04246	But-2-enoyl-[acyl-carrier_protein]	7.317	-3.459	0.069	170.451	-3.555	80.0
C04242	5-Fluorodeoxyuridine_monophosphate	-8.271	-3.17	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-8.948	5.459	0.089	537.861	-5.582	90.0
C00407	L-Isoleucine	-6.117	-2.202	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-9.253	-4.087	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-7.815	2.17	0.02	229.69	-2.199	70.0
C03479	Folinic_acid	-9.041	5.0	0.061	558.759	-5.085	90.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-2.0	-2.115	0.0	0.0	0.0	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.901	-3.17	0.0	0.0	0.0	50.0
C00583	Propane-1,2-diol	9.649	1.0	0.104	804.857	6.382	70.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-7.337	-3.27	0.0	0.0	0.0	50.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-2.0	-2.585	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-11.182	-11.618	0.0	0.0	0.0	50.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	4.322	-3.17	0.45	29.001	-3.706	80.0
C00279	D-Erythrose_4-phosphate	-9.449	11.531	0.236	3658.145	-9.755	90.0
C01801	Deoxyribose	1.585	6.285	0.252	80.978	4.352	60.0
C00275	D-Mannose_6-phosphate	-7.168	-9.446	0.0	0.0	0.0	50.0
C05465	Taurochenodeoxycholate	7.762	6.907	0.89	337.077	8.229	80.0
C13638	1-(4'-Hydroxyphenyl)ethanol	8.651	4.392	0.508	422.981	7.746	80.0
C00900	2-Acetolactate	9.054	3.585	0.396	543.528	7.75	80.0
C02218	Dehydroalanine	-8.718	-3.907	0.0	0.0	0.0	50.0
C00294	Inosine	9.618	5.146	0.535	821.198	8.779	90.0
C05699	L-Selenocystathionine	9.486	3.755	0.396	730.586	8.176	80.0
C05698	Selenohomocysteine	-8.945	-3.755	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-8.416	-9.036	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-8.551	-2.322	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-8.342	6.155	0.22	395.742	-6.441	90.0
C00299	Uridine	7.183	4.315	0.601	165.215	6.633	70.0
C05399	Melibiitol	9.18	6.954	0.758	704.02	9.059	90.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	5.524	-3.807	0.304	60.011	-4.19	80.0
C11736	5-Fluorodeoxyuridine	8.271	3.17	0.383	317.901	6.929	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.585	-3.807	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	8.119	3.585	0.442	290.012	7.001	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-6.304	1.585	0.038	82.012	-1.639	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	3.644	-5.322	0.313	52.503	-4.036	80.0
C00993	D-Alanyl-D-alanine	-8.508	-8.214	0.0	0.0	0.0	50.0
C01278	2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate	4.459	3.907	0.876	36.995	5.019	70.0
C00120	Biotin	7.542	3.17	0.42	195.367	6.36	70.0
C00121	D-Ribose	1.585	6.285	0.252	80.978	4.352	60.0
C00122	Fumarate	-9.624	-2.852	0.0	0.0	0.0	50.0
C00123	L-Leucine	6.632	-1.222	0.024	101.514	-1.256	70.0
C00124	D-Galactose	9.79	-6.262	0.087	962.031	-6.382	90.0
C00129	Isopentenyl_diphosphate	5.913	-1.72	0.055	63.549	-1.797	70.0
C05749	Hexanoyl-[acp]	8.667	-2.322	0.012	411.469	-2.34	70.0
C05748	trans-Hex-2-enoyl-[acp]	7.317	-3.459	0.069	170.451	-3.555	80.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-10.203	-3.322	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	9.263	4.585	0.495	638.386	8.304	80.0
C05745	Butyryl-[acp]	8.667	-2.322	0.012	411.469	-2.34	70.0
C05744	Acetoacetyl-[acp]	8.124	3.82	0.47	293.1	7.107	70.0
C03150	Nicotinamide-beta-riboside	9.618	5.073	0.527	819.451	8.756	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-9.788	-2.678	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-9.981	-2.954	0.0	0.0	0.0	50.0
C00054	Adenosine_3',5'-bisphosphate	-2.585	-5.322	0.0	0.0	0.0	50.0
C00725	Lipoate	1.0	7.977	0.125	253.951	4.993	70.0
C00199	D-Ribulose_5-phosphate	-7.103	-5.339	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	9.963	-7.88	0.236	1233.64	-8.186	90.0
C03785	D-Tagatose_1,6-bisphosphate	-9.329	-7.706	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	-5.664	-4.692	0.0	0.0	0.0	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.415	0.585	0.563	4.167	-1.229	70.0
C00206	dADP	7.905	-6.353	0.341	321.427	-6.776	90.0
C03539	S-Ribosyl-L-homocysteine	-5.931	5.585	0.787	109.012	-6.422	90.0
C06010	(S)-2-Acetolactate	8.057	1.678	0.208	269.517	5.811	70.0
