compound_code	compound_name	turicibacter_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00275	D-Mannose_6-phosphate	-4.115	4.682	0.675	42.997	-4.859	90.0
C02474	Arabinan	6.629	4.755	0.717	125.978	6.498	90.0
C00900	2-Acetolactate	-2.585	5.687	0.116	57.518	-2.744	60.0
C00475	Cytidine	-1.826	1.0	0.564	5.546	-1.645	50.0
C12215	Iminoerythrose_4-phosphate	-2.322	-6.524	0.054	97.028	-2.398	50.0
C12214	Aminofructose_6-phosphate	2.322	6.524	0.356	97.028	5.11	90.0
C00294	Inosine	1.0	3.0	0.333	10.0	1.737	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-1.0	-3.755	0.148	15.501	-1.199	50.0
C05698	Selenohomocysteine	2.807	3.0	0.936	14.998	3.811	80.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	-0.341	3.369	0.123	11.598	-0.508	60.0
C00352	D-Glucosamine_6-phosphate	1.848	4.524	0.408	26.607	3.442	80.0
C05399	Melibiitol	3.7	2.322	0.628	17.996	3.497	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.0	-1.585	0.188	19.0	-1.833	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-4.0	-2.807	0.437	22.998	-3.33	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	3.907	-2.322	0.333	20.001	-2.737	60.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	3.585	-1.0	0.167	14.0	-1.222	50.0
C00122	Fumarate	-0.766	-5.509	0.037	47.239	-0.819	60.0
C00123	L-Leucine	1.737	1.939	0.896	7.168	2.683	70.0
C00124	D-Galactose	2.907	-7.973	0.03	258.754	-2.949	60.0
C05749	Hexanoyl-[acp]	4.17	5.768	0.723	72.494	5.712	90.0
C05748	trans-Hex-2-enoyl-[acp]	-4.087	-3.0	0.471	24.995	-3.557	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	3.322	-4.615	0.408	34.505	-3.816	80.0
C05746	3-Oxohexanoyl-[acp]	-3.459	-4.585	0.458	34.997	-4.003	80.0
C05745	Butyryl-[acp]	4.17	5.768	0.723	72.494	5.712	90.0
C05744	Acetoacetyl-[acp]	-2.807	-6.69	0.068	110.248	-2.902	60.0
C03150	Nicotinamide-beta-riboside	1.0	3.087	0.324	10.497	1.766	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	2.678	-4.219	0.344	25.023	-3.104	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	2.954	-4.402	0.367	28.89	-3.405	70.0
C00199	D-Ribulose_5-phosphate	1.659	-4.783	0.115	30.689	-1.816	50.0
C02659	Acetone_cyanohydrin	-4.672	-7.14	0.181	166.536	-4.912	90.0
C00197	3-Phospho-D-glycerate	5.743	5.64	0.982	103.423	6.666	90.0
C00058	Formate	-0.807	2.392	0.333	6.998	-1.222	50.0
C00011	CO2	2.322	6.457	0.36	92.852	5.061	80.0
C01050	UDP-N-acetylmuramate	3.496	3.123	0.893	19.994	4.159	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	-2.663	0.316	8.333	-1.396	50.0
C00206	dADP	2.237	2.874	0.778	12.045	3.229	70.0
C03539	S-Ribosyl-L-homocysteine	-4.17	-2.0	0.222	22.001	-2.289	50.0
C06010	(S)-2-Acetolactate	-1.807	4.714	0.133	29.745	-1.988	50.0
