compound_code	compound_name	butyrivibrio_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C01094	D-Fructose_1-phosphate	10.353	6.672	0.644	1409.837	9.827	90.0
C01721	L-Fuculose	-7.15	-2.322	0.035	147.025	-2.372	50.0
C01092	8-Amino-7-oxononanoate	2.807	-4.755	0.259	34.0	-3.139	60.0
C00068	Thiamin_diphosphate	4.777	2.528	0.529	33.185	4.134	70.0
C00342	Thioredoxin	9.0	2.138	0.238	516.402	6.939	80.0
C00343	Thioredoxin_disulfide	-9.0	-2.907	0.015	519.501	-2.928	60.0
C00344	Phosphatidylglycerol	7.87	2.585	0.328	239.941	6.3	80.0
C05684	Selenite	7.547	3.7	0.49	200.01	6.616	80.0
C00063	CTP	9.067	7.542	0.832	722.705	9.232	90.0
C00062	L-Arginine	-5.044	-3.879	0.446	47.704	-4.411	80.0
C00065	L-Serine	-7.009	-2.452	0.042	134.273	-2.512	50.0
C00064	L-Glutamine	-7.294	2.563	0.038	162.842	-2.616	50.0
C00066	tRNA	6.943	3.459	0.498	134.038	6.061	70.0
C16633	5-Fluorouridine	7.577	3.907	0.516	205.944	6.731	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.963	2.338	0.59	20.651	3.607	60.0
C16635	5'-Deoxy-5-fluorocytidine	7.672	3.322	0.433	213.94	6.534	80.0
C16634	5-Fluorouridine_monophosphate	-8.464	-4.248	0.054	372.117	-4.324	80.0
C19673	Malonyl-[acp]_methyl_ester	8.693	6.19	0.712	486.869	8.437	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	6.925	3.0	0.433	129.516	5.81	70.0
C00668	alpha-D-Glucose_6-phosphate	8.772	-5.066	0.077	470.653	-5.173	80.0
C00666	LL-2,6-Diaminoheptanedioate	7.073	1.817	0.257	138.167	5.15	70.0
C02163	L-Arginyl-tRNA(Arg)	-7.435	-2.807	0.04	180.043	-2.864	60.0
C00114	Choline	-8.281	-3.7	0.042	324.045	-3.759	70.0
C00117	D-Ribose_5-phosphate	-10.034	-4.759	0.026	1075.496	-4.796	80.0
C00116	Glycerol	7.061	-2.322	0.037	138.528	-2.375	50.0
C00111	Glycerone_phosphate	-6.386	-3.899	0.178	98.551	-4.136	70.0
C02380	6-Mercaptopurine	7.864	5.044	0.641	265.961	7.414	80.0
C00112	CDP	-7.547	-2.824	0.038	194.095	-2.878	60.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-7.049	-2.678	0.048	138.822	-2.746	50.0
C00118	D-Glyceraldehyde_3-phosphate	5.968	5.338	0.894	103.044	6.526	80.0
C03492	D-4'-Phosphopantothenate	-6.721	1.0	0.019	107.493	-1.027	60.0
C05750	3-Oxooctanoyl-[acp]	-2.0	-4.373	0.193	24.721	-2.255	50.0
C05751	trans-Oct-2-enoyl-[acp]	6.15	-3.0	0.113	79.012	-3.154	60.0
C05752	Octanoyl-[acp]	5.907	5.362	0.908	101.131	6.52	80.0
C05753	3-Oxodecanoyl-[acp]	-2.0	-4.373	0.193	24.721	-2.255	50.0
C05754	trans-Dec-2-enoyl-[acp]	6.15	-3.0	0.113	79.012	-3.154	60.0
C05755	Decanoyl-[acp]	5.907	5.768	0.976	114.498	6.805	80.0
C05756	3-Oxododecanoyl-[acp]	-2.322	-4.585	0.208	29.001	-2.595	50.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.977	-4.615	0.195	150.48	-4.871	80.0
C05758	trans-Dodec-2-enoyl-[acp]	6.15	-3.0	0.113	79.012	-3.154	60.0
C05759	3-Oxotetradecanoyl-[acp]	-2.322	-4.585	0.208	29.001	-2.595	50.0
C00188	L-Threonine	-3.577	3.437	0.908	22.764	-4.369	80.0
C00189	Ethanolamine	-8.281	-3.7	0.042	324.045	-3.759	70.0
C02702	L-Prolyl-tRNA(Pro)	-8.371	-4.0	0.048	347.072	-4.068	70.0
C00185	Cellobiose	9.931	7.14	0.719	1117.222	9.65	90.0
C00183	L-Valine	6.986	-1.222	0.018	129.097	-1.248	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.322	-1.415	0.267	12.667	-1.756	50.0
C00181	D-Xylose	-6.883	5.672	0.432	169.014	-6.19	90.0
C00159	D-Mannose	-7.766	-1.585	0.014	220.67	-1.605	50.0
C00158	Citrate	-6.124	0.026	0.015	70.762	-0.047	60.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-5.163	0.263	0.033	37.028	-0.311	60.0
C00842	dTDP-glucose	7.577	-2.0	0.021	194.943	-2.03	50.0
C05980	Cardiolipin	-7.87	-2.585	0.026	239.941	-2.622	50.0
C00459	dTTP	7.798	-3.051	0.037	230.84	-3.104	60.0
C02291	L-Cystathionine	7.131	3.585	0.503	152.167	6.257	70.0
C03546	myo-Inositol_4-phosphate	7.285	6.858	0.941	271.958	8.0	90.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-3.0	-3.0	1.0	16.0	-4.0	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-4.121	-1.553	0.169	20.334	-1.778	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	7.055	10.522	0.67	1603.381	10.07	90.0
C00445	5,10-Methenyltetrahydrofolate	6.371	2.165	0.34	87.253	4.89	70.0
C01762	Xanthosine	7.676	2.954	0.385	212.255	6.352	80.0
C00441	L-Aspartate_4-semialdehyde	6.524	1.959	0.3	95.916	4.848	70.0
C00440	5-Methyltetrahydrofolate	4.755	2.291	0.482	31.896	3.942	70.0
C00526	Deoxyuridine	-5.958	-2.678	0.103	68.563	-2.819	60.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-6.331	3.426	0.134	91.253	-3.607	70.0
C00522	(R)-Pantoate	2.807	1.138	0.405	9.199	1.899	60.0
C00448	trans,trans-Farnesyl_diphosphate	-2.7	-3.406	0.613	17.098	-3.39	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-4.322	2.807	0.35	26.999	-3.24	60.0
C16221	(2E)-Octadecenoyl-[acp]	6.15	4.615	0.75	95.517	6.163	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.476	-9.937	0.091	1069.262	-6.601	90.0
C04133	N-Acetyl-L-glutamate_5-phosphate	5.443	-0.874	0.042	45.334	-0.934	60.0
C03838	5'-Phosphoribosylglycinamide	5.858	-1.322	0.043	60.501	-1.383	50.0
C05400	Epimelibiose	8.028	2.322	0.289	266.017	6.266	70.0
C03722	Quinolinate	-3.7	3.907	0.866	27.997	-4.6	80.0
C05402	Melibiose	4.907	1.585	0.323	33.002	3.414	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.459	2.322	0.359	92.974	5.063	70.0
C03939	Acetyl-[acyl-carrier_protein]	3.259	-7.528	0.052	194.14	-3.332	60.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-10.148	-5.492	0.04	1179.63	-5.548	90.0
C00627	Pyridoxine_phosphate	-6.17	-2.0	0.056	76.004	-2.078	50.0
C05335	L-Selenomethionine	6.409	4.459	0.696	106.97	6.218	70.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-6.873	-3.322	0.085	127.214	-3.44	70.0
C00624	N-Acetyl-L-glutamate	2.0	3.0	0.667	12.0	3.0	60.0
C01228	Guanosine_3',5'-bis(diphosphate)	-7.276	-1.0	0.013	156.987	-1.018	60.0
C00239	dCMP	-6.322	-1.0	0.025	82.004	-1.036	50.0
C00231	D-Xylulose_5-phosphate	-9.179	-5.032	0.056	612.352	-5.111	80.0
C01345	dITP	6.022	-3.322	0.154	74.984	-3.529	70.0
C00233	4-Methyl-2-oxopentanoate	6.842	-2.983	0.069	122.628	-3.079	60.0
C00234	10-Formyltetrahydrofolate	6.413	-0.339	0.015	86.478	-0.36	60.0
C00235	Dimethylallyl_diphosphate	-8.912	2.202	0.01	486.304	-2.216	50.0
C01613	Stachyose	7.858	1.585	0.202	235.003	5.567	70.0
C00010	CoA	-8.521	-1.0	0.005	369.347	-1.008	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.006	-3.585	0.047	269.067	-3.651	70.0
C00014	Ammonia	-4.607	-4.471	0.91	46.547	-5.405	90.0
C00015	UDP	-6.366	-3.0	0.097	90.482	-3.134	60.0
C00018	Pyridoxal_phosphate	-5.562	-0.485	0.03	48.642	-0.527	60.0
C00019	S-Adenosyl-L-methionine	-8.062	5.5	0.169	312.496	-5.726	90.0
C00153	Nicotinamide	-7.791	-3.524	0.052	232.978	-3.597	70.0
C00152	L-Asparagine	-7.197	3.218	0.063	156.033	-3.307	60.0
C00155	L-Homocysteine	-5.299	2.592	0.153	45.399	-2.798	50.0
C00154	Palmitoyl-CoA	-9.257	-5.129	0.057	646.829	-5.209	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	9.192	-2.807	0.012	591.88	-2.824	60.0
C02876	Propanoyl_phosphate	-2.115	2.807	0.619	11.33	-2.81	60.0
C00424	(S)-Lactaldehyde	-8.195	-2.7	0.022	299.547	-2.732	50.0
C02336	beta-D-Fructose	8.261	2.17	0.263	311.267	6.353	80.0
C00058	Formate	9.999	2.392	0.239	1028.539	7.943	90.0
C02218	Dehydroalanine	-5.087	-2.807	0.206	40.987	-3.077	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-6.566	-4.402	0.223	115.888	-4.693	80.0
C00655	Xanthosine_5'-phosphate	-7.212	-3.575	0.08	160.179	-3.687	70.0
C00718	Amylose	-8.51	-3.524	0.032	376.06	-3.569	70.0
C00714	Pectin	7.451	3.459	0.464	185.971	6.432	80.0
C02554	L-Valyl-tRNA(Val)	-8.443	-4.17	0.052	366.015	-4.243	70.0
C00760	Cellulose	9.347	6.15	0.658	722.232	8.892	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-6.96	-1.322	0.02	127.0	-1.351	50.0
C01127	4-Hydroxy-2-oxoglutarate	9.937	5.248	0.528	1018.248	9.071	90.0
C03506	Indoleglycerol_phosphate	7.634	3.841	0.503	212.969	6.744	80.0
C05143	Dhurrin	9.95	7.14	0.718	1130.163	9.664	90.0
C18902	Methylselenic_acid	7.547	3.7	0.49	200.01	6.616	80.0
C03294	N-Formylmethionyl-tRNA	-8.098	-1.585	0.011	276.994	-1.601	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.472	-4.615	0.069	379.585	-4.711	80.0
C00979	O-Acetyl-L-serine	-6.877	1.474	0.024	120.317	-1.508	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	6.15	-3.0	0.113	79.012	-3.154	60.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.2	-3.322	0.034	304.067	-3.37	60.0
C01019	6-Deoxy-L-galactose	5.544	2.322	0.419	51.657	4.435	70.0
C03373	Aminoimidazole_ribotide	-8.308	-4.982	0.1	348.529	-5.119	80.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.943	-3.459	0.089	134.038	-3.582	70.0
C01151	D-Ribose_1,5-bisphosphate	-4.248	-5.755	0.352	73.005	-4.683	80.0
C06056	4-Hydroxy-L-threonine	-8.124	-1.585	0.011	281.977	-1.6	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.663	-3.985	0.2	19.001	-1.926	50.0
C03479	Folinic_acid	7.615	-2.907	0.038	203.54	-2.961	60.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.401	-1.0	0.012	171.014	-1.017	60.0
C00582	Phenylacetyl-CoA	-9.246	-4.392	0.035	628.184	-4.441	80.0
C00583	Propane-1,2-diol	8.82	3.585	0.406	463.944	7.559	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-2.972	-0.737	0.212	9.513	-1.015	60.0
C00577	D-Glyceraldehyde	-10.943	-6.672	0.052	2070.632	-6.745	90.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	1.0	-1.0	1.0	4.0	-2.0	50.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	-2.0	4.7	0.154	29.992	-2.207	50.0
C00279	D-Erythrose_4-phosphate	-9.739	5.33	0.047	894.762	-5.396	90.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	5.755	-3.907	0.278	69.005	-4.261	70.0
C02474	Arabinan	9.317	4.755	0.51	664.82	8.406	90.0
C00900	2-Acetolactate	9.809	5.687	0.58	948.54	9.103	90.0
C00475	Cytidine	5.0	1.0	0.2	34.0	2.766	60.0
C12215	Iminoerythrose_4-phosphate	-11.438	-6.524	0.033	2866.505	-6.571	90.0
C12214	Aminofructose_6-phosphate	11.438	6.524	0.57	2866.505	10.675	90.0
C00470	Pectate	-7.451	-3.459	0.063	185.971	-3.547	70.0
C00294	Inosine	7.715	3.0	0.389	218.11	6.406	80.0
C05697	Selenate	5.17	3.585	0.693	48.002	5.057	70.0
C05699	L-Selenocystathionine	7.451	3.585	0.481	186.975	6.491	80.0
C05698	Selenohomocysteine	4.7	3.0	0.638	33.992	4.439	70.0
C00354	D-Fructose_1,6-bisphosphate	-8.26	-2.939	0.025	314.223	-2.975	60.0
C00353	Geranylgeranyl_diphosphate	-7.672	-4.392	0.103	224.935	-4.533	80.0
C00352	D-Glucosamine_6-phosphate	6.436	4.524	0.703	109.589	6.267	80.0
C00299	Uridine	-2.709	-1.158	0.341	8.77	-1.582	50.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-7.486	0.531	0.008	180.716	-0.543	60.0
C05399	Melibiitol	8.028	2.322	0.289	266.017	6.266	70.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.281	-1.585	0.01	314.049	-1.599	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.596	-2.807	0.018	393.947	-2.833	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	7.6	2.322	0.306	199.012	5.926	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.735	-2.322	0.023	218.043	-2.355	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-7.877	-3.755	0.057	248.58	-3.836	70.0
C00993	D-Alanyl-D-alanine	-3.17	-2.807	0.778	15.999	-3.637	70.0
C05382	Sedoheptulose_7-phosphate	-6.078	-2.012	0.06	71.589	-2.096	50.0
C00120	Biotin	6.829	5.261	0.77	152.039	6.872	80.0
C00122	Fumarate	3.879	-5.509	0.323	60.251	-4.283	70.0
C00123	L-Leucine	-4.79	1.939	0.139	31.5	-2.126	50.0
C00124	D-Galactose	7.776	-7.973	0.872	470.438	-8.681	90.0
C00129	Isopentenyl_diphosphate	-8.665	3.322	0.025	415.906	-3.357	60.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-5.954	3.459	0.177	72.988	-3.695	70.0
C05749	Hexanoyl-[acp]	5.907	5.768	0.976	114.498	6.805	80.0
C05748	trans-Hex-2-enoyl-[acp]	6.15	-3.0	0.113	79.012	-3.154	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.977	-4.615	0.195	150.48	-4.871	80.0
C05746	3-Oxohexanoyl-[acp]	-2.322	-4.585	0.208	29.001	-2.595	50.0
C05745	Butyryl-[acp]	5.907	5.768	0.976	114.498	6.805	80.0
C05744	Acetoacetyl-[acp]	2.459	-6.69	0.053	108.748	-2.534	50.0
C03150	Nicotinamide-beta-riboside	7.676	3.087	0.402	213.003	6.421	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.248	-4.219	0.245	94.627	-4.535	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-6.566	-4.402	0.223	115.888	-4.693	80.0
C00055	CMP	-5.764	-1.693	0.059	57.575	-1.776	50.0
C00199	D-Ribulose_5-phosphate	-6.01	-4.783	0.427	91.976	-5.296	80.0
C00053	3'-Phosphoadenylyl_sulfate	-3.652	2.202	0.366	17.172	-2.652	50.0
C02659	Acetone_cyanohydrin	-9.95	-7.14	0.143	1130.163	-7.332	90.0
C00197	3-Phospho-D-glycerate	6.624	5.64	0.851	148.5	6.982	80.0
C00191	D-Glucuronate	9.187	4.6	0.501	607.109	8.248	90.0
C02714	N-Acetylputrescine	-7.055	-3.585	0.09	144.974	-3.71	70.0
C00011	CO2	5.206	6.457	0.806	124.763	6.652	80.0
C01051	Uroporphyrinogen_III	3.624	-3.585	0.973	24.329	-4.566	80.0
C01050	UDP-N-acetylmuramate	-4.994	3.123	0.273	40.579	-3.472	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	6.0	-2.663	0.099	70.333	-2.799	50.0
C00206	dADP	8.904	2.874	0.323	486.37	7.295	80.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-2.807	-5.555	0.149	54.012	-3.007	60.0
C03539	S-Ribosyl-L-homocysteine	5.524	-2.0	0.087	50.014	-2.12	50.0
C06010	(S)-2-Acetolactate	8.811	4.714	0.535	475.379	7.991	90.0
