compound_code	compound_name	butyrivibrio_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C02702	L-Prolyl-tRNA(Pro)	-8.371	-5.0	0.097	363.072	-5.133	80.0
C00184	Glycerone	-6.829	5.92	0.533	174.241	-6.536	90.0
C00183	L-Valine	6.986	-1.585	0.024	129.764	-1.619	50.0
C00180	Benzoate	-6.714	-3.858	0.138	119.482	-4.045	60.0
C00159	D-Mannose	-7.766	9.289	0.348	843.228	-8.197	90.0
C04216	all-trans-Heptaprenyl_diphosphate	-7.366	-5.087	0.206	198.952	-5.357	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.006	-5.209	0.144	294.055	-5.403	80.0
C06548	Ethylene_oxide	4.858	4.392	0.904	49.996	5.498	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-5.163	-1.0	0.056	37.828	-1.078	60.0
C00842	dTDP-glucose	7.577	-1.585	0.016	193.943	-1.607	50.0
C01168	Pseudouridine_5'-phosphate	-7.109	-5.0	0.232	170.045	-5.301	80.0
C06142	1-Butanol	-4.858	-4.392	0.724	49.996	-5.178	80.0
C02291	L-Cystathionine	7.131	3.755	0.527	153.668	6.338	70.0
C05823	3-Mercaptolactate	-7.877	-9.763	0.271	1103.951	-8.222	90.0
C03546	myo-Inositol_4-phosphate	7.285	4.17	0.572	173.957	6.638	80.0
C06715	3-Oxopimeloyl-CoA	4.7	2.585	0.55	31.992	4.137	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	7.055	7.055	1.0	265.948	8.055	90.0
C00446	alpha-D-Galactose_1-phosphate	2.888	1.379	0.477	10.003	2.256	60.0
C00445	5,10-Methenyltetrahydrofolate	6.371	-2.644	0.076	89.019	-2.749	50.0
C01762	Xanthosine	7.676	5.387	0.702	246.352	7.434	80.0
C00441	L-Aspartate_4-semialdehyde	6.524	3.611	0.553	104.246	5.85	70.0
C00526	Deoxyuridine	-5.958	5.91	0.967	122.293	-6.886	90.0
C00527	Glutaryl-CoA	-4.7	-2.585	0.231	31.992	-2.885	50.0
C00448	trans,trans-Farnesyl_diphosphate	-2.7	2.807	0.929	13.496	-3.647	60.0
C16221	(2E)-Octadecenoyl-[acp]	6.15	-3.459	0.155	82.009	-3.667	60.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.476	-7.055	0.669	221.99	-7.215	90.0
C03838	5'-Phosphoribosylglycinamide	5.858	-2.807	0.121	64.999	-2.971	50.0
C05400	Epimelibiose	8.028	6.954	0.866	385.0	8.382	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	8.028	6.954	0.866	385.0	8.382	90.0
C05402	Melibiose	4.907	5.7	0.861	81.986	6.141	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.459	6.687	0.966	191.009	7.527	90.0
C03939	Acetyl-[acyl-carrier_protein]	3.259	-2.515	0.597	15.289	-3.19	50.0
C00620	alpha-D-Ribose_1-phosphate	9.72	7.788	0.801	1064.372	9.736	90.0
C00627	Pyridoxine_phosphate	-6.17	-8.055	0.271	337.952	-6.516	90.0
C00459	dTTP	7.798	-4.392	0.094	243.548	-4.522	70.0
C01228	Guanosine_3',5'-bis(diphosphate)	-7.276	-4.755	0.174	181.989	-4.987	70.0
C00231	D-Xylulose_5-phosphate	-9.179	2.907	0.013	587.135	-2.926	50.0
C01345	dITP	6.022	5.0	0.83	96.983	6.331	70.0
C00234	10-Formyltetrahydrofolate	6.413	-1.565	0.035	88.172	-1.614	50.0
C00235	Dimethylallyl_diphosphate	-8.912	-1.571	0.006	484.674	-1.58	60.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	8.028	6.954	0.866	385.0	8.382	90.0
C00010	CoA	-8.521	4.841	0.078	396.008	-4.949	70.0
C05984	2-Hydroxybutanoic_acid	7.877	9.763	0.807	1103.951	9.799	90.0
C00014	Ammonia	-4.607	-2.52	0.235	30.105	-2.825	50.0
C00015	UDP	-6.366	-0.585	0.018	83.982	-0.611	60.0
C00018	Pyridoxal_phosphate	-5.562	-8.055	0.178	313.19	-5.798	80.0
C00019	S-Adenosyl-L-methionine	-8.062	-1.0	0.007	269.241	-1.011	60.0
C00153	Nicotinamide	-7.791	-5.073	0.152	255.136	-5.277	80.0
C00152	L-Asparagine	-7.197	-1.188	0.016	149.006	-1.21	60.0
C00155	L-Homocysteine	-5.299	-3.532	0.294	50.937	-3.904	60.0
C02876	Propanoyl_phosphate	-2.115	-1.807	0.808	7.831	-2.661	50.0
C00424	(S)-Lactaldehyde	-8.195	-1.0	0.007	295.049	-1.01	60.0
C02336	beta-D-Fructose	8.261	5.555	0.672	353.781	7.894	90.0
C03785	D-Tagatose_1,6-bisphosphate	-11.489	-7.706	0.073	3083.113	-7.807	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-6.566	-2.954	0.082	102.495	-3.067	50.0
C00655	Xanthosine_5'-phosphate	-7.212	3.298	0.066	158.097	-3.391	50.0
C00301	ADP-ribose	8.234	4.7	0.571	327.071	7.545	90.0
C00718	Amylose	-8.51	-4.248	0.052	383.558	-4.321	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-5.954	2.585	0.097	67.992	-2.718	50.0
C06188	Salicin_6-phosphate	3.459	8.103	0.427	285.942	6.931	80.0
C06187	Arbutin_6-phosphate	1.585	-5.044	0.091	35.991	-1.711	50.0
C18902	Methylselenic_acid	7.547	6.966	0.923	312.032	8.17	90.0
C03294	N-Formylmethionyl-tRNA	-8.098	-4.459	0.08	295.987	-4.57	70.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.472	-3.7	0.037	368.076	-3.752	60.0
C06755	Chloroacetic_acid	6.728	5.209	0.774	142.994	6.791	80.0
C00979	O-Acetyl-L-serine	-6.877	6.78	0.935	227.436	-7.732	90.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	4.7	2.585	0.55	31.992	4.137	60.0
C04246	But-2-enoyl-[acyl-carrier_protein]	6.15	-3.459	0.155	82.009	-3.667	60.0
C04242	5-Fluorodeoxyuridine_monophosphate	-6.087	-3.17	0.132	76.979	-3.349	50.0
C03373	Aminoimidazole_ribotide	-8.308	5.459	0.139	360.912	-5.647	80.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.943	-2.585	0.049	129.042	-2.654	50.0
C06056	4-Hydroxy-L-threonine	-8.124	-4.087	0.061	295.971	-4.172	70.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.663	2.17	0.704	7.667	-2.432	50.0
C03479	Folinic_acid	7.615	5.0	0.657	228.039	7.226	80.0
C01412	Butanal	4.858	6.216	0.782	103.337	6.336	70.0
C06113	L-Aspartyl-tRNA(Asn)	-6.725	-4.03	0.154	122.122	-4.237	70.0
C06112	L-Glutamyl-tRNA(Gln)	-7.136	4.353	0.145	161.089	-4.549	70.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.401	-3.17	0.053	178.015	-3.245	50.0
C00583	Propane-1,2-diol	8.82	1.0	0.113	453.944	5.686	70.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-2.972	-3.27	0.813	17.493	-3.831	60.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-4.7	-2.585	0.231	31.992	-2.885	50.0
C00577	D-Glyceraldehyde	-10.943	-11.618	0.626	5111.822	-11.645	90.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	1.0	-3.17	0.222	11.0	-1.289	60.0
C00279	D-Erythrose_4-phosphate	-9.739	11.531	0.289	3813.755	-10.105	90.0
C00270	N-Acetylneuraminate	7.786	4.907	0.63	250.711	7.304	80.0
C00900	2-Acetolactate	9.809	3.585	0.365	909.023	8.376	90.0
C02218	Dehydroalanine	-5.087	-3.907	0.441	48.99	-4.434	70.0
C00294	Inosine	7.715	5.146	0.667	245.518	7.355	80.0
C05699	L-Selenocystathionine	7.451	3.755	0.504	188.475	6.57	80.0
C05698	Selenohomocysteine	4.7	-3.755	0.519	39.493	-4.359	70.0
C00354	D-Fructose_1,6-bisphosphate	-8.26	-9.036	0.584	831.491	-8.924	90.0
C00353	Geranylgeranyl_diphosphate	-7.672	-2.322	0.025	208.94	-2.357	50.0
C00352	D-Glucosamine_6-phosphate	6.436	6.155	0.956	157.841	7.238	80.0
C00299	Uridine	-2.709	4.315	0.329	26.443	-3.119	50.0
C05399	Melibiitol	8.028	6.954	0.866	385.0	8.382	90.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.281	-3.807	0.045	325.046	-3.87	60.0
C11736	5-Fluorodeoxyuridine	6.087	3.17	0.521	76.979	5.325	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.596	-3.807	0.036	400.946	-3.858	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	7.6	3.585	0.472	206.012	6.603	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.735	1.585	0.205	216.043	5.468	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-7.877	-5.322	0.17	275.081	-5.549	80.0
C00993	D-Alanyl-D-alanine	-3.17	-8.214	0.03	305.935	-3.213	50.0
C00120	Biotin	6.829	3.17	0.464	122.693	5.832	70.0
C00121	D-Ribose	8.752	6.285	0.718	509.114	8.514	90.0
C00122	Fumarate	3.879	-2.852	0.491	21.933	-3.428	50.0
C00123	L-Leucine	-4.79	-1.222	0.084	29.998	-1.339	60.0
C00124	D-Galactose	7.776	-6.262	0.35	295.929	-6.695	90.0
C00129	Isopentenyl_diphosphate	-8.665	-1.72	0.008	409.2	-1.732	50.0
C05749	Hexanoyl-[acp]	5.907	-2.322	0.083	65.005	-2.437	50.0
C05748	trans-Hex-2-enoyl-[acp]	6.15	-3.459	0.155	82.009	-3.667	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.977	-3.322	0.079	135.976	-3.432	50.0
C05746	3-Oxohexanoyl-[acp]	-2.322	4.585	0.208	29.001	-2.595	50.0
C05745	Butyryl-[acp]	5.907	-2.322	0.083	65.005	-2.437	50.0
C05744	Acetoacetyl-[acp]	2.459	3.82	0.644	19.622	3.659	60.0
C03150	Nicotinamide-beta-riboside	7.676	5.073	0.661	238.167	7.298	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.248	-2.678	0.084	82.403	-2.795	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-6.566	-2.954	0.082	102.495	-3.067	50.0
C00054	Adenosine_3',5'-bisphosphate	-8.155	-5.322	0.14	325.038	-5.511	80.0
C00199	D-Ribulose_5-phosphate	-6.01	-5.339	0.628	104.921	-6.042	80.0
C00052	UDP-alpha-D-galactose	5.591	-4.708	0.542	74.338	-5.333	80.0
C00197	3-Phospho-D-glycerate	6.624	-7.88	0.419	334.201	-7.129	90.0
C00058	Formate	9.999	10.263	0.974	2252.061	11.099	90.0
C00011	CO2	5.206	3.392	0.652	47.409	4.949	70.0
C01050	UDP-N-acetylmuramate	-4.994	-4.692	0.811	57.716	-5.549	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	6.0	0.585	0.097	65.5	2.675	60.0
C00206	dADP	8.904	-6.353	0.171	560.781	-6.58	90.0
C03028	Thiamin_triphosphate	-7.34	-5.129	0.216	197.01	-5.411	80.0
C03539	S-Ribosyl-L-homocysteine	5.524	5.585	0.989	94.015	6.539	80.0
C06010	(S)-2-Acetolactate	8.811	1.678	0.19	452.333	6.429	70.0
