compound_code	compound_name	parabacteroides_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C04079	N-((R)-Pantothenoyl)-L-cysteine	8.725	3.907	0.448	438.144	7.616	70.0
C00668	alpha-D-Glucose_6-phosphate	-9.765	5.783	0.063	925.14	-5.872	90.0
C00666	LL-2,6-Diaminoheptanedioate	7.857	-1.716	0.014	235.128	-1.736	50.0
C02163	L-Arginyl-tRNA(Arg)	-9.36	-4.248	0.029	676.115	-4.289	70.0
C00117	D-Ribose_5-phosphate	-9.819	-6.497	0.1	993.583	-6.634	90.0
C00116	Glycerol	-8.132	-6.022	0.232	345.511	-6.323	90.0
C00111	Glycerone_phosphate	-9.192	-4.496	0.039	607.446	-4.551	70.0
C02380	6-Mercaptopurine	9.241	4.858	0.526	634.088	8.381	80.0
C00112	CDP	-8.65	-5.57	0.118	449.212	-5.731	80.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.682	-3.234	0.092	112.088	-3.36	60.0
C00118	D-Glyceraldehyde_3-phosphate	8.074	7.282	0.902	425.106	8.583	80.0
C03492	D-4'-Phosphopantothenate	5.781	-2.322	0.091	59.987	-2.448	50.0
C05750	3-Oxooctanoyl-[acp]	9.041	3.931	0.435	542.012	7.881	80.0
C05751	trans-Oct-2-enoyl-[acp]	7.317	1.585	0.217	162.454	5.137	60.0
C05752	Octanoyl-[acp]	8.592	1.0	0.116	387.878	5.496	60.0
C05753	3-Oxodecanoyl-[acp]	9.041	3.931	0.435	542.012	7.881	80.0
C05754	trans-Dec-2-enoyl-[acp]	7.317	1.585	0.217	162.454	5.137	60.0
C05755	Decanoyl-[acp]	8.667	1.0	0.115	408.469	5.559	60.0
C05756	3-Oxododecanoyl-[acp]	9.263	4.322	0.467	634.386	8.209	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-10.203	-4.524	0.02	1201.723	-4.552	70.0
C05758	trans-Dodec-2-enoyl-[acp]	7.317	1.585	0.217	162.454	5.137	60.0
C05759	3-Oxotetradecanoyl-[acp]	9.263	4.322	0.467	634.386	8.209	80.0
C00235	Dimethylallyl_diphosphate	7.152	-6.423	0.603	228.028	-7.104	90.0
C00249	Hexadecanoic_acid	10.087	3.7	0.367	1100.647	8.657	90.0
C01613	Stachyose	9.18	5.492	0.598	625.041	8.547	80.0
C00188	L-Threonine	5.923	-3.7	0.214	73.67	-3.98	60.0
C02702	L-Prolyl-tRNA(Pro)	-9.34	-5.358	0.063	689.08	-5.447	80.0
C00185	Cellobiose	10.298	-6.768	0.087	1367.931	-6.888	90.0
C00183	L-Valine	-5.915	-0.737	0.028	62.005	-0.776	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-6.369	-2.0	0.048	86.653	-2.068	50.0
C00181	D-Xylose	11.506	5.858	0.509	2966.381	10.561	90.0
C00159	D-Mannose	-9.025	-5.874	0.113	579.597	-6.028	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-9.579	-3.322	0.013	774.833	-3.341	60.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.561	-0.848	0.153	13.602	-1.053	50.0
C00327	L-Citrulline	9.312	5.248	0.564	673.613	8.568	80.0
C00842	dTDP-glucose	-5.322	2.585	0.15	46.002	-2.787	50.0
C00015	UDP	-8.186	-5.037	0.113	324.058	-5.191	80.0
C02291	L-Cystathionine	9.486	7.807	0.823	941.03	9.597	90.0
C03546	myo-Inositol_4-phosphate	7.476	1.0	0.134	180.033	4.59	60.0
C02554	L-Valyl-tRNA(Val)	-9.397	-5.524	0.068	720.199	-5.619	80.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	11.461	5.129	0.448	2854.056	10.319	90.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	8.267	2.585	0.313	314.046	6.618	70.0
C00445	5,10-Methenyltetrahydrofolate	7.106	0.874	0.123	139.591	4.102	60.0
C01762	Xanthosine	9.618	4.087	0.425	802.785	8.414	80.0
C00441	L-Aspartate_4-semialdehyde	7.639	3.852	0.504	213.768	6.752	70.0
C00440	5-Methyltetrahydrofolate	6.644	3.624	0.545	112.339	5.937	70.0
C00526	Deoxyuridine	8.582	-2.874	0.019	390.543	-2.901	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	7.698	2.982	0.387	215.549	6.384	70.0
C00522	(R)-Pantoate	7.924	-1.138	0.009	245.064	-1.151	50.0
C00448	trans,trans-Farnesyl_diphosphate	-6.129	3.644	0.179	82.488	-3.881	60.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	7.531	2.0	0.266	188.951	5.649	60.0
C12739	5'-Deoxy-5-fluorouridine	-8.516	-4.644	0.068	391.079	-4.739	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-10.822	-5.129	0.019	1845.277	-5.157	80.0
C00009	Orthophosphate	-8.827	-3.907	0.033	469.143	-3.954	60.0
C04133	N-Acetyl-L-glutamate_5-phosphate	6.627	1.807	0.273	102.338	4.802	60.0
C03838	5'-Phosphoribosylglycinamide	-6.366	-4.755	0.327	109.484	-5.164	80.0
C05400	Epimelibiose	9.18	6.022	0.656	645.02	8.725	90.0
C03722	Quinolinate	7.889	-3.7	0.055	250.038	-3.777	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	9.18	5.931	0.646	641.048	8.694	90.0
C03939	Acetyl-[acyl-carrier_protein]	-8.948	0.515	0.003	495.303	-0.519	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-9.229	3.17	0.015	609.076	-3.191	60.0
C00627	Pyridoxine_phosphate	-7.864	-4.17	0.077	250.971	-4.277	70.0
C05335	L-Selenomethionine	8.358	3.0	0.359	336.102	6.915	70.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-2.954	-4.459	0.352	29.742	-3.389	60.0
C00624	N-Acetyl-L-glutamate	8.539	-1.0	0.005	373.959	-1.008	50.0
C00785	Urocanate	-7.366	-2.322	0.03	169.963	-2.365	50.0
C00239	dCMP	-7.354	-3.807	0.086	177.593	-3.925	60.0
C00231	D-Xylulose_5-phosphate	-8.858	-5.718	0.113	516.643	-5.873	90.0
C01345	dITP	-7.977	4.17	0.071	269.952	-4.27	70.0
C00233	4-Methyl-2-oxopentanoate	7.451	2.402	0.322	180.26	5.861	70.0
C00234	10-Formyltetrahydrofolate	6.811	-1.338	0.023	114.811	-1.37	50.0
C00063	CTP	9.99	7.129	0.714	1156.899	9.689	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	9.18	6.022	0.656	645.02	8.725	90.0
C00010	CoA	-8.285	-4.087	0.054	328.908	-4.164	70.0
C00011	CO2	10.508	7.565	0.72	1645.569	10.21	90.0
C00062	L-Arginine	-5.081	-1.585	0.089	36.848	-1.708	50.0
C00014	Ammonia	-7.126	-3.378	0.074	150.078	-3.482	60.0
C05980	Cardiolipin	-8.17	-3.807	0.049	302.012	-3.875	60.0
C00018	Pyridoxal_phosphate	-1.0	-4.17	0.111	20.001	-1.152	50.0
C00019	S-Adenosyl-L-methionine	-1.047	-4.982	0.065	33.669	-1.138	50.0
C00153	Nicotinamide	-8.913	-4.459	0.046	504.03	-4.523	70.0
C00152	L-Asparagine	-6.251	1.737	0.044	79.495	-1.799	50.0
C00155	L-Homocysteine	-8.531	-6.156	0.193	441.211	-6.41	90.0
C00154	Palmitoyl-CoA	-10.087	-3.7	0.012	1100.647	-3.717	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-7.629	6.658	0.51	298.936	-7.253	90.0
C02876	Propanoyl_phosphate	-6.615	-5.6	0.495	146.523	-6.18	90.0
C00424	(S)-Lactaldehyde	-9.649	-5.845	0.072	860.338	-5.945	90.0
C02336	beta-D-Fructose	8.055	1.585	0.197	268.948	5.726	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-9.981	-4.129	0.017	1028.099	-4.154	70.0
C00655	Xanthosine_5'-phosphate	-7.622	-4.167	0.091	214.956	-4.293	70.0
C00300	Creatine	-3.459	-1.0	0.182	12.997	-1.241	50.0
C00718	Amylose	-6.384	-4.285	0.233	103.012	-4.588	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	3.17	2.0	0.631	13.0	3.036	60.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-9.246	-6.547	0.154	700.695	-6.754	90.0
C00681	1-Acyl-sn-glycerol_3-phosphate	8.273	2.28	0.276	314.186	6.436	70.0
C01127	4-Hydroxy-2-oxoglutarate	10.006	5.0	0.5	1060.268	9.049	90.0
C03506	Indoleglycerol_phosphate	7.222	4.874	0.675	178.617	6.913	70.0
C05143	Dhurrin	10.551	5.524	0.524	1546.277	9.661	90.0
C18902	Methylselenic_acid	9.441	5.524	0.585	741.077	8.76	90.0
C03294	N-Formylmethionyl-tRNA	-8.15	-5.044	0.116	317.041	-5.203	80.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-9.109	-4.807	0.051	580.175	-4.878	80.0
C00857	Deamino-NAD+	4.773	2.807	0.588	34.339	4.336	60.0
C00979	O-Acetyl-L-serine	-8.468	-2.078	0.012	358.319	-2.095	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	7.317	1.585	0.217	162.454	5.137	60.0
C01019	6-Deoxy-L-galactose	9.683	4.7	0.485	847.995	8.685	90.0
C03375	Norspermidine	-8.566	-4.7	0.069	404.978	-4.796	80.0
C03373	Aminoimidazole_ribotide	-8.948	-4.954	0.063	524.87	-5.042	80.0
C00407	L-Isoleucine	-6.117	2.379	0.075	74.608	-2.483	50.0
C06056	4-Hydroxy-L-threonine	-9.253	-4.954	0.051	641.137	-5.025	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-7.815	-5.943	0.273	286.711	-6.291	90.0
C03479	Folinic_acid	-9.041	4.087	0.032	543.754	-4.133	70.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.901	-3.17	0.038	248.023	-3.223	60.0
C00582	Phenylacetyl-CoA	-3.585	-5.585	0.25	60.002	-3.907	60.0
C00583	Propane-1,2-diol	9.649	6.443	0.668	889.861	9.215	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-7.337	1.105	0.013	163.831	-1.124	50.0
C00577	D-Glyceraldehyde	-11.182	-7.15	0.061	2465.39	-7.236	90.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	4.322	1.0	0.231	22.001	2.348	60.0
C00279	D-Erythrose_4-phosphate	-9.449	-6.779	0.157	808.748	-6.99	90.0
C01801	Deoxyribose	1.585	1.585	1.0	6.0	2.585	60.0
C00275	D-Mannose_6-phosphate	-7.168	3.568	0.082	155.668	-3.682	60.0
C05465	Taurochenodeoxycholate	7.762	3.17	0.408	226.068	6.529	70.0
C02474	Arabinan	10.471	5.781	0.552	1474.322	9.669	90.0
C00900	2-Acetolactate	9.054	4.129	0.456	549.024	7.968	80.0
C00475	Cytidine	6.348	1.189	0.187	83.739	3.971	60.0
C12215	Iminoerythrose_4-phosphate	-10.672	-7.852	0.142	1862.559	-8.043	90.0
C12214	Aminofructose_6-phosphate	10.672	7.852	0.736	1862.559	10.42	90.0
C00294	Inosine	9.618	4.087	0.425	802.785	8.414	80.0
C05699	L-Selenocystathionine	9.486	7.807	0.823	941.03	9.597	90.0
C05698	Selenohomocysteine	-8.945	-7.492	0.365	672.867	-7.941	90.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	5.794	-0.617	0.028	57.018	-0.656	50.0
C00353	Geranylgeranyl_diphosphate	-8.551	-3.807	0.037	389.062	-3.86	60.0
C00352	D-Glucosamine_6-phosphate	-8.342	1.848	0.011	328.083	-1.864	50.0
C00299	Uridine	7.183	-0.304	0.008	146.546	-0.316	50.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-5.695	-4.125	0.337	69.252	-4.544	70.0
C05399	Melibiitol	9.18	6.022	0.656	645.02	8.725	90.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	5.524	-4.907	0.652	76.016	-5.631	80.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.585	-5.044	0.086	417.001	-5.163	80.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	8.119	3.907	0.481	293.012	7.14	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-6.304	4.0	0.203	95.012	-4.266	70.0
C00993	D-Alanyl-D-alanine	-8.508	-4.087	0.047	381.046	-4.153	70.0
C05382	Sedoheptulose_7-phosphate	8.826	-5.655	0.111	504.215	-5.807	80.0
C00120	Biotin	7.542	2.585	0.343	192.367	6.043	70.0
C00121	D-Ribose	1.585	1.585	1.0	6.0	2.585	60.0
C00122	Fumarate	-9.624	1.469	0.004	791.833	-1.474	50.0
C00123	L-Leucine	6.632	-0.737	0.017	100.848	-0.761	50.0
C00124	D-Galactose	9.79	-4.363	0.023	905.864	-4.396	70.0
C00128	CMP-N-acetylneuraminate	-8.91	-1.585	0.006	484.036	-1.594	50.0
C00129	Isopentenyl_diphosphate	5.913	-6.331	0.748	140.759	-6.719	90.0
C05749	Hexanoyl-[acp]	8.667	1.0	0.115	408.469	5.559	60.0
C05748	trans-Hex-2-enoyl-[acp]	7.317	1.585	0.217	162.454	5.137	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-10.203	-4.524	0.02	1201.723	-4.552	70.0
C05746	3-Oxohexanoyl-[acp]	9.263	4.322	0.467	634.386	8.209	80.0
C05745	Butyryl-[acp]	8.667	1.0	0.115	408.469	5.559	60.0
C05744	Acetoacetyl-[acp]	8.124	3.966	0.488	294.604	7.168	70.0
C03150	Nicotinamide-beta-riboside	9.618	4.087	0.425	802.785	8.414	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-9.788	-3.828	0.016	898.261	-3.851	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-9.981	-4.129	0.017	1028.099	-4.154	70.0
C00055	CMP	-7.212	-1.852	0.024	151.871	-1.887	50.0
C00199	D-Ribulose_5-phosphate	-7.103	-4.049	0.12	154.025	-4.213	70.0
C00721	Dextrin	-9.726	-4.322	0.024	866.873	-4.356	70.0
C02659	Acetone_cyanohydrin	-10.551	-5.524	0.031	1546.277	-5.568	80.0
C00197	3-Phospho-D-glycerate	9.963	6.311	0.633	1077.468	9.415	90.0
C03785	D-Tagatose_1,6-bisphosphate	-9.329	-6.943	0.191	766.186	-7.196	90.0
C02714	N-Acetylputrescine	-7.983	-4.392	0.083	273.997	-4.507	70.0
C01050	UDP-N-acetylmuramate	-5.664	-3.793	0.273	64.564	-4.142	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.415	-4.585	0.111	26.667	-1.567	50.0
C00206	dADP	7.905	7.077	0.895	374.703	8.39	80.0
C03539	S-Ribosyl-L-homocysteine	-5.931	1.585	0.049	64.011	-1.654	50.0
C06010	(S)-2-Acetolactate	8.057	3.209	0.398	275.564	6.778	70.0
