compound_code	compound_name	alistipes_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C01024	Hydroxymethylbilane	6.585	-1.585	0.031	99.003	-1.629	70.0
C00921	Dihydropteroate	2.322	7.109	0.327	143.046	5.546	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.248	-6.476	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-6.741	5.858	0.542	164.966	-6.483	90.0
C03722	Quinolinate	-6.109	-3.7	0.0	0.0	0.0	50.0
C03939	Acetyl-[acyl-carrier_protein]	3.051	3.259	0.936	17.861	4.064	60.0
C00620	alpha-D-Ribose_1-phosphate	7.492	9.72	0.771	1023.376	9.624	90.0
C00627	Pyridoxine_phosphate	-6.629	-6.17	0.0	0.0	0.0	50.0
C00459	dTTP	6.964	7.798	0.893	347.398	8.277	80.0
C00231	D-Xylulose_5-phosphate	-5.576	-9.179	0.0	0.0	0.0	50.0
C01345	dITP	7.484	6.022	0.805	244.006	7.617	80.0
C00234	10-Formyltetrahydrofolate	-3.229	6.413	0.11	94.589	-3.38	70.0
C00235	Dimethylallyl_diphosphate	-3.138	-8.912	0.0	0.0	0.0	50.0
C00010	CoA	-6.755	-8.521	0.0	0.0	0.0	50.0
C00011	CO2	7.581	5.206	0.687	228.385	7.293	70.0
C00014	Ammonia	-4.031	-4.607	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-6.426	-7.87	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-4.022	-8.062	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-7.304	-7.791	0.0	0.0	0.0	50.0
C00152	L-Asparagine	6.7	-7.197	0.709	250.696	-7.473	90.0
C00155	L-Homocysteine	-1.379	-5.299	0.0	0.0	0.0	50.0
C00154	Palmitoyl-CoA	-8.651	-9.257	0.0	0.0	0.0	50.0
C00066	tRNA	6.19	6.943	0.892	196.05	7.449	70.0
C02876	Propanoyl_phosphate	-7.238	-2.115	0.0	0.0	0.0	50.0
C00259	L-Arabinose	8.262	-8.098	0.893	580.974	-9.018	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-7.071	-6.566	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-2.773	-7.212	0.0	0.0	0.0	50.0
C00718	Amylose	-2.55	-8.51	0.0	0.0	0.0	50.0
C00714	Pectin	6.919	7.451	0.929	295.986	8.103	80.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	5.392	-5.954	0.677	103.982	-6.138	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-4.977	-6.96	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.561	4.459	0.233	116.412	-4.761	80.0
C01127	4-Hydroxy-2-oxoglutarate	7.827	9.937	0.788	1207.317	9.893	90.0
C05143	Dhurrin	7.435	9.95	0.747	1162.163	9.762	90.0
C18902	Methylselenic_acid	6.943	7.547	0.92	310.055	8.156	80.0
C03294	N-Formylmethionyl-tRNA	-6.229	-8.098	0.0	0.0	0.0	50.0
C03114	Dimethylbenzimidazole	6.375	4.392	0.689	103.993	6.163	70.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-6.629	-8.472	0.0	0.0	0.0	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-5.7	6.15	0.732	122.997	-6.492	90.0
C04242	5-Fluorodeoxyuridine_monophosphate	-6.615	-6.087	0.0	0.0	0.0	50.0
C03375	Norspermidine	-6.15	-6.322	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-5.7	-8.308	0.0	0.0	0.0	50.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.19	-6.943	0.0	0.0	0.0	50.0
C01151	D-Ribose_1,5-bisphosphate	-6.409	-4.248	0.0	0.0	0.0	50.0
C06504	Cob(II)yrinate_a,c_diamide	-5.755	-5.358	0.0	0.0	0.0	50.0
C06507	Adenosyl_cobyrinate_hexaamide	-5.413	4.459	0.516	64.6	-5.059	80.0
C03479	Folinic_acid	-6.57	7.615	0.485	291.049	-7.14	90.0
C06503	Hydrogenobyrinate_a,c_diamide	-5.755	-5.358	0.0	0.0	0.0	50.0
C06508	Adenosyl_cobinamide	-3.907	-6.95	0.0	0.0	0.0	50.0
C06509	Adenosyl_cobinamide_phosphate	-2.503	-4.459	0.0	0.0	0.0	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-6.426	-7.401	0.0	0.0	0.0	50.0
C00583	Propane-1,2-diol	7.728	8.82	0.876	663.956	9.184	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-1.976	-2.972	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-7.366	-10.943	0.0	0.0	0.0	50.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	-3.7	-2.0	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	-3.68	-9.739	0.0	0.0	0.0	50.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-6.044	5.755	0.818	119.986	-6.618	90.0
C00475	Cytidine	-5.258	5.0	0.836	70.266	-5.877	90.0
C12215	Iminoerythrose_4-phosphate	-7.476	-11.438	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	7.476	11.438	0.654	2952.51	10.914	90.0
C00470	Pectate	-6.919	-7.451	0.0	0.0	0.0	50.0
C00294	Inosine	7.304	7.715	0.947	368.134	8.445	90.0
C05699	L-Selenocystathionine	6.129	7.451	0.823	244.961	7.655	80.0
C05698	Selenohomocysteine	-1.585	4.7	0.115	28.992	-1.743	70.0
C00354	D-Fructose_1,6-bisphosphate	-2.459	-8.26	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-6.426	-7.672	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-5.728	6.436	0.612	139.585	-6.417	90.0
C00299	Uridine	-1.399	-2.709	0.0	0.0	0.0	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.19	-8.281	0.235	384.058	-6.494	90.0
C11736	5-Fluorodeoxyuridine	6.615	6.087	0.92	165.998	7.255	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.426	-8.596	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	6.022	7.6	0.792	258.995	7.681	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.954	7.735	0.145	244.039	-5.15	80.0
C00993	D-Alanyl-D-alanine	-3.0	-3.17	0.0	0.0	0.0	50.0
C00120	Biotin	6.267	6.829	0.918	190.704	7.451	70.0
C00122	Fumarate	4.809	3.879	0.807	42.745	5.108	60.0
C00123	L-Leucine	-3.322	-4.79	0.0	0.0	0.0	50.0
C00124	D-Galactose	6.098	7.776	0.784	287.683	7.818	80.0
C05749	Hexanoyl-[acp]	7.229	5.907	0.817	210.023	7.423	70.0
C05748	trans-Hex-2-enoyl-[acp]	-5.7	6.15	0.732	122.997	-6.492	90.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.484	-6.977	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	6.34	-2.322	0.062	86.009	-2.408	70.0
C05745	Butyryl-[acp]	7.229	5.907	0.817	210.023	7.423	70.0
C05744	Acetoacetyl-[acp]	6.074	2.459	0.405	72.867	4.883	60.0
C03150	Nicotinamide-beta-riboside	7.304	7.676	0.952	362.53	8.43	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.752	-6.248	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-7.071	-6.566	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-4.418	-6.01	0.0	0.0	0.0	50.0
C00053	3'-Phosphoadenylyl_sulfate	7.615	-3.652	0.064	208.61	-3.742	80.0
C02659	Acetone_cyanohydrin	-7.435	-9.95	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	6.427	6.624	0.97	184.677	7.485	80.0
C03785	D-Tagatose_1,6-bisphosphate	-8.022	-11.489	0.0	0.0	0.0	50.0
C02714	N-Acetylputrescine	-6.615	-7.055	0.0	0.0	0.0	50.0
C01051	Uroporphyrinogen_III	-6.585	3.624	0.128	108.332	-3.798	80.0
C01050	UDP-N-acetylmuramate	5.64	-4.994	0.639	81.734	-5.707	90.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.0	6.0	1.0	128.0	-7.0	90.0
C00206	dADP	4.018	8.904	0.451	495.24	7.804	80.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	3.369	-4.392	0.492	31.327	-3.946	80.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-3.7	-2.807	0.0	0.0	0.0	50.0
