compound_code	compound_name	alistipes_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C05750	3-Oxooctanoyl-[acp]	5.931	9.041	0.656	587.77	8.591	80.0
C05751	trans-Oct-2-enoyl-[acp]	-5.7	7.317	0.326	211.439	-6.107	60.0
C05752	Octanoyl-[acp]	6.498	8.592	0.756	476.262	8.493	70.0
C05753	3-Oxodecanoyl-[acp]	5.931	9.041	0.656	587.77	8.591	80.0
C05754	trans-Dec-2-enoyl-[acp]	-5.7	7.317	0.326	211.439	-6.107	60.0
C05755	Decanoyl-[acp]	7.229	8.667	0.834	556.487	8.858	80.0
C05756	3-Oxododecanoyl-[acp]	6.34	9.263	0.684	695.394	8.895	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-7.484	-10.203	0.152	1357.738	-7.688	90.0
C05758	trans-Dodec-2-enoyl-[acp]	-5.7	7.317	0.326	211.439	-6.107	60.0
C05759	3-Oxotetradecanoyl-[acp]	6.34	9.263	0.684	695.394	8.895	80.0
C00235	Dimethylallyl_diphosphate	-3.138	7.152	0.062	151.025	-3.225	50.0
C05813	2-Octaprenyl-6-methoxy-1,4-benzoquinone	5.883	8.931	0.659	547.103	8.493	70.0
C18172	Carboxyspermidine	6.15	8.566	0.718	449.998	8.336	70.0
C00188	L-Threonine	7.721	5.923	0.767	271.659	7.703	70.0
C05814	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	-5.883	-8.931	0.121	547.103	-6.048	60.0
C02702	L-Prolyl-tRNA(Pro)	-7.18	-9.34	0.224	793.077	-7.471	90.0
C05818	2-Demethylmenaquinone	-6.209	6.508	0.813	164.99	-7.067	80.0
C00183	L-Valine	-3.437	-5.915	0.179	71.169	-3.675	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.115	-6.369	0.052	86.985	-2.189	50.0
C00181	D-Xylose	7.827	11.506	0.68	3135.451	11.059	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-6.807	-9.579	0.146	876.805	-7.004	80.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.0	3.561	0.842	19.802	4.06	60.0
C00842	dTDP-glucose	-5.087	-5.322	0.85	73.991	-5.974	60.0
C00015	UDP	-3.907	-8.186	0.052	306.228	-3.979	50.0
C02291	L-Cystathionine	6.129	9.486	0.646	787.071	8.99	80.0
C02988	L-Histidyl-tRNA(His)	-6.508	-8.508	0.25	455.065	-6.83	80.0
C02554	L-Valyl-tRNA(Val)	-6.443	-9.397	0.129	761.188	-6.618	70.0
C16237	Protein_N6-(lipoyl)lysine	6.022	2.888	0.48	72.386	5.117	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.248	11.461	0.545	2895.067	10.624	90.0
C16239	Lipoyl-[acp]	-6.022	-1.585	0.046	67.984	-1.65	50.0
C00445	5,10-Methenyltetrahydrofolate	3.781	7.106	0.532	151.505	6.333	60.0
C01762	Xanthosine	7.304	9.618	0.759	943.814	9.485	90.0
C00441	L-Aspartate_4-semialdehyde	-4.815	7.639	0.141	227.477	-5.006	50.0
C00440	5-Methyltetrahydrofolate	-2.939	6.644	0.077	107.679	-3.046	50.0
C00526	Deoxyuridine	3.907	8.582	0.455	398.213	7.502	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-3.7	7.698	0.063	220.645	-3.788	50.0
C00522	(R)-Pantoate	7.129	7.924	0.9	382.836	8.428	70.0
C00448	trans,trans-Farnesyl_diphosphate	4.285	-6.129	0.279	89.481	-4.64	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	5.7	7.531	0.757	236.935	7.486	70.0
C01024	Hydroxymethylbilane	6.585	8.676	0.759	505.015	8.582	80.0
C00921	Dihydropteroate	2.322	-5.931	0.082	66.011	-2.436	50.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.248	-10.822	0.042	1886.287	-6.307	70.0
C03838	5'-Phosphoribosylglycinamide	-6.741	-6.366	0.771	189.447	-7.191	80.0
C03722	Quinolinate	-6.109	7.889	0.291	306.065	-6.478	70.0
C03939	Acetyl-[acyl-carrier_protein]	3.051	-8.948	0.017	502.162	-3.075	50.0
C00620	alpha-D-Ribose_1-phosphate	7.492	11.736	0.638	3591.068	11.163	90.0
C00627	Pyridoxine_phosphate	-6.629	-7.864	0.425	331.945	-7.14	80.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-3.459	-5.157	0.308	46.676	-3.847	50.0
C18040	5alpha-Dihydrodeoxycorticosterone	-6.15	-5.322	0.563	111.014	-5.967	60.0
C00231	D-Xylulose_5-phosphate	-5.576	-8.858	0.103	511.709	-5.717	60.0
C01345	dITP	7.484	-7.977	0.711	430.974	-8.258	90.0
C00234	10-Formyltetrahydrofolate	-3.229	6.811	0.084	121.66	-3.345	50.0
C05688	L-Selenocysteine	6.741	8.547	0.789	480.993	8.567	70.0
C00010	CoA	-6.755	-8.285	0.346	419.921	-7.184	80.0
C00011	CO2	7.581	10.508	0.721	1647.681	10.215	90.0
C00062	L-Arginine	5.883	-5.081	0.574	92.863	-5.735	60.0
C00014	Ammonia	-4.031	-7.126	0.117	156.029	-4.191	50.0
C05980	Cardiolipin	-6.426	-8.17	0.299	373.999	-6.803	80.0
C00019	S-Adenosyl-L-methionine	-4.022	-1.047	0.127	18.312	-1.22	60.0
C00153	Nicotinamide	-7.304	-8.913	0.328	640.061	-7.713	90.0
C00152	L-Asparagine	6.7	-6.251	0.733	180.13	-7.044	80.0
C00155	L-Homocysteine	-1.379	-8.531	0.007	372.503	-1.389	50.0
C00154	Palmitoyl-CoA	-8.651	-10.087	0.37	1489.637	-9.105	90.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-6.629	-9.109	0.179	651.158	-6.867	80.0
C06399	Hydrogenobyrinate	5.755	3.0	0.521	62.004	5.014	60.0
C00185	Cellobiose	7.435	10.298	0.722	1431.99	10.014	90.0
C00066	tRNA	6.19	8.98	0.689	577.96	8.638	80.0
C02876	Propanoyl_phosphate	-7.238	-6.615	0.649	248.977	-7.337	90.0
C04146	all-trans-Octaprenyl_diphosphate	3.907	6.476	0.603	104.018	5.972	60.0
C00259	L-Arabinose	8.262	-7.741	0.697	520.911	-8.504	90.0
C03205	11-Deoxycorticosterone	6.15	5.322	0.865	111.014	6.586	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-7.071	-9.981	0.133	1145.059	-7.251	80.0
C00655	Xanthosine_5'-phosphate	-2.773	-7.622	0.035	203.828	-2.822	50.0
C00718	Amylose	-2.55	-6.384	0.07	89.373	-2.648	50.0
C00714	Pectin	6.919	9.85	0.702	1043.892	9.518	90.0
C00760	Cellulose	7.435	9.299	0.8	802.954	9.326	80.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-4.977	-9.246	0.052	638.682	-5.05	60.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.561	8.273	0.305	403.748	-6.945	80.0
C01127	4-Hydroxy-2-oxoglutarate	7.827	10.006	0.782	1255.339	9.94	90.0
C06022	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine	-3.17	-7.712	0.043	218.674	-3.231	50.0
C06025	Di[3-deoxy-D-manno-octulosonyl]-lipid_IV(A)	-4.196	-4.824	0.647	46.653	-4.916	50.0
C05143	Dhurrin	7.435	10.551	0.705	1673.308	10.204	90.0
C03508	L-2-Amino-3-oxobutanoic_acid	-8.358	-6.658	0.308	429.087	-7.045	80.0
C02059	Phylloquinone	-5.883	-8.931	0.121	547.103	-6.048	60.0
C18902	Methylselenic_acid	6.943	9.441	0.735	818.104	9.233	80.0
C03294	N-Formylmethionyl-tRNA	-6.229	-8.15	0.264	359.059	-6.567	70.0
C02051	Lipoylprotein	-4.585	9.4	0.036	699.589	-4.635	50.0
C03114	Dimethylbenzimidazole	6.375	7.459	0.855	258.945	7.79	70.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-6.629	-9.109	0.179	651.158	-6.867	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-5.7	7.317	0.326	211.439	-6.107	60.0
C04242	5-Fluorodeoxyuridine_monophosphate	-6.615	-8.271	0.317	406.921	-7.013	80.0
C03375	Norspermidine	-6.15	-8.566	0.187	449.998	-6.398	70.0
C03373	Aminoimidazole_ribotide	-5.7	-8.948	0.105	545.858	-5.844	60.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.19	-8.98	0.145	577.96	-6.385	70.0
C01151	D-Ribose_1,5-bisphosphate	-6.409	-6.508	0.934	175.99	-7.36	90.0
C06504	Cob(II)yrinate_a,c_diamide	-5.755	-4.858	0.537	83.005	-5.478	60.0
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate	6.935	9.734	0.712	973.942	9.439	90.0
C06507	Adenosyl_cobyrinate_hexaamide	-5.413	-5.542	0.914	89.198	-6.35	70.0
C03479	Folinic_acid	-6.57	-9.041	0.18	621.769	-6.809	80.0
C06503	Hydrogenobyrinate_a,c_diamide	-5.755	5.426	0.796	96.996	-6.271	70.0
C06508	Adenosyl_cobinamide	-3.907	5.392	0.357	56.992	-4.348	50.0
C06509	Adenosyl_cobinamide_phosphate	-2.503	3.874	0.387	20.331	-2.975	50.0
C04688	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier_protein]	-7.484	-10.203	0.152	1357.738	-7.688	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-6.426	-7.901	0.36	325.006	-6.869	80.0
C00583	Propane-1,2-diol	7.728	9.649	0.801	1014.869	9.667	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-1.976	-7.337	0.024	165.614	-2.011	50.0
C00577	D-Glyceraldehyde	-7.366	-11.182	0.071	2488.328	-7.465	90.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	-3.7	6.279	0.167	90.651	-3.923	50.0
C00279	D-Erythrose_4-phosphate	-3.68	-9.449	0.018	711.745	-3.706	50.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-6.044	-7.775	0.301	285.014	-6.424	70.0
C00275	D-Mannose_6-phosphate	6.714	-7.168	0.73	248.79	-7.505	90.0
C00475	Cytidine	-5.258	6.348	0.47	119.725	-5.814	60.0
C12215	Iminoerythrose_4-phosphate	-7.476	-10.672	0.109	1809.552	-7.625	90.0
C12214	Aminofructose_6-phosphate	7.476	10.672	0.701	1809.552	10.308	90.0
C00470	Pectate	-6.919	-9.85	0.131	1043.892	-7.097	80.0
C00294	Inosine	7.304	9.618	0.759	943.814	9.485	90.0
C05699	L-Selenocystathionine	6.129	9.486	0.646	787.071	8.99	80.0
C05698	Selenohomocysteine	-1.585	-8.945	0.006	495.848	-1.594	50.0
C00354	D-Fructose_1,6-bisphosphate	-2.459	-8.416	0.016	347.059	-2.482	50.0
C00353	Geranylgeranyl_diphosphate	-6.426	-8.551	0.229	461.05	-6.724	70.0
C00352	D-Glucosamine_6-phosphate	-5.728	-8.342	0.163	377.486	-5.946	60.0
C00299	Uridine	-1.399	7.183	0.018	147.948	-1.425	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.19	5.524	0.892	119.023	6.731	60.0
C11736	5-Fluorodeoxyuridine	6.615	8.271	0.8	406.921	8.346	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.426	-8.585	0.224	469.994	-6.717	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	6.022	8.119	0.742	342.995	7.991	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.954	-6.304	0.392	110.008	-5.431	60.0
C11638	3-Amino-2-oxopropyl_phosphate	-4.298	-8.491	0.055	379.458	-4.375	50.0
C00993	D-Alanyl-D-alanine	-3.0	-8.508	0.022	372.052	-3.031	50.0
C00120	Biotin	6.267	7.542	0.831	263.378	7.774	70.0
C00122	Fumarate	4.809	-9.624	0.036	817.097	-4.859	50.0
C00123	L-Leucine	-3.322	6.632	0.101	109.182	-3.461	50.0
C00124	D-Galactose	6.098	9.79	0.623	953.785	9.215	80.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	5.392	3.17	0.588	50.991	4.906	60.0
C05749	Hexanoyl-[acp]	7.229	8.667	0.834	556.487	8.858	80.0
C05748	trans-Hex-2-enoyl-[acp]	-5.7	7.317	0.326	211.439	-6.107	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.484	-10.203	0.152	1357.738	-7.688	90.0
C05746	3-Oxohexanoyl-[acp]	6.34	9.263	0.684	695.394	8.895	80.0
C05745	Butyryl-[acp]	7.229	8.667	0.834	556.487	8.858	80.0
C05744	Acetoacetyl-[acp]	6.074	8.124	0.748	346.345	8.017	70.0
C03150	Nicotinamide-beta-riboside	7.304	9.618	0.759	943.814	9.485	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.752	-9.788	0.122	991.844	-6.918	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-7.071	-9.981	0.133	1145.059	-7.251	80.0
C00199	D-Ribulose_5-phosphate	-4.418	-7.103	0.156	158.85	-4.627	50.0
C00053	3'-Phosphoadenylyl_sulfate	7.615	2.0	0.263	200.039	5.715	60.0
C02659	Acetone_cyanohydrin	-7.435	-10.551	0.115	1673.308	-7.592	90.0
C00197	3-Phospho-D-glycerate	6.427	9.963	0.645	1084.116	9.45	90.0
C03785	D-Tagatose_1,6-bisphosphate	-8.022	-9.329	0.404	903.079	-8.512	90.0
C02714	N-Acetylputrescine	-6.615	-7.983	0.387	351.021	-7.087	80.0
C01051	Uroporphyrinogen_III	-6.585	-7.775	0.438	315.035	-7.109	80.0
C01050	UDP-N-acetylmuramate	5.64	-5.664	0.984	100.57	-6.628	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.0	-1.415	0.042	66.667	-1.474	50.0
C00206	dADP	4.018	7.905	0.508	255.887	7.023	60.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	3.369	-4.644	0.413	35.334	-3.868	50.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-3.7	7.326	0.081	173.448	-3.812	50.0
