compound_code	compound_name	lactobacillus_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C16221	(2E)-Octadecenoyl-[acp]	-3.459	4.615	0.449	35.502	-3.994	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-7.055	-9.937	0.136	1113.22	-7.239	90.0
C03838	5'-Phosphoribosylglycinamide	-2.807	-1.322	0.357	9.498	-1.763	50.0
C05400	Epimelibiose	6.954	2.322	0.334	128.983	5.429	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	6.954	2.322	0.334	128.983	5.429	90.0
C05402	Melibiose	5.7	1.585	0.278	54.984	3.934	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.687	2.322	0.347	108.036	5.229	80.0
C03939	Acetyl-[acyl-carrier_protein]	-2.515	-7.528	0.031	190.283	-2.559	50.0
C00620	alpha-D-Ribose_1-phosphate	7.788	6.57	0.844	316.024	8.059	90.0
C00627	Pyridoxine_phosphate	-8.055	-2.0	0.015	269.948	-2.022	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	1.874	2.663	0.704	9.999	2.815	70.0
C01228	Guanosine_3',5'-bis(diphosphate)	-4.755	-1.0	0.074	29.002	-1.103	60.0
C00231	D-Xylulose_5-phosphate	2.907	-5.032	0.229	40.218	-3.205	60.0
C01345	dITP	5.0	-3.322	0.313	42.0	-3.714	70.0
C01344	dIDP	5.426	4.807	0.886	70.985	5.975	90.0
C00234	10-Formyltetrahydrofolate	-1.565	-0.339	0.428	4.224	-0.852	60.0
C00063	CTP	5.654	7.542	0.75	236.719	7.471	90.0
C01613	Stachyose	6.19	1.585	0.256	76.009	4.283	80.0
C00010	CoA	4.841	-1.0	0.07	30.661	-1.097	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-5.209	-3.585	0.324	48.989	-3.99	70.0
C00062	L-Arginine	-3.386	-3.879	0.711	25.167	-4.16	80.0
C00014	Ammonia	-2.52	-4.471	0.259	27.913	-2.852	50.0
C00015	UDP	-0.585	-3.0	0.188	9.5	-0.833	60.0
C00018	Pyridoxal_phosphate	-8.055	-0.485	0.005	267.348	-0.493	60.0
C00019	S-Adenosyl-L-methionine	-1.0	5.5	0.044	47.255	-1.062	60.0
C00153	Nicotinamide	-5.073	-3.524	0.342	45.164	-3.948	70.0
C00152	L-Asparagine	-1.188	3.218	0.245	11.583	-1.504	50.0
C00155	L-Homocysteine	-3.532	2.592	0.521	17.597	-3.197	60.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-3.7	-5.426	0.302	55.988	-4.081	80.0
C02876	Propanoyl_phosphate	-1.807	2.807	0.5	10.497	-2.392	50.0
C04146	all-trans-Octaprenyl_diphosphate	4.392	-2.585	0.286	26.996	-2.948	60.0
C02336	beta-D-Fructose	5.555	2.17	0.391	51.514	4.331	80.0
C00058	Formate	10.263	2.392	0.233	1234.02	8.168	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-2.954	-4.402	0.367	28.89	-3.405	60.0
C00655	Xanthosine_5'-phosphate	3.298	-3.575	0.825	21.753	-4.166	80.0
C00718	Amylose	-4.248	-3.524	0.605	30.504	-4.207	80.0
C14089	1-Hydroxymethylnaphthalene	7.639	0.585	0.077	200.828	3.943	70.0
C02909	(2-Naphthyl)methanol	7.639	0.585	0.077	200.828	3.943	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.585	3.459	0.747	16.997	3.667	70.0
C18902	Methylselenic_acid	6.966	3.7	0.531	138.015	6.196	90.0
C03294	N-Formylmethionyl-tRNA	-4.459	-1.585	0.136	24.993	-1.769	50.0
C02051	Lipoylprotein	-7.6	-7.435	0.892	367.056	-8.355	90.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-3.7	-4.615	0.53	37.501	-4.314	80.0
C00979	O-Acetyl-L-serine	6.78	1.474	0.217	112.674	4.614	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-3.459	-3.0	0.727	18.997	-3.789	70.0
C03373	Aminoimidazole_ribotide	5.459	-4.982	0.718	75.59	-5.763	90.0
C00407	L-Isoleucine	-2.202	2.263	0.959	9.401	-3.172	60.0
C06056	4-Hydroxy-L-threonine	-4.087	-1.585	0.177	19.995	-1.82	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	2.17	-3.985	0.284	20.335	-2.531	50.0
C03479	Folinic_acid	5.0	-2.907	0.234	39.501	-3.211	60.0
C09332	Tetrahydrofolyl-[Glu](2)	-3.17	-1.0	0.222	11.0	-1.289	60.0
C00583	Propane-1,2-diol	1.0	3.585	0.279	14.0	1.965	70.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-3.27	-0.737	0.173	11.313	-0.967	60.0
C00577	D-Glyceraldehyde	-11.618	-6.672	0.032	3245.13	-6.718	90.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	-3.17	-1.0	0.222	11.0	-1.289	60.0
C00279	D-Erythrose_4-phosphate	11.531	5.33	0.462	2999.442	10.437	90.0
C00275	D-Mannose_6-phosphate	-9.446	4.682	0.037	723.146	-4.734	80.0
C05465	Taurochenodeoxycholate	6.907	1.0	0.145	122.009	4.143	80.0
C00900	2-Acetolactate	3.585	5.687	0.63	63.518	5.323	90.0
C02218	Dehydroalanine	-3.907	-2.807	0.467	21.999	-3.359	60.0
C00294	Inosine	5.146	3.0	0.583	43.408	4.661	80.0
C05699	L-Selenocystathionine	3.755	3.585	0.955	25.501	4.606	80.0
C05698	Selenohomocysteine	-3.755	3.0	0.593	21.501	-3.671	70.0
C00354	D-Fructose_1,6-bisphosphate	-9.036	-2.939	0.015	532.606	-2.96	60.0
C00353	Geranylgeranyl_diphosphate	-2.322	-4.392	0.238	25.996	-2.63	50.0
C00352	D-Glucosamine_6-phosphate	6.155	4.524	0.735	94.266	6.115	90.0
C00299	Uridine	4.315	-1.158	0.112	22.136	-1.311	60.0
C00666	LL-2,6-Diaminoheptanedioate	-3.928	1.817	0.231	18.745	-2.117	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-3.807	-1.585	0.214	16.997	-1.865	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-3.807	-2.807	0.5	20.995	-3.392	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.585	2.322	0.648	17.001	3.461	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.585	-2.322	0.6	8.0	-2.263	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-5.322	-3.755	0.338	53.503	-4.175	80.0
C00993	D-Alanyl-D-alanine	-8.214	-2.807	0.024	303.933	-2.841	50.0
C00120	Biotin	3.17	5.261	0.603	47.346	4.834	80.0
C00122	Fumarate	-2.852	-5.509	0.159	52.758	-3.064	60.0
C00123	L-Leucine	-1.222	1.939	0.608	6.167	-1.908	50.0
C00124	D-Galactose	-6.262	-7.973	0.305	327.998	-6.647	90.0
C00129	Isopentenyl_diphosphate	-1.72	3.322	0.329	13.295	-2.131	50.0
C05749	Hexanoyl-[acp]	-2.322	5.768	0.092	59.493	-2.449	50.0
C05748	trans-Hex-2-enoyl-[acp]	-3.459	-3.0	0.727	18.997	-3.789	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-3.322	-4.615	0.408	34.505	-3.816	70.0
C05746	3-Oxohexanoyl-[acp]	4.585	-4.585	1.0	48.001	-5.585	90.0
C05745	Butyryl-[acp]	-2.322	5.768	0.092	59.493	-2.449	50.0
C05744	Acetoacetyl-[acp]	3.82	-6.69	0.137	117.373	-4.005	80.0
C03150	Nicotinamide-beta-riboside	5.073	3.087	0.609	42.158	4.681	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-2.678	-4.219	0.344	25.023	-3.104	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-2.954	-4.402	0.367	28.89	-3.405	60.0
C00199	D-Ribulose_5-phosphate	-5.339	-4.783	0.68	68.007	-5.532	90.0
C00197	3-Phospho-D-glycerate	-7.88	5.64	0.212	285.435	-5.917	90.0
C03785	D-Tagatose_1,6-bisphosphate	-7.706	-4.807	0.134	236.796	-4.989	90.0
C01050	UDP-N-acetylmuramate	-4.692	3.123	0.337	34.56	-3.542	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	0.585	-2.663	0.237	7.834	-0.892	60.0
C00206	dADP	-6.353	2.874	0.09	89.073	-2.998	60.0
C03539	S-Ribosyl-L-homocysteine	5.585	-2.0	0.083	52.001	-2.115	50.0
C06010	(S)-2-Acetolactate	1.678	4.714	0.356	29.445	3.39	70.0
