compound_code	compound_name	turicibacter_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C00153	Nicotinamide	-1.0	-4.459	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-3.434	1.737	0.308	14.141	-2.125	70.0
C00155	L-Homocysteine	-0.402	-6.156	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	-4.17	1.585	0.167	21.001	-1.807	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	2.954	-4.129	0.443	25.246	-3.483	80.0
C00655	Xanthosine_5'-phosphate	0.663	-4.167	0.088	19.547	-0.785	60.0
C00301	ADP-ribose	1.0	4.755	0.21	29.002	2.609	70.0
C00718	Amylose	-4.0	-4.285	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1.0	2.0	0.5	6.0	1.585	60.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	2.585	-6.547	0.064	99.507	-2.675	80.0
C01127	4-Hydroxy-2-oxoglutarate	3.459	5.0	0.692	42.997	4.895	80.0
C05143	Dhurrin	4.672	5.524	0.846	71.506	5.918	90.0
C18902	Methylselenic_acid	3.7	5.524	0.67	59.01	5.305	90.0
C00979	O-Acetyl-L-serine	1.415	-2.078	0.632	6.889	-2.121	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-4.087	1.585	0.177	19.995	-1.82	70.0
C03373	Aminoimidazole_ribotide	3.907	-4.954	0.484	45.997	-4.476	90.0
C06055	O-Phospho-4-hydroxy-L-threonine	-2.17	-5.943	0.0	0.0	0.0	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.415	1.105	0.62	3.484	-1.111	60.0
C00577	D-Glyceraldehyde	-1.0	-7.15	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	-0.628	-6.779	0.0	0.0	0.0	50.0
C00275	D-Mannose_6-phosphate	-4.115	3.568	0.684	29.187	-4.32	90.0
C02474	Arabinan	6.629	5.781	0.872	153.962	7.069	90.0
C00900	2-Acetolactate	-2.585	4.129	0.343	23.497	-3.01	80.0
C00475	Cytidine	-1.826	1.189	0.643	5.825	-1.905	70.0
C12215	Iminoerythrose_4-phosphate	-2.322	-7.852	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	2.322	7.852	0.296	236.04	6.125	90.0
C00294	Inosine	1.0	4.087	0.245	18.995	2.216	70.0
C05698	Selenohomocysteine	2.807	-7.492	0.039	187.017	-2.862	80.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	-0.341	-0.617	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	1.848	1.848	1.0	7.2	2.848	70.0
C05399	Melibiitol	3.7	6.022	0.614	77.979	5.582	90.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.0	-4.907	0.0	0.0	0.0	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-4.0	-5.044	0.0	0.0	0.0	50.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	3.907	4.0	0.977	31.001	4.92	80.0
C00993	D-Alanyl-D-alanine	-3.907	-4.087	0.0	0.0	0.0	50.0
C00121	D-Ribose	3.0	1.585	0.528	11.0	2.539	70.0
C00122	Fumarate	-0.766	1.469	0.614	4.469	-1.457	70.0
C00123	L-Leucine	1.737	-0.737	0.5	5.0	-1.322	60.0
C00124	D-Galactose	2.907	-4.363	0.365	28.078	-3.355	80.0
C05749	Hexanoyl-[acp]	4.17	1.0	0.24	20.001	2.262	70.0
C05748	trans-Hex-2-enoyl-[acp]	-4.087	1.585	0.177	19.995	-1.82	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	3.322	-4.524	0.435	33.007	-3.843	90.0
C05746	3-Oxohexanoyl-[acp]	-3.459	4.322	0.55	30.998	-4.091	90.0
C05745	Butyryl-[acp]	4.17	1.0	0.24	20.001	2.262	70.0
C05744	Acetoacetyl-[acp]	-2.807	3.966	0.448	22.626	-3.341	80.0
C03150	Nicotinamide-beta-riboside	1.0	4.087	0.245	18.995	2.216	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	2.678	-3.828	0.451	20.601	-3.215	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	2.954	-4.129	0.443	25.246	-3.483	80.0
C00199	D-Ribulose_5-phosphate	1.659	-4.049	0.191	19.711	-1.911	70.0
C00052	UDP-alpha-D-galactose	2.379	2.147	0.902	9.631	3.12	70.0
C02659	Acetone_cyanohydrin	-4.672	-5.524	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	5.743	6.311	0.91	132.953	6.919	90.0
C03785	D-Tagatose_1,6-bisphosphate	-5.555	-6.943	0.0	0.0	0.0	50.0
C00011	CO2	2.322	7.565	0.307	194.362	5.899	90.0
C01050	UDP-N-acetylmuramate	3.496	-3.793	0.814	25.144	-4.355	90.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	-4.585	0.0	0.0	0.0	50.0
C00206	dADP	2.237	7.077	0.316	139.731	5.465	90.0
C03539	S-Ribosyl-L-homocysteine	-4.17	1.585	0.167	21.001	-1.807	70.0
C06010	(S)-2-Acetolactate	-1.807	3.209	0.378	12.746	-2.27	70.0
