compound_code	compound_name	butyrivibrio_mock_score	alistipes_mock_score	ratio	magnitude	interaction_score	percentile
C00921	Dihydropteroate	7.109	2.322	0.327	143.046	5.546	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.476	-6.248	0.854	165.02	-7.138	80.0
C03838	5'-Phosphoribosylglycinamide	5.858	-6.741	0.542	164.966	-6.483	70.0
C03722	Quinolinate	-3.7	-6.109	0.188	82.019	-3.949	50.0
C03939	Acetyl-[acyl-carrier_protein]	3.259	3.051	0.936	17.861	4.064	60.0
C00620	alpha-D-Ribose_1-phosphate	9.72	7.492	0.771	1023.376	9.624	90.0
C00627	Pyridoxine_phosphate	-6.17	-6.629	0.727	170.979	-6.959	80.0
C05335	L-Selenomethionine	6.409	5.322	0.83	124.979	6.697	70.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-4.954	-3.459	0.355	41.992	-3.897	50.0
C00231	D-Xylulose_5-phosphate	-9.179	-5.576	0.082	627.337	-5.69	60.0
C01345	dITP	6.022	7.484	0.805	244.006	7.617	80.0
C00234	10-Formyltetrahydrofolate	6.413	-3.229	0.11	94.589	-3.38	50.0
C05688	L-Selenocysteine	1.0	6.741	0.148	108.965	4.015	60.0
C00010	CoA	-8.521	-6.755	0.294	475.356	-7.127	80.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.006	-6.807	0.436	369.039	-7.329	80.0
C00014	Ammonia	-4.607	-4.031	0.671	40.717	-4.772	50.0
C00015	UDP	-6.366	-3.907	0.182	97.483	-4.148	50.0
C00019	S-Adenosyl-L-methionine	-8.062	-4.022	0.061	283.487	-4.107	50.0
C00153	Nicotinamide	-7.791	-7.304	0.714	379.499	-8.081	90.0
C00152	L-Asparagine	-7.197	6.7	0.709	250.696	-7.473	90.0
C00155	L-Homocysteine	-5.299	-1.379	0.066	41.97	-1.471	60.0
C00154	Palmitoyl-CoA	-9.257	-8.651	0.657	1013.821	-9.38	90.0
C06399	Hydrogenobyrinate	5.358	5.755	0.931	95.017	6.467	70.0
C00066	tRNA	6.943	6.19	0.892	196.05	7.449	70.0
C02876	Propanoyl_phosphate	-2.115	-7.238	0.029	155.29	-2.156	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-6.566	-7.071	0.705	229.203	-7.335	80.0
C00655	Xanthosine_5'-phosphate	-7.212	-2.773	0.046	155.097	-2.838	50.0
C00718	Amylose	-8.51	-2.55	0.016	370.413	-2.573	50.0
C00714	Pectin	7.451	6.919	0.929	295.986	8.103	80.0
C00760	Cellulose	9.347	7.435	0.795	824.264	9.357	90.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-6.96	-4.977	0.253	155.994	-5.302	60.0
C00681	1-Acyl-sn-glycerol_3-phosphate	4.459	-6.561	0.233	116.412	-4.761	50.0
C01127	4-Hydroxy-2-oxoglutarate	9.937	7.827	0.788	1207.317	9.893	90.0
C05143	Dhurrin	9.95	7.435	0.747	1162.163	9.762	90.0
C18902	Methylselenic_acid	7.547	6.943	0.92	310.055	8.156	80.0
C03294	N-Formylmethionyl-tRNA	-8.098	-6.229	0.274	349.003	-6.578	70.0
C03114	Dimethylbenzimidazole	4.392	6.375	0.689	103.993	6.163	70.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.472	-6.629	0.279	454.055	-6.984	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	6.15	-5.7	0.732	122.997	-6.492	70.0
C04242	5-Fluorodeoxyuridine_monophosphate	-6.087	-6.615	0.694	165.998	-6.847	80.0
C03375	Norspermidine	-6.322	-6.15	0.888	151.016	-7.067	80.0
C03373	Aminoimidazole_ribotide	-8.308	-5.7	0.164	368.91	-5.919	60.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.943	-6.19	0.593	196.05	-6.862	80.0
C01151	D-Ribose_1,5-bisphosphate	-4.248	-6.409	0.224	103.978	-4.539	50.0
C06504	Cob(II)yrinate_a,c_diamide	-5.358	-5.755	0.759	95.017	-6.173	60.0
C06507	Adenosyl_cobyrinate_hexaamide	4.459	-5.413	0.516	64.6	-5.059	60.0
C03479	Folinic_acid	7.615	-6.57	0.485	291.049	-7.14	80.0
C06503	Hydrogenobyrinate_a,c_diamide	-5.358	-5.755	0.759	95.017	-6.173	60.0
C06508	Adenosyl_cobinamide	-6.95	-3.907	0.121	138.641	-4.072	50.0
C06509	Adenosyl_cobinamide_phosphate	-4.459	-2.503	0.258	27.662	-2.834	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.401	-6.426	0.509	254.998	-7.019	80.0
C00583	Propane-1,2-diol	8.82	7.728	0.876	663.956	9.184	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-2.972	-1.976	0.501	11.78	-2.562	50.0
C00577	D-Glyceraldehyde	-10.943	-7.366	0.084	2133.626	-7.482	90.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	-2.0	-3.7	0.308	16.996	-2.387	60.0
C00279	D-Erythrose_4-phosphate	-9.739	-3.68	0.015	867.355	-3.701	50.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	5.755	-6.044	0.818	119.986	-6.618	70.0
C00831	Pantetheine	6.925	5.615	0.811	170.526	7.111	70.0
C00475	Cytidine	5.0	-5.258	0.836	70.266	-5.877	60.0
C12215	Iminoerythrose_4-phosphate	-11.438	-7.476	0.064	2952.51	-7.566	90.0
C12214	Aminofructose_6-phosphate	11.438	7.476	0.654	2952.51	10.914	90.0
C00470	Pectate	-7.451	-6.919	0.692	295.986	-7.677	90.0
C00294	Inosine	7.715	7.304	0.947	368.134	8.445	90.0
C05699	L-Selenocystathionine	7.451	6.129	0.823	244.961	7.655	80.0
C05698	Selenohomocysteine	4.7	-1.585	0.115	28.992	-1.743	60.0
C00354	D-Fructose_1,6-bisphosphate	-8.26	-2.459	0.018	312.053	-2.485	50.0
C00353	Geranylgeranyl_diphosphate	-7.672	-6.426	0.422	289.924	-6.934	80.0
C00352	D-Glucosamine_6-phosphate	6.436	-5.728	0.612	139.585	-6.417	70.0
C00299	Uridine	-2.709	-1.399	0.403	9.176	-1.888	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.281	6.19	0.235	384.058	-6.494	70.0
C11736	5-Fluorodeoxyuridine	6.087	6.615	0.92	165.998	7.255	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.596	-6.426	0.222	472.933	-6.715	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	7.6	6.022	0.792	258.995	7.681	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.735	-4.954	0.145	244.039	-5.15	60.0
C00993	D-Alanyl-D-alanine	-3.17	-3.0	0.889	17.0	-3.918	50.0
C00120	Biotin	6.829	6.267	0.918	190.704	7.451	70.0
C00122	Fumarate	3.879	4.809	0.807	42.745	5.108	60.0
C00123	L-Leucine	-4.79	-3.322	0.361	37.666	-3.767	50.0
C00124	D-Galactose	7.776	6.098	0.784	287.683	7.818	80.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-5.954	5.392	0.677	103.982	-6.138	60.0
C05749	Hexanoyl-[acp]	5.907	7.229	0.817	210.023	7.423	70.0
C05748	trans-Hex-2-enoyl-[acp]	6.15	-5.7	0.732	122.997	-6.492	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.977	-7.484	0.704	304.998	-7.746	90.0
C05746	3-Oxohexanoyl-[acp]	-2.322	6.34	0.062	86.009	-2.408	50.0
C05745	Butyryl-[acp]	5.907	7.229	0.817	210.023	7.423	70.0
C05744	Acetoacetyl-[acp]	2.459	6.074	0.405	72.867	4.883	60.0
C03150	Nicotinamide-beta-riboside	7.676	7.304	0.952	362.53	8.43	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.248	-6.752	0.705	183.788	-7.018	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-6.566	-7.071	0.705	229.203	-7.335	80.0
C00199	D-Ribulose_5-phosphate	-6.01	-4.418	0.332	85.822	-4.831	60.0
C00053	3'-Phosphoadenylyl_sulfate	-3.652	7.615	0.064	208.61	-3.742	50.0
C02659	Acetone_cyanohydrin	-9.95	-7.435	0.175	1162.163	-7.668	90.0
C00197	3-Phospho-D-glycerate	6.624	6.427	0.97	184.677	7.485	80.0
C03785	D-Tagatose_1,6-bisphosphate	-11.489	-8.022	0.09	3134.244	-8.147	90.0
C02714	N-Acetylputrescine	-7.055	-6.615	0.737	230.994	-7.412	80.0
C01051	Uroporphyrinogen_III	3.624	-6.585	0.128	108.332	-3.798	50.0
C01050	UDP-N-acetylmuramate	-4.994	5.64	0.639	81.734	-5.707	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	6.0	-6.0	1.0	128.0	-7.0	80.0
C00206	dADP	8.904	4.018	0.451	495.24	7.804	80.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-4.392	3.369	0.492	31.327	-3.946	50.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-2.807	-3.7	0.538	19.994	-3.429	50.0
