compound_code	compound_name	alistipes_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00353	Geranylgeranyl_diphosphate	-6.426	-2.322	0.058	90.984	-2.404	50.0
C00526	Deoxyuridine	3.907	5.91	0.661	75.131	5.634	70.0
C00259	L-Arabinose	8.262	4.392	0.532	327.975	7.446	90.0
C05752	Octanoyl-[acp]	6.498	-2.322	0.055	95.385	-2.4	50.0
C00448	trans,trans-Farnesyl_diphosphate	4.285	2.807	0.655	26.493	4.117	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	3.536	1.087	0.307	13.724	2.077	60.0
C00042	Succinate	6.989	2.322	0.332	132.028	5.455	70.0
C00041	L-Alanine	-4.97	4.17	0.574	49.342	-4.825	80.0
C00040	Acyl-CoA	7.136	3.478	0.487	151.796	6.209	80.0
C00047	L-Lysine	6.931	-3.392	0.086	132.52	-3.511	60.0
C00046	RNA	-6.306	-4.694	0.327	105.006	-5.102	80.0
C00044	GTP	-6.623	-5.31	0.402	138.235	-5.798	90.0
C00049	L-Aspartate	-3.779	1.69	0.235	16.954	-1.995	50.0
C01212	UDP-N-acetylmuramoyl-L-alanine	-5.119	3.524	0.331	46.255	-3.937	70.0
C20374	Enoylglutaryl-[acp]_methyl_ester	6.629	-3.459	0.111	109.972	-3.611	60.0
C02291	L-Cystathionine	6.129	3.755	0.613	83.487	5.677	70.0
