compound_code	compound_name	bacteroides_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C05751	trans-Oct-2-enoyl-[acp]	-3.0	1.585	0.375	11.0	-2.044	50.0
C05752	Octanoyl-[acp]	5.362	1.0	0.186	43.127	3.008	70.0
C05753	3-Oxodecanoyl-[acp]	-4.373	3.931	0.736	35.973	-4.727	80.0
C05754	trans-Dec-2-enoyl-[acp]	-3.0	1.585	0.375	11.0	-2.044	50.0
C05755	Decanoyl-[acp]	5.768	1.0	0.173	56.493	3.292	70.0
C05756	3-Oxododecanoyl-[acp]	-4.585	4.322	0.833	44.002	-5.196	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-4.615	-4.524	0.939	47.512	-5.479	90.0
C05758	trans-Dodec-2-enoyl-[acp]	-3.0	1.585	0.375	11.0	-2.044	50.0
C05759	3-Oxotetradecanoyl-[acp]	-4.585	4.322	0.833	44.002	-5.196	80.0
C00188	L-Threonine	3.437	-3.7	0.833	23.826	-4.311	80.0
C02702	L-Prolyl-tRNA(Pro)	-4.0	-5.358	0.39	57.013	-4.475	80.0
C00185	Cellobiose	7.14	-6.768	0.773	250.03	-7.594	90.0
C00183	L-Valine	-1.222	-0.737	0.714	3.999	-1.515	50.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-1.415	-2.0	0.667	6.667	-2.152	50.0
C00181	D-Xylose	5.672	5.858	0.968	108.986	6.721	90.0
C00159	D-Mannose	-1.585	-5.874	0.051	61.648	-1.657	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.585	-3.322	0.833	22.001	-4.196	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	0.263	-0.848	0.667	3.0	-1.0	60.0
C00842	dTDP-glucose	-2.0	2.585	0.667	10.0	-2.737	50.0
C00015	UDP	-3.0	-5.037	0.244	40.831	-3.315	60.0
C02291	L-Cystathionine	3.585	7.807	0.459	235.945	6.76	90.0
C03546	myo-Inositol_4-phosphate	6.858	1.0	0.146	118.002	4.105	70.0
C02554	L-Valyl-tRNA(Val)	-4.17	-5.524	0.391	64.015	-4.646	80.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-1.553	0.263	0.409	4.134	-0.758	60.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	10.522	5.129	0.487	1505.4	9.519	90.0
C00445	5,10-Methenyltetrahydrofolate	2.165	0.874	0.404	6.317	1.351	60.0
C01762	Xanthosine	2.954	4.087	0.723	24.743	4.161	80.0
C00441	L-Aspartate_4-semialdehyde	1.959	3.852	0.509	18.328	3.22	70.0
C00440	5-Methyltetrahydrofolate	2.291	3.624	0.632	17.223	3.445	70.0
C00526	Deoxyuridine	-2.678	-2.874	0.873	13.731	-3.583	70.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	3.426	2.982	0.87	18.649	4.021	70.0
C00522	(R)-Pantoate	1.138	-1.138	1.0	4.402	-2.138	50.0
C00169	Carbamoyl_phosphate	-1.841	-4.678	0.14	29.181	-2.03	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	2.807	2.0	0.713	10.998	2.97	70.0
C12739	5'-Deoxy-5-fluorouridine	-3.322	-4.644	0.4	35.003	-3.807	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-9.937	-5.129	0.036	1015.239	-5.18	80.0
C04133	N-Acetyl-L-glutamate_5-phosphate	-0.874	1.807	0.524	5.332	-1.482	50.0
C03838	5'-Phosphoribosylglycinamide	-1.322	-4.755	0.093	29.502	-1.45	50.0
C05400	Epimelibiose	2.322	6.022	0.386	69.984	4.754	80.0
C03722	Quinolinate	3.907	-3.7	0.866	27.997	-4.6	80.0
C05402	Melibiose	1.585	4.392	0.361	23.995	3.114	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	2.322	5.931	0.392	66.011	4.692	80.0
C03939	Acetyl-[acyl-carrier_protein]	-7.528	0.515	0.008	185.996	-0.526	60.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-5.492	3.17	0.2	54.005	-3.433	60.0
C00627	Pyridoxine_phosphate	-2.0	-4.17	0.222	22.001	-2.289	50.0
C05335	L-Selenomethionine	4.459	3.0	0.673	29.993	4.335	80.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-3.322	-4.459	0.455	31.994	-3.863	70.0
C00624	N-Acetyl-L-glutamate	3.0	-1.0	0.25	10.0	-1.322	50.0
C00239	dCMP	-1.0	-3.807	0.143	15.997	-1.193	50.0
C00231	D-Xylulose_5-phosphate	-5.032	-5.718	0.622	85.355	-5.729	90.0
C01345	dITP	-3.322	4.17	0.556	28.001	-3.959	70.0
C00233	4-Methyl-2-oxopentanoate	-2.983	2.402	0.669	13.192	-3.141	60.0
C00234	10-Formyltetrahydrofolate	-0.339	-1.338	0.5	3.793	-0.924	60.0
C00235	Dimethylallyl_diphosphate	2.202	-6.423	0.054	90.407	-2.277	50.0
C01613	Stachyose	1.585	5.492	0.289	48.005	3.792	70.0
C00010	CoA	-1.0	-4.087	0.118	18.995	-1.161	50.0
C00158	Citrate	0.026	-3.912	0.068	16.071	-0.12	60.0
C05689	Se-Methyl-L-selenocysteine	2.585	2.0	0.774	10.0	2.952	70.0
C00014	Ammonia	-4.471	-3.378	0.469	32.573	-3.933	70.0
C05980	Cardiolipin	-2.585	-3.807	0.429	19.997	-3.1	60.0
C00018	Pyridoxal_phosphate	-0.485	-4.17	0.078	19.401	-0.593	60.0
C00019	S-Adenosyl-L-methionine	5.5	-4.982	0.698	76.858	-5.746	90.0
C00153	Nicotinamide	-3.524	-4.459	0.523	33.497	-4.131	70.0
C00152	L-Asparagine	3.218	1.737	0.54	12.638	2.77	60.0
C00155	L-Homocysteine	2.592	-6.156	0.085	77.338	-2.709	50.0
C00154	Palmitoyl-CoA	-5.129	-3.7	0.371	47.989	-4.156	70.0
C00066	tRNA	3.459	3.807	0.909	24.993	4.505	80.0
C02876	Propanoyl_phosphate	2.807	-5.6	0.144	55.501	-3.001	60.0
C00424	(S)-Lactaldehyde	-2.7	-5.845	0.113	63.978	-2.855	60.0
C02336	beta-D-Fructose	2.17	1.585	0.73	7.5	2.454	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-4.402	-4.129	0.828	38.638	-4.999	80.0
C00655	Xanthosine_5'-phosphate	-3.575	-4.167	0.663	29.881	-4.309	70.0
C00718	Amylose	-3.524	-4.285	0.59	30.998	-4.193	70.0
C14089	1-Hydroxymethylnaphthalene	0.585	6.687	0.087	104.536	3.193	70.0
C02909	(2-Naphthyl)methanol	0.585	6.687	0.087	104.536	3.193	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	3.459	2.0	0.578	14.997	3.116	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-1.322	-6.547	0.027	96.007	-1.36	50.0
C01127	4-Hydroxy-2-oxoglutarate	5.248	5.0	0.953	70.002	6.059	90.0
C03506	Indoleglycerol_phosphate	3.841	4.874	0.788	43.654	5.104	80.0
C05143	Dhurrin	7.14	5.524	0.774	187.058	7.177	90.0
C18902	Methylselenic_acid	3.7	5.524	0.67	59.01	5.305	80.0
C03294	N-Formylmethionyl-tRNA	-1.585	-5.044	0.091	35.991	-1.711	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-4.615	-4.807	0.875	52.498	-5.522	90.0
C00979	O-Acetyl-L-serine	1.474	-2.078	0.658	7.0	-2.203	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-3.0	1.585	0.375	11.0	-2.044	50.0
C03512	L-Tryptophanyl-tRNA(Trp)	-3.322	-5.7	0.192	61.985	-3.576	70.0
C01019	6-Deoxy-L-galactose	2.322	4.7	0.494	30.992	3.937	70.0
C03373	Aminoimidazole_ribotide	-4.982	-4.954	0.981	62.599	-5.94	90.0
C00407	L-Isoleucine	2.263	2.379	0.951	10.002	3.25	70.0
C06056	4-Hydroxy-L-threonine	-1.585	-4.954	0.097	33.996	-1.718	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-3.985	-5.943	0.257	77.355	-4.315	80.0
C03479	Folinic_acid	-2.907	4.087	0.441	24.495	-3.434	60.0
C09332	Tetrahydrofolyl-[Glu](2)	-1.0	-3.17	0.222	11.0	-1.289	50.0
C00582	Phenylacetyl-CoA	-4.392	-5.585	0.437	68.997	-4.915	80.0
C00583	Propane-1,2-diol	3.585	6.443	0.556	99.004	5.784	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.737	1.105	0.775	3.818	-1.565	50.0
C00577	D-Glyceraldehyde	-6.672	-7.15	0.718	243.995	-7.453	90.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	-1.0	1.0	1.0	4.0	-2.0	50.0
C00279	D-Erythrose_4-phosphate	5.33	-6.779	0.366	150.045	-5.78	90.0
C00275	D-Mannose_6-phosphate	4.682	3.568	0.762	37.53	4.838	80.0
C02474	Arabinan	4.755	5.781	0.823	81.988	6.075	90.0
C00900	2-Acetolactate	5.687	4.129	0.726	69.014	5.647	80.0
C00475	Cytidine	1.0	1.189	0.841	4.28	1.848	60.0
C12215	Iminoerythrose_4-phosphate	-6.524	-7.852	0.398	323.068	-7.008	90.0
C12214	Aminofructose_6-phosphate	6.524	7.852	0.831	323.068	8.068	90.0
C00294	Inosine	3.0	4.087	0.734	24.995	4.197	80.0
C05699	L-Selenocystathionine	3.585	7.807	0.459	235.945	6.76	90.0
C05698	Selenohomocysteine	3.0	-7.492	0.044	188.018	-3.063	60.0
C00668	alpha-D-Glucose_6-phosphate	-5.066	5.783	0.608	88.56	-5.752	90.0
C00353	Geranylgeranyl_diphosphate	-4.392	-3.807	0.667	34.992	-4.544	80.0
C00352	D-Glucosamine_6-phosphate	4.524	1.848	0.408	26.607	3.442	70.0
C00299	Uridine	-1.158	-0.304	0.553	3.466	-0.939	60.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	0.531	-4.125	0.083	18.893	-0.646	60.0
C05399	Melibiitol	2.322	6.022	0.386	69.984	4.754	80.0
C01962	Thiocysteine	-3.585	-7.807	0.054	235.945	-3.66	70.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	-4.907	0.1	33.002	-1.722	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-2.807	-5.044	0.212	39.989	-3.085	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	2.322	3.907	0.594	20.001	3.571	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-2.322	4.0	0.313	21.0	-2.714	50.0
C00993	D-Alanyl-D-alanine	-2.807	-4.087	0.412	23.993	-3.305	60.0
C05382	Sedoheptulose_7-phosphate	-2.012	-5.655	0.08	54.421	-2.123	50.0
C00120	Biotin	5.261	2.585	0.491	44.346	4.446	80.0
C00122	Fumarate	-5.509	1.469	0.061	48.306	-1.554	50.0
C00123	L-Leucine	1.939	-0.737	0.435	5.501	-1.258	50.0
C00124	D-Galactose	-7.973	-4.363	0.082	271.831	-4.477	80.0
C00129	Isopentenyl_diphosphate	3.322	-6.331	0.124	90.505	-3.491	60.0
C05749	Hexanoyl-[acp]	5.768	1.0	0.173	56.493	3.292	70.0
C05748	trans-Hex-2-enoyl-[acp]	-3.0	1.585	0.375	11.0	-2.044	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.615	-4.524	0.939	47.512	-5.479	90.0
C05746	3-Oxohexanoyl-[acp]	-4.585	4.322	0.833	44.002	-5.196	80.0
C05745	Butyryl-[acp]	5.768	1.0	0.173	56.493	3.292	70.0
C05744	Acetoacetyl-[acp]	-6.69	3.966	0.151	118.877	-4.169	70.0
C03150	Nicotinamide-beta-riboside	3.087	4.087	0.755	25.492	4.267	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-4.219	-3.828	0.763	32.825	-4.646	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-4.402	-4.129	0.828	38.638	-4.999	80.0
C00055	CMP	-1.693	-1.852	0.896	6.843	-2.616	50.0
C00199	D-Ribulose_5-phosphate	-4.783	-4.049	0.601	44.084	-4.728	80.0
C00721	Dextrin	-6.845	-4.322	0.174	134.962	-4.553	80.0
C02659	Acetone_cyanohydrin	-7.14	-5.524	0.326	187.058	-5.931	90.0
C00197	3-Phospho-D-glycerate	5.64	6.311	0.894	129.263	6.852	90.0
C03785	D-Tagatose_1,6-bisphosphate	-4.807	-6.943	0.228	151.035	-5.103	80.0
C02714	N-Acetylputrescine	-3.585	-4.392	0.572	32.996	-4.237	70.0
C00011	CO2	6.457	7.565	0.854	277.213	7.886	90.0
C01050	UDP-N-acetylmuramate	3.123	-3.793	0.629	22.573	-3.827	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.663	-4.585	0.264	30.334	-3.001	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	0.807	-2.0	0.437	5.75	-1.33	50.0
C03539	S-Ribosyl-L-homocysteine	-2.0	1.585	0.75	7.0	-2.392	50.0
C06010	(S)-2-Acetolactate	4.714	3.209	0.681	35.493	4.595	80.0
