compound_code	compound_name	bacteroides_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C03838	5'-Phosphoribosylglycinamide	-1.322	-2.807	0.357	9.498	-1.763	50.0
C05400	Epimelibiose	2.322	6.954	0.334	128.983	5.429	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	2.322	6.954	0.334	128.983	5.429	90.0
C05402	Melibiose	1.585	5.7	0.278	54.984	3.934	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	2.322	6.687	0.347	108.036	5.229	80.0
C03939	Acetyl-[acyl-carrier_protein]	-7.528	-2.515	0.031	190.283	-2.559	50.0
C00620	alpha-D-Ribose_1-phosphate	6.57	7.788	0.844	316.024	8.059	90.0
C00627	Pyridoxine_phosphate	-2.0	-8.055	0.015	269.948	-2.022	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	2.663	1.874	0.704	9.999	2.815	70.0
C01228	Guanosine_3',5'-bis(diphosphate)	-1.0	-4.755	0.074	29.002	-1.103	60.0
C00231	D-Xylulose_5-phosphate	-5.032	2.907	0.229	40.218	-3.205	60.0
C01345	dITP	-3.322	5.0	0.313	42.0	-3.714	70.0
C01344	dIDP	4.807	5.426	0.886	70.985	5.975	90.0
C00234	10-Formyltetrahydrofolate	-0.339	-1.565	0.428	4.224	-0.852	60.0
C00235	Dimethylallyl_diphosphate	2.202	-1.571	0.646	7.572	-2.29	50.0
C01613	Stachyose	1.585	6.19	0.256	76.009	4.283	80.0
C00010	CoA	-1.0	4.841	0.07	30.661	-1.097	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.585	-5.209	0.324	48.989	-3.99	70.0
C05689	Se-Methyl-L-selenocysteine	2.585	4.17	0.62	24.001	3.895	70.0
C00014	Ammonia	-4.471	-2.52	0.259	27.913	-2.852	50.0
C05980	Cardiolipin	-2.585	-2.807	0.857	12.998	-3.478	60.0
C00018	Pyridoxal_phosphate	-0.485	-8.055	0.005	267.348	-0.493	60.0
C00019	S-Adenosyl-L-methionine	5.5	-1.0	0.044	47.255	-1.062	60.0
C00153	Nicotinamide	-3.524	-5.073	0.342	45.164	-3.948	70.0
C00152	L-Asparagine	3.218	-1.188	0.245	11.583	-1.504	50.0
C00155	L-Homocysteine	2.592	-3.532	0.521	17.597	-3.197	60.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-5.426	-3.7	0.302	55.988	-4.081	80.0
C02876	Propanoyl_phosphate	2.807	-1.807	0.5	10.497	-2.392	50.0
C00424	(S)-Lactaldehyde	-2.7	-1.0	0.308	8.498	-1.387	60.0
C04146	all-trans-Octaprenyl_diphosphate	-2.585	4.392	0.286	26.996	-2.948	60.0
C02336	beta-D-Fructose	2.17	5.555	0.391	51.514	4.331	80.0
C03785	D-Tagatose_1,6-bisphosphate	-4.807	-7.706	0.134	236.796	-4.989	90.0
C02218	Dehydroalanine	-2.807	-3.907	0.467	21.999	-3.359	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-4.402	-2.954	0.367	28.89	-3.405	60.0
C00655	Xanthosine_5'-phosphate	-3.575	3.298	0.825	21.753	-4.166	80.0
C00718	Amylose	-3.524	-4.248	0.605	30.504	-4.207	80.0
C14089	1-Hydroxymethylnaphthalene	0.585	7.639	0.077	200.828	3.943	70.0
C02909	(2-Naphthyl)methanol	0.585	7.639	0.077	200.828	3.943	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	3.459	2.585	0.747	16.997	3.667	70.0
C18902	Methylselenic_acid	3.7	6.966	0.531	138.015	6.196	90.0
C03294	N-Formylmethionyl-tRNA	-1.585	-4.459	0.136	24.993	-1.769	50.0
C02051	Lipoylprotein	-7.435	-7.6	0.892	367.056	-8.355	90.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-4.615	-3.7	0.53	37.501	-4.314	80.0
C00979	O-Acetyl-L-serine	1.474	6.78	0.217	112.674	4.614	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-3.0	-3.459	0.727	18.997	-3.789	70.0
C03373	Aminoimidazole_ribotide	-4.982	5.459	0.718	75.59	-5.763	90.0
C00407	L-Isoleucine	2.263	-2.202	0.959	9.401	-3.172	60.0
C06056	4-Hydroxy-L-threonine	-1.585	-4.087	0.177	19.995	-1.82	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-3.985	2.17	0.284	20.335	-2.531	50.0
C03479	Folinic_acid	-2.907	5.0	0.234	39.501	-3.211	60.0
C09332	Tetrahydrofolyl-[Glu](2)	-1.0	-3.17	0.222	11.0	-1.289	60.0
C00583	Propane-1,2-diol	3.585	1.0	0.279	14.0	1.965	70.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.737	-3.27	0.173	11.313	-0.967	60.0
C00577	D-Glyceraldehyde	-6.672	-11.618	0.032	3245.13	-6.718	90.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	-1.0	-3.17	0.222	11.0	-1.289	60.0
C00279	D-Erythrose_4-phosphate	5.33	11.531	0.462	2999.442	10.437	90.0
C00275	D-Mannose_6-phosphate	4.682	-9.446	0.037	723.146	-4.734	80.0
C00900	2-Acetolactate	5.687	3.585	0.63	63.518	5.323	90.0
C00473	Retinol	0.585	7.704	0.076	210.014	3.995	70.0
C00294	Inosine	3.0	5.146	0.583	43.408	4.661	80.0
C05699	L-Selenocystathionine	3.585	3.755	0.955	25.501	4.606	80.0
C05698	Selenohomocysteine	3.0	-3.755	0.593	21.501	-3.671	70.0
C00354	D-Fructose_1,6-bisphosphate	-2.939	-9.036	0.015	532.606	-2.96	60.0
C00353	Geranylgeranyl_diphosphate	-4.392	-2.322	0.238	25.996	-2.63	50.0
C00352	D-Glucosamine_6-phosphate	4.524	6.155	0.735	94.266	6.115	90.0
C00299	Uridine	-1.158	4.315	0.112	22.136	-1.311	60.0
C00666	LL-2,6-Diaminoheptanedioate	1.817	-3.928	0.231	18.745	-2.117	50.0
C01962	Thiocysteine	-3.585	-3.755	0.889	25.501	-4.503	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	-3.807	0.214	16.997	-1.865	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-2.807	-3.807	0.5	20.995	-3.392	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	2.322	3.585	0.648	17.001	3.461	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-2.322	1.585	0.6	8.0	-2.263	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-3.755	-5.322	0.338	53.503	-4.175	80.0
C00993	D-Alanyl-D-alanine	-2.807	-8.214	0.024	303.933	-2.841	50.0
C00120	Biotin	5.261	3.17	0.603	47.346	4.834	80.0
C00122	Fumarate	-5.509	-2.852	0.159	52.758	-3.064	60.0
C00123	L-Leucine	1.939	-1.222	0.608	6.167	-1.908	50.0
C00124	D-Galactose	-7.973	-6.262	0.305	327.998	-6.647	90.0
C00129	Isopentenyl_diphosphate	3.322	-1.72	0.329	13.295	-2.131	50.0
C05749	Hexanoyl-[acp]	5.768	-2.322	0.092	59.493	-2.449	50.0
C05748	trans-Hex-2-enoyl-[acp]	-3.0	-3.459	0.727	18.997	-3.789	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.615	-3.322	0.408	34.505	-3.816	70.0
C05746	3-Oxohexanoyl-[acp]	-4.585	4.585	1.0	48.001	-5.585	90.0
C05745	Butyryl-[acp]	5.768	-2.322	0.092	59.493	-2.449	50.0
C05744	Acetoacetyl-[acp]	-6.69	3.82	0.137	117.373	-4.005	80.0
C03150	Nicotinamide-beta-riboside	3.087	5.073	0.609	42.158	4.681	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-4.219	-2.678	0.344	25.023	-3.104	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-4.402	-2.954	0.367	28.89	-3.405	60.0
C00199	D-Ribulose_5-phosphate	-4.783	-5.339	0.68	68.007	-5.532	90.0
C00197	3-Phospho-D-glycerate	5.64	-7.88	0.212	285.435	-5.917	90.0
C00058	Formate	2.392	10.263	0.233	1234.02	8.168	90.0
C01050	UDP-N-acetylmuramate	3.123	-4.692	0.337	34.56	-3.542	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.663	0.585	0.237	7.834	-0.892	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	0.807	3.524	0.229	13.253	1.602	70.0
C03539	S-Ribosyl-L-homocysteine	-2.0	5.585	0.083	52.001	-2.115	50.0
C06010	(S)-2-Acetolactate	4.714	1.678	0.356	29.445	3.39	70.0
