compound_code	compound_name	parabacteroides_mock_score	turicibacter_mock_score	ratio	magnitude	interaction_score	percentile
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-9.981	2.954	0.008	1018.351	-2.965	60.0
C00655	Xanthosine_5'-phosphate	-7.622	0.663	0.008	198.576	-0.675	60.0
C00718	Amylose	-6.384	-4.0	0.192	99.517	-4.253	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	3.17	1.0	0.315	11.0	1.795	60.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-9.246	2.585	0.01	613.188	-2.599	50.0
C01127	4-Hydroxy-2-oxoglutarate	10.006	3.459	0.346	1039.264	8.489	90.0
C05143	Dhurrin	10.551	4.672	0.443	1525.756	9.4	90.0
C18902	Methylselenic_acid	9.441	3.7	0.392	708.059	8.116	90.0
C00979	O-Acetyl-L-serine	-8.468	1.415	0.008	356.763	-1.426	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	7.317	-4.087	0.107	176.449	-4.233	80.0
C03373	Aminoimidazole_ribotide	-8.948	3.907	0.03	508.875	-3.95	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-7.815	-2.17	0.02	229.69	-2.199	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-7.337	-0.415	0.008	163.014	-0.427	60.0
C00577	D-Glyceraldehyde	-11.182	-1.0	0.001	2325.365	-1.001	50.0
C00279	D-Erythrose_4-phosphate	-9.449	-0.628	0.002	700.473	-0.631	60.0
C00275	D-Mannose_6-phosphate	-7.168	-4.115	0.12	161.136	-4.279	90.0
C00270	N-Acetylneuraminate	8.326	-2.322	0.016	325.905	-2.344	50.0
C00900	2-Acetolactate	9.054	-2.585	0.011	537.527	-2.601	50.0
C00475	Cytidine	6.348	-1.826	0.044	85.004	-1.887	50.0
C12215	Iminoerythrose_4-phosphate	-10.672	-2.322	0.003	1636.519	-2.326	50.0
C12214	Aminofructose_6-phosphate	10.672	2.322	0.218	1636.519	8.476	90.0
C00294	Inosine	9.618	1.0	0.104	787.79	6.356	80.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	3.644	-1.0	0.16	14.501	-1.214	50.0
C05698	Selenohomocysteine	-8.945	2.807	0.014	499.847	-2.827	60.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	5.794	-0.341	0.023	56.751	-0.374	60.0
C00352	D-Glucosamine_6-phosphate	-8.342	1.848	0.011	328.083	-1.864	50.0
C05399	Melibiitol	9.18	3.7	0.403	593.033	7.901	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	5.524	-4.0	0.348	62.014	-4.431	90.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.585	-4.0	0.042	400.01	-4.059	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-6.304	3.907	0.19	94.013	-4.158	80.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	6.575	3.585	0.545	107.34	5.871	70.0
C00121	D-Ribose	1.585	3.0	0.528	11.0	2.539	60.0
C00122	Fumarate	-9.624	-0.766	0.002	790.765	-0.769	60.0
C00123	L-Leucine	6.632	1.737	0.262	102.515	4.747	70.0
C00124	D-Galactose	9.79	2.907	0.297	892.787	8.05	90.0
C05749	Hexanoyl-[acp]	8.667	4.17	0.481	424.47	7.674	80.0
C05748	trans-Hex-2-enoyl-[acp]	7.317	-4.087	0.107	176.449	-4.233	80.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-10.203	3.322	0.008	1188.716	-3.334	70.0
C05746	3-Oxohexanoyl-[acp]	9.263	-3.459	0.018	625.382	-3.485	70.0
C05745	Butyryl-[acp]	8.667	4.17	0.481	424.47	7.674	80.0
C05744	Acetoacetyl-[acp]	8.124	-2.807	0.025	285.975	-2.843	60.0
C03150	Nicotinamide-beta-riboside	9.618	1.0	0.104	787.79	6.356	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-9.788	2.678	0.007	890.459	-2.688	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-9.981	2.954	0.008	1018.351	-2.965	60.0
C00199	D-Ribulose_5-phosphate	-7.103	1.659	0.023	140.631	-1.692	50.0
C02659	Acetone_cyanohydrin	-10.551	-4.672	0.017	1525.756	-4.696	90.0
C00197	3-Phospho-D-glycerate	9.963	5.743	0.576	1051.629	9.244	90.0
C03785	D-Tagatose_1,6-bisphosphate	-9.329	-5.555	0.073	690.158	-5.657	90.0
C01050	UDP-N-acetylmuramate	-5.664	3.496	0.223	61.985	-3.786	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.415	-1.0	0.75	4.667	-1.807	50.0
C00206	dADP	7.905	2.237	0.283	244.4	6.112	70.0
C03539	S-Ribosyl-L-homocysteine	-5.931	-4.17	0.295	79.012	-4.543	90.0
C06010	(S)-2-Acetolactate	8.057	-1.807	0.013	269.816	-1.826	50.0
