compound_code	compound_name	eubacterium_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C04006	1D-myo-Inositol_3-phosphate	1.0	7.285	0.137	157.957	4.438	60.0
C02686	Galactosylceramide	-6.022	-7.468	0.367	242.032	-6.473	90.0
C00243	Lactose	5.129	6.516	0.787	126.512	6.638	80.0
C00242	Guanine	-2.907	-2.624	0.822	13.665	-3.489	60.0
C00245	Taurine	-3.17	-7.418	0.053	180.018	-3.244	60.0
C18172	Carboxyspermidine	4.7	6.322	0.743	105.996	6.3	70.0
C18174	Carboxynorspermidine	4.7	6.322	0.743	105.996	6.3	70.0
C01099	L-Fuculose_1-phosphate	3.322	8.271	0.402	318.901	7.001	80.0
C01097	D-Tagatose_6-phosphate	6.943	11.526	0.602	3072.021	10.854	90.0
C00561	Mandelonitrile	-5.524	-9.95	0.047	1035.133	-5.59	80.0
C01094	D-Fructose_1-phosphate	6.629	10.353	0.64	1406.842	9.815	90.0
C01721	L-Fuculose	-3.0	-7.15	0.056	150.025	-3.079	60.0
C00068	Thiamin_diphosphate	0.479	4.777	0.1	28.811	1.531	50.0
C00342	Thioredoxin	3.807	9.0	0.423	525.997	7.798	90.0
C00343	Thioredoxin_disulfide	-3.807	-9.0	0.027	525.997	-3.846	60.0
C00344	Phosphatidylglycerol	3.807	7.87	0.484	247.937	6.906	80.0
C05684	Selenite	5.524	7.547	0.732	233.028	7.414	80.0
C00063	CTP	7.129	9.067	0.786	676.311	9.055	90.0
C00062	L-Arginine	-1.585	-5.044	0.091	35.991	-1.711	50.0
C00065	L-Serine	-3.92	-7.009	0.118	143.938	-4.08	70.0
C00064	L-Glutamine	-3.033	-7.294	0.052	165.118	-3.106	60.0
C00066	tRNA	3.807	6.943	0.548	137.038	6.232	70.0
C16633	5-Fluorouridine	5.044	7.577	0.666	223.934	7.22	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-1.263	3.963	0.154	17.995	-1.47	50.0
C16635	5'-Deoxy-5-fluorocytidine	4.644	7.672	0.605	228.942	7.115	80.0
C16634	5-Fluorouridine_monophosphate	-5.044	-8.464	0.093	386.107	-5.173	80.0
C19673	Malonyl-[acp]_methyl_ester	4.858	8.693	0.559	442.861	7.951	90.0
C00239	dCMP	-3.807	-6.322	0.175	94.001	-4.04	70.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.907	6.925	0.564	136.517	6.267	70.0
C00668	alpha-D-Glucose_6-phosphate	5.783	8.772	0.659	492.217	8.342	90.0
C00666	LL-2,6-Diaminoheptanedioate	-1.716	7.073	0.024	137.929	-1.751	50.0
C02163	L-Arginyl-tRNA(Arg)	-4.248	-7.435	0.11	192.046	-4.398	70.0
C00117	D-Ribose_5-phosphate	-6.497	-10.034	0.086	1138.741	-6.616	90.0
C00116	Glycerol	-6.022	7.061	0.487	198.512	-6.594	90.0
C00111	Glycerone_phosphate	-4.496	-6.386	0.27	106.198	-4.841	80.0
C02380	6-Mercaptopurine	4.858	7.864	0.618	261.97	7.338	80.0
C00112	CDP	-5.57	-7.547	0.254	234.518	-5.897	90.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-3.234	-7.049	0.071	141.831	-3.333	60.0
C00118	D-Glyceraldehyde_3-phosphate	7.282	5.968	0.82	218.229	7.483	80.0
C03492	D-4'-Phosphopantothenate	-2.322	-6.721	0.047	110.493	-2.389	50.0
C05750	3-Oxooctanoyl-[acp]	3.931	-2.0	0.262	19.253	-2.336	50.0
C05751	trans-Oct-2-enoyl-[acp]	1.585	6.15	0.258	74.013	4.254	60.0
C05752	Octanoyl-[acp]	1.0	5.907	0.169	62.005	3.392	60.0
C05753	3-Oxodecanoyl-[acp]	3.931	-2.0	0.262	19.253	-2.336	50.0
C05754	trans-Dec-2-enoyl-[acp]	1.585	6.15	0.258	74.013	4.254	60.0
C05755	Decanoyl-[acp]	1.0	5.907	0.169	62.005	3.392	60.0
C03167	Phosphonoacetaldehyde	-3.402	-6.591	0.11	106.973	-3.552	60.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-4.524	-6.977	0.183	148.983	-4.766	70.0
C05758	trans-Dodec-2-enoyl-[acp]	1.585	6.15	0.258	74.013	4.254	60.0
C05759	3-Oxotetradecanoyl-[acp]	4.322	-2.322	0.25	25.001	-2.644	50.0
C00235	Dimethylallyl_diphosphate	-6.423	-8.912	0.178	567.509	-6.659	90.0
C00249	Hexadecanoic_acid	3.7	9.257	0.4	624.832	7.964	90.0
C00188	L-Threonine	-3.7	-3.577	0.918	24.93	-4.517	70.0
C02702	L-Prolyl-tRNA(Pro)	-5.358	-8.371	0.124	372.084	-5.526	80.0
C00185	Cellobiose	-6.768	9.931	0.112	1085.164	-6.921	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	6.022	8.028	0.75	326.0	7.934	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.0	-3.322	0.4	14.0	-2.485	50.0
C00181	D-Xylose	5.858	-6.883	0.491	176.03	-6.435	90.0
C00159	D-Mannose	-5.874	-7.766	0.269	276.318	-6.218	90.0
C04216	all-trans-Heptaprenyl_diphosphate	-4.248	-7.366	0.115	183.964	-4.405	70.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.322	-8.006	0.039	267.067	-3.377	60.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-0.848	-5.163	0.05	37.628	-0.919	50.0
C00327	L-Citrulline	5.248	8.238	0.637	339.917	7.759	90.0
C00842	dTDP-glucose	2.585	7.577	0.341	196.943	6.07	70.0
C00015	UDP	-5.037	-6.366	0.398	115.313	-5.52	80.0
C02291	L-Cystathionine	7.807	7.131	0.913	364.112	8.378	90.0
C05823	3-Mercaptolactate	-3.807	-7.877	0.06	249.075	-3.89	60.0
C03546	myo-Inositol_4-phosphate	1.0	7.285	0.137	157.957	4.438	60.0
C02554	L-Valyl-tRNA(Val)	-5.524	-8.443	0.132	394.028	-5.703	90.0
C11437	1-Deoxy-D-xylulose_5-phosphate	0.263	-4.121	0.069	18.6	-0.359	50.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	5.129	7.055	0.727	167.967	6.932	80.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	2.585	4.524	0.571	29.007	4.051	60.0
C00446	alpha-D-Galactose_1-phosphate	-3.036	2.888	0.903	15.605	-3.816	60.0
C00445	5,10-Methenyltetrahydrofolate	0.874	6.371	0.137	84.601	3.537	60.0
C01762	Xanthosine	4.087	7.676	0.532	221.501	6.882	80.0
C00441	L-Aspartate_4-semialdehyde	3.852	6.524	0.59	106.468	5.974	70.0
C00440	5-Methyltetrahydrofolate	3.624	4.755	0.762	39.331	4.906	60.0
C00526	Deoxyuridine	-2.874	-5.958	0.118	69.495	-3.035	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	2.982	-6.331	0.098	88.405	-3.117	60.0
C00522	(R)-Pantoate	-1.138	2.807	0.314	9.199	-1.532	50.0
C00448	trans,trans-Farnesyl_diphosphate	3.644	-2.7	0.52	18.999	-3.304	60.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	2.0	-4.322	0.2	24.001	-2.263	50.0
C12739	5'-Deoxy-5-fluorouridine	-4.644	-7.672	0.123	228.942	-4.811	80.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-5.129	-6.476	0.393	124.01	-5.607	80.0
C00009	Orthophosphate	-3.907	-7.883	0.064	251.06	-3.996	60.0
C04133	N-Acetyl-L-glutamate_5-phosphate	1.807	5.443	0.332	47.001	3.964	60.0
C03838	5'-Phosphoribosylglycinamide	-4.755	5.858	0.466	85.003	-5.306	80.0
C05400	Epimelibiose	6.022	8.028	0.75	326.0	7.934	90.0
C03722	Quinolinate	-3.7	-3.7	1.0	25.992	-4.7	70.0
C05402	Melibiose	4.392	4.907	0.895	50.998	5.512	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	5.931	6.459	0.918	148.985	7.096	80.0
C03939	Acetyl-[acyl-carrier_protein]	0.515	3.259	0.158	11.002	0.798	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.17	-10.148	0.008	1143.626	-3.181	60.0
C00627	Pyridoxine_phosphate	-4.17	-6.17	0.25	90.005	-4.492	70.0
C05335	L-Selenomethionine	3.0	6.409	0.468	92.977	5.444	70.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-4.459	-6.873	0.188	139.207	-4.707	70.0
C00624	N-Acetyl-L-glutamate	-1.0	2.0	0.5	6.0	-1.585	50.0
C01672	Cadaverine	4.087	5.781	0.707	71.981	5.669	70.0
C00231	D-Xylulose_5-phosphate	-5.718	-9.179	0.091	632.271	-5.843	90.0
C01345	dITP	4.17	6.022	0.692	82.984	5.845	70.0
C00233	4-Methyl-2-oxopentanoate	2.402	6.842	0.351	120.007	5.397	60.0
C00234	10-Formyltetrahydrofolate	-1.338	6.413	0.03	87.741	-1.38	50.0
C05688	L-Selenocysteine	2.0	1.0	0.5	6.0	1.585	50.0
C01613	Stachyose	5.492	7.858	0.699	277.008	7.597	80.0
C00010	CoA	-4.087	-8.521	0.046	384.342	-4.152	70.0
C05984	2-Hydroxybutanoic_acid	3.807	7.877	0.483	249.075	6.911	80.0
C00014	Ammonia	-3.378	-4.607	0.427	34.766	-3.891	60.0
C05980	Cardiolipin	-3.807	-7.87	0.06	247.937	-3.891	60.0
C00018	Pyridoxal_phosphate	-4.17	-5.562	0.381	65.243	-4.636	70.0
C00019	S-Adenosyl-L-methionine	-4.982	-8.062	0.118	298.845	-5.143	80.0
C00153	Nicotinamide	-4.459	-7.791	0.099	243.468	-4.596	70.0
C00152	L-Asparagine	1.737	-7.197	0.023	150.061	-1.769	50.0
C00155	L-Homocysteine	-6.156	-5.299	0.552	110.678	-5.933	90.0
C00154	Palmitoyl-CoA	-3.7	-9.257	0.021	624.832	-3.73	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	6.658	9.192	0.724	685.866	8.956	90.0
C02876	Propanoyl_phosphate	-5.6	-2.115	0.089	52.835	-2.238	50.0
C02336	beta-D-Fructose	1.585	8.261	0.192	309.767	5.893	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-4.129	-6.566	0.185	112.243	-4.373	70.0
C00655	Xanthosine_5'-phosphate	-4.167	-7.212	0.121	166.225	-4.332	70.0
C00300	Creatine	-1.0	-2.0	0.5	6.0	-1.585	50.0
C00301	ADP-ribose	4.755	8.234	0.577	328.081	7.566	80.0
C00718	Amylose	-4.285	-8.51	0.053	384.051	-4.36	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.0	-5.954	0.065	65.992	-2.09	50.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-6.547	-6.96	0.751	218.007	-7.355	90.0
C00681	1-Acyl-sn-glycerol_3-phosphate	2.28	4.459	0.511	26.85	3.779	60.0
C01127	4-Hydroxy-2-oxoglutarate	5.0	9.937	0.503	1012.246	8.992	90.0
C03506	Indoleglycerol_phosphate	4.874	7.634	0.638	227.962	7.185	80.0
C05143	Dhurrin	5.524	9.95	0.555	1035.133	9.167	90.0
C18902	Methylselenic_acid	5.524	7.547	0.732	233.028	7.414	80.0
C03294	N-Formylmethionyl-tRNA	-5.044	-8.098	0.12	306.985	-5.208	80.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-4.807	-8.472	0.079	383.073	-4.916	80.0
C00979	O-Acetyl-L-serine	-2.078	-6.877	0.036	121.762	-2.129	50.0
C00877	Crotonoyl-CoA	-2.442	6.506	0.06	96.321	-2.526	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	1.585	6.15	0.258	74.013	4.254	60.0
C01019	6-Deoxy-L-galactose	4.7	5.544	0.848	72.648	5.945	70.0
C03375	Norspermidine	-4.7	-6.322	0.325	105.996	-5.106	80.0
C03373	Aminoimidazole_ribotide	-4.954	-8.308	0.098	347.921	-5.089	80.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.807	-6.943	0.114	137.038	-3.962	60.0
C06056	4-Hydroxy-L-threonine	-4.954	-8.124	0.111	309.972	-5.106	80.0
C06055	O-Phospho-4-hydroxy-L-threonine	-5.943	-1.663	0.051	64.687	-1.735	50.0
C03479	Folinic_acid	4.087	7.615	0.537	213.034	6.837	80.0
C06113	L-Aspartyl-tRNA(Asn)	-4.768	-6.725	0.258	133.032	-5.099	80.0
C06112	L-Glutamyl-tRNA(Gln)	-5.157	-7.136	0.254	176.332	-5.483	80.0
C09332	Tetrahydrofolyl-[Glu](2)	-3.17	-7.401	0.053	178.015	-3.245	60.0
C00582	Phenylacetyl-CoA	-5.585	-9.246	0.079	655.189	-5.695	80.0
C00583	Propane-1,2-diol	6.443	8.82	0.73	538.947	8.621	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	1.105	-2.972	0.274	9.997	-1.455	50.0
C00577	D-Glyceraldehyde	-7.15	-10.943	0.072	2110.687	-7.25	90.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	1.0	1.0	1.0	4.0	2.0	50.0
C00279	D-Erythrose_4-phosphate	-6.779	-9.739	0.129	964.358	-6.953	90.0
C01801	Deoxyribose	1.585	8.752	0.181	434.136	6.297	70.0
C02474	Arabinan	5.781	9.317	0.62	692.804	8.748	90.0
C00900	2-Acetolactate	4.129	9.809	0.421	914.519	8.589	90.0
C00479	Propanal	-3.059	-7.012	0.065	137.403	-3.149	60.0
C00475	Cytidine	1.189	5.0	0.238	34.28	3.027	60.0
C12215	Iminoerythrose_4-phosphate	-7.852	-11.438	0.083	3005.517	-7.967	90.0
C12214	Aminofructose_6-phosphate	7.852	11.438	0.686	3005.517	11.011	90.0
C00294	Inosine	4.087	7.715	0.53	227.104	6.911	80.0
C05699	L-Selenocystathionine	7.807	7.451	0.954	398.919	8.573	90.0
C05698	Selenohomocysteine	-7.492	4.7	0.144	206.01	-4.895	80.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	-0.617	2.601	0.253	7.601	-0.942	50.0
C00353	Geranylgeranyl_diphosphate	-3.807	-7.672	0.069	217.936	-3.903	60.0
C00352	D-Glucosamine_6-phosphate	1.848	6.436	0.287	90.182	4.695	60.0
C00299	Uridine	-0.304	-2.709	0.189	7.773	-0.554	50.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-4.125	-7.486	0.097	196.719	-4.259	70.0
C00158	Citrate	-3.912	-6.124	0.216	84.797	-4.194	70.0
C05399	Melibiitol	6.022	8.028	0.75	326.0	7.934	90.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.907	-8.281	0.096	341.052	-5.04	80.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-5.044	-8.596	0.085	419.94	-5.162	80.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.907	7.6	0.514	209.013	6.748	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	4.0	7.735	0.517	229.043	6.888	80.0
C00993	D-Alanyl-D-alanine	-4.087	-3.17	0.53	25.995	-3.783	60.0
C05382	Sedoheptulose_7-phosphate	-5.655	-6.078	0.746	117.943	-6.459	90.0
C00120	Biotin	2.585	6.829	0.379	119.693	5.502	70.0
C00121	D-Ribose	1.585	8.752	0.181	434.136	6.297	70.0
C00122	Fumarate	1.469	3.879	0.379	17.481	2.727	50.0
C00123	L-Leucine	-0.737	-4.79	0.06	29.332	-0.821	50.0
C00124	D-Galactose	-4.363	7.776	0.094	239.762	-4.492	70.0
C00128	CMP-N-acetylneuraminate	-1.585	-7.814	0.013	228.034	-1.604	50.0
C00129	Isopentenyl_diphosphate	-6.331	-8.665	0.198	486.41	-6.592	90.0
C05749	Hexanoyl-[acp]	1.0	5.907	0.169	62.005	3.392	60.0
C05748	trans-Hex-2-enoyl-[acp]	1.585	6.15	0.258	74.013	4.254	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.524	-6.977	0.183	148.983	-4.766	70.0
C05746	3-Oxohexanoyl-[acp]	4.322	-2.322	0.25	25.001	-2.644	50.0
C05745	Butyryl-[acp]	1.0	5.907	0.169	62.005	3.392	60.0
C05744	Acetoacetyl-[acp]	3.966	2.459	0.62	21.126	3.711	60.0
C03150	Nicotinamide-beta-riboside	4.087	7.676	0.532	221.501	6.882	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-3.828	-6.248	0.187	90.206	-4.075	70.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-4.129	-6.566	0.185	112.243	-4.373	70.0
C00055	CMP	-1.852	-5.764	0.066	57.952	-1.945	50.0
C00199	D-Ribulose_5-phosphate	-4.049	-6.01	0.257	80.998	-4.379	70.0
C00052	UDP-alpha-D-galactose	2.147	5.591	0.384	52.63	4.337	60.0
C02659	Acetone_cyanohydrin	-5.524	-9.95	0.047	1035.133	-5.59	80.0
C00197	3-Phospho-D-glycerate	6.311	6.624	0.953	178.029	7.406	80.0
C03785	D-Tagatose_1,6-bisphosphate	-6.943	-11.489	0.043	2997.351	-7.003	90.0
C02714	N-Acetylputrescine	-4.392	-7.055	0.158	153.969	-4.603	70.0
C00011	CO2	7.565	5.206	0.688	226.273	7.283	80.0
C01050	UDP-N-acetylmuramate	-3.793	-4.994	0.435	45.729	-4.314	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-4.585	6.0	0.375	88.001	-5.044	80.0
C00206	dADP	7.077	8.904	0.795	614.056	8.931	90.0
C03028	Thiamin_triphosphate	-3.585	-7.34	0.074	174.017	-3.688	60.0
C03539	S-Ribosyl-L-homocysteine	1.585	5.524	0.287	49.014	3.814	60.0
C06010	(S)-2-Acetolactate	3.209	8.811	0.364	458.38	7.383	80.0
