compound_code	compound_name	parabacteroides_mock_score	butyrivibrio_mock_score	ratio	magnitude	interaction_score	percentile
C04633	(3R)-3-Hydroxypalmitoyl-[acyl-carrier_protein]	-9.981	-6.566	0.0	0.0	0.0	50.0
C02737	Phosphatidylserine	-5.992	-0.222	0.0	0.0	0.0	50.0
C00099	beta-Alanine	7.451	-2.0	0.023	178.974	-2.033	70.0
C02739	1-(5-Phospho-D-ribosyl)-ATP	-4.943	-6.19	0.0	0.0	0.0	50.0
C05726	S-Substituted_L-cysteine	-10.589	-6.384	0.0	0.0	0.0	50.0
C00700	XTP	9.543	6.022	0.631	810.967	8.999	80.0
C06250	Holo-[carboxylase]	-8.214	-7.998	0.0	0.0	0.0	50.0
C02637	3-Dehydroshikimate	6.639	2.722	0.41	106.262	5.445	60.0
C03194	(R)-1-Aminopropan-2-ol	6.687	4.459	0.667	125.029	6.381	60.0
C02988	L-Histidyl-tRNA(His)	-8.508	-7.615	0.0	0.0	0.0	50.0
C01801	Deoxyribose	1.585	8.752	0.181	434.136	6.297	60.0
C01528	Hydrogen_selenide	-8.907	-7.547	0.0	0.0	0.0	50.0
C04752	2-Methyl-4-amino-5-hydroxymethylpyrimidine_diphosphate	8.165	4.0	0.49	303.019	7.214	70.0
C04751	1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate	8.604	6.426	0.747	475.085	8.471	80.0
C04454	5-Amino-6-(5'-phospho-D-ribitylamino)uracil	-7.418	-7.15	0.0	0.0	0.0	50.0
C01131	L-Rhamnulose_1-phosphate	10.16	6.524	0.642	1236.13	9.633	90.0
C06037	Digalactosyl-diacylglycerol	9.18	8.028	0.875	841.054	9.523	90.0
C03511	L-Phenylalanyl-tRNA(Phe)	-9.641	-7.873	0.0	0.0	0.0	50.0
C06032	D-erythro-3-Methylmalate	-5.078	2.205	0.137	38.388	-2.39	80.0
C05659	5-Methoxytryptamine	-6.845	-6.476	0.0	0.0	0.0	50.0
C03287	L-Glutamyl_5-phosphate	-3.931	6.892	0.128	134.021	-4.105	80.0
C03125	L-Cysteinyl-tRNA(Cys)	-9.814	-8.114	0.0	0.0	0.0	50.0
C03127	L-Isoleucyl-tRNA(Ile)	-9.426	-8.17	0.0	0.0	0.0	50.0
C03692	1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol	-9.18	-8.028	0.0	0.0	0.0	50.0
C03691	CMP-N-glycoloylneuraminate	-8.91	-7.814	0.0	0.0	0.0	50.0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	-10.617	-6.977	0.0	0.0	0.0	50.0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	9.263	-2.322	0.008	619.386	-2.334	70.0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	-10.617	-6.977	0.0	0.0	0.0	50.0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	9.263	-2.322	0.008	619.386	-2.334	70.0
C20375	Glutaryl-[acp]_methyl_ester	8.667	8.693	0.997	820.329	9.676	90.0
C20374	Enoylglutaryl-[acp]_methyl_ester	9.106	-8.155	0.517	836.071	-8.756	90.0
C05596	p-Hydroxyphenylacetylglycine	-2.0	-4.7	0.0	0.0	0.0	50.0
C20378	Enoylpimeloyl-[acp]_methyl_ester	9.106	-8.155	0.517	836.071	-8.756	90.0
C05401	3-beta-D-Galactosyl-sn-glycerol	9.18	8.028	0.875	841.054	9.523	90.0
C00966	2-Dehydropantoate	-7.854	-5.358	0.0	0.0	0.0	50.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-2.0	8.924	0.008	489.726	-2.012	70.0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	-6.011	6.384	0.772	148.007	-6.837	90.0
C00415	Dihydrofolate	-4.605	6.33	0.302	104.785	-4.986	80.0
C00416	Phosphatidate	8.021	-5.426	0.166	302.746	-5.647	80.0
C01005	O-Phospho-L-serine	-9.526	-6.947	0.0	0.0	0.0	50.0
C17949	N-Acetyldemethylphosphinothricin	-3.7	-5.392	0.0	0.0	0.0	50.0
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	-6.304	7.735	0.371	292.055	-6.759	90.0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	6.575	3.17	0.482	104.34	5.653	60.0
C01798	D-Glucoside	10.551	9.95	0.943	2489.382	11.197	90.0
C19972	2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose	1.585	4.644	0.341	28.003	3.257	60.0
C10700	4'-Hydroxyacetophenone	-8.651	-4.858	0.0	0.0	0.0	50.0
C00620	alpha-D-Ribose_1-phosphate	11.736	9.72	0.828	4254.407	11.783	90.0
C04006	1D-myo-Inositol_3-phosphate	-11.604	7.285	0.05	3268.763	-7.356	90.0
C02686	Galactosylceramide	-8.333	-7.468	0.0	0.0	0.0	50.0
C00243	Lactose	11.461	6.516	0.569	2910.582	10.692	90.0
C00242	Guanine	-8.595	-2.624	0.0	0.0	0.0	50.0
C00245	Taurine	-6.486	-7.418	0.0	0.0	0.0	50.0
C18172	Carboxyspermidine	8.566	6.322	0.738	458.99	8.404	80.0
C18174	Carboxynorspermidine	8.566	6.322	0.738	458.99	8.404	80.0
C02442	N-Methyltyramine	6.845	6.476	0.946	203.977	7.592	70.0
C00568	4-Aminobenzoate	8.124	5.0	0.615	310.977	7.58	70.0
C04732	5-Amino-6-(1-D-ribitylamino)uracil	-7.562	4.322	0.106	208.969	-4.467	80.0
C01099	L-Fuculose_1-phosphate	-4.248	8.271	0.062	327.902	-4.334	80.0
C01097	D-Tagatose_6-phosphate	9.329	11.526	0.809	3592.124	11.506	90.0
C00561	Mandelonitrile	-10.551	-9.95	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	10.599	10.353	0.977	2858.885	11.447	90.0
C01721	L-Fuculose	-9.651	-7.15	0.0	0.0	0.0	50.0
C01092	8-Amino-7-oxononanoate	8.558	2.807	0.328	383.888	6.976	70.0
C00068	Thiamin_diphosphate	4.229	4.777	0.885	46.169	5.353	60.0
C00342	Thioredoxin	-7.406	9.0	0.331	681.601	-7.819	90.0
C00343	Thioredoxin_disulfide	7.322	-9.0	0.313	672.008	-7.714	90.0
C00344	Phosphatidylglycerol	7.087	7.87	0.901	369.897	8.38	80.0
C05684	Selenite	9.441	7.547	0.799	882.077	9.462	80.0
C05688	L-Selenocysteine	8.547	1.0	0.117	376.027	5.459	60.0
C00062	L-Arginine	-5.081	-5.044	0.0	0.0	0.0	50.0
C00065	L-Serine	-7.847	-7.009	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-8.294	-7.294	0.0	0.0	0.0	50.0
C00066	tRNA	8.98	6.943	0.773	627.993	8.923	80.0
C16633	5-Fluorouridine	8.725	7.577	0.868	614.086	9.059	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	8.518	3.963	0.465	382.179	7.474	70.0
C16635	5'-Deoxy-5-fluorocytidine	8.516	7.672	0.901	570.016	9.004	80.0
C16634	5-Fluorouridine_monophosphate	-9.773	-8.464	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	9.691	8.693	0.897	1240.434	10.12	90.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	8.725	6.925	0.794	544.658	8.756	80.0
C00668	alpha-D-Glucose_6-phosphate	-9.765	8.772	0.502	1307.232	-9.359	90.0
C05399	Melibiitol	9.18	8.028	0.875	841.054	9.523	90.0
C02163	L-Arginyl-tRNA(Arg)	-9.36	-7.435	0.0	0.0	0.0	50.0
C00988	2-Phosphoglycolate	6.358	9.079	0.7	622.844	8.769	80.0
C00114	Choline	-7.0	-8.281	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-9.819	-10.034	0.0	0.0	0.0	50.0
C00116	Glycerol	-8.132	7.061	0.476	414.056	-7.623	90.0
C00111	Glycerone_phosphate	-9.192	-6.386	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	9.241	7.864	0.851	838.057	9.478	80.0
C00112	CDP	-8.65	-7.547	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-6.682	-7.049	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	8.074	5.968	0.739	332.07	7.939	70.0
C03492	D-4'-Phosphopantothenate	5.781	-6.721	0.521	160.479	-6.386	90.0
C05750	3-Oxooctanoyl-[acp]	9.041	-2.0	0.008	530.759	-2.011	70.0
C05751	trans-Oct-2-enoyl-[acp]	7.317	6.15	0.841	230.467	7.598	70.0
C05752	Octanoyl-[acp]	8.592	5.907	0.688	445.882	8.26	70.0
C05753	3-Oxodecanoyl-[acp]	9.041	-2.0	0.008	530.759	-2.011	70.0
C05754	trans-Dec-2-enoyl-[acp]	7.317	6.15	0.841	230.467	7.598	70.0
C05755	Decanoyl-[acp]	8.667	5.907	0.682	466.473	8.313	70.0
C05756	3-Oxododecanoyl-[acp]	9.263	-2.322	0.008	619.386	-2.334	70.0
C13638	1-(4'-Hydroxyphenyl)ethanol	8.651	4.858	0.562	430.986	7.919	70.0
C05758	trans-Dodec-2-enoyl-[acp]	7.317	6.15	0.841	230.467	7.598	70.0
C05759	3-Oxotetradecanoyl-[acp]	9.263	-2.322	0.008	619.386	-2.334	70.0
C00235	Dimethylallyl_diphosphate	7.152	-8.912	0.295	623.925	-7.525	90.0
C00249	Hexadecanoic_acid	10.087	9.257	0.918	1699.487	10.607	90.0
C00188	L-Threonine	5.923	-3.577	0.197	72.608	-3.836	80.0
C00189	Ethanolamine	-7.0	-8.281	0.0	0.0	0.0	50.0
C02702	L-Prolyl-tRNA(Pro)	-9.34	-8.371	0.0	0.0	0.0	50.0
C00185	Cellobiose	10.298	9.931	0.964	2235.123	11.074	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	9.18	8.028	0.875	841.054	9.523	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-6.369	-3.322	0.0	0.0	0.0	50.0
C00181	D-Xylose	11.506	-6.883	0.041	3026.409	-6.94	90.0
C00159	D-Mannose	-9.025	-7.766	0.0	0.0	0.0	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-9.579	-8.006	0.0	0.0	0.0	50.0
C06548	Ethylene_oxide	8.651	4.858	0.562	430.986	7.919	70.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	3.561	-5.163	0.329	47.63	-3.972	80.0
C05338	4-Hydroxyphenylacetyl-CoA	2.0	4.7	0.426	29.992	3.674	60.0
C13952	UDP-N-acetyl-D-galactosaminuronic_acid	-6.476	-7.607	0.0	0.0	0.0	50.0
C05778	Sirohydrochlorin	3.17	1.0	0.315	11.0	1.795	60.0
C00327	L-Citrulline	9.312	8.238	0.885	937.526	9.696	90.0
C00842	dTDP-glucose	-5.322	7.577	0.209	230.945	-5.596	80.0
C00015	UDP	-8.186	-6.366	0.0	0.0	0.0	50.0
C06142	1-Butanol	-8.651	-4.858	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	9.486	7.131	0.752	857.252	9.332	80.0
C03546	myo-Inositol_4-phosphate	7.476	7.285	0.974	333.989	8.346	70.0
C20239	6-Carboxy-5,6,7,8-tetrahydropterin	-8.401	-3.0	0.0	0.0	0.0	50.0
C06715	3-Oxopimeloyl-CoA	2.0	4.7	0.426	29.992	3.674	60.0
C14519	1-Hydroxypyrene	6.845	6.476	0.946	203.977	7.592	70.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	11.461	7.055	0.616	2952.037	10.827	90.0
C01096	Sorbitol_6-phosphate	8.651	4.858	0.562	430.986	7.919	70.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	8.267	4.524	0.547	331.053	7.501	70.0
C00445	5,10-Methenyltetrahydrofolate	7.106	6.371	0.897	220.527	7.627	70.0
C01762	Xanthosine	9.618	7.676	0.798	990.296	9.626	90.0
C12632	Luteolin_7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]	-3.7	-4.392	0.0	0.0	0.0	50.0
C00441	L-Aspartate_4-semialdehyde	7.639	6.524	0.854	291.356	7.959	70.0
C00440	5-Methyltetrahydrofolate	6.644	4.755	0.716	127.012	6.506	60.0
C00526	Deoxyuridine	8.582	-5.958	0.162	445.376	-6.175	90.0
C00527	Glutaryl-CoA	-2.0	-4.7	0.0	0.0	0.0	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	7.698	-6.331	0.388	288.153	-6.804	90.0
C00522	(R)-Pantoate	7.924	2.807	0.354	249.861	6.468	60.0
C00448	trans,trans-Farnesyl_diphosphate	-6.129	-2.7	0.0	0.0	0.0	50.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	7.531	-4.322	0.108	204.952	-4.47	80.0
C01024	Hydroxymethylbilane	8.676	-1.585	0.007	412.012	-1.596	70.0
C12739	5'-Deoxy-5-fluorouridine	-8.516	-7.672	0.0	0.0	0.0	50.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-10.822	-6.476	0.0	0.0	0.0	50.0
C00009	Orthophosphate	-8.827	-7.883	0.0	0.0	0.0	50.0
C04133	N-Acetyl-L-glutamate_5-phosphate	6.627	5.443	0.821	142.34	6.869	70.0
C03838	5'-Phosphoribosylglycinamide	-6.366	5.858	0.703	140.482	-6.626	90.0
C05400	Epimelibiose	9.18	8.028	0.875	841.054	9.523	90.0
C03722	Quinolinate	7.889	-3.7	0.055	250.038	-3.777	80.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	9.18	6.459	0.704	668.01	8.877	80.0
C03939	Acetyl-[acyl-carrier_protein]	-8.948	3.259	0.019	503.447	-3.287	80.0
C00623	sn-Glycerol_1-phosphate	-2.585	-6.858	0.0	0.0	0.0	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-9.229	-10.148	0.0	0.0	0.0	50.0
C00627	Pyridoxine_phosphate	-7.864	-6.17	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	8.358	6.409	0.767	413.079	8.307	70.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-2.954	-6.873	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	8.539	2.0	0.234	375.959	6.46	60.0
C00780	Serotonin	6.845	6.476	0.946	203.977	7.592	70.0
C01228	Guanosine_3',5'-bis(diphosphate)	-3.0	-7.276	0.0	0.0	0.0	50.0
C00239	dCMP	-7.354	-6.322	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-8.858	-9.179	0.0	0.0	0.0	50.0
C01345	dITP	-7.977	6.022	0.258	316.935	-6.353	90.0
C00233	4-Methyl-2-oxopentanoate	7.451	6.842	0.918	289.697	8.055	70.0
C00234	10-Formyltetrahydrofolate	6.811	6.413	0.942	197.496	7.539	70.0
C00063	CTP	9.99	9.067	0.908	1553.265	10.461	90.0
C01613	Stachyose	9.18	7.858	0.856	812.04	9.441	80.0
C00010	CoA	-8.285	-8.521	0.0	0.0	0.0	50.0
C00011	CO2	10.508	5.206	0.495	1493.119	9.531	90.0
C00014	Ammonia	-7.126	-4.607	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-8.17	-7.87	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	8.055	8.261	0.975	572.715	9.125	80.0
C00018	Pyridoxal_phosphate	-1.0	-5.562	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-1.047	-8.062	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-8.913	-7.791	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-6.251	-7.197	0.0	0.0	0.0	50.0
C00155	L-Homocysteine	-8.531	-5.299	0.0	0.0	0.0	50.0
C00154	Palmitoyl-CoA	-10.087	-9.257	0.0	0.0	0.0	50.0
C06399	Hydrogenobyrinate	3.0	5.358	0.56	49.013	4.778	60.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-7.629	9.192	0.338	782.832	-8.05	90.0
C02876	Propanoyl_phosphate	-6.615	-2.115	0.0	0.0	0.0	50.0
C00424	(S)-Lactaldehyde	-9.649	-8.195	0.0	0.0	0.0	50.0
C00459	dTTP	-8.832	7.798	0.488	678.271	-8.372	90.0
C03785	D-Tagatose_1,6-bisphosphate	-9.329	-11.489	0.0	0.0	0.0	50.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-9.981	-6.566	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-7.622	-7.212	0.0	0.0	0.0	50.0
C00300	Creatine	-3.459	-2.0	0.0	0.0	0.0	50.0
C00718	Amylose	-6.384	-8.51	0.0	0.0	0.0	50.0
C01134	Pantetheine_4'-phosphate	-7.18	7.767	0.666	362.83	-7.916	90.0
C00714	Pectin	9.85	7.451	0.756	1097.855	9.698	90.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-10.203	-6.977	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-9.397	-8.443	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	3.17	-5.954	0.145	70.992	-3.366	80.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-9.246	-6.96	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	8.273	4.459	0.539	331.323	7.48	70.0
C01127	4-Hydroxy-2-oxoglutarate	10.006	9.937	0.993	2008.514	10.962	90.0
C06504	Cob(II)yrinate_a,c_diamide	-4.858	-5.358	0.0	0.0	0.0	50.0
C03506	Indoleglycerol_phosphate	7.222	7.634	0.946	347.931	8.363	70.0
C05143	Dhurrin	10.551	9.95	0.943	2489.382	11.197	90.0
C18902	Methylselenic_acid	9.441	7.547	0.799	882.077	9.462	80.0
C00330	Deoxyguanosine	8.17	5.923	0.725	348.689	7.982	70.0
C03114	Dimethylbenzimidazole	7.459	4.392	0.589	196.943	6.858	60.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-9.109	-8.472	0.0	0.0	0.0	50.0
C00857	Deamino-NAD+	4.773	-6.56	0.29	121.694	-5.14	80.0
C00979	O-Acetyl-L-serine	-8.468	-6.877	0.0	0.0	0.0	50.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	2.0	4.7	0.426	29.992	3.674	60.0
C04246	But-2-enoyl-[acyl-carrier_protein]	7.317	6.15	0.841	230.467	7.598	70.0
C01019	6-Deoxy-L-galactose	9.683	5.544	0.573	868.659	8.958	80.0
C04242	5-Fluorodeoxyuridine_monophosphate	-8.271	-6.087	0.0	0.0	0.0	50.0
C03375	Norspermidine	-8.566	-6.322	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-8.948	-8.308	0.0	0.0	0.0	50.0
C01152	N(pi)-Methyl-L-histidine	-6.845	-6.476	0.0	0.0	0.0	50.0
C01151	D-Ribose_1,5-bisphosphate	-6.508	-4.248	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-9.253	-8.124	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-7.815	-1.663	0.0	0.0	0.0	50.0
C03479	Folinic_acid	-9.041	7.615	0.372	722.799	-8.071	90.0
C06507	Adenosyl_cobyrinate_hexaamide	-5.542	4.459	0.472	68.585	-5.017	80.0
C06508	Adenosyl_cobinamide	5.392	-6.95	0.34	165.631	-5.814	80.0
C06509	Adenosyl_cobinamide_phosphate	3.874	-4.459	0.667	36.655	-4.611	80.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.901	-7.401	0.0	0.0	0.0	50.0
C00582	Phenylacetyl-CoA	-3.585	-9.246	0.0	0.0	0.0	50.0
C00583	Propane-1,2-diol	9.649	8.82	0.914	1254.801	10.164	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-7.337	-2.972	0.0	0.0	0.0	50.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-2.0	-4.7	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-11.182	-10.943	0.0	0.0	0.0	50.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	4.322	1.0	0.231	22.001	2.348	60.0
C00575	3',5'-Cyclic_AMP	-4.459	-6.895	0.0	0.0	0.0	50.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	6.279	-2.0	0.052	81.655	-2.072	70.0
C00279	D-Erythrose_4-phosphate	-9.449	-9.739	0.0	0.0	0.0	50.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-7.775	5.755	0.247	273.037	-6.073	90.0
C02470	Xanthurenic_acid	6.845	6.476	0.946	203.977	7.592	70.0
C05465	Taurochenodeoxycholate	7.762	7.418	0.956	388.085	8.535	80.0
C02474	Arabinan	10.471	9.317	0.89	2057.153	10.838	90.0
C00900	2-Acetolactate	9.054	9.809	0.923	1428.55	10.365	90.0
C00475	Cytidine	6.348	5.0	0.788	113.459	6.482	60.0
C12215	Iminoerythrose_4-phosphate	-10.672	-11.438	0.0	0.0	0.0	50.0
C02218	Dehydroalanine	-8.718	-5.087	0.0	0.0	0.0	50.0
C00470	Pectate	-9.85	-7.451	0.0	0.0	0.0	50.0
C00294	Inosine	9.618	7.715	0.802	995.9	9.642	90.0
C05699	L-Selenocystathionine	9.486	7.451	0.785	892.059	9.453	80.0
C05698	Selenohomocysteine	-8.945	4.7	0.053	518.84	-4.774	80.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	5.794	2.601	0.449	61.551	4.788	60.0
C00353	Geranylgeranyl_diphosphate	-8.551	-7.672	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-8.342	6.436	0.267	411.065	-6.777	90.0
C00299	Uridine	7.183	-2.709	0.045	151.85	-2.772	80.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-5.695	-7.486	0.0	0.0	0.0	50.0
C00666	LL-2,6-Diaminoheptanedioate	7.857	7.073	0.9	366.486	8.366	80.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-4.644	-4.392	0.0	0.0	0.0	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	5.524	-8.281	0.148	357.063	-5.723	80.0
C11736	5-Fluorodeoxyuridine	8.271	6.087	0.736	376.879	8.116	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.585	-8.596	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	8.119	7.6	0.936	472.023	8.787	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-6.304	7.735	0.371	292.055	-6.759	90.0
C06503	Hydrogenobyrinate_a,c_diamide	5.426	-5.358	0.954	84.005	-6.324	90.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	3.644	-7.877	0.053	247.58	-3.719	80.0
C00993	D-Alanyl-D-alanine	-8.508	-3.17	0.0	0.0	0.0	50.0
C05382	Sedoheptulose_7-phosphate	8.826	-6.078	0.149	521.383	-6.278	90.0
C00120	Biotin	7.542	6.829	0.905	300.06	8.086	70.0
C00121	D-Ribose	1.585	8.752	0.181	434.136	6.297	60.0
C00122	Fumarate	-9.624	3.879	0.019	803.778	-3.906	80.0
C00123	L-Leucine	6.632	-4.79	0.279	126.847	-5.145	80.0
C00124	D-Galactose	9.79	7.776	0.794	1104.47	9.777	90.0
C00128	CMP-N-acetylneuraminate	-8.91	-7.814	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	5.913	-8.665	0.148	466.16	-6.113	90.0
C05749	Hexanoyl-[acp]	8.667	5.907	0.682	466.473	8.313	70.0
C05748	trans-Hex-2-enoyl-[acp]	7.317	6.15	0.841	230.467	7.598	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-10.203	-6.977	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	9.263	-2.322	0.008	619.386	-2.334	70.0
C05745	Butyryl-[acp]	8.667	5.907	0.682	466.473	8.313	70.0
C05744	Acetoacetyl-[acp]	8.124	2.459	0.303	284.475	6.428	60.0
C03150	Nicotinamide-beta-riboside	9.618	7.676	0.798	990.296	9.626	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-9.788	-6.248	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-9.981	-6.566	0.0	0.0	0.0	50.0
C00054	Adenosine_3',5'-bisphosphate	-2.585	-8.155	0.0	0.0	0.0	50.0
C00055	CMP	-7.212	-5.764	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-7.103	-6.01	0.0	0.0	0.0	50.0
C00053	3'-Phosphoadenylyl_sulfate	2.0	-3.652	0.318	16.571	-2.399	80.0
C02659	Acetone_cyanohydrin	-10.551	-9.95	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	9.963	6.624	0.665	1096.705	9.51	80.0
C00191	D-Glucuronate	9.498	9.187	0.967	1305.932	10.303	90.0
C02714	N-Acetylputrescine	-7.983	-7.055	0.0	0.0	0.0	50.0
C01051	Uroporphyrinogen_III	-7.775	3.624	0.056	231.361	-3.703	80.0
C01050	UDP-N-acetylmuramate	-5.664	-4.994	0.0	0.0	0.0	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.415	6.0	0.042	66.667	-1.474	70.0
C00206	dADP	7.905	8.904	0.888	718.725	9.318	80.0
C18260	1,6-Dimethoxypyrene	-6.845	-6.476	0.0	0.0	0.0	50.0
C18261	1-Hydroxy-6-methoxypyrene	6.845	6.476	0.946	203.977	7.592	70.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	7.326	-2.807	0.044	167.451	-2.869	80.0
C03539	S-Ribosyl-L-homocysteine	-5.931	5.524	0.754	107.025	-6.335	90.0
C06010	(S)-2-Acetolactate	8.057	8.811	0.914	715.45	9.354	80.0
