kegg_code	genome_code	organism_name
vni	T02871	Vibrio_nigripulchritudo
vfi	T00236	Vibrio_fischeri_ES114
vfm	T00754	Vibrio_fischeri_MJ11
vsa	T00782	Aliivibrio_salmonicida_LFI1238
ppr	T00173	Photobacterium_profundum
van	T01536	Vibrio_anguillarum_775
lag	T02823	Listonella_anguillarum_M3
pae	T00035	Pseudomonas_aeruginosa_PAO1
pau	T00401	Pseudomonas_aeruginosa_UCBPP-PA14
pap	T00569	Pseudomonas_aeruginosa_PA7
pag	T00818	Pseudomonas_aeruginosa_LESB58
paf	T01973	Pseudomonas_aeruginosa_M18
pnc	T01974	Pseudomonas_aeruginosa_NCGM2.S1
pdk	T02161	Pseudomonas_aeruginosa_DK2
psg	T02627	Pseudomonas_aeruginosa_B136-33
prp	T02711	Pseudomonas_aeruginosa_RP73
ppu	T00114	Pseudomonas_putida_KT2440
ppf	T00537	Pseudomonas_putida_F1
ppg	T00650	Pseudomonas_putida_GB-1
ppw	T00675	Pseudomonas_putida_W619
ppt	T01570	Pseudomonas_putida_S16
ppb	T01975	Pseudomonas_putida_BIRD-1
ppi	T02170	Pseudomonas_putida_ND6
ppx	T02181	Pseudomonas_putida_DOT-T1E
ppuh	T02389	Pseudomonas_putida_HB3267
pput	T02706	Pseudomonas_putida_H8234
ppun	T02707	Pseudomonas_putida_NBRC_14164
ppuu	T02357	Pseudomonas_sp._UW4
pst	T00118	Pseudomonas_syringae_pv._tomato_DC3000
psb	T00246	Pseudomonas_syringae_pv._syringae_B728a
psp	T00266	Pseudomonas_syringae_pv._phaseolicola_1448A
pfl	T00249	Pseudomonas_protegens_Pf-5
pprc	T02671	Pseudomonas_protegens_CHA0
pfo	T00283	Pseudomonas_fluorescens_Pf0-1
pfs	T00899	Pseudomonas_fluorescens_SBW25
pfe	T01734	Pseudomonas_fluorescens_F113
pfc	T02114	Pseudomonas_fluorescens_A506
ppz	T02456	Pseudomonas_poae
pen	T00362	Pseudomonas_entomophila
pmy	T00510	Pseudomonas_mendocina_ymp
pmk	T01473	Pseudomonas_mendocina_NK-01
psa	T00511	Pseudomonas_stutzeri_A1501
psz	T01571	Pseudomonas_stutzeri_ATCC_17588
psr	T01976	Pseudomonas_stutzeri_DSM_4166
psc	T02168	Pseudomonas_stutzeri_CCUG_29243
psj	T02182	Pseudomonas_stutzeri_DSM_10701
psh	T02391	Pseudomonas_stutzeri_RCH2
pba	T01472	Pseudomonas_brassicacearum
pfv	T01501	Pseudomonas_fulva
pdr	T02524	Pseudomonas_denitrificans
pre	T02708	Pseudomonas_resinovorans
cja	T00721	Cellvibrio_japonicus
avn	T00885	Azotobacter_vinelandii_DJ
avl	T02633	Azotobacter_vinelandii_CA
avd	T02634	Azotobacter_vinelandii_CA6
par	T00256	Psychrobacter_arcticus
pcr	T00350	Psychrobacter_cryohalolentis
prw	T00541	Psychrobacter_sp._PRwf-1
pso	T02715	Psychrobacter_sp._G
aci	T00185	Acinetobacter_sp._ADP1
acd	T01263	Acinetobacter_oleivorans
acb	T00486	Acinetobacter_baumannii_ATCC_17978
abm	T00660	Acinetobacter_baumannii_SDF
aby	T00667	Acinetobacter_baumannii_AYE
abc	T00710	Acinetobacter_baumannii_ACICU
abn	T00793	Acinetobacter_baumannii_AB0057
abb	T00795	Acinetobacter_baumannii_AB307-0294
abx	T01819	Acinetobacter_baumannii_1656-2
abz	T01820	Acinetobacter_baumannii_MDR-ZJ06
abr	T02045	Acinetobacter_baumannii_MDR-TJ
abd	T01908	Acinetobacter_baumannii_TCDC-AB0715
abh	T02261	Acinetobacter_baumannii_TYTH-1
abad	T02491	Acinetobacter_baumannii_D1279779
abj	T02726	Acinetobacter_baumannii_BJAB07104
abab	T02727	Acinetobacter_baumannii_BJAB0715
abaj	T02728	Acinetobacter_baumannii_BJAB0868
acc	T01684	Acinetobacter_calcoaceticus
mct	T01224	Moraxella_catarrhalis
son	T00099	Shewanella_oneidensis
sdn	T00344	Shewanella_denitrificans
sfr	T00395	Shewanella_frigidimarina
saz	T00445	Shewanella_amazonensis
sbl	T00478	Shewanella_baltica_OS155
sbm	T00571	Shewanella_baltica_OS185
sbn	T00622	Shewanella_baltica_OS195
sbp	T00803	Shewanella_baltica_OS223
sbt	T01725	Shewanella_baltica_OS678
sbs	T02013	Shewanella_baltica_OS117
sbb	T02014	Shewanella_baltica_BA175
slo	T00489	Shewanella_loihica
spc	T00513	Shewanella_putrefaciens_CN-32
shp	T02015	Shewanella_putrefaciens_200
sse	T00596	Shewanella_sediminis
spl	T00606	Shewanella_pealeana
she	T00388	Shewanella_sp._MR-4
shm	T00389	Shewanella_sp._MR-7
shn	T00428	Shewanella_sp._ANA-3
shw	T00453	Shewanella_sp._W3-18-1
shl	T00654	Shewanella_halifaxensis
swd	T00676	Shewanella_woodyi_ATCC_51908
swp	T00791	Shewanella_piezotolerans_WP3
svo	T01206	Shewanella_violacea
ilo	T00218	Idiomarina_loihiensis_L2TR
ili	T02681	Idiomarina_loihiensis_GSL_199
cps	T00258	Colwellia_psychrerythraea
pha	T00282	Pseudoalteromonas_haloplanktis
pat	T00372	Pseudoalteromonas_atlantica
psm	T01374	Pseudoalteromonas_sp._SM9913
sde	T00335	Saccharophagus_degradans
maq	T00454	Marinobacter_aquaeolei
mhc	T02083	Marinobacter_hydrocarbonoclasticus
mad	T01922	Marinobacter_adhaerens
mbs	T02323	Marinobacter_sp._BSs20148
amc	T00747	Alteromonas_macleodii_Deep_ecotype
amac	T02246	Alteromonas_macleodii_ATCC_27126
amb	T02253	Alteromonas_macleodii_Balearic_Sea_AD45
amg	T02254	Alteromonas_macleodii_English_Channel_673
amh	T02719	Alteromonas_macleodii_English_Channel_615
amk	T02260	Alteromonas_macleodii_Black_Sea_11
amaa	T02340	Alteromonas_macleodii_AltDE1
amal	T02720	Alteromonas_macleodii_Ionian_Sea_U4
amae	T02721	Alteromonas_macleodii_Ionian_Sea_U7
amao	T02722	Alteromonas_macleodii_Ionian_Sea_U8
amad	T02723	Alteromonas_macleodii_Ionian_Sea_UM4b
amai	T02724	Alteromonas_macleodii_Ionian_Sea_UM7
alt	T01513	Alteromonas_sp._SN2
gag	T01483	Glaciecola_sp._4H-3-7+YE-5
gni	T01632	Glaciecola_nitratireducens
gps	T02535	Glaciecola_psychrophila
pin	T00450	Psychromonas_ingrahamii
psy	T02515	Psychromonas_sp._CNPT3
ttu	T00952	Teredinibacter_turnerae
fbl	T01318	Ferrimonas_balearica
cbu	T00124	Coxiella_burnetii_RSA_493
cbs	T00632	Coxiella_burnetii_RSA_331
cbd	T00583	Coxiella_burnetii_Dugway_5J108-111
cbg	T00787	Coxiella_burnetii_CbuG_Q212
cbc	T00788	Coxiella_burnetii_CbuK_Q154
lpn	T00199	Legionella_pneumophila_subsp._pneumophila_Philadelphia_1
lpu	T02511	Legionella_pneumophila_subsp._pneumophila_Philadelphia_1
lph	T02174	Legionella_pneumophila_subsp._pneumophila_HL06041035
lpo	T02175	Legionella_pneumophila_subsp._pneumophila_Lorraine
lpm	T02689	Legionella_pneumophila_subsp._pneumophila_Thunder_Bay
lpf	T00208	Legionella_pneumophila_Lens
lpp	T00209	Legionella_pneumophila_Paris
lpc	T00532	Legionella_pneumophila_Corby
lpa	T01232	Legionella_pneumophila_2300/99_Alcoy
lpe	T01726	Legionella_pneumophila_subsp._pneumophila_ATCC_43290
llo	T01183	Legionella_longbeachae
mca	T00205	Methylococcus_capsulatus
mmt	T01511	Methylomonas_methanica
mah	T01649	Methylomicrobium_alcaliphilum
ftu	T00214	Francisella_tularensis_subsp._tularensis_SCHU_S4
ftf	T00381	Francisella_tularensis_subsp._tularensis_FSC_198
ftw	T00495	Francisella_tularensis_subsp._tularensis_WY96-3418
ftr	T01938	Francisella_tularensis_subsp._tularensis_NE061598
ftt	T01761	Francisella_tularensis_subsp._tularensis_TI0902
ftg	T01762	Francisella_tularensis_TIGB03
ftl	T00331	Francisella_tularensis_subsp._holarctica_LVS
fth	T00399	Francisella_tularensis_subsp._holarctica_OSU18
fta	T00584	Francisella_tularensis_subsp._holarctica_FTNF002-00
fts	T02349	Francisella_tularensis_subsp._holarctica_F92
fti	T02350	Francisella_tularensis_subsp._holarctica_FSC200
ftm	T00698	Francisella_tularensis_subsp._mediasiatica_FSC147
ftn	T00432	Francisella_novicida_U112
fcf	T01937	Francisella_cf._novicida_Fx1
fcn	T02078	Francisella_cf._novicida_3523
fph	T00652	Francisella_philomiragia
frt	T01560	Francisella_sp._TX077308
fna	T02112	Francisella_noatunensis
tcx	T00296	Thiomicrospira_crunogena
tcy	T01517	Thioalkalimicrobium_cyclicum
mej	T02055	Methylophaga_sp._JAM1
mec	T02056	Methylophaga_sp._JAM7
cyq	T02265	Cycloclasticus_sp._P1
cza	T02780	Cycloclasticus_zancles
noc	T00281	Nitrosococcus_oceani
nhl	T01198	Nitrosococcus_halophilus
nwa	T01266	Nitrosococcus_watsonii
alv	T01168	Allochromatium_vinosum
tvi	T02138	Thiocystis_violascens
tmb	T02397	Thioflavicoccus_mobilis
aeh	T00391	Alkalilimnicola_ehrlichii
hha	T00462	Halorhodospira_halophila
tgr	T00840	Thioalkalivibrio_sulfidophilus
tkm	T01174	Thioalkalivibrio_sp._K90mix
tni	T02408	Thioalkalivibrio_nitratireducens
ssal	T02685	Spiribacter_salinus
spiu	T02888	Spiribacter_sp._UAH-SP71
hna	T01104	Halothiobacillus_neapolitanus
hch	T00307	Hahella_chejuensis
csa	T00347	Chromohalobacter_salexigens
hel	T01311	Halomonas_elongata
ple	T02206	Candidatus_Portiera_aleyrodidarum_BT-B
ply	T02267	Candidatus_Portiera_aleyrodidarum_BT-B-HRs
plr	T02306	Candidatus_Portiera_aleyrodidarum_BT-QVLC
plo	T02307	Candidatus_Portiera_aleyrodidarum_BT-QVLC
pld	T02521	Candidatus_Portiera_aleyrodidarum_TV
abo	T00380	Alcanivorax_borkumensis
adi	T02259	Alcanivorax_dieselolei
kko	T00973	Kangiella_koreensis
mmw	T00567	Marinomonas_sp._MWYL1
mme	T01449	Marinomonas_mediterranea
mpc	T01508	Marinomonas_posidonica
tol	T02529	Thalassolituus_oleivorans
aha	T00424	Aeromonas_hydrophila_subsp._hydrophila_ATCC_7966
ahy	T02683	Aeromonas_hydrophila_ML09-119
asa	T00500	Aeromonas_salmonicida
avr	T01462	Aeromonas_veronii
tau	T00904	Tolumonas_auensis
oce	T01667	Oceanimonas_sp._GK1
dno	T00517	Dichelobacter_nodosus
afe	T00758	Acidithiobacillus_ferrooxidans_ATCC_53993
afr	T00810	Acidithiobacillus_ferrooxidans_ATCC_23270
acu	T01581	Acidithiobacillus_caldus
afi	T01595	Acidithiobacillus_ferrivorans
bci	T00349	Baumannia_cicadellinicola
crp	T00403	Candidatus_Carsonella_ruddii_PV
cru	T02194	Candidatus_Carsonella_ruddii_CE_isolate_Thao2000
crc	T02195	Candidatus_Carsonella_ruddii_CS_isolate_Thao2000
crt	T02196	Candidatus_Carsonella_ruddii_HT_isolate_Thao2000
crh	T02197	Candidatus_Carsonella_ruddii_HC_isolate_Thao2000
crv	T02198	Candidatus_Carsonella_ruddii_PC_isolate_NHV
cri	T02774	Candidatus_Carsonella_ruddii_DC
saga	T02281	Simiduia_agarivorans
rma	T00438	Candidatus_Ruthia_magnifica
vok	T00530	Candidatus_Vesicomyosocius_okutanii
gpb	T01300	Gamma_proteobacterium_HdN1
nma	T00031	Neisseria_meningitidis_Z2491_(serogroup_A)
nme	T00027	Neisseria_meningitidis_MC58_(serogroup_B)
nmp	T01932	Neisseria_meningitidis_alpha710_(serogroup_B)
nmh	T01946	Neisseria_meningitidis_H44/76_(serogroup_B)
nmc	T00458	Neisseria_meningitidis_FAM18_(serogroup_C)
nmn	T00633	Neisseria_meningitidis_053442_(serogroup_C)
nmt	T01928	Neisseria_meningitidis_8013_(serogroup_C)
nmi	T00954	Neisseria_meningitidis_alpha14_(cnl_strain)
nmd	T01929	Neisseria_meningitidis_G2136_(serogroup_B)
nmm	T01930	Neisseria_meningitidis_M01-240149_(serogroup_B)
nms	T01947	Neisseria_meningitidis_M01-240355_(serogroup_B)
nmq	T01948	Neisseria_meningitidis_M04-240196_(serogroup_B)
nmw	T01931	Neisseria_meningitidis_WUE_2594_(serogroup_A)
nmz	T01949	Neisseria_meningitidis_NZ-05/33_(serogroup_B)
ngo	T00237	Neisseria_gonorrhoeae_FA_1090
ngk	T00728	Neisseria_gonorrhoeae_NCCP11945
ngt	T01927	Neisseria_gonorrhoeae_TCDC-NG08107
nla	T01368	Neisseria_lactamica
cvi	T00147	Chromobacterium_violaceum
lhk	T00884	Laribacter_hongkongensis
pse	T01619	Pseudogulbenkiania_sp._NH8B
rso	T00071	Ralstonia_solanacearum_GMI1000
rsc	T01272	Ralstonia_solanacearum_CFBP2957
rsl	T01273	Ralstonia_solanacearum_PSI07
rsn	T02005	Ralstonia_solanacearum_Po82
rsm	T02725	Ralstonia_solanacearum_CMR15
rse	T02751	Ralstonia_solanacearum_FQY_4
rpi	T00762	Ralstonia_pickettii_12J
rpf	T00925	Ralstonia_pickettii_12D
reu	T00268	Ralstonia_eutropha_JMP134
reh	T00416	Ralstonia_eutropha_H16
rme	T00351	Cupriavidus_metallidurans
cti	T00702	Cupriavidus_taiwanensis
cnc	T01564	Cupriavidus_necator
bma	T00204	Burkholderia_mallei_ATCC_23344
bmv	T00457	Burkholderia_mallei_SAVP1
bml	T00471	Burkholderia_mallei_NCTC_10229
bmn	T00479	Burkholderia_mallei_NCTC_10247
bps	T00203	Burkholderia_pseudomallei_K96243
bpm	T00289	Burkholderia_pseudomallei_1710b
bpl	T00480	Burkholderia_pseudomallei_1106a
bpd	T00481	Burkholderia_pseudomallei_668
bpr	T00894	Burkholderia_pseudomallei_MSHR346
bpse	T02756	Burkholderia_pseudomallei_MSHR305
bpz	T02049	Burkholderia_pseudomallei_1026b
bpq	T02301	Burkholderia_pseudomallei_BPC006
bpk	T02894	Burkholderia_pseudomallei_NCTC_13179
bte	T00311	Burkholderia_thailandensis_E264
btd	T02644	Burkholderia_thailandensis_MSMB121
bvi	T00493	Burkholderia_vietnamiensis
bur	T00286	Burkholderia_sp._383
bcn	T00363	Burkholderia_cenocepacia_AU1054
bch	T00415	Burkholderia_cenocepacia_HI2424
bcm	T00669	Burkholderia_cenocepacia_MC0-3
bcj	T00771	Burkholderia_cenocepacia_J2315
bam	T00398	Burkholderia_ambifaria_AMMD
bac	T00684	Burkholderia_ambifaria_MC40-6
bmu	T00624	Burkholderia_multivorans_ATCC_17616_(JGI)
bmj	T00740	Burkholderia_multivorans_ATCC_17616_(Tohoku)
bct	T02205	Burkholderia_cepacia
bxe	T00340	Burkholderia_xenovorans
bph	T00704	Burkholderia_phymatum
bpy	T00765	Burkholderia_phytofirmans
bgl	T00905	Burkholderia_glumae
bug	T01424	Burkholderia_sp._CCGE1001
bge	T01217	Burkholderia_sp._CCGE1002
bgf	T01314	Burkholderia_sp._CCGE1003
brh	T01355	Burkholderia_rhizoxinica
bgd	T01464	Burkholderia_gladioli
byi	T01711	Burkholderia_sp._YI23
buk	T02110	Burkholderia_sp._KJ006
bpx	T02300	Burkholderia_phenoliruptrix
buo	T02684	Burkholderia_sp._RPE64
pnu	T00502	Polynucleobacter_sp._QLW-P1DMWA-1
pne	T00683	Polynucleobacter_necessarius
bpe	T00139	Bordetella_pertussis_Tohama_I
bpc	T01846	Bordetella_pertussis_CS
bper	T02296	Bordetella_pertussis_18323
bpa	T00140	Bordetella_parapertussis_12822
bpar	T02297	Bordetella_parapertussis_Bpp5
bbr	T00141	Bordetella_bronchiseptica_RB50
bbm	T02295	Bordetella_bronchiseptica_MO149
bbh	T02344	Bordetella_bronchiseptica_253
bpt	T00637	Bordetella_petrii
bav	T00695	Bordetella_avium
axy	T01341	Achromobacter_xylosoxidans_A8
axo	T02785	Achromobacter_xylosoxidans_NH44784-1996
teq	T01390	Taylorella_equigenitalis_MCE9
tea	T02186	Taylorella_equigenitalis_ATCC_35865
teg	T02604	Taylorella_equigenitalis_14/56
tas	T01634	Taylorella_asinigenitalis_MCE3
tat	T02603	Taylorella_asinigenitalis_14/45
put	T01486	Pusillimonas_sp._T7-7
aka	T02117	Advenella_kashmirensis
rfr	T00334	Rhodoferax_ferrireducens
pol	T00343	Polaromonas_sp._JS666
pna	T00459	Polaromonas_naphthalenivorans
aav	T00451	Acidovorax_citrulli
ajs	T00455	Acidovorax_sp._JS42
dia	T00853	Acidovorax_ebreus
aaa	T01445	Acidovorax_avenae_subsp._avenae_ATCC_19860
ack	T02290	Acidovorax_sp._KKS102
vei	T00460	Verminephrobacter_eiseniae
dac	T00620	Delftia_acidovorans
del	T01497	Delftia_sp._Cs1-4
vap	T00916	Variovorax_paradoxus_S110
vpe	T01392	Variovorax_paradoxus_EPS
vpd	T02835	Variovorax_paradoxus_B4
ctt	T01109	Comamonas_testosteroni
adn	T01397	Alicycliphilus_denitrificans_BC
adk	T01463	Alicycliphilus_denitrificans_K601
rta	T01544	Ramlibacter_tataouinensis
cbx	T02877	Comamonadaceae_bacterium_CR
mpt	T00470	Methylibium_petroleiphilum
har	T00490	Herminiimonas_arsenicoxydans
mms	T00561	Minibacterium_massiliensis
hse	T01268	Herbaspirillum_seropedicae
zin	T01304	Candidatus_Zinderia_insecticola_CARI
cfu	T01583	Collimonas_fungivorans
lch	T00681	Leptothrix_cholodnii
tin	T01227	Thiomonas_intermedia
thi	T02347	Thiomonas_sp._3As
rge	T01803	Rubrivivax_gelatinosus
neu	T00130	Nitrosomonas_europaea
net	T00393	Nitrosomonas_eutropha
nit	T01443	Nitrosomonas_sp._AL212
nii	T01569	Nitrosomonas_sp._Is79A3
nmu	T00302	Nitrosospira_multiformis
eba	T00222	Aromatoleum_aromaticum_EbN1
azo	T00441	Azoarcus_sp._BH72
aza	T02502	Azoarcus_sp._KH32C
dar	T00259	Dechloromonas_aromatica
tmz	T00804	Thauera_sp._MZ1T
dsu	T01657	Dechlorosoma_suillum
tbd	T00275	Thiobacillus_denitrificans
sdr	T02857	Sulfuricella_denitrificans
mfa	T00342	Methylobacillus_flagellatus
mmb	T00942	Methylotenera_mobilis
meh	T01247	Methylotenera_versatilis
mei	T00943	Methylovorus_glucosetrophus_SIP3-4
mep	T01361	Methylovorus_sp._MP688
app	T00966	Accumulibacter_phosphatis
tpn	T01563	Candidatus_Tremblaya_princeps_PCIT
tpq	T01858	Candidatus_Tremblaya_princeps_PCVAL
slt	T01196	Sideroxydans_lithotrophicus
gca	T01295	Gallionella_capsiferriformans
kci	T02413	Candidatus_Kinetoplastibacterium_crithidii_(ex_Angomonas_deanei_ATCC_30255)
kct	T02464	Candidatus_Kinetoplastibacterium_crithidii_TCC036E
kbl	T02427	Candidatus_Kinetoplastibacterium_blastocrithidii_(ex_Strigomonas_culicis)
kbt	T02463	Candidatus_Kinetoplastibacterium_blastocrithidii_TCC012E
kde	T02465	Candidatus_Kinetoplastibacterium_desouzaii
kga	T02466	Candidatus_Kinetoplastibacterium_galatii
kon	T02471	Candidatus_Kinetoplastibacterium_oncopeltii
ndl	T02782	Candidatus_Nasuia_deltocephalinicola
bprc	T02483	Beta_proteobacterium_CB
hpy	T00008	Helicobacter_pylori_26695
heo	T02282	Helicobacter_pylori_26695
hpj	T00020	Helicobacter_pylori_J99
hpa	T00365	Helicobacter_pylori_HPAG1
hps	T00742	Helicobacter_pylori_Shi470
hhp	T02037	Helicobacter_pylori_Shi112
hhq	T02038	Helicobacter_pylori_Shi169
hhr	T02039	Helicobacter_pylori_Shi417
hpg	T00777	Helicobacter_pylori_G27
hpp	T00786	Helicobacter_pylori_P12
hpb	T00950	Helicobacter_pylori_B38
hpl	T01262	Helicobacter_pylori_B8
hpc	T01322	Helicobacter_pylori_PeCan4
hca	T02036	Helicobacter_pylori_PeCan18
hpm	T01323	Helicobacter_pylori_SJM180
hpe	T01798	Helicobacter_pylori_ELS37
hpo	T01892	Helicobacter_pylori_35A
hpi	T01893	Helicobacter_pylori_908
hpq	T01913	Helicobacter_pylori_2017
hpw	T01914	Helicobacter_pylori_2018
hpu	T01894	Helicobacter_pylori_Cuz20
hef	T01910	Helicobacter_pylori_F16
hpf	T01895	Helicobacter_pylori_F30
heq	T01911	Helicobacter_pylori_F32
hex	T01912	Helicobacter_pylori_F57
hpt	T01897	Helicobacter_pylori_Sat464
hpz	T01898	Helicobacter_pylori_52
hpv	T01899	Helicobacter_pylori_v225d
hpx	T01915	Helicobacter_pylori_83
hen	T01916	Helicobacter_pylori_SNT49
hph	T01896	Helicobacter_pylori_Lithuania75
heg	T01917	Helicobacter_pylori_Gambia94/24
hpn	T01918	Helicobacter_pylori_India7
hep	T01919	Helicobacter_pylori_Puno120
heu	T01920	Helicobacter_pylori_Puno135
hes	T01921	Helicobacter_pylori_SouthAfrica7
hpys	T02807	Helicobacter_pylori_SouthAfrica20
hcn	T02035	Helicobacter_pylori_HUP-B14
hpd	T02082	Helicobacter_pylori_51
hey	T02130	Helicobacter_pylori_XZ274
her	T02317	Helicobacter_pylori_Rif1
hei	T02318	Helicobacter_pylori_Rif2
hpya	T02352	Helicobacter_pylori_Aklavik117
hpyk	T02353	Helicobacter_pylori_Aklavik86
hpyo	T02510	Helicobacter_pylori_OK113
hpyl	T02542	Helicobacter_pylori_OK310
hpyr	T02658	Helicobacter_pylori_UM032
hpyi	T02659	Helicobacter_pylori_UM037
hpyu	T02660	Helicobacter_pylori_UM066
hpym	T02661	Helicobacter_pylori_UM299
hem	T02757	Helicobacter_pylori_UM298
hhe	T00133	Helicobacter_hepaticus
hac	T00371	Helicobacter_acinonychis
hms	T01191	Helicobacter_mustelae
hfe	T01375	Helicobacter_felis
hbi	T01540	Helicobacter_bizzozeronii
hce	T02032	Helicobacter_cetorum_MIT_00-7128
hcm	T02033	Helicobacter_cetorum_MIT_99-5656
hcp	T02034	Helicobacter_cinaedi_PAGU611
hcb	T02494	Helicobacter_cinaedi_ATCC_BAA-847
hhm	T02626	Helicobacter_heilmannii
wsu	T00146	Wolinella_succinogenes
tdn	T00298	Sulfurimonas_denitrificans
sua	T01316	Sulfurimonas_autotrophica
sku	T01370	Sulfuricurvum_kujiense
sulr	T02537	Uncultured_Sulfuricurvum_sp._RIFRC-1
cje	T00026	Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819
cjb	T02302	Campylobacter_jejuni_subsp._jejuni_NCTC_11168-BN148
cjj	T00461	Campylobacter_jejuni_subsp._jejuni_81-176
cju	T00597	Campylobacter_jejuni_subsp._jejuni_81116
cjn	T01372	Campylobacter_jejuni_subsp._jejuni_ICDCCJ07001
cji	T01854	Campylobacter_jejuni_subsp._jejuni_IA3902
cjm	T01855	Campylobacter_jejuni_subsp._jejuni_M1
cjs	T01856	Campylobacter_jejuni_subsp._jejuni_S3
cjp	T02264	Campylobacter_jejuni_subsp._jejuni_PT14
cjej	T02841	Campylobacter_jejuni_subsp._jejuni_00-2426
cjeu	T02842	Campylobacter_jejuni_subsp._jejuni_00-2538
cjen	T02843	Campylobacter_jejuni_subsp._jejuni_00-2544
cjei	T02844	Campylobacter_jejuni_subsp._jejuni_00-2425
cjr	T00227	Campylobacter_jejuni_RM1221
cjd	T00573	Campylobacter_jejuni_subsp._doylei_269.97
cjz	T02759	Campylobacter_jejuni_32488
cjx	T02864	Campylobacter_jejuni_4031
cff	T00430	Campylobacter_fetus
ccv	T00576	Campylobacter_curvus
cha	T00577	Campylobacter_hominis_ATCC_BAA-381
cco	T00593	Campylobacter_concisus_13826
cla	T00858	Campylobacter_lari
ccol	T02811	Campylobacter_coli_76339
ccc	T02838	Campylobacter_coli_CVM_N29710
ccq	T02895	Campylobacter_coli_15-537360
abu	T00600	Arcobacter_butzleri_RM4018
abt	T01823	Arcobacter_butzleri_ED-1
abl	T02755	Arcobacter_butzleri_7h1h
ant	T01235	Arcobacter_nitrofigilis
arc	T01834	Arcobacter_sp._L
sdl	T01126	Sulfurospirillum_deleyianum
sba	T02139	Sulfurospirillum_barnesii
nsa	T01405	Nitratifractor_salsuginis
nis	T00565	Nitratiruptor_sp._SB155-2
sun	T00572	Sulfurovum_sp._NBC37-1
nam	T00860	Nautilia_profundicola
gsu	T00155	Geobacter_sulfurreducens_PCA
gsk	T01940	Geobacter_sulfurreducens_KN400
gme	T00295	Geobacter_metallireducens
gur	T00521	Geobacter_uraniireducens
glo	T00708	Geobacter_lovleyi
gbm	T00749	Geobacter_bemidjiensis
geo	T00846	Geobacter_sp._FRC-32
gem	T00933	Geobacter_sp._M21
geb	T01421	Geobacter_sp._M18
pca	T00285	Pelobacter_carbinolicus
ppd	T00436	Pelobacter_propionicus
dvu	T00171	Desulfovibrio_vulgaris_Hildenborough
dvl	T00452	Desulfovibrio_vulgaris_DP4
dvm	T00816	Desulfovibrio_vulgaris_Miyazaki_F
dvg	T02064	Desulfovibrio_vulgaris_RCH1
dde	T00294	Desulfovibrio_desulfuricans_G20
dds	T00837	Desulfovibrio_desulfuricans_ATCC_27774
ddn	T01709	Desulfovibrio_desulfuricans_ND132
dma	T00917	Desulfovibrio_magneticus
dsa	T00969	Desulfovibrio_salexigens
das	T01382	Desulfovibrio_aespoeensis
daf	T01662	Desulfovibrio_africanus
dhy	T02428	Desulfovibrio_hydrothermalis
dpi	T02481	Desulfovibrio_piezophilus
dgg	T02851	Desulfovibrio_gigas
lip	T00354	Lawsonia_intracellularis_PHE/MN1-00
lir	T02437	Lawsonia_intracellularis_N343
dba	T00963	Desulfomicrobium_baculatum
drt	T00989	Desulfohalobium_retbaense
bba	T00159	Bdellovibrio_bacteriovorus_HD100
bbat	T02356	Bdellovibrio_bacteriovorus_Tiberius
bex	T02492	Bdellovibrio_exovorus
bmx	T01659	Bacteriovorax_marinus_SJ
dps	T00192	Desulfotalea_psychrophila
dak	T01244	Desulfurivibrio_alkaliphilus
dpr	T01413	Desulfobulbus_propionicus
dsf	T02473	Desulfocapsa_sulfexigens
dol	T00610	Candidatus_Desulfococcus_oleovorans
dal	T00813	Desulfatibacillum_alkenivorans
dat	T00861	Desulfobacterium_autotrophicum
dto	T02268	Desulfobacula_toluolica
ade	T00326	Anaeromyxobacter_dehalogenans_2CP-C
acp	T00833	Anaeromyxobacter_dehalogenans_2CP-1
afw	T00559	Anaeromyxobacter_sp._Fw109-5
ank	T00748	Anaeromyxobacter_sp._K
mxa	T00366	Myxococcus_xanthus
mfu	T01558	Myxococcus_fulvus
msd	T02436	Myxococcus_stipitatus
ccx	T01780	Corallococcus_coralloides
sur	T01425	Stigmatella_aurantiaca
scl	T00634	Sorangium_cellulosum_So_ce_56
scu	T02718	Sorangium_cellulosum_So0157-2
hoh	T01103	Haliangium_ochraceum
sat	T00346	Syntrophus_aciditrophicus
dao	T01454	Desulfobacca_acetoxidans_DSM_11109
dti	T02147	Desulfomonile_tiedjei
sfu	T00418	Syntrophobacter_fumaroxidans
dbr	T01284	Desulfarculus_baarsii
hmr	T01456	Hippea_maritima
rpr	T00018	Rickettsia_prowazekii_Madrid_E
rpo	T01788	Rickettsia_prowazekii_BuV67-CWPP
rpw	T01789	Rickettsia_prowazekii_Chernikova
rpz	T01790	Rickettsia_prowazekii_Dachau
rpg	T01791	Rickettsia_prowazekii_GvV257
rps	T01792	Rickettsia_prowazekii_Katsinyian
rpv	T01793	Rickettsia_prowazekii_RpGvF24
rpq	T01977	Rickettsia_prowazekii_Rp22
rpl	T02543	Rickettsia_prowazekii_Breinl
rpn	T02544	Rickettsia_prowazekii_NMRC_Madrid_E
rty	T00193	Rickettsia_typhi_Wilmington
rtt	T01802	Rickettsia_typhi_TH1527
rtb	T01810	Rickettsia_typhi_B9991CWPP
rcm	T00603	Rickettsia_canadensis_McKiel
