compound_code	compound_name	lactobacillus_mock_score	escherichia_mock_score	ratio	magnitude	interaction_score	percentile
C00159	D-Mannose	12.464	-11.397	0.477	8346.601	-11.96	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.392	-9.461	0.477	1040.692	-8.954	80.0
C00014	Ammonia	5.377	8.084	0.665	312.904	7.701	70.0
C00015	UDP	5.441	-9.101	0.079	592.57	-5.551	50.0
C00018	Pyridoxal_phosphate	-11.461	5.603	0.017	2867.667	-5.628	50.0
C00152	L-Asparagine	-6.737	10.193	0.091	1277.243	-6.863	50.0
C00155	L-Homocysteine	-7.862	-9.316	0.365	870.023	-8.311	70.0
C02876	Propanoyl_phosphate	3.7	6.907	0.536	133.005	6.155	60.0
C04146	all-trans-Octaprenyl_diphosphate	8.165	-7.658	0.704	488.989	-8.427	70.0
C02336	beta-D-Fructose	5.492	7.989	0.687	299.06	7.684	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-7.541	-10.258	0.152	1410.757	-7.745	60.0
C00655	Xanthosine_5'-phosphate	5.669	-7.04	0.387	182.478	-6.141	50.0
C00301	ADP-ribose	9.403	9.222	0.981	1274.165	10.287	80.0
C00718	Amylose	-8.445	-9.01	0.676	864.058	-9.19	80.0
C14089	1-Hydroxymethylnaphthalene	11.476	10.47	0.912	4266.878	11.927	90.0
C02909	(2-Naphthyl)methanol	11.476	10.47	0.912	4266.878	11.927	90.0
C17551	2-Polyprenyl-6-hydroxyphenol	-8.543	-9.061	0.698	907.104	-9.307	80.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	6.087	8.353	0.729	394.945	8.169	70.0
C06188	Salicin_6-phosphate	12.136	9.836	0.81	5414.875	12.1	90.0
C06186	Arbutin	11.47	7.718	0.673	3047.251	11.002	90.0
C06187	Arbutin_6-phosphate	-11.47	7.253	0.054	2989.24	-7.329	60.0
C03291	L-Xylulose_5-phosphate	-4.353	-8.326	0.064	341.34	-4.442	60.0
C03294	N-Formylmethionyl-tRNA	-8.397	-10.386	0.252	1675.22	-8.721	80.0
C00979	O-Acetyl-L-serine	9.826	-5.478	0.049	952.225	-5.547	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C04242	5-Fluorodeoxyuridine_monophosphate	-7.562	-8.5	0.522	551.007	-8.168	70.0
C03373	Aminoimidazole_ribotide	8.913	8.604	0.965	871.138	9.716	80.0
C00407	L-Isoleucine	-6.304	2.678	0.081	85.412	-2.79	60.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-6.668	-3.88	0.145	116.411	-4.075	60.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.267	-8.262	0.502	461.003	-7.854	70.0
C00577	D-Glyceraldehyde	-13.946	-9.388	0.042	16452.075	-9.448	90.0
C00279	D-Erythrose_4-phosphate	13.858	7.824	0.565	15074.795	13.055	90.0
C00275	D-Mannose_6-phosphate	-12.683	-10.297	0.191	7834.098	-10.55	90.0
C00270	N-Acetylneuraminate	8.129	9.504	0.855	1006.033	9.749	80.0
C00900	2-Acetolactate	7.562	-10.151	0.166	1325.955	-7.784	70.0
C00473	Retinol	11.324	8.124	0.717	2842.656	10.994	90.0
C00294	Inosine	7.07	-5.295	0.292	173.624	-5.665	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-8.771	7.409	0.389	606.806	-7.883	70.0
C05698	Selenohomocysteine	-8.008	8.587	0.669	641.966	-8.747	80.0
C00354	D-Fructose_1,6-bisphosphate	-11.361	-5.672	0.019	2681.264	-5.7	50.0
C00352	D-Glucosamine_6-phosphate	7.298	-8.391	0.469	493.061	-7.853	70.0
C00299	Uridine	6.768	10.735	0.63	1813.329	10.159	80.0
C00666	LL-2,6-Diaminoheptanedioate	-7.089	8.737	0.319	562.822	-7.489	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.19	9.035	0.557	816.609	-8.829	80.0
C11736	5-Fluorodeoxyuridine	7.562	8.5	0.89	551.007	8.937	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	7.983	9.069	0.88	790.084	9.442	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	5.555	-9.433	0.068	738.233	-5.65	50.0
C00993	D-Alanyl-D-alanine	-11.143	-9.88	0.417	3203.671	-10.383	90.0
C00120	Biotin	7.15	-8.655	0.352	545.127	-7.585	60.0
C00121	D-Ribose	10.209	9.313	0.912	1819.68	10.697	90.0
C00122	Fumarate	-6.88	13.128	0.013	9069.819	-6.899	50.0
C00123	L-Leucine	-6.264	4.746	0.349	103.686	-5.178	50.0
C00124	D-Galactose	8.641	-11.034	0.19	2496.047	-8.892	80.0
C00129	Isopentenyl_diphosphate	-5.101	6.873	0.293	151.534	-5.472	50.0
C05749	Hexanoyl-[acp]	-6.209	10.44	0.053	1463.14	-6.284	50.0
C05748	trans-Hex-2-enoyl-[acp]	-7.459	-9.872	0.188	1113.009	-7.707	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-7.954	-10.672	0.152	1879.485	-8.158	70.0
C05746	3-Oxohexanoyl-[acp]	8.954	10.205	0.877	1676.283	10.522	90.0
C05745	Butyryl-[acp]	-6.209	10.44	0.053	1463.14	-6.284	50.0
C05744	Acetoacetyl-[acp]	8.246	9.468	0.871	1011.788	9.783	80.0
C03150	Nicotinamide-beta-riboside	7.883	-8.874	0.503	705.239	-8.471	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-7.221	-9.936	0.152	1128.756	-7.426	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-7.541	-10.258	0.152	1410.757	-7.745	60.0
C00199	D-Ribulose_5-phosphate	-8.336	9.519	0.44	1056.813	-8.863	80.0
C00052	UDP-alpha-D-galactose	-8.166	4.506	0.079	309.939	-4.616	60.0
C00197	3-Phospho-D-glycerate	-9.881	-6.826	0.12	1056.382	-6.99	50.0
C00058	Formate	12.95	12.522	0.967	13794.579	13.703	90.0
C01050	UDP-N-acetylmuramate	-8.363	6.698	0.315	433.065	-7.093	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	5.895	-8.561	0.158	437.182	-6.106	50.0
C00206	dADP	-9.621	-6.267	0.098	864.437	-6.402	50.0
C03539	S-Ribosyl-L-homocysteine	7.989	9.996	0.799	1275.22	9.993	80.0
