compound_code	compound_name	bacteroides_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C05980	Cardiolipin	-1.585	-9.994	0.003	1022.75	-1.589	50.0
C00153	Nicotinamide	-2.0	-10.011	0.004	1035.837	-2.006	50.0
C00152	L-Asparagine	4.152	-9.18	0.031	597.814	-4.196	80.0
C00155	L-Homocysteine	4.053	-9.218	0.028	612.116	-4.093	80.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-5.492	-11.223	0.019	2435.344	-5.519	90.0
C00197	3-Phospho-D-glycerate	5.001	-10.639	0.02	1626.646	-5.03	80.0
C04146	all-trans-Octaprenyl_diphosphate	-2.585	10.098	0.005	1101.976	-2.593	50.0
C02336	beta-D-Fructose	2.585	-7.033	0.046	136.962	-2.65	50.0
C00058	Formate	3.781	13.889	0.272	15184.446	12.013	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-3.322	10.535	0.007	1493.717	-3.332	60.0
C00655	Xanthosine_5'-phosphate	-3.79	9.486	0.019	730.917	-3.818	70.0
C00718	Amylose	-3.907	-9.752	0.017	877.274	-3.932	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	3.322	8.697	0.382	425.01	7.343	70.0
C06188	Salicin_6-phosphate	1.0	13.655	0.073	12901.254	9.884	90.0
C18902	Methylselenic_acid	3.907	12.594	0.31	6197.61	10.909	90.0
C03294	N-Formylmethionyl-tRNA	-1.585	-10.202	0.003	1180.899	-1.589	50.0
C02051	Lipoylprotein	-2.322	-12.148	0.001	4543.501	-2.324	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-4.7	-11.223	0.011	2416.332	-4.716	80.0
C00979	O-Acetyl-L-serine	-1.918	11.065	0.002	2146.161	-1.921	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-3.087	-12.37	0.002	5301.974	-3.089	60.0
C03373	Aminoimidazole_ribotide	-5.129	8.596	0.09	421.942	-5.254	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.459	-9.111	0.02	563.945	-3.487	70.0
C06056	4-Hydroxy-L-threonine	-1.585	-10.191	0.003	1171.952	-1.589	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-3.719	8.678	0.032	422.748	-3.765	70.0
C03479	Folinic_acid	-1.807	9.106	0.006	554.534	-1.816	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-0.313	-7.991	0.005	255.65	-0.32	60.0
C00577	D-Glyceraldehyde	-6.57	-15.397	0.002	43242.828	-6.573	90.0
C00279	D-Erythrose_4-phosphate	5.755	15.309	0.376	40648.598	13.899	90.0
C00275	D-Mannose_6-phosphate	4.144	-13.416	0.002	10947.636	-4.146	80.0
C00900	2-Acetolactate	4.358	10.23	0.426	1221.489	9.023	80.0
C00294	Inosine	2.0	10.008	0.2	1033.694	7.691	70.0
C05699	L-Selenocystathionine	2.807	9.879	0.284	948.618	8.074	70.0
C05698	Selenohomocysteine	4.322	-9.879	0.021	961.62	-4.352	80.0
C00354	D-Fructose_1,6-bisphosphate	-3.686	-12.812	0.002	7203.987	-3.689	70.0
C00353	Geranylgeranyl_diphosphate	-3.459	-9.347	0.017	662.216	-3.483	70.0
C00352	D-Glucosamine_6-phosphate	3.301	-10.675	0.006	1644.771	-3.31	60.0
C00299	Uridine	-0.547	8.294	0.005	315.326	-0.554	60.0
C00666	LL-2,6-Diaminoheptanedioate	1.757	-9.089	0.006	547.96	-1.766	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	-10.98	0.001	2022.805	-1.587	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-2.585	-10.98	0.003	2025.805	-2.589	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	1.585	10.018	0.158	1039.856	7.362	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-2.322	9.192	0.009	589.882	-2.334	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-2.907	-10.041	0.007	1061.019	-2.917	60.0
C00993	D-Alanyl-D-alanine	-3.585	-12.646	0.002	6421.518	-3.588	70.0
C00120	Biotin	-1.222	7.864	0.01	235.303	-1.236	50.0
C00121	D-Ribose	1.0	12.427	0.08	5508.806	8.792	80.0
C00122	Fumarate	-5.867	-9.087	0.107	602.189	-6.014	90.0
C00123	L-Leucine	2.939	-8.508	0.021	371.721	-2.969	60.0
C00124	D-Galactose	5.585	11.982	0.466	4093.214	10.898	90.0
C00129	Isopentenyl_diphosphate	2.248	-6.307	0.06	83.927	-2.332	50.0
C05749	Hexanoyl-[acp]	6.17	9.224	0.669	670.003	8.808	80.0
C05748	trans-Hex-2-enoyl-[acp]	-3.087	-12.37	0.002	5301.974	-3.089	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-3.524	10.95	0.006	1989.741	-3.532	70.0
C05746	3-Oxohexanoyl-[acp]	-5.755	11.41	0.02	2775.153	-5.783	90.0
C05745	Butyryl-[acp]	6.17	9.224	0.669	670.003	8.808	80.0
C05744	Acetoacetyl-[acp]	-5.506	10.669	0.028	1673.573	-5.546	90.0
C03150	Nicotinamide-beta-riboside	1.585	10.011	0.158	1034.838	7.356	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-3.15	10.213	0.007	1195.791	-3.161	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-3.322	10.535	0.007	1493.717	-3.332	60.0
C00199	D-Ribulose_5-phosphate	-4.13	-9.715	0.021	857.948	-4.16	80.0
C02876	Propanoyl_phosphate	2.585	-8.541	0.016	378.475	-2.608	50.0
C03785	D-Tagatose_1,6-bisphosphate	-4.524	-13.098	0.003	8790.812	-4.528	80.0
C01050	UDP-N-acetylmuramate	2.147	7.691	0.279	211.073	5.881	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.737	7.577	0.035	197.61	-2.787	50.0
C00206	dADP	3.115	-8.752	0.02	439.8	-3.144	60.0
C03539	S-Ribosyl-L-homocysteine	-2.0	10.4	0.003	1355.176	-2.004	50.0
C06010	(S)-2-Acetolactate	3.426	7.913	0.433	251.767	6.768	70.0
