compound_code	compound_name	cd630_cefoperazone_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C00441	L-Aspartate_4-semialdehyde	7.377	6.598	0.894	263.097	7.878	70.0
C00526	Deoxyuridine	-2.0	10.785	0.002	1768.447	-2.003	60.0
C00527	Glutaryl-CoA	-3.322	-9.253	0.016	620.142	-3.345	50.0
C00831	Pantetheine	6.476	9.405	0.689	766.95	9.045	80.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	4.392	8.644	0.508	421.035	7.741	70.0
C16221	(2E)-Octadecenoyl-[acp]	6.87	-12.37	0.022	5410.448	-6.902	80.0
C03838	5'-Phosphoribosylglycinamide	-4.248	-9.292	0.03	645.861	-4.291	50.0
C05402	Melibiose	-1.0	10.987	0.001	2031.629	-1.001	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-1.0	11.987	0.0	4061.257	-1.001	60.0
C03939	Acetyl-[acyl-carrier_protein]	5.9	-8.887	0.126	533.142	-6.071	70.0
C00620	alpha-D-Ribose_1-phosphate	6.366	12.094	0.526	4454.246	11.195	90.0
C00627	Pyridoxine_phosphate	-4.755	-13.09	0.003	8746.323	-4.759	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	-6.087	7.219	0.456	216.961	-6.629	80.0
C01228	Guanosine_3',5'-bis(diphosphate)	-3.459	-9.255	0.018	621.985	-3.485	50.0
C00231	D-Xylulose_5-phosphate	-5.843	9.126	0.103	616.128	-5.984	70.0
C00232	Succinate_semialdehyde	-5.524	-6.193	0.629	119.175	-6.228	70.0
C00234	10-Formyltetrahydrofolate	-4.776	-8.674	0.067	435.844	-4.87	50.0
C00235	Dimethylallyl_diphosphate	-3.7	4.379	0.625	33.803	-4.4	50.0
C01613	Stachyose	1.0	12.354	0.081	5237.095	8.728	70.0
C00159	D-Mannose	6.814	12.5	0.545	5905.136	11.652	90.0
C05984	2-Hydroxybutanoic_acid	4.248	14.054	0.302	17027.875	12.329	90.0
C00014	Ammonia	-6.987	9.527	0.172	864.608	-7.216	90.0
C05980	Cardiolipin	-5.7	-9.994	0.051	1071.734	-5.772	70.0
C00018	Pyridoxal_phosphate	-4.755	-13.09	0.003	8746.323	-4.759	50.0
C05823	3-Mercaptolactate	-4.248	-14.054	0.001	17027.875	-4.25	50.0
C00153	Nicotinamide	-7.426	-10.011	0.167	1203.806	-7.648	90.0
C00152	L-Asparagine	6.141	-9.18	0.122	650.607	-6.307	70.0
C00155	L-Homocysteine	2.858	-9.218	0.012	602.768	-2.875	50.0
C02876	Propanoyl_phosphate	-5.375	-8.541	0.111	413.974	-5.527	60.0
C02336	beta-D-Fructose	2.322	-7.033	0.038	135.962	-2.376	60.0
C00058	Formate	7.615	13.889	0.548	15366.739	13.04	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-6.331	10.535	0.054	1564.221	-6.407	70.0
C00655	Xanthosine_5'-phosphate	-3.837	9.486	0.02	731.375	-3.865	50.0
C00301	ADP-ribose	6.426	10.606	0.606	1644.546	9.961	80.0
C00718	Amylose	-3.858	-9.752	0.017	876.773	-3.882	50.0
C14089	1-Hydroxymethylnaphthalene	9.569	13.176	0.726	10014.439	12.828	90.0
C02909	(2-Naphthyl)methanol	9.569	13.176	0.726	10014.439	12.828	90.0
C17551	2-Polyprenyl-6-hydroxyphenol	-3.807	-9.424	0.02	700.917	-3.836	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-4.248	8.697	0.046	434.01	-4.313	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-5.51	-8.731	0.107	470.476	-5.657	60.0
C06188	Salicin_6-phosphate	6.524	13.655	0.478	12991.282	12.6	90.0
C06186	Arbutin	1.585	10.038	0.158	1054.33	7.379	70.0
C06187	Arbutin_6-phosphate	5.087	-10.038	0.032	1085.319	-5.133	50.0
C18902	Methylselenic_acid	9.412	12.594	0.747	6863.84	12.325	90.0
C03294	N-Formylmethionyl-tRNA	-5.555	-10.202	0.04	1224.912	-5.611	60.0
C02051	Lipoylprotein	-5.392	-12.148	0.009	4580.491	-5.405	60.0
C06613	trans-3-Chloroallyl_aldehyde	-7.823	-11.217	0.095	2606.862	-7.954	90.0
C00979	O-Acetyl-L-serine	2.977	11.065	0.269	2150.255	9.176	80.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	3.322	9.253	0.359	620.142	7.799	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	6.87	-12.37	0.022	5410.448	-6.902	80.0
C03373	Aminoimidazole_ribotide	-5.7	8.596	0.134	438.933	-5.882	70.0
C00402	D-Aspartate	-5.7	-11.117	0.023	2272.994	-5.733	60.0
C00407	L-Isoleucine	7.426	-8.343	0.53	496.677	-8.039	90.0
C06056	4-Hydroxy-L-threonine	-3.322	-10.191	0.009	1178.953	-3.334	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	3.322	8.678	0.383	419.58	7.327	70.0
C03479	Folinic_acid	2.807	9.106	0.308	558.033	7.426	70.0
C01412	Butanal	10.535	12.762	0.825	8429.877	12.765	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-5.555	-9.476	0.066	759.145	-5.647	60.0
C03972	2,3,4,5-Tetrahydrodipicolinate	4.461	-7.991	0.087	276.432	-4.581	50.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-3.322	-9.253	0.016	620.142	-3.345	50.0
C00577	D-Glyceraldehyde	-9.401	-15.397	0.016	43823.875	-9.423	90.0
C00279	D-Erythrose_4-phosphate	-5.84	15.309	0.001	40651.876	-5.842	70.0
C01801	Deoxyribose	1.585	12.427	0.128	5509.806	9.457	80.0
C00275	D-Mannose_6-phosphate	-6.451	-13.416	0.008	11017.443	-6.463	70.0
C00270	N-Acetylneuraminate	6.907	10.322	0.669	1400.073	9.872	80.0
C00900	2-Acetolactate	1.0	10.23	0.098	1202.983	6.878	60.0
C02218	Dehydroalanine	-5.426	-10.51	0.029	1501.22	-5.468	60.0
C00294	Inosine	7.066	10.008	0.706	1163.686	9.682	80.0
C05699	L-Selenocystathionine	4.322	9.879	0.437	961.62	8.717	70.0
C05698	Selenohomocysteine	3.585	-9.879	0.013	953.62	-3.603	50.0
C00354	D-Fructose_1,6-bisphosphate	-6.684	-12.812	0.014	7293.938	-6.704	80.0
C00353	Geranylgeranyl_diphosphate	-4.954	-9.347	0.048	682.215	-5.021	50.0
C00352	D-Glucosamine_6-phosphate	-5.805	-10.675	0.034	1690.824	-5.854	70.0
C00299	Uridine	-2.95	8.294	0.025	321.592	-2.985	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-6.267	-10.98	0.038	2096.816	-6.321	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.267	-10.98	0.038	2096.816	-6.321	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.0	10.018	0.499	1068.856	9.059	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	4.7	9.192	0.511	610.873	8.287	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-8.037	-10.041	0.249	1316.169	-8.358	90.0
C00993	D-Alanyl-D-alanine	3.907	-12.646	0.002	6424.518	-3.91	50.0
C00120	Biotin	1.585	7.864	0.202	235.97	5.572	60.0
C00121	D-Ribose	1.585	12.427	0.128	5509.806	9.457	80.0
C00122	Fumarate	-2.184	-9.087	0.008	548.37	-2.196	60.0
C00123	L-Leucine	6.476	-8.508	0.245	453.068	-6.792	80.0
C00129	Isopentenyl_diphosphate	-3.615	-6.307	0.155	91.429	-3.823	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-7.516	-11.223	0.077	2573.378	-7.622	90.0
C05749	Hexanoyl-[acp]	6.755	9.224	0.732	706.008	9.014	80.0
C05748	trans-Hex-2-enoyl-[acp]	6.87	-12.37	0.022	5410.448	-6.902	80.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.741	10.95	0.054	2085.203	-6.817	80.0
C05746	3-Oxohexanoyl-[acp]	-6.883	11.41	0.043	2839.178	-6.944	80.0
C05745	Butyryl-[acp]	6.755	9.224	0.732	706.008	9.014	80.0
C05744	Acetoacetyl-[acp]	-5.224	10.669	0.023	1665.505	-5.257	60.0
C03150	Nicotinamide-beta-riboside	7.426	10.011	0.742	1203.806	9.802	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.013	10.213	0.054	1251.494	-6.089	70.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-6.331	10.535	0.054	1564.221	-6.407	70.0
C00054	Adenosine_3',5'-bisphosphate	-4.954	-10.274	0.025	1269.171	-4.99	50.0
C00725	Lipoate	5.17	12.328	0.419	5177.596	11.084	90.0
C00199	D-Ribulose_5-phosphate	-2.737	-9.715	0.008	847.106	-2.748	50.0
C00052	UDP-alpha-D-galactose	4.74	-10.505	0.018	1479.905	-4.766	50.0
C00197	3-Phospho-D-glycerate	-4.398	-10.639	0.013	1615.706	-4.417	50.0
C03785	D-Tagatose_1,6-bisphosphate	-2.07	-13.098	0.0	8772.004	-2.071	60.0
C00011	CO2	8.055	-7.892	0.893	503.484	-8.813	90.0
C01050	UDP-N-acetylmuramate	6.319	7.691	0.822	286.481	7.879	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.229	7.577	0.393	265.953	-6.707	80.0
C00206	dADP	9.022	-8.752	0.829	951.004	-9.623	90.0
C03028	Thiamin_triphosphate	-5.807	-10.713	0.033	1734.536	-5.854	70.0
C03539	S-Ribosyl-L-homocysteine	-4.755	10.4	0.02	1378.178	-4.784	50.0
C06010	(S)-2-Acetolactate	0.737	7.913	0.093	242.685	4.498	60.0
