compound_code	compound_name	cd630_cefoperazone_score	bacteroides_630_score	ratio	magnitude	interaction_score	percentile
C00014	Ammonia	-6.987	-2.098	0.034	131.133	-2.146	50.0
C05980	Cardiolipin	-5.7	-1.585	0.058	54.984	-1.666	50.0
C00019	S-Adenosyl-L-methionine	-5.78	-1.807	0.064	58.447	-1.896	50.0
C00153	Nicotinamide	-7.426	-2.0	0.023	175.968	-2.033	50.0
C00152	L-Asparagine	6.141	4.152	0.676	88.349	5.9	80.0
C00155	L-Homocysteine	2.858	4.053	0.705	23.849	4.072	70.0
C00197	3-Phospho-D-glycerate	-4.398	5.001	0.658	53.105	-5.128	80.0
C02336	beta-D-Fructose	2.322	2.585	0.898	11.0	3.305	70.0
C00058	Formate	7.615	3.781	0.497	209.786	6.703	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-6.331	-3.322	0.124	90.505	-3.491	70.0
C00655	Xanthosine_5'-phosphate	-3.837	-3.79	0.968	28.123	-4.767	80.0
C00718	Amylose	-3.858	-3.907	0.967	29.501	-4.834	80.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	5.164	2.807	0.544	42.851	4.542	80.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-4.248	3.322	0.526	29.001	-3.932	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	2.0	1.0	0.5	6.0	1.585	60.0
C01127	4-Hydroxy-2-oxoglutarate	3.585	4.954	0.724	42.996	4.96	80.0
C06188	Salicin_6-phosphate	6.524	1.0	0.153	94.028	3.849	70.0
C18902	Methylselenic_acid	9.412	3.907	0.415	696.232	8.175	90.0
C03294	N-Formylmethionyl-tRNA	-5.555	-1.585	0.064	50.013	-1.674	50.0
C02051	Lipoylprotein	-5.392	-2.322	0.119	46.991	-2.484	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-7.516	-4.7	0.142	209.03	-4.892	80.0
C00979	O-Acetyl-L-serine	2.977	-1.918	0.48	11.652	-2.484	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	6.87	-3.087	0.073	125.468	-3.188	60.0
C03373	Aminoimidazole_ribotide	-5.7	-5.129	0.673	86.977	-5.872	90.0
C00407	L-Isoleucine	7.426	2.926	0.394	179.568	6.145	80.0
C01151	D-Ribose_1,5-bisphosphate	-4.322	-5.129	0.572	54.994	-4.974	80.0
C06056	4-Hydroxy-L-threonine	-3.322	-1.585	0.3	13.001	-1.964	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	3.322	-3.719	0.759	23.169	-4.137	70.0
C03479	Folinic_acid	2.807	-1.807	0.5	10.497	-2.392	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	4.461	-0.313	0.056	23.266	-0.392	60.0
C00577	D-Glyceraldehyde	-9.401	-6.57	0.141	771.066	-6.76	90.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	3.755	2.907	0.774	21.002	4.023	70.0
C00279	D-Erythrose_4-phosphate	-5.84	5.755	0.943	111.286	-6.713	90.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-6.34	-4.17	0.222	99.009	-4.459	80.0
C00275	D-Mannose_6-phosphate	-6.451	4.144	0.202	105.167	-4.41	80.0
C00900	2-Acetolactate	1.0	4.358	0.229	22.506	2.369	70.0
C00475	Cytidine	2.748	0.737	0.268	8.385	1.169	60.0
C12215	Iminoerythrose_4-phosphate	-8.845	-5.807	0.122	515.83	-5.973	90.0
C12214	Aminofructose_6-phosphate	8.845	5.807	0.657	515.83	8.404	90.0
C00294	Inosine	7.066	2.0	0.283	137.992	5.288	80.0
C05699	L-Selenocystathionine	4.322	2.807	0.649	26.999	4.132	70.0
C05698	Selenohomocysteine	3.585	4.322	0.829	32.001	4.73	80.0
C00668	alpha-D-Glucose_6-phosphate	7.226	-6.268	0.515	226.772	-6.867	90.0
C00353	Geranylgeranyl_diphosphate	-4.954	-3.459	0.355	41.992	-3.897	70.0
C00352	D-Glucosamine_6-phosphate	-5.805	3.301	0.176	65.765	-3.535	70.0
C00299	Uridine	-2.95	-0.547	0.189	9.189	-0.797	60.0
C00666	LL-2,6-Diaminoheptanedioate	-4.217	1.757	0.182	21.977	-1.998	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-6.267	-1.585	0.039	80.011	-1.64	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-6.267	-2.585	0.078	83.012	-2.693	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.0	1.585	0.317	35.0	3.472	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	4.7	-2.322	0.192	30.992	-2.576	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-8.037	-2.907	0.029	270.151	-2.948	60.0
C00993	D-Alanyl-D-alanine	3.907	-3.585	0.8	27.001	-4.433	80.0
C05382	Sedoheptulose_7-phosphate	-7.256	-1.503	0.019	155.687	-1.53	50.0
C00120	Biotin	1.585	-1.222	0.778	5.333	-2.052	50.0
C00121	D-Ribose	1.585	1.0	0.631	5.0	1.657	70.0
C00122	Fumarate	-2.184	-5.867	0.078	62.908	-2.292	50.0
C00123	L-Leucine	6.476	2.939	0.454	96.685	5.455	80.0
C00129	Isopentenyl_diphosphate	-3.615	2.248	0.388	17.003	-2.721	50.0
C15532	N-Acetyl-L-citrulline	1.585	2.322	0.683	8.0	2.449	70.0
C05749	Hexanoyl-[acp]	6.755	6.17	0.913	180.012	7.361	90.0
C05748	trans-Hex-2-enoyl-[acp]	6.87	-3.087	0.073	125.468	-3.188	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.741	-3.524	0.108	118.469	-3.671	70.0
C05746	3-Oxohexanoyl-[acp]	-6.883	-5.755	0.458	172.033	-6.299	90.0
C05745	Butyryl-[acp]	6.755	6.17	0.913	180.012	7.361	90.0
C05744	Acetoacetyl-[acp]	-5.224	-5.506	0.822	82.818	-6.09	90.0
C03150	Nicotinamide-beta-riboside	7.426	1.585	0.213	174.969	5.223	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.013	-3.15	0.137	73.456	-3.336	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-6.331	-3.322	0.124	90.505	-3.491	70.0
C00199	D-Ribulose_5-phosphate	-2.737	-4.13	0.381	24.176	-3.202	60.0
C02876	Propanoyl_phosphate	-5.375	2.585	0.145	47.499	-2.78	50.0
C03785	D-Tagatose_1,6-bisphosphate	-2.07	-4.524	0.183	27.206	-2.312	50.0
C02714	N-Acetylputrescine	-4.858	-3.459	0.379	39.997	-3.923	70.0
C00354	D-Fructose_1,6-bisphosphate	-6.684	-3.686	0.125	115.692	-3.856	70.0
C01050	UDP-N-acetylmuramate	6.319	2.147	0.34	84.267	4.84	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.229	-2.737	0.089	81.676	-2.86	60.0
C00206	dADP	9.022	3.115	0.345	528.531	7.512	90.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	2.0	2.0	1.0	8.0	3.0	70.0
C03539	S-Ribosyl-L-homocysteine	-4.755	-2.0	0.148	31.002	-2.199	50.0
C06010	(S)-2-Acetolactate	0.737	3.426	0.215	12.415	1.417	60.0
