compound_code	compound_name	lactobacillus_630_score	escherichia_630_score	ratio	magnitude	interaction_score	percentile
C00018	Pyridoxal_phosphate	-12.278	6.031	0.013	5031.843	-6.05	70.0
C00152	L-Asparagine	-8.233	10.537	0.203	1786.646	-8.499	90.0
C00155	L-Homocysteine	-8.579	-9.666	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-7.388	7.637	0.841	366.55	-8.269	80.0
C04146	all-trans-Octaprenyl_diphosphate	8.707	-8.295	0.752	731.979	-9.104	90.0
C02336	beta-D-Fructose	5.087	8.175	0.622	323.004	7.651	60.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	4.555	-10.517	0.016	1488.827	-4.578	60.0
C00655	Xanthosine_5'-phosphate	7.23	-5.901	0.398	209.878	-6.384	70.0
C00301	ADP-ribose	10.203	8.589	0.842	1563.792	10.362	80.0
C00718	Amylose	-8.984	-9.007	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	12.05	11.009	0.914	6301.261	12.491	90.0
C02909	(2-Naphthyl)methanol	12.05	11.009	0.914	6301.261	12.491	90.0
C17551	2-Polyprenyl-6-hydroxyphenol	-8.317	-8.555	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-3.7	8.842	0.028	471.885	-3.74	60.0
C06188	Salicin_6-phosphate	12.722	8.762	0.689	7190.352	12.274	90.0
C06186	Arbutin	12.036	6.7	0.557	4303.463	11.226	90.0
C06187	Arbutin_6-phosphate	-12.036	5.858	0.014	4257.495	-5.878	70.0
C03294	N-Formylmethionyl-tRNA	-9.014	-10.217	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	9.976	-6.69	0.103	1110.356	-6.831	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-9.794	-9.594	0.0	0.0	0.0	50.0
C04242	5-Fluorodeoxyuridine_monophosphate	-8.644	-7.426	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	9.794	7.97	0.814	1138.476	9.856	80.0
C00407	L-Isoleucine	-7.468	-4.202	0.0	0.0	0.0	50.0
C01412	Butanal	11.834	12.536	0.944	9589.79	13.144	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.801	-7.5	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-14.353	-9.313	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	14.265	8.048	0.564	19952.266	13.458	90.0
C00275	D-Mannose_6-phosphate	-13.114	-10.76	0.0	0.0	0.0	50.0
C00270	N-Acetylneuraminate	8.855	9.299	0.952	1092.951	10.023	80.0
C00900	2-Acetolactate	8.317	-9.956	0.321	1312.15	-8.719	90.0
C00473	Retinol	11.73	7.435	0.634	3569.937	11.144	90.0
C00294	Inosine	8.135	-6.558	0.335	375.334	-6.975	80.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-8.97	7.066	0.267	635.455	-7.408	80.0
C05698	Selenohomocysteine	-8.602	8.079	0.696	658.971	-8.841	90.0
C00354	D-Fructose_1,6-bisphosphate	-11.768	-6.03	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-7.863	-8.86	0.0	0.0	0.0	50.0
C00299	Uridine	6.834	10.962	0.623	2108.848	10.361	80.0
C00666	LL-2,6-Diaminoheptanedioate	-7.531	8.4	0.548	522.745	-8.161	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-9.308	8.455	0.554	984.771	-9.091	90.0
C11736	5-Fluorodeoxyuridine	8.644	7.426	0.859	572.008	8.941	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	9.082	8.889	0.979	1016.028	9.958	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	6.658	-9.349	0.155	753.108	-6.866	80.0
C00993	D-Alanyl-D-alanine	-11.854	-9.635	0.0	0.0	0.0	50.0
C00120	Biotin	7.435	-7.687	0.84	379.116	-8.314	80.0
C00121	D-Ribose	11.022	8.845	0.802	2539.314	10.993	90.0
C00122	Fumarate	-7.606	13.233	0.02	9822.684	-7.635	80.0
C00123	L-Leucine	-7.731	-3.544	0.0	0.0	0.0	50.0
C00124	D-Galactose	9.629	-11.522	0.269	3732.619	-9.973	90.0
C00129	Isopentenyl_diphosphate	-5.922	6.91	0.504	180.891	-6.511	70.0
C05749	Hexanoyl-[acp]	-6.508	10.17	0.079	1243.073	-6.618	70.0
C05748	trans-Hex-2-enoyl-[acp]	-9.794	-9.594	0.0	0.0	0.0	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	4.954	-10.932	0.016	1984.705	-4.977	60.0
C05746	3-Oxohexanoyl-[acp]	9.889	10.621	0.931	2523.02	11.198	90.0
C05745	Butyryl-[acp]	-6.508	10.17	0.079	1243.073	-6.618	70.0
C05744	Acetoacetyl-[acp]	9.139	9.885	0.925	1509.328	10.446	80.0
C03150	Nicotinamide-beta-riboside	8.292	-8.454	0.894	664.107	-9.213	90.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	4.248	-10.196	0.016	1192.011	-4.271	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	4.555	-10.517	0.016	1488.827	-4.578	60.0
C00199	D-Ribulose_5-phosphate	-9.145	9.524	0.769	1302.358	-9.968	90.0
C00052	UDP-alpha-D-galactose	-8.12	-4.269	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	-9.246	-7.88	0.0	0.0	0.0	50.0
C00058	Formate	12.787	12.998	0.984	15248.228	13.873	90.0
C01050	UDP-N-acetylmuramate	-6.698	7.828	0.457	331.053	-7.241	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	7.943	-8.351	0.754	572.597	-8.753	90.0
C00206	dADP	-10.114	-7.112	0.0	0.0	0.0	50.0
C03539	S-Ribosyl-L-homocysteine	8.484	10.079	0.842	1439.682	10.243	80.0
