ko	pathways
K04188	Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction
K04189	Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|Endocytosis:Transport_and_catabolism
K04190	Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction
K04191	Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction
K04192	Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction
K04193	Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction
K04194	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Pancreatic_secretion:Digestive_system
K04195	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Gastric_acid_secretion:Digestive_system
K04196	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04197	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04198	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04199	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04200	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04201	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04202	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04203	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04204	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04205	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04207	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04209	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04210	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04211	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04212	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04213	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04214	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04215	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04216	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04217	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04218	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Gastric_acid_secretion:Digestive_system
K04219	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04220	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04221	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04222	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04223	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04224	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04225	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04226	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04227	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04228	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04229	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04230	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04231	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04232	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04233	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04234	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04235	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04236	Rap1_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04237	Rap1_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Endocytosis:Transport_and_catabolism|Hippo_signaling_pathway:Signal_transduction|Hippo_signaling_pathway_-_fly:Signal_transduction|Adherens_junction:Cell_communication|Tight_junction:Cell_communication
K04238	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04239	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04240	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04241	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04247	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04248	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04249	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04258	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04259	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04260	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04261	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04262	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04263	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04264	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04265	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04266	Rap1_signaling_pathway:Signal_transduction|Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04267	Rap1_signaling_pathway:Signal_transduction|Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04268	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04269	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04270	Rap1_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04271	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04272	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04273	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction
K04274	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04275	Rap1_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction
K04276	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04277	Rap1_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04278	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04279	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04280	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04282	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04284	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04285	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Circadian_entrainment:Environmental_adaptation
K04286	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Circadian_entrainment:Environmental_adaptation
K04287	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04288	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04289	Rap1_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Gap_junction:Cell_communication
K04290	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04291	Rap1_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction
K04292	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04293	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04294	Rap1_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction
K04295	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04296	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04297	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04299	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04303	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04304	Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction
K04306	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04307	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04314	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04320	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04322	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04323	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04332	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04344	MAPK_signaling_pathway:Signal_transduction|Calcium_signaling_pathway:Signal_transduction
K04346	MAPK_signaling_pathway:Signal_transduction|Regulation_of_actin_cytoskeleton:Cell_motility
K04347	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation|Regulation_of_actin_cytoskeleton:Cell_motility
K04349	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication
K04350	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction
K04351	Rap1_signaling_pathway:Signal_transduction
K04352	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction
K04353	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication|Pancreatic_secretion:Digestive_system
K04354	mRNA_surveillance_pathway:Translation|Cell_cycle_-_yeast:Cell_growth_and_death|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Hippo_signaling_pathway_-_fly:Signal_transduction|Tight_junction:Cell_communication
K04355	MAPK_signaling_pathway:Signal_transduction
K04356	MAPK_signaling_pathway:Signal_transduction
K04357	MAPK_signaling_pathway:Signal_transduction|ErbB_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|HIF-1_signaling_pathway:Signal_transduction|Endocytosis:Transport_and_catabolism|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Focal_adhesion:Cell_communication|Gap_junction:Cell_communication|Regulation_of_actin_cytoskeleton:Cell_motility
K04358	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Regulation_of_actin_cytoskeleton:Cell_motility
K04359	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Focal_adhesion:Cell_communication|Gap_junction:Cell_communication|Regulation_of_actin_cytoskeleton:Cell_motility
K04364	MAPK_signaling_pathway:Signal_transduction|ErbB_signaling_pathway:Signal_transduction|MAPK_signaling_pathway_-_fly:Signal_transduction|Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Focal_adhesion:Cell_communication|Gap_junction:Cell_communication|Jak-STAT_signaling_pathway:Signal_transduction
K04370	MAPK_signaling_pathway:Signal_transduction
K04374	MAPK_signaling_pathway:Signal_transduction|Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|TNF_signaling_pathway:Signal_transduction
K04375	MAPK_signaling_pathway:Signal_transduction|ErbB_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication
K04376	MAPK_signaling_pathway:Signal_transduction
K04377	MAPK_signaling_pathway:Signal_transduction|ErbB_signaling_pathway:Signal_transduction|Cell_cycle:Cell_growth_and_death|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Wnt_signaling_pathway:Signal_transduction|TGF-beta_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Hippo_signaling_pathway_-_fly:Signal_transduction|Jak-STAT_signaling_pathway:Signal_transduction
K04378	MAPK_signaling_pathway:Signal_transduction
K04379	MAPK_signaling_pathway:Signal_transduction|TNF_signaling_pathway:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04380	MAPK_signaling_pathway:Signal_transduction
K04381	MAPK_signaling_pathway:Signal_transduction
K04383	MAPK_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|Apoptosis:Cell_growth_and_death
K04385	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction
K04386	MAPK_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|NF-kappa_B_signaling_pathway:Signal_transduction|Apoptosis:Cell_growth_and_death
K04387	MAPK_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction
K04389	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Apoptosis:Cell_growth_and_death
K04390	MAPK_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|p53_signaling_pathway:Cell_growth_and_death|Apoptosis:Cell_growth_and_death|TNF_signaling_pathway:Signal_transduction
K04391	MAPK_signaling_pathway:Signal_transduction|NF-kappa_B_signaling_pathway:Signal_transduction|Phagosome:Transport_and_catabolism|Regulation_of_actin_cytoskeleton:Cell_motility
K04392	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|Phagosome:Transport_and_catabolism|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Wnt_signaling_pathway:Signal_transduction|VEGF_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication|Adherens_junction:Cell_communication|Regulation_of_actin_cytoskeleton:Cell_motility|Pancreatic_secretion:Digestive_system
K04393	MAPK_signaling_pathway:Signal_transduction|MAPK_signaling_pathway_-_yeast:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|Endocytosis:Transport_and_catabolism|VEGF_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication|Adherens_junction:Cell_communication|Tight_junction:Cell_communication|Regulation_of_actin_cytoskeleton:Cell_motility
K04402	MAPK_signaling_pathway:Signal_transduction|Cell_cycle:Cell_growth_and_death|p53_signaling_pathway:Cell_growth_and_death
K04403	MAPK_signaling_pathway:Signal_transduction|NF-kappa_B_signaling_pathway:Signal_transduction|TNF_signaling_pathway:Signal_transduction
K04404	MAPK_signaling_pathway:Signal_transduction|NF-kappa_B_signaling_pathway:Signal_transduction|TNF_signaling_pathway:Signal_transduction
K04405	MAPK_signaling_pathway:Signal_transduction
K04411	MAPK_signaling_pathway:Signal_transduction|Ras_signaling_pathway:Signal_transduction
K04412	MAPK_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Hippo_signaling_pathway_-_fly:Signal_transduction
K04434	MAPK_signaling_pathway:Signal_transduction
K04435	MAPK_signaling_pathway:Signal_transduction
K04436	MAPK_signaling_pathway:Signal_transduction
K04437	MAPK_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication
K04438	MAPK_signaling_pathway:Signal_transduction|ErbB_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication|Regulation_of_actin_cytoskeleton:Cell_motility
K04439	MAPK_signaling_pathway:Signal_transduction|Endocytosis:Transport_and_catabolism
K04446	MAPK_signaling_pathway:Signal_transduction|Wnt_signaling_pathway:Signal_transduction
K04448	MAPK_signaling_pathway:Signal_transduction|ErbB_signaling_pathway:Signal_transduction|Wnt_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication|TNF_signaling_pathway:Signal_transduction
K04449	MAPK_signaling_pathway:Signal_transduction
K04450	MAPK_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|TNF_signaling_pathway:Signal_transduction
K04451	MAPK_signaling_pathway:Signal_transduction|Cell_cycle:Cell_growth_and_death|p53_signaling_pathway:Cell_growth_and_death|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Apoptosis:Cell_growth_and_death|Wnt_signaling_pathway:Signal_transduction
K04452	MAPK_signaling_pathway:Signal_transduction|Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation
K04453	MAPK_signaling_pathway:Signal_transduction
K04454	MAPK_signaling_pathway:Signal_transduction
K04455	MAPK_signaling_pathway:Signal_transduction|VEGF_signaling_pathway:Signal_transduction
K04462	MAPK_signaling_pathway:Signal_transduction
K04465	MAPK_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction
K04469	MAPK_signaling_pathway:Signal_transduction|NF-kappa_B_signaling_pathway:Signal_transduction
K04482	Homologous_recombination:Replication_and_repair|Fanconi_anemia_pathway:Replication_and_repair
K04490	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Adherens_junction:Cell_communication
K04491	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Adherens_junction:Cell_communication
K04492	Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Adherens_junction:Cell_communication
K04493	Wnt_signaling_pathway:Signal_transduction
K04495	Wnt_signaling_pathway:Signal_transduction
K04496	Wnt_signaling_pathway:Signal_transduction|Notch_signaling_pathway:Signal_transduction
K04497	Wnt_signaling_pathway:Signal_transduction|Notch_signaling_pathway:Signal_transduction
K04499	Wnt_signaling_pathway:Signal_transduction
K04500	Cell_cycle:Cell_growth_and_death|Endocytosis:Transport_and_catabolism|TGF-beta_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Adherens_junction:Cell_communication
K04501	Cell_cycle:Cell_growth_and_death|Wnt_signaling_pathway:Signal_transduction|TGF-beta_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Adherens_junction:Cell_communication
K04502	Wnt_signaling_pathway:Signal_transduction
K04503	Cell_cycle:Cell_growth_and_death|p53_signaling_pathway:Cell_growth_and_death|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Wnt_signaling_pathway:Signal_transduction|Hippo_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication|Jak-STAT_signaling_pathway:Signal_transduction
K04504	Wnt_signaling_pathway:Signal_transduction
K04507	Wnt_signaling_pathway:Signal_transduction
K04508	Wnt_signaling_pathway:Signal_transduction
K04510	Wnt_signaling_pathway:Signal_transduction
K04511	Wnt_signaling_pathway:Signal_transduction
K04512	Wnt_signaling_pathway:Signal_transduction
K04513	MAPK_signaling_pathway_-_yeast:Signal_transduction|Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|Endocytosis:Transport_and_catabolism|Wnt_signaling_pathway:Signal_transduction|TGF-beta_signaling_pathway:Signal_transduction|Focal_adhesion:Cell_communication|Adherens_junction:Cell_communication|Tight_junction:Cell_communication|Regulation_of_actin_cytoskeleton:Cell_motility|Pancreatic_secretion:Digestive_system
K04519	MAPK_signaling_pathway:Signal_transduction|Cytokine-cytokine_receptor_interaction:Signaling_molecules_and_interaction|NF-kappa_B_signaling_pathway:Signal_transduction|Apoptosis:Cell_growth_and_death|TNF_signaling_pathway:Signal_transduction
K04523	Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation
K04526	Ras_signaling_pathway:Signal_transduction|Rap1_signaling_pathway:Signal_transduction|HIF-1_signaling_pathway:Signal_transduction|Oocyte_meiosis:Cell_growth_and_death|Regulation_of_autophagy:Transport_and_catabolism|mTOR_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Regulation_of_actin_cytoskeleton:Cell_motility
K04534	Rap1_signaling_pathway:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04536	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04537	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04538	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04539	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04540	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04541	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04542	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04543	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04544	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04545	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04546	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04547	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04548	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04549	Ras_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Circadian_entrainment:Environmental_adaptation
K04560	SNARE_interactions_in_vesicular_transport:Folding,_sorting_and_degradation
K04570	Ras_signaling_pathway:Signal_transduction|NF-kappa_B_signaling_pathway:Signal_transduction|PI3K-Akt_signaling_pathway:Signal_transduction:Signal_transduction|Apoptosis:Cell_growth_and_death|Jak-STAT_signaling_pathway:Signal_transduction
K04571	Protein_processing_in_endoplasmic_reticulum:Folding,_sorting_and_degradation
K04576	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04577	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04578	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04579	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04580	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04581	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04582	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04583	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04584	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04585	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04586	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04587	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Circadian_entrainment:Environmental_adaptation
K04588	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Pancreatic_secretion:Digestive_system|Bile_secretion:Digestive_system
K04589	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04590	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04596	p53_signaling_pathway:Cell_growth_and_death
K04603	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Gap_junction:Cell_communication
K04604	Calcium_signaling_pathway:Signal_transduction|Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction|Gap_junction:Cell_communication
K04605	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04607	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04608	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04615	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04617	Neuroactive_ligand-receptor_interaction:Signaling_molecules_and_interaction
K04623	MAPK_signaling_pathway_-_fly:Signal_transduction
K04625	Carbohydrate_digestion_and_absorption:Digestive_system
K04626	Carbohydrate_digestion_and_absorption:Digestive_system
K04627	MAPK_signaling_pathway_-_yeast:Signal_transduction
K04630	Rap1_signaling_pathway:Signal_transduction|Tight_junction:Cell_communication|Gap_junction:Cell_communication|Circadian_entrainment:Environmental_adaptation|Gastric_acid_secretion:Digestive_system
K04632	Rap1_signaling_pathway:Signal_transduction|Calcium_signaling_pathway:Signal_transduction|Gap_junction:Cell_communication|Circadian_entrainment:Environmental_adaptation|Salivary_secretion:Digestive_system|Gastric_acid_secretion:Digestive_system|Pancreatic_secretion:Digestive_system|Bile_secretion:Digestive_system
K04633	Calcium_signaling_pathway:Signal_transduction
K04634	Rap1_signaling_pathway:Signal_transduction|Calcium_signaling_pathway:Signal_transduction|Gap_junction:Cell_communication|Circadian_entrainment:Environmental_adaptation|Salivary_secretion:Digestive_system|Gastric_acid_secretion:Digestive_system|Pancreatic_secretion:Digestive_system
K04635	Calcium_signaling_pathway:Signal_transduction|Gap_junction:Cell_communication
K04636	Calcium_signaling_pathway:Signal_transduction
K04637	Calcium_signaling_pathway:Signal_transduction
K04639	Regulation_of_actin_cytoskeleton:Cell_motility
K04644	Lysosome:Transport_and_catabolism|Endocytosis:Transport_and_catabolism
K04645	Lysosome:Transport_and_catabolism|Endocytosis:Transport_and_catabolism
K04646	Lysosome:Transport_and_catabolism|Endocytosis:Transport_and_catabolism
K04657	TGF-beta_signaling_pathway:Signal_transduction
