compound_code	compound_name	eubacterium_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C00063	CTP	7.129	5.654	0.793	190.325	7.238	90.0
C01613	Stachyose	5.492	6.19	0.887	118.013	6.71	90.0
C00159	D-Mannose	-5.874	9.289	0.094	684.206	-6.003	90.0
C05984	2-Hydroxybutanoic_acid	3.807	9.763	0.39	882.869	8.427	90.0
C05689	Se-Methyl-L-selenocysteine	2.0	4.17	0.48	22.001	3.399	70.0
C00014	Ammonia	-3.378	-2.52	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-3.807	-2.807	0.0	0.0	0.0	50.0
C00018	Pyridoxal_phosphate	-4.17	-8.055	0.0	0.0	0.0	50.0
C05823	3-Mercaptolactate	-3.807	-9.763	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-4.459	-5.073	0.0	0.0	0.0	50.0
C00152	L-Asparagine	1.737	-1.188	0.683	5.612	-1.939	80.0
C00155	L-Homocysteine	-6.156	-3.532	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-5.6	-1.807	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	1.585	5.555	0.285	50.013	3.835	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-4.129	-2.954	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-4.167	3.298	0.548	27.799	-3.928	80.0
C00301	ADP-ribose	4.755	4.7	0.988	52.994	5.711	80.0
C00718	Amylose	-4.285	-4.248	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	6.687	7.639	0.875	302.364	8.048	90.0
C02909	(2-Naphthyl)methanol	6.687	7.639	0.875	302.364	8.048	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.0	2.585	0.774	10.0	2.952	60.0
C18902	Methylselenic_acid	5.524	6.966	0.793	171.033	7.084	90.0
C03294	N-Formylmethionyl-tRNA	-5.044	-4.459	0.0	0.0	0.0	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-4.807	-3.7	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	-2.078	6.78	0.038	114.119	-2.132	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	1.585	-3.459	0.273	13.997	-1.933	70.0
C03373	Aminoimidazole_ribotide	-4.954	5.459	0.705	74.983	-5.723	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.807	-2.585	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-4.954	-4.087	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-5.943	2.17	0.073	66.021	-2.272	80.0
C03479	Folinic_acid	4.087	5.0	0.817	48.995	5.324	80.0
C06113	L-Aspartyl-tRNA(Asn)	-4.768	-4.03	0.0	0.0	0.0	50.0
C06112	L-Glutamyl-tRNA(Gln)	-5.157	4.353	0.573	56.114	-5.006	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-3.17	-3.17	0.0	0.0	0.0	50.0
C00583	Propane-1,2-diol	6.443	1.0	0.155	89.003	3.788	70.0
C03972	2,3,4,5-Tetrahydrodipicolinate	1.105	-3.27	0.223	11.797	-1.395	70.0
C00577	D-Glyceraldehyde	-7.15	-11.618	0.0	0.0	0.0	50.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	1.0	-3.17	0.222	11.0	-1.289	70.0
C00279	D-Erythrose_4-phosphate	-6.779	11.531	0.037	3069.038	-6.832	90.0
C01801	Deoxyribose	1.585	6.285	0.252	80.978	4.352	70.0
C00275	D-Mannose_6-phosphate	3.568	-9.446	0.017	709.336	-3.592	80.0
C00270	N-Acetylneuraminate	1.585	4.907	0.323	33.002	3.414	70.0
C00900	2-Acetolactate	4.129	3.585	0.868	29.497	4.679	80.0
C00294	Inosine	4.087	5.146	0.794	52.402	5.379	80.0
C05699	L-Selenocystathionine	7.807	3.755	0.481	237.446	6.835	90.0
C05698	Selenohomocysteine	-7.492	-3.755	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-4.605	-9.036	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-3.807	-2.322	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	1.848	6.155	0.3	74.859	4.49	70.0
C00299	Uridine	-0.304	4.315	0.062	21.139	-0.391	70.0
C05399	Melibiitol	6.022	6.954	0.866	188.967	7.354	90.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.907	-3.807	0.0	0.0	0.0	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-5.044	-3.807	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.907	3.585	0.918	27.001	4.631	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	4.0	1.585	0.396	19.0	2.912	60.0
C00993	D-Alanyl-D-alanine	-4.087	-8.214	0.0	0.0	0.0	50.0
C00120	Biotin	2.585	3.17	0.815	15.001	3.613	70.0
C00121	D-Ribose	1.585	6.285	0.252	80.978	4.352	70.0
C00122	Fumarate	1.469	-2.852	0.383	9.988	-1.937	80.0
C00123	L-Leucine	-0.737	-1.222	0.0	0.0	0.0	50.0
C00124	D-Galactose	-4.363	-6.262	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-6.331	-1.72	0.0	0.0	0.0	50.0
C05749	Hexanoyl-[acp]	1.0	-2.322	0.4	7.0	-1.485	70.0
C05748	trans-Hex-2-enoyl-[acp]	1.585	-3.459	0.273	13.997	-1.933	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.524	-3.322	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	4.322	4.585	0.943	44.002	5.374	80.0
C05745	Butyryl-[acp]	1.0	-2.322	0.4	7.0	-1.485	70.0
C05744	Acetoacetyl-[acp]	3.966	3.82	0.963	29.751	4.841	80.0
C03150	Nicotinamide-beta-riboside	4.087	5.073	0.806	50.655	5.351	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-3.828	-2.678	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-4.129	-2.954	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-4.049	-5.339	0.0	0.0	0.0	50.0
C00052	UDP-alpha-D-galactose	2.147	-4.708	0.169	30.566	-2.373	80.0
C00197	3-Phospho-D-glycerate	6.311	-7.88	0.337	314.964	-6.73	90.0
C03785	D-Tagatose_1,6-bisphosphate	-6.943	-7.706	0.0	0.0	0.0	50.0
C00011	CO2	7.565	3.392	0.448	199.859	6.486	90.0
C01050	UDP-N-acetylmuramate	-3.793	-4.692	0.0	0.0	0.0	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-4.585	0.585	0.063	25.501	-0.672	70.0
C00206	dADP	7.077	-6.353	0.605	216.759	-7.036	90.0
C03028	Thiamin_triphosphate	-3.585	-5.129	0.0	0.0	0.0	50.0
C03539	S-Ribosyl-L-homocysteine	1.585	5.585	0.284	51.001	3.855	70.0
C06010	(S)-2-Acetolactate	3.209	1.678	0.523	12.447	2.702	60.0
