compound_code	compound_name	eubacterium_mock_score	parabacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C00668	alpha-D-Glucose_6-phosphate	5.783	-9.765	0.063	925.14	-5.872	90.0
C00666	LL-2,6-Diaminoheptanedioate	-1.716	7.857	0.014	235.128	-1.736	80.0
C02163	L-Arginyl-tRNA(Arg)	-4.248	-9.36	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-6.497	-9.819	0.0	0.0	0.0	50.0
C00116	Glycerol	-6.022	-8.132	0.0	0.0	0.0	50.0
C00111	Glycerone_phosphate	-4.496	-9.192	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	4.858	9.241	0.526	634.088	8.381	80.0
C00112	CDP	-5.57	-8.65	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-3.234	-6.682	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	7.282	8.074	0.902	425.106	8.583	80.0
C03492	D-4'-Phosphopantothenate	-2.322	5.781	0.091	59.987	-2.448	80.0
C05750	3-Oxooctanoyl-[acp]	3.931	9.041	0.435	542.012	7.881	80.0
C05751	trans-Oct-2-enoyl-[acp]	1.585	7.317	0.217	162.454	5.137	60.0
C05752	Octanoyl-[acp]	1.0	8.592	0.116	387.878	5.496	60.0
C05753	3-Oxodecanoyl-[acp]	3.931	9.041	0.435	542.012	7.881	80.0
C05754	trans-Dec-2-enoyl-[acp]	1.585	7.317	0.217	162.454	5.137	60.0
C05755	Decanoyl-[acp]	1.0	8.667	0.115	408.469	5.559	60.0
C05756	3-Oxododecanoyl-[acp]	4.322	9.263	0.467	634.386	8.209	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-4.524	-10.203	0.0	0.0	0.0	50.0
C05758	trans-Dodec-2-enoyl-[acp]	1.585	7.317	0.217	162.454	5.137	60.0
C05759	3-Oxotetradecanoyl-[acp]	4.322	9.263	0.467	634.386	8.209	80.0
C00235	Dimethylallyl_diphosphate	-6.423	7.152	0.603	228.028	-7.104	90.0
C00249	Hexadecanoic_acid	3.7	10.087	0.367	1100.647	8.657	90.0
C00188	L-Threonine	-3.7	5.923	0.214	73.67	-3.98	90.0
C02702	L-Prolyl-tRNA(Pro)	-5.358	-9.34	0.0	0.0	0.0	50.0
C00185	Cellobiose	-6.768	10.298	0.087	1367.931	-6.888	90.0
C01235	alpha-D-Galactosyl-(1->3)-1D-myo-inositol	6.022	9.18	0.656	645.02	8.725	90.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-2.0	-6.369	0.0	0.0	0.0	50.0
C00181	D-Xylose	5.858	11.506	0.509	2966.381	10.561	90.0
C00159	D-Mannose	-5.874	-9.025	0.0	0.0	0.0	50.0
C00011	CO2	7.565	10.508	0.72	1645.569	10.21	90.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-0.848	3.561	0.153	13.602	-1.053	80.0
C00327	L-Citrulline	5.248	9.312	0.564	673.613	8.568	80.0
C00842	dTDP-glucose	2.585	-5.322	0.15	46.002	-2.787	80.0
C00015	UDP	-5.037	-8.186	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	7.807	9.486	0.823	941.03	9.597	90.0
C03546	myo-Inositol_4-phosphate	1.0	7.476	0.134	180.033	4.59	60.0
C02554	L-Valyl-tRNA(Val)	-5.524	-9.397	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	0.263	-5.946	0.019	62.849	-0.291	70.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	5.129	11.461	0.448	2854.056	10.319	90.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	2.585	8.267	0.313	314.046	6.618	70.0
C00445	5,10-Methenyltetrahydrofolate	0.874	7.106	0.123	139.591	4.102	60.0
C01762	Xanthosine	4.087	9.618	0.425	802.785	8.414	80.0
C00441	L-Aspartate_4-semialdehyde	3.852	7.639	0.504	213.768	6.752	70.0
C00440	5-Methyltetrahydrofolate	3.624	6.644	0.545	112.339	5.937	70.0
C00526	Deoxyuridine	-2.874	8.582	0.019	390.543	-2.901	80.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	2.982	7.698	0.387	215.549	6.384	70.0
C00522	(R)-Pantoate	-1.138	7.924	0.009	245.064	-1.151	80.0
C00448	trans,trans-Farnesyl_diphosphate	3.644	-6.129	0.179	82.488	-3.881	90.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	2.0	7.531	0.266	188.951	5.649	60.0
C12739	5'-Deoxy-5-fluorouridine	-4.644	-8.516	0.0	0.0	0.0	50.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-5.129	-10.822	0.0	0.0	0.0	50.0
C00009	Orthophosphate	-3.907	-8.827	0.0	0.0	0.0	50.0
C04133	N-Acetyl-L-glutamate_5-phosphate	1.807	6.627	0.273	102.338	4.802	60.0
C03838	5'-Phosphoribosylglycinamide	-4.755	-6.366	0.0	0.0	0.0	50.0
C05400	Epimelibiose	6.022	9.18	0.656	645.02	8.725	90.0
C03722	Quinolinate	-3.7	7.889	0.055	250.038	-3.777	90.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	5.931	9.18	0.646	641.048	8.694	90.0
C03939	Acetyl-[acyl-carrier_protein]	0.515	-8.948	0.003	495.303	-0.519	70.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.17	-9.229	0.015	609.076	-3.191	90.0
C00627	Pyridoxine_phosphate	-4.17	-7.864	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	3.0	8.358	0.359	336.102	6.915	70.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-4.459	-2.954	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	-1.0	8.539	0.005	373.959	-1.008	70.0
C00785	Urocanate	-2.322	-7.366	0.0	0.0	0.0	50.0
C00239	dCMP	-3.807	-7.354	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	-5.718	-8.858	0.0	0.0	0.0	50.0
C01345	dITP	4.17	-7.977	0.071	269.952	-4.27	90.0
C00233	4-Methyl-2-oxopentanoate	2.402	7.451	0.322	180.26	5.861	70.0
C00234	10-Formyltetrahydrofolate	-1.338	6.811	0.023	114.811	-1.37	80.0
C05688	L-Selenocysteine	2.0	8.547	0.234	378.027	6.467	70.0
C01613	Stachyose	5.492	9.18	0.598	625.041	8.547	80.0
C00010	CoA	-4.087	-8.285	0.0	0.0	0.0	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.322	-9.579	0.0	0.0	0.0	50.0
C00062	L-Arginine	-1.585	-5.081	0.0	0.0	0.0	50.0
C00014	Ammonia	-3.378	-7.126	0.0	0.0	0.0	50.0
C05980	Cardiolipin	-3.807	-8.17	0.0	0.0	0.0	50.0
C00018	Pyridoxal_phosphate	-4.17	-1.0	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-4.982	-1.047	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-4.459	-8.913	0.0	0.0	0.0	50.0
C00152	L-Asparagine	1.737	-6.251	0.044	79.495	-1.799	80.0
C00155	L-Homocysteine	-6.156	-8.531	0.0	0.0	0.0	50.0
C00154	Palmitoyl-CoA	-3.7	-10.087	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	6.658	-7.629	0.51	298.936	-7.253	90.0
C02876	Propanoyl_phosphate	-5.6	-6.615	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	1.585	8.055	0.197	268.948	5.726	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-4.129	-9.981	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-4.167	-7.622	0.0	0.0	0.0	50.0
C00300	Creatine	-1.0	-3.459	0.0	0.0	0.0	50.0
C00718	Amylose	-4.285	-6.384	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.0	3.17	0.631	13.0	3.036	60.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-6.547	-9.246	0.0	0.0	0.0	50.0
C00681	1-Acyl-sn-glycerol_3-phosphate	2.28	8.273	0.276	314.186	6.436	70.0
C01127	4-Hydroxy-2-oxoglutarate	5.0	10.006	0.5	1060.268	9.049	90.0
C03506	Indoleglycerol_phosphate	4.874	7.222	0.675	178.617	6.913	70.0
C05143	Dhurrin	5.524	10.551	0.524	1546.277	9.661	90.0
C18902	Methylselenic_acid	5.524	9.441	0.585	741.077	8.76	90.0
C03294	N-Formylmethionyl-tRNA	-5.044	-8.15	0.0	0.0	0.0	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-4.807	-9.109	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	-2.078	-8.468	0.0	0.0	0.0	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	1.585	7.317	0.217	162.454	5.137	60.0
C01019	6-Deoxy-L-galactose	4.7	9.683	0.485	847.995	8.685	90.0
C03375	Norspermidine	-4.7	-8.566	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-4.954	-8.948	0.0	0.0	0.0	50.0
C04432	tRNA_containing_6-isopentenyladenosine	-3.807	-8.98	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-4.954	-9.253	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-5.943	-7.815	0.0	0.0	0.0	50.0
C03479	Folinic_acid	4.087	-9.041	0.032	543.754	-4.133	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-3.17	-7.901	0.0	0.0	0.0	50.0
C00582	Phenylacetyl-CoA	-5.585	-3.585	0.0	0.0	0.0	50.0
C00583	Propane-1,2-diol	6.443	9.649	0.668	889.861	9.215	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	1.105	-7.337	0.013	163.831	-1.124	80.0
C00577	D-Glyceraldehyde	-7.15	-11.182	0.0	0.0	0.0	50.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	1.0	4.322	0.231	22.001	2.348	60.0
C00279	D-Erythrose_4-phosphate	-6.779	-9.449	0.0	0.0	0.0	50.0
C01801	Deoxyribose	1.585	1.585	1.0	6.0	2.585	60.0
C00275	D-Mannose_6-phosphate	3.568	-7.168	0.082	155.668	-3.682	90.0
C02474	Arabinan	5.781	10.471	0.552	1474.322	9.669	90.0
C00900	2-Acetolactate	4.129	9.054	0.456	549.024	7.968	80.0
C00475	Cytidine	1.189	6.348	0.187	83.739	3.971	60.0
C12215	Iminoerythrose_4-phosphate	-7.852	-10.672	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	7.852	10.672	0.736	1862.559	10.42	90.0
C00294	Inosine	4.087	9.618	0.425	802.785	8.414	80.0
C05699	L-Selenocystathionine	7.807	9.486	0.823	941.03	9.597	90.0
C05698	Selenohomocysteine	-7.492	-8.945	0.0	0.0	0.0	50.0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	-0.617	5.794	0.028	57.018	-0.656	70.0
C00353	Geranylgeranyl_diphosphate	-3.807	-8.551	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	1.848	-8.342	0.011	328.083	-1.864	80.0
C00299	Uridine	-0.304	7.183	0.008	146.546	-0.316	70.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-4.125	-5.695	0.0	0.0	0.0	50.0
C05399	Melibiitol	6.022	9.18	0.656	645.02	8.725	90.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-4.907	5.524	0.652	76.016	-5.631	90.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-5.044	-8.585	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.907	8.119	0.481	293.012	7.14	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	4.0	-6.304	0.203	95.012	-4.266	90.0
C00993	D-Alanyl-D-alanine	-4.087	-8.508	0.0	0.0	0.0	50.0
C05382	Sedoheptulose_7-phosphate	-5.655	8.826	0.111	504.215	-5.807	90.0
C00120	Biotin	2.585	7.542	0.343	192.367	6.043	70.0
C00121	D-Ribose	1.585	1.585	1.0	6.0	2.585	60.0
C00122	Fumarate	1.469	-9.624	0.004	791.833	-1.474	80.0
C00123	L-Leucine	-0.737	6.632	0.017	100.848	-0.761	70.0
C00124	D-Galactose	-4.363	9.79	0.023	905.864	-4.396	90.0
C00128	CMP-N-acetylneuraminate	-1.585	-8.91	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-6.331	5.913	0.748	140.759	-6.719	90.0
C05749	Hexanoyl-[acp]	1.0	8.667	0.115	408.469	5.559	60.0
C05748	trans-Hex-2-enoyl-[acp]	1.585	7.317	0.217	162.454	5.137	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-4.524	-10.203	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	4.322	9.263	0.467	634.386	8.209	80.0
C05745	Butyryl-[acp]	1.0	8.667	0.115	408.469	5.559	60.0
C05744	Acetoacetyl-[acp]	3.966	8.124	0.488	294.604	7.168	70.0
C03150	Nicotinamide-beta-riboside	4.087	9.618	0.425	802.785	8.414	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-3.828	-9.788	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-4.129	-9.981	0.0	0.0	0.0	50.0
C00055	CMP	-1.852	-7.212	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-4.049	-7.103	0.0	0.0	0.0	50.0
C00721	Dextrin	-4.322	-9.726	0.0	0.0	0.0	50.0
C02659	Acetone_cyanohydrin	-5.524	-10.551	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	6.311	9.963	0.633	1077.468	9.415	90.0
C03785	D-Tagatose_1,6-bisphosphate	-6.943	-9.329	0.0	0.0	0.0	50.0
C02714	N-Acetylputrescine	-4.392	-7.983	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	-3.793	-5.664	0.0	0.0	0.0	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-4.585	-1.415	0.0	0.0	0.0	50.0
C00206	dADP	7.077	7.905	0.895	374.703	8.39	80.0
C03539	S-Ribosyl-L-homocysteine	1.585	-5.931	0.049	64.011	-1.654	80.0
C06010	(S)-2-Acetolactate	3.209	8.057	0.398	275.564	6.778	70.0
