compound_code	compound_name	butyrivibrio_mock_score	eubacterium_mock_score	ratio	magnitude	interaction_score	percentile
C02686	Galactosylceramide	-7.468	-6.022	0.0	0.0	0.0	50.0
C00243	Lactose	6.516	5.129	0.787	126.512	6.638	80.0
C00242	Guanine	-2.624	-2.907	0.0	0.0	0.0	50.0
C00245	Taurine	-7.418	-3.17	0.0	0.0	0.0	50.0
C18172	Carboxyspermidine	6.322	4.7	0.743	105.996	6.3	70.0
C18174	Carboxynorspermidine	6.322	4.7	0.743	105.996	6.3	70.0
C01099	L-Fuculose_1-phosphate	8.271	3.322	0.402	318.901	7.001	80.0
C01097	D-Tagatose_6-phosphate	11.526	6.943	0.602	3072.021	10.854	90.0
C00561	Mandelonitrile	-9.95	-5.524	0.0	0.0	0.0	50.0
C01094	D-Fructose_1-phosphate	10.353	6.629	0.64	1406.842	9.815	90.0
C01721	L-Fuculose	-7.15	-3.0	0.0	0.0	0.0	50.0
C00068	Thiamin_diphosphate	4.777	0.479	0.1	28.811	1.531	50.0
C00342	Thioredoxin	9.0	3.807	0.423	525.997	7.798	90.0
C00343	Thioredoxin_disulfide	-9.0	-3.807	0.0	0.0	0.0	50.0
C00344	Phosphatidylglycerol	7.87	3.807	0.484	247.937	6.906	80.0
C05684	Selenite	7.547	5.524	0.732	233.028	7.414	80.0
C00063	CTP	9.067	7.129	0.786	676.311	9.055	90.0
C00062	L-Arginine	-5.044	-1.585	0.0	0.0	0.0	50.0
C00065	L-Serine	-7.009	-3.92	0.0	0.0	0.0	50.0
C00064	L-Glutamine	-7.294	-3.033	0.0	0.0	0.0	50.0
C00066	tRNA	6.943	3.807	0.548	137.038	6.232	70.0
C16633	5-Fluorouridine	7.577	5.044	0.666	223.934	7.22	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.963	-1.263	0.154	17.995	-1.47	80.0
C16635	5'-Deoxy-5-fluorocytidine	7.672	4.644	0.605	228.942	7.115	80.0
C16634	5-Fluorouridine_monophosphate	-8.464	-5.044	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	8.693	4.858	0.559	442.861	7.951	90.0
C00239	dCMP	-6.322	-3.807	0.0	0.0	0.0	50.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	6.925	3.907	0.564	136.517	6.267	70.0
C00668	alpha-D-Glucose_6-phosphate	8.772	5.783	0.659	492.217	8.342	90.0
C00666	LL-2,6-Diaminoheptanedioate	7.073	-1.716	0.024	137.929	-1.751	80.0
C02163	L-Arginyl-tRNA(Arg)	-7.435	-4.248	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	-10.034	-6.497	0.0	0.0	0.0	50.0
C00116	Glycerol	7.061	-6.022	0.487	198.512	-6.594	90.0
C00111	Glycerone_phosphate	-6.386	-4.496	0.0	0.0	0.0	50.0
C02380	6-Mercaptopurine	7.864	4.858	0.618	261.97	7.338	80.0
C00112	CDP	-7.547	-5.57	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-7.049	-3.234	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	5.968	7.282	0.82	218.229	7.483	80.0
C03492	D-4'-Phosphopantothenate	-6.721	-2.322	0.0	0.0	0.0	50.0
C05750	3-Oxooctanoyl-[acp]	-2.0	3.931	0.262	19.253	-2.336	80.0
C02412	Glycyl-tRNA(Gly)	-8.804	-6.392	0.0	0.0	0.0	50.0
C05752	Octanoyl-[acp]	5.907	1.0	0.169	62.005	3.392	60.0
C05753	3-Oxodecanoyl-[acp]	-2.0	3.931	0.262	19.253	-2.336	80.0
C05754	trans-Dec-2-enoyl-[acp]	6.15	1.585	0.258	74.013	4.254	60.0
C05755	Decanoyl-[acp]	5.907	1.0	0.169	62.005	3.392	60.0
C03167	Phosphonoacetaldehyde	-6.591	-3.402	0.0	0.0	0.0	50.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-6.977	-4.524	0.0	0.0	0.0	50.0
C05758	trans-Dodec-2-enoyl-[acp]	6.15	1.585	0.258	74.013	4.254	60.0
C05759	3-Oxotetradecanoyl-[acp]	-2.322	4.322	0.25	25.001	-2.644	90.0
C00249	Hexadecanoic_acid	9.257	3.7	0.4	624.832	7.964	90.0
C00188	L-Threonine	-3.577	-3.7	0.0	0.0	0.0	50.0
C02702	L-Prolyl-tRNA(Pro)	-8.371	-5.358	0.0	0.0	0.0	50.0
C00185	Cellobiose	9.931	-6.768	0.112	1085.164	-6.921	90.0
C00183	L-Valine	6.986	-0.737	0.013	128.431	-0.756	80.0
C03794	N6-(1,2-Dicarboxyethyl)-AMP	-3.322	-2.0	0.0	0.0	0.0	50.0
C00181	D-Xylose	-6.883	5.858	0.491	176.03	-6.435	90.0
C00159	D-Mannose	-7.766	-5.874	0.0	0.0	0.0	50.0
C04216	all-trans-Heptaprenyl_diphosphate	-7.366	-4.248	0.0	0.0	0.0	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.006	-3.322	0.0	0.0	0.0	50.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-5.163	-0.848	0.0	0.0	0.0	50.0
C00842	dTDP-glucose	7.577	2.585	0.341	196.943	6.07	70.0
C05980	Cardiolipin	-7.87	-3.807	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	7.131	7.807	0.913	364.112	8.378	90.0
C05823	3-Mercaptolactate	-7.877	-3.807	0.0	0.0	0.0	50.0
C03546	myo-Inositol_4-phosphate	7.285	1.0	0.137	157.957	4.438	60.0
C02554	L-Valyl-tRNA(Val)	-8.443	-5.524	0.0	0.0	0.0	50.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-4.121	0.263	0.069	18.6	-0.359	80.0
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	7.055	5.129	0.727	167.967	6.932	80.0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	4.524	2.585	0.571	29.007	4.051	60.0
C00446	alpha-D-Galactose_1-phosphate	2.888	-3.036	0.903	15.605	-3.816	90.0
C00445	5,10-Methenyltetrahydrofolate	6.371	0.874	0.137	84.601	3.537	60.0
C01762	Xanthosine	7.676	4.087	0.532	221.501	6.882	80.0
C00441	L-Aspartate_4-semialdehyde	6.524	3.852	0.59	106.468	5.974	70.0
C00440	5-Methyltetrahydrofolate	4.755	3.624	0.762	39.331	4.906	60.0
C00526	Deoxyuridine	-5.958	-2.874	0.0	0.0	0.0	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	-6.331	2.982	0.098	88.405	-3.117	90.0
C00522	(R)-Pantoate	2.807	-1.138	0.314	9.199	-1.532	80.0
C00448	trans,trans-Farnesyl_diphosphate	-2.7	3.644	0.52	18.999	-3.304	90.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-4.322	2.0	0.2	24.001	-2.263	80.0
C16221	(2E)-Octadecenoyl-[acp]	6.15	1.585	0.258	74.013	4.254	60.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-6.476	-5.129	0.0	0.0	0.0	50.0
C00009	Orthophosphate	-7.883	-3.907	0.0	0.0	0.0	50.0
C04133	N-Acetyl-L-glutamate_5-phosphate	5.443	1.807	0.332	47.001	3.964	60.0
C03838	5'-Phosphoribosylglycinamide	5.858	-4.755	0.466	85.003	-5.306	90.0
C05400	Epimelibiose	8.028	6.022	0.75	326.0	7.934	90.0
C03722	Quinolinate	-3.7	-3.7	0.0	0.0	0.0	50.0
C05402	Melibiose	4.907	4.392	0.895	50.998	5.512	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.459	5.931	0.918	148.985	7.096	80.0
C03939	Acetyl-[acyl-carrier_protein]	3.259	0.515	0.158	11.002	0.798	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-10.148	3.17	0.008	1143.626	-3.181	90.0
C00627	Pyridoxine_phosphate	-6.17	-4.17	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	6.409	3.0	0.468	92.977	5.444	70.0
C01222	GDP-4-dehydro-6-deoxy-D-mannose	-6.873	-4.459	0.0	0.0	0.0	50.0
C00624	N-Acetyl-L-glutamate	2.0	-1.0	0.5	6.0	-1.585	80.0
C01672	Cadaverine	5.781	4.087	0.707	71.981	5.669	70.0
C00231	D-Xylulose_5-phosphate	-9.179	-5.718	0.0	0.0	0.0	50.0
C01345	dITP	6.022	4.17	0.692	82.984	5.845	70.0
C00233	4-Methyl-2-oxopentanoate	6.842	2.402	0.351	120.007	5.397	60.0
C00234	10-Formyltetrahydrofolate	6.413	-1.338	0.03	87.741	-1.38	80.0
C00235	Dimethylallyl_diphosphate	-8.912	-6.423	0.0	0.0	0.0	50.0
C01613	Stachyose	7.858	5.492	0.699	277.008	7.597	80.0
C00010	CoA	-8.521	-4.087	0.0	0.0	0.0	50.0
C05984	2-Hydroxybutanoic_acid	7.877	3.807	0.483	249.075	6.911	80.0
C00014	Ammonia	-4.607	-3.378	0.0	0.0	0.0	50.0
C00015	UDP	-6.366	-5.037	0.0	0.0	0.0	50.0
C00018	Pyridoxal_phosphate	-5.562	-4.17	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	-8.062	-4.982	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-7.791	-4.459	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-7.197	1.737	0.023	150.061	-1.769	80.0
C00155	L-Homocysteine	-5.299	-6.156	0.0	0.0	0.0	50.0
C00154	Palmitoyl-CoA	-9.257	-3.7	0.0	0.0	0.0	50.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	9.192	6.658	0.724	685.866	8.956	90.0
C02876	Propanoyl_phosphate	-2.115	-5.6	0.0	0.0	0.0	50.0
C00424	(S)-Lactaldehyde	-8.195	-5.845	0.0	0.0	0.0	50.0
C02336	beta-D-Fructose	8.261	1.585	0.192	309.767	5.893	70.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-6.566	-4.129	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-7.212	-4.167	0.0	0.0	0.0	50.0
C00300	Creatine	-2.0	-1.0	0.0	0.0	0.0	50.0
C00301	ADP-ribose	8.234	4.755	0.577	328.081	7.566	80.0
C00718	Amylose	-8.51	-4.285	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-5.954	2.0	0.065	65.992	-2.09	80.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-6.96	-6.547	0.0	0.0	0.0	50.0
C01127	4-Hydroxy-2-oxoglutarate	9.937	5.0	0.503	1012.246	8.992	90.0
C03506	Indoleglycerol_phosphate	7.634	4.874	0.638	227.962	7.185	80.0
C05143	Dhurrin	9.95	5.524	0.555	1035.133	9.167	90.0
C18902	Methylselenic_acid	7.547	5.524	0.732	233.028	7.414	80.0
C03294	N-Formylmethionyl-tRNA	-8.098	-5.044	0.0	0.0	0.0	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.472	-4.807	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	-6.877	-2.078	0.0	0.0	0.0	50.0
C00877	Crotonoyl-CoA	6.506	-2.442	0.06	96.321	-2.526	80.0
C04246	But-2-enoyl-[acyl-carrier_protein]	6.15	1.585	0.258	74.013	4.254	60.0
C03512	L-Tryptophanyl-tRNA(Trp)	-8.2	-5.7	0.0	0.0	0.0	50.0
C01019	6-Deoxy-L-galactose	5.544	4.7	0.848	72.648	5.945	70.0
C03375	Norspermidine	-6.322	-4.7	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-8.308	-4.954	0.0	0.0	0.0	50.0
C04432	tRNA_containing_6-isopentenyladenosine	-6.943	-3.807	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-8.124	-4.954	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-1.663	-5.943	0.0	0.0	0.0	50.0
C03479	Folinic_acid	7.615	4.087	0.537	213.034	6.837	80.0
C06113	L-Aspartyl-tRNA(Asn)	-6.725	-4.768	0.0	0.0	0.0	50.0
C06112	L-Glutamyl-tRNA(Gln)	-7.136	-5.157	0.0	0.0	0.0	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.401	-3.17	0.0	0.0	0.0	50.0
C00582	Phenylacetyl-CoA	-9.246	-5.585	0.0	0.0	0.0	50.0
C00583	Propane-1,2-diol	8.82	6.443	0.73	538.947	8.621	90.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-2.972	1.105	0.274	9.997	-1.455	80.0
C00577	D-Glyceraldehyde	-10.943	-7.15	0.0	0.0	0.0	50.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	1.0	1.0	1.0	4.0	2.0	50.0
C00279	D-Erythrose_4-phosphate	-9.739	-6.779	0.0	0.0	0.0	50.0
C00270	N-Acetylneuraminate	7.786	1.585	0.204	223.709	5.509	70.0
C00900	2-Acetolactate	9.809	4.129	0.421	914.519	8.589	90.0
C00479	Propanal	-7.012	-3.059	0.0	0.0	0.0	50.0
C00475	Cytidine	5.0	1.189	0.238	34.28	3.027	60.0
C12215	Iminoerythrose_4-phosphate	-11.438	-7.852	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	11.438	7.852	0.686	3005.517	11.011	90.0
C00294	Inosine	7.715	4.087	0.53	227.104	6.911	80.0
C05699	L-Selenocystathionine	7.451	7.807	0.954	398.919	8.573	90.0
C05698	Selenohomocysteine	4.7	-7.492	0.144	206.01	-4.895	90.0
C00354	D-Fructose_1,6-bisphosphate	-8.26	-4.605	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-7.672	-3.807	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	6.436	1.848	0.287	90.182	4.695	60.0
C00299	Uridine	-2.709	-0.304	0.0	0.0	0.0	50.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-7.486	-4.125	0.0	0.0	0.0	50.0
C00158	Citrate	-6.124	-3.912	0.0	0.0	0.0	50.0
C05399	Melibiitol	8.028	6.022	0.75	326.0	7.934	90.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.281	-4.907	0.0	0.0	0.0	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.596	-5.044	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	7.6	3.907	0.514	209.013	6.748	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.735	4.0	0.517	229.043	6.888	80.0
C00993	D-Alanyl-D-alanine	-3.17	-4.087	0.0	0.0	0.0	50.0
C05382	Sedoheptulose_7-phosphate	-6.078	-5.655	0.0	0.0	0.0	50.0
C00120	Biotin	6.829	2.585	0.379	119.693	5.502	70.0
C00121	D-Ribose	8.752	1.585	0.181	434.136	6.297	70.0
C00122	Fumarate	3.879	1.469	0.379	17.481	2.727	50.0
C00123	L-Leucine	-4.79	-0.737	0.0	0.0	0.0	50.0
C00124	D-Galactose	7.776	-4.363	0.094	239.762	-4.492	90.0
C00128	CMP-N-acetylneuraminate	-7.814	-1.585	0.0	0.0	0.0	50.0
C00129	Isopentenyl_diphosphate	-8.665	-6.331	0.0	0.0	0.0	50.0
C05749	Hexanoyl-[acp]	5.907	1.0	0.169	62.005	3.392	60.0
C05748	trans-Hex-2-enoyl-[acp]	6.15	1.585	0.258	74.013	4.254	60.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.977	-4.524	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	-2.322	4.322	0.25	25.001	-2.644	90.0
C05745	Butyryl-[acp]	5.907	1.0	0.169	62.005	3.392	60.0
C05744	Acetoacetyl-[acp]	2.459	3.966	0.62	21.126	3.711	60.0
C03150	Nicotinamide-beta-riboside	7.676	4.087	0.532	221.501	6.882	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-6.248	-3.828	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-6.566	-4.129	0.0	0.0	0.0	50.0
C00055	CMP	-5.764	-1.852	0.0	0.0	0.0	50.0
C00199	D-Ribulose_5-phosphate	-6.01	-4.049	0.0	0.0	0.0	50.0
C00052	UDP-alpha-D-galactose	5.591	2.147	0.384	52.63	4.337	60.0
C02659	Acetone_cyanohydrin	-9.95	-5.524	0.0	0.0	0.0	50.0
C00197	3-Phospho-D-glycerate	6.624	6.311	0.953	178.029	7.406	80.0
C03785	D-Tagatose_1,6-bisphosphate	-11.489	-6.943	0.0	0.0	0.0	50.0
C02714	N-Acetylputrescine	-7.055	-4.392	0.0	0.0	0.0	50.0
C00011	CO2	5.206	7.565	0.688	226.273	7.283	80.0
C01050	UDP-N-acetylmuramate	-4.994	-3.793	0.0	0.0	0.0	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	6.0	-4.585	0.375	88.001	-5.044	90.0
C00206	dADP	8.904	7.077	0.795	614.056	8.931	90.0
C03028	Thiamin_triphosphate	-7.34	-3.585	0.0	0.0	0.0	50.0
C03539	S-Ribosyl-L-homocysteine	5.524	1.585	0.287	49.014	3.814	60.0
C06010	(S)-2-Acetolactate	8.811	3.209	0.364	458.38	7.383	80.0
