compound_code	compound_name	lactobacillus_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	9.375	8.459	0.902	1015.877	9.84	80.0
C00445	5,10-Methenyltetrahydrofolate	-6.838	5.358	0.358	155.417	-5.8	50.0
C01762	Xanthosine	9.073	7.111	0.784	676.811	9.051	70.0
C00441	L-Aspartate_4-semialdehyde	-6.225	5.967	0.836	137.354	-6.844	50.0
C00526	Deoxyuridine	9.64	-6.722	0.132	903.43	-6.901	50.0
C00448	trans,trans-Farnesyl_diphosphate	6.75	-7.236	0.714	258.383	-7.527	60.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	6.209	6.629	0.937	172.952	7.34	60.0
C16221	(2E)-Octadecenoyl-[acp]	-7.788	9.301	0.35	851.798	-8.221	70.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-9.375	-7.877	0.354	899.061	-8.314	70.0
C03838	5'-Phosphoribosylglycinamide	-7.651	6.622	0.49	299.489	-7.197	60.0
C05400	Epimelibiose	9.755	6.966	0.714	989.086	9.464	80.0
C05401	3-beta-D-Galactosyl-sn-glycerol	9.755	6.966	0.714	989.086	9.464	80.0
C05402	Melibiose	5.781	5.977	0.967	117.974	6.834	60.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	6.768	6.966	0.972	234.005	7.829	70.0
C03939	Acetyl-[acyl-carrier_protein]	-7.027	-7.215	0.878	278.988	-7.936	70.0
C00620	alpha-D-Ribose_1-phosphate	11.235	10.017	0.892	3446.443	11.585	90.0
C00627	Pyridoxine_phosphate	-12.079	-5.392	0.01	4368.537	-5.406	50.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	7.585	5.605	0.739	240.676	7.475	60.0
C00231	D-Xylulose_5-phosphate	7.802	-8.566	0.589	602.156	-8.47	80.0
C01345	dITP	5.209	-8.109	0.134	313.079	-5.39	50.0
C01344	dIDP	10.561	9.476	0.897	2222.83	10.962	90.0
C00234	10-Formyltetrahydrofolate	-7.435	-2.287	0.028	177.925	-2.327	60.0
C00063	CTP	10.118	10.745	0.942	2827.473	11.379	90.0
C01613	Stachyose	9.662	5.977	0.619	873.112	9.077	70.0
C00010	CoA	8.97	-5.209	0.074	538.452	-5.312	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-9.285	-7.721	0.338	834.812	-8.141	70.0
C00062	L-Arginine	8.806	-7.913	0.538	688.598	-8.535	80.0
C00014	Ammonia	6.411	-7.068	0.634	219.272	-7.12	60.0
C00015	UDP	6.17	-7.543	0.386	258.5	-6.641	50.0
C00018	Pyridoxal_phosphate	-12.079	-3.561	0.003	4338.348	-3.565	60.0
C00153	Nicotinamide	-8.862	-7.006	0.276	593.828	-7.358	60.0
C00152	L-Asparagine	-6.162	7.905	0.299	311.291	-6.539	50.0
C00155	L-Homocysteine	-8.292	-1.882	0.012	317.116	-1.899	60.0
C19846	Pimelyl-[acyl-carrier_protein]_methyl_ester	-8.735	-9.145	0.753	992.22	-9.545	90.0
C02876	Propanoyl_phosphate	7.335	-1.322	0.015	163.956	-1.344	60.0
C04146	all-trans-Octaprenyl_diphosphate	8.88	-6.209	0.157	545.113	-6.419	50.0
C02336	beta-D-Fructose	9.6	6.033	0.628	841.528	9.047	70.0
C00058	Formate	14.227	6.524	0.459	19267.839	13.109	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-8.444	-8.866	0.746	814.841	-9.248	90.0
C00655	Xanthosine_5'-phosphate	7.38	-8.202	0.566	461.046	-8.027	70.0
C00718	Amylose	-8.911	-6.983	0.263	607.87	-7.32	60.0
C14089	1-Hydroxymethylnaphthalene	12.204	5.476	0.449	4762.64	11.061	90.0
C02909	(2-Naphthyl)methanol	12.204	5.476	0.449	4762.64	11.061	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	7.435	7.665	0.97	375.997	8.511	70.0
C06188	Salicin_6-phosphate	12.676	1.0	0.079	6546.195	9.012	70.0
C18902	Methylselenic_acid	11.687	9.42	0.806	3982.16	11.648	90.0
C03294	N-Formylmethionyl-tRNA	-9.017	-6.15	0.137	589.081	-6.335	50.0
C02051	Lipoylprotein	-11.34	-9.02	0.2	3111.417	-9.283	90.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.735	-9.301	0.675	1056.869	-9.48	90.0
C00979	O-Acetyl-L-serine	11.001	10.456	0.95	3454.075	11.681	90.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-7.788	7.304	0.715	379.039	-8.082	70.0
C04242	5-Fluorodeoxyuridine_monophosphate	-8.15	-1.585	0.011	287.05	-1.6	60.0
C03373	Aminoimidazole_ribotide	9.399	-9.271	0.915	1292.922	-10.208	90.0
C00407	L-Isoleucine	-6.304	6.336	0.978	159.796	-7.288	60.0
C06056	4-Hydroxy-L-threonine	-9.039	-7.0	0.243	654.03	-7.314	60.0
C06055	O-Phospho-4-hydroxy-L-threonine	4.459	-8.122	0.079	300.583	-4.569	50.0
C03479	Folinic_acid	9.743	-5.653	0.059	907.228	-5.735	50.0
C09332	Tetrahydrofolyl-[Glu](2)	-8.017	-4.954	0.12	290.03	-5.117	50.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-6.672	-4.497	0.221	124.55	-4.786	50.0
C00577	D-Glyceraldehyde	-14.769	-10.386	0.048	29257.909	-10.454	90.0
C01302	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose_5-phosphate	-8.48	-7.011	0.361	486.034	-7.456	60.0
C00279	D-Erythrose_4-phosphate	14.682	8.978	0.611	26790.124	14.0	90.0
C00275	D-Mannose_6-phosphate	-13.74	8.609	0.029	14072.532	-8.65	80.0
C05465	Taurochenodeoxycholate	8.082	9.838	0.822	1186.208	9.928	80.0
C00270	N-Acetylneuraminate	8.738	3.322	0.38	436.973	7.376	60.0
C00900	2-Acetolactate	8.437	10.21	0.826	1531.018	10.305	80.0
C02218	Dehydroalanine	-9.283	-7.508	0.292	804.988	-7.878	60.0
C00294	Inosine	8.433	6.87	0.815	462.58	8.558	70.0
C05699	L-Selenocystathionine	8.713	8.384	0.962	753.706	9.502	80.0
C05698	Selenohomocysteine	-8.713	8.426	0.82	763.574	-9.29	90.0
C00354	D-Fructose_1,6-bisphosphate	-12.185	-7.385	0.036	4823.552	-7.436	60.0
C00353	Geranylgeranyl_diphosphate	-7.966	-8.455	0.713	600.958	-8.742	80.0
C00352	D-Glucosamine_6-phosphate	-7.931	8.533	0.659	614.46	-8.661	80.0
C00299	Uridine	7.848	-2.929	0.033	238.016	-2.976	60.0
C00666	LL-2,6-Diaminoheptanedioate	-7.741	5.055	0.155	247.174	-5.263	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.96	-6.044	0.132	563.981	-6.224	50.0
C11736	5-Fluorodeoxyuridine	8.15	1.585	0.194	287.05	5.803	60.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.96	-7.637	0.4	697.051	-8.122	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	8.14	6.931	0.851	404.11	8.427	70.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.17	-4.459	0.153	166.001	-4.664	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-9.496	-8.267	0.427	1030.118	-8.78	80.0
C00993	D-Alanyl-D-alanine	-12.239	-7.435	0.036	5007.039	-7.486	60.0
C00120	Biotin	7.7	-5.85	0.277	265.617	-6.203	50.0
C00121	D-Ribose	11.244	6.285	0.559	2503.367	10.45	90.0
C00122	Fumarate	-7.223	-9.607	0.192	929.218	-7.476	60.0
C00123	L-Leucine	-5.61	6.592	0.506	145.31	-6.201	50.0
C00124	D-Galactose	8.184	10.266	0.797	1522.152	10.245	80.0
C00129	Isopentenyl_diphosphate	-4.773	6.919	0.226	148.353	-5.067	50.0
C05749	Hexanoyl-[acp]	-7.229	7.937	0.612	395.08	-7.918	70.0
C05748	trans-Hex-2-enoyl-[acp]	-7.788	7.304	0.715	379.039	-8.082	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-8.858	-9.087	0.853	1007.832	-9.748	90.0
C05746	3-Oxohexanoyl-[acp]	9.702	7.16	0.738	975.913	9.492	80.0
C05745	Butyryl-[acp]	-7.229	7.937	0.612	395.08	-7.918	70.0
C05744	Acetoacetyl-[acp]	8.999	5.646	0.627	561.72	8.461	70.0
C03150	Nicotinamide-beta-riboside	8.862	6.219	0.702	539.786	8.565	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-8.123	-8.673	0.683	686.946	-8.874	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-8.444	-8.866	0.746	814.841	-9.248	90.0
C00199	D-Ribulose_5-phosphate	-8.768	-8.929	0.894	923.357	-9.69	90.0
C00197	3-Phospho-D-glycerate	-10.387	9.564	0.565	2095.977	-10.21	90.0
C03785	D-Tagatose_1,6-bisphosphate	-11.841	-9.014	0.141	4185.557	-9.204	80.0
C01050	UDP-N-acetylmuramate	-9.127	7.247	0.272	711.017	-7.594	60.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-5.629	-7.27	0.321	203.831	-6.03	50.0
C00206	dADP	-9.95	7.349	0.165	1152.15	-7.569	60.0
C03028	Thiamin_triphosphate	-9.605	-1.0	0.003	780.741	-1.004	60.0
C03539	S-Ribosyl-L-homocysteine	9.617	-6.267	0.098	862.257	-6.402	50.0
C06010	(S)-2-Acetolactate	6.131	9.211	0.666	662.718	8.785	70.0
