compound_code	compound_name	escherichia_mock_score	lactobacillus_mock_score	ratio	magnitude	interaction_score	percentile
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-0.585	-5.629	0.03	50.988	-0.628	50.0
C01094	D-Fructose_1-phosphate	-1.222	14.183	0.0	18602.139	-1.222	60.0
C05749	Hexanoyl-[acp]	2.0	-7.229	0.027	154.019	-2.038	80.0
C00441	L-Aspartate_4-semialdehyde	0.637	-6.225	0.021	76.357	-0.667	50.0
C05748	trans-Hex-2-enoyl-[acp]	-2.322	-7.788	0.023	226.015	-2.354	90.0
C05752	Octanoyl-[acp]	2.0	-7.229	0.027	154.019	-2.038	80.0
C00831	Pantetheine	1.585	8.349	0.19	329.062	5.965	70.0
C00043	UDP-N-acetyl-alpha-D-glucosamine	-1.222	2.209	0.505	6.956	-1.811	80.0
C00042	Succinate	2.585	7.087	0.365	141.957	5.694	70.0
C00041	L-Alanine	-0.585	-7.602	0.008	195.781	-0.596	50.0
C00040	Acyl-CoA	1.0	8.688	0.115	414.428	5.576	70.0
C00047	L-Lysine	2.322	7.129	0.326	144.973	5.561	70.0
C00046	RNA	3.322	-9.733	0.012	860.991	-3.339	90.0
C00044	GTP	1.17	-10.082	0.002	1086.138	-1.173	60.0
C00049	L-Aspartate	-1.347	5.635	0.051	52.238	-1.419	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	0.807	8.16	0.099	287.775	4.831	70.0
C00416	Phosphatidate	0.874	-8.105	0.007	277.159	-0.884	50.0
C00009	Orthophosphate	-1.0	-7.516	0.011	185.038	-1.016	50.0
