compound_code	compound_name	escherichia_mock_score	bacteroides_mock_score	ratio	magnitude	interaction_score	percentile
C02909	(2-Naphthyl)methanol	1.874	5.476	0.342	48.174	4.043	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1.0	7.665	0.13	204.953	4.741	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-1.1	3.459	0.195	13.14	-1.357	60.0
C06188	Salicin_6-phosphate	2.0	1.0	0.5	6.0	1.585	60.0
C06025	Di[3-deoxy-D-manno-octulosonyl]-lipid_IV(A)	-2.0	-8.485	0.011	362.294	-2.016	80.0
C03508	L-2-Amino-3-oxobutanoic_acid	-1.322	-6.629	0.025	101.476	-1.358	70.0
C02059	Phylloquinone	-2.322	-8.618	0.013	397.895	-2.34	90.0
C03294	N-Formylmethionyl-tRNA	-2.0	-6.15	0.056	75.012	-2.079	80.0
C00979	O-Acetyl-L-serine	-0.918	10.456	0.001	1406.544	-0.92	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-2.322	7.304	0.032	163.024	-2.367	90.0
C03373	Aminoimidazole_ribotide	1.0	-9.271	0.003	619.802	-1.005	50.0
C00407	L-Isoleucine	0.263	6.336	0.042	81.984	1.767	60.0
C01151	D-Ribose_1,5-bisphosphate	-1.0	-7.2	0.014	149.033	-1.019	50.0
C06054	2-Oxo-3-hydroxy-4-phosphobutanoate	-1.0	9.49	0.003	721.076	-1.004	50.0
C04121	CMP-3-deoxy-D-manno-octulosonate	1.379	8.75	0.158	433.14	6.093	90.0
C00583	Propane-1,2-diol	1.0	6.322	0.158	82.004	3.697	70.0
C00577	D-Glyceraldehyde	-1.0	-10.386	0.001	1340.128	-1.002	50.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	1.0	6.524	0.153	94.028	3.849	70.0
C00279	D-Erythrose_4-phosphate	1.207	8.978	0.134	506.56	6.09	90.0
C00275	D-Mannose_6-phosphate	-1.322	8.609	0.006	392.952	-1.331	60.0
C00270	N-Acetylneuraminate	2.807	3.322	0.845	16.999	3.844	70.0
C00900	2-Acetolactate	-1.585	10.21	0.003	1187.449	-1.589	70.0
C00475	Cytidine	-1.222	4.728	0.088	28.834	-1.344	60.0
C00294	Inosine	0.807	6.87	0.117	118.72	3.802	70.0
C05698	Selenohomocysteine	1.0	8.426	0.119	345.937	5.36	80.0
C00352	D-Glucosamine_6-phosphate	-1.415	8.533	0.007	373.082	-1.425	70.0
C00299	Uridine	1.874	-2.929	0.481	11.281	-2.441	90.0
C05399	Melibiitol	1.585	6.966	0.228	128.019	4.864	70.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.0	-6.044	0.03	67.982	-1.043	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	6.409	6.931	0.925	206.999	7.581	90.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	-4.459	0.136	24.993	-1.769	80.0
C00993	D-Alanyl-D-alanine	6.358	-7.435	0.474	255.07	-6.918	90.0
C05382	Sedoheptulose_7-phosphate	-0.354	-5.04	0.039	34.178	-0.409	60.0
C00120	Biotin	-1.585	-5.85	0.052	60.68	-1.658	80.0
C00121	D-Ribose	1.585	6.285	0.252	80.978	4.352	70.0
C00122	Fumarate	2.956	-9.607	0.01	787.581	-2.97	90.0
C00123	L-Leucine	2.624	6.592	0.398	102.634	5.352	80.0
C00124	D-Galactose	-1.3	10.266	0.002	1233.791	-1.303	60.0
C15532	N-Acetyl-L-citrulline	1.0	6.931	0.144	124.022	4.161	70.0
C05749	Hexanoyl-[acp]	2.0	7.937	0.252	249.061	5.972	80.0
C05748	trans-Hex-2-enoyl-[acp]	-2.322	7.304	0.032	163.024	-2.367	90.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-1.585	-9.087	0.006	546.826	-1.593	70.0
C05746	3-Oxohexanoyl-[acp]	2.0	7.16	0.279	147.013	5.36	80.0
C05745	Butyryl-[acp]	2.0	7.937	0.252	249.061	5.972	80.0
C05744	Acetoacetyl-[acp]	1.485	5.646	0.263	52.874	3.798	70.0
C03150	Nicotinamide-beta-riboside	-1.222	6.219	0.031	76.824	-1.266	60.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-1.138	-8.673	0.005	410.363	-1.146	60.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-1.322	-8.866	0.005	469.086	-1.33	60.0
C00055	CMP	0.585	-7.182	0.01	146.71	-0.6	50.0
C00199	D-Ribulose_5-phosphate	0.907	-8.929	0.004	489.288	-0.913	50.0
C00053	3'-Phosphoadenylyl_sulfate	1.0	6.545	0.153	95.377	3.865	70.0
C02876	Propanoyl_phosphate	2.0	-1.322	0.625	6.5	-2.022	80.0
C00058	Formate	4.755	6.524	0.729	119.03	6.439	90.0
C00011	CO2	7.978	10.315	0.773	1525.994	10.205	90.0
C01051	Uroporphyrinogen_III	-0.737	-7.422	0.01	173.159	-0.751	50.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-0.585	-7.27	0.01	155.843	-0.599	50.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	1.0	6.15	0.163	73.012	3.569	70.0
C03539	S-Ribosyl-L-homocysteine	1.0	-6.267	0.026	79.011	-1.037	50.0
