compound_code	compound_name	lactobacillus_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C16633	5-Fluorouridine	8.707	5.883	0.676	476.911	8.332	80.0
C16631	alpha-Fluoro-beta-ureidopropionic_acid	-3.17	-4.087	0.0	0.0	0.0	50.0
C16630	5,6-Dihydro-5-fluorouracil	3.17	4.087	0.776	25.995	4.334	70.0
C16634	5-Fluorouridine_monophosphate	-8.707	-5.883	0.0	0.0	0.0	50.0
C19673	Malonyl-[acp]_methyl_ester	6.524	6.539	0.998	185.018	7.528	80.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	7.547	5.492	0.728	232.018	7.4	80.0
C00668	alpha-D-Glucose_6-phosphate	9.736	7.097	0.729	989.664	9.495	90.0
C00666	LL-2,6-Diaminoheptanedioate	-7.107	-6.647	0.0	0.0	0.0	50.0
C00663	beta-D-Glucose_1-phosphate	-8.165	-1.585	0.0	0.0	0.0	50.0
C02163	L-Arginyl-tRNA(Arg)	-8.804	-5.392	0.0	0.0	0.0	50.0
C00988	2-Phosphoglycolate	4.248	4.524	0.939	42.008	5.302	70.0
C00114	Choline	-7.762	-3.907	0.0	0.0	0.0	50.0
C00117	D-Ribose_5-phosphate	9.76	-8.485	0.413	1225.361	-8.984	90.0
C00111	Glycerone_phosphate	10.742	-7.34	0.095	1874.649	-7.47	90.0
C02380	6-Mercaptopurine	8.738	4.644	0.531	451.975	7.908	80.0
C00112	CDP	-5.555	-6.349	0.0	0.0	0.0	50.0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-10.369	-5.57	0.0	0.0	0.0	50.0
C00118	D-Glyceraldehyde_3-phosphate	-11.805	-6.707	0.0	0.0	0.0	50.0
C03492	D-4'-Phosphopantothenate	-4.392	5.426	0.488	63.987	-4.966	80.0
C01346	dUDP	7.103	3.115	0.439	146.136	6.002	70.0
C11924	Perillic_acid	-3.0	-2.807	0.0	0.0	0.0	50.0
C05750	3-Oxooctanoyl-[acp]	9.103	-5.295	0.071	589.151	-5.394	80.0
C05751	trans-Oct-2-enoyl-[acp]	-6.615	-5.322	0.0	0.0	0.0	50.0
C14145	(3S)-3-Hydroxyadipyl-CoA	4.322	10.82	0.399	1827.777	9.512	90.0
C05753	3-Oxodecanoyl-[acp]	9.103	-5.295	0.071	589.151	-5.394	80.0
C05754	trans-Dec-2-enoyl-[acp]	-6.615	-5.322	0.0	0.0	0.0	50.0
C05755	Decanoyl-[acp]	-7.741	5.755	0.252	267.935	-6.08	90.0
C05756	3-Oxododecanoyl-[acp]	9.518	-5.7	0.071	785.152	-5.799	80.0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	-8.725	5.248	0.09	461.144	-5.372	80.0
C05758	trans-Dodec-2-enoyl-[acp]	-6.615	-5.322	0.0	0.0	0.0	50.0
C05759	3-Oxotetradecanoyl-[acp]	9.518	-5.7	0.071	785.152	-5.799	80.0
C05811	2-Octaprenyl-6-hydroxyphenol	-7.418	-3.17	0.0	0.0	0.0	50.0
C05810	2-Octaprenylphenol	7.418	3.17	0.427	180.018	6.265	70.0
C00188	L-Threonine	-7.226	7.462	0.849	326.021	-8.113	90.0
C00189	Ethanolamine	-7.762	4.03	0.075	233.404	-4.135	70.0
C02702	L-Prolyl-tRNA(Pro)	-9.948	-8.931	0.0	0.0	0.0	50.0
C00183	L-Valine	-6.917	6.6	0.803	217.85	-7.45	90.0
C00180	Benzoate	-6.418	-7.658	0.0	0.0	0.0	50.0
C00181	D-Xylose	3.7	-1.585	0.231	15.996	-1.885	70.0
C05985	2-Propynal	3.0	2.807	0.936	14.998	3.811	60.0
C04216	all-trans-Heptaprenyl_diphosphate	-8.322	-3.322	0.0	0.0	0.0	50.0
C04051	5-Amino-4-imidazolecarboxyamide	-10.133	-5.492	0.0	0.0	0.0	50.0
C02839	L-Tyrosyl-tRNA(Tyr)	-8.954	-6.304	0.0	0.0	0.0	50.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-2.939	3.233	0.816	17.071	-3.799	70.0
C00689	alpha,alpha'-Trehalose_6-phosphate	-6.937	9.013	0.237	639.165	-7.244	90.0
C16348	cis-3-Chloroallyl_aldehyde	-9.752	-8.481	0.0	0.0	0.0	50.0
C02946	4-Acetamidobutanoate	-3.0	-2.807	0.0	0.0	0.0	50.0
C00327	L-Citrulline	8.639	4.818	0.558	426.863	7.895	80.0
C05980	Cardiolipin	-7.948	-6.0	0.0	0.0	0.0	50.0
C05100	3-Ureidoisobutyrate	-3.17	-4.087	0.0	0.0	0.0	50.0
C02291	L-Cystathionine	7.748	5.392	0.696	256.962	7.482	80.0
C00019	S-Adenosyl-L-methionine	0.807	-5.771	0.032	56.356	-0.852	70.0
C02988	L-Histidyl-tRNA(His)	-8.401	-5.672	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-9.326	-6.6	0.0	0.0	0.0	50.0
C06715	3-Oxopimeloyl-CoA	7.451	2.807	0.377	181.973	6.099	70.0
C11437	1-Deoxy-D-xylulose_5-phosphate	-1.202	1.485	0.822	5.1	-2.067	70.0
C16237	Protein_N6-(lipoyl)lysine	-10.472	-6.358	0.0	0.0	0.0	50.0
C18239	Precursor_Z	-3.459	-4.755	0.0	0.0	0.0	50.0
C00446	alpha-D-Galactose_1-phosphate	-8.122	4.858	0.104	307.59	-5.001	80.0
C00445	5,10-Methenyltetrahydrofolate	5.7	-3.544	0.224	63.648	-3.836	70.0
C01762	Xanthosine	8.381	6.248	0.745	409.378	8.254	80.0
C00441	L-Aspartate_4-semialdehyde	-4.807	7.384	0.168	195.027	-5.031	80.0
C00440	5-Methyltetrahydrofolate	1.222	-5.257	0.061	40.572	-1.307	70.0
C00526	Deoxyuridine	8.971	-1.585	0.006	504.811	-1.594	70.0
C00527	Glutaryl-CoA	-7.451	-2.807	0.0	0.0	0.0	50.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	1.7	1.7	1.0	6.498	2.7	60.0
C00448	trans,trans-Farnesyl_diphosphate	6.429	4.508	0.701	108.916	6.255	70.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	-5.585	3.807	0.292	61.998	-4.176	70.0
C16221	(2E)-Octadecenoyl-[acp]	-6.615	-5.322	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-5.858	-4.7	0.0	0.0	0.0	50.0
C03722	Quinolinate	-3.585	1.0	0.167	14.0	-1.222	70.0
C05402	Melibiose	8.794	-1.585	0.007	446.872	-1.595	70.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	9.793	-1.585	0.003	890.129	-1.59	70.0
C03939	Acetyl-[acyl-carrier_protein]	-6.68	4.644	0.244	127.539	-4.959	80.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.322	1.585	0.477	13.001	2.633	60.0
C00627	Pyridoxine_phosphate	-11.604	-4.585	0.0	0.0	0.0	50.0
C00459	dTTP	-8.68	4.872	0.071	439.431	-4.971	80.0
C01228	Guanosine_3',5'-bis(diphosphate)	-7.858	-2.585	0.0	0.0	0.0	50.0
C00231	D-Xylulose_5-phosphate	7.431	-7.392	0.973	340.529	-8.373	90.0
C00232	Succinate_semialdehyde	-3.954	-6.653	0.0	0.0	0.0	50.0
C00234	10-Formyltetrahydrofolate	-6.643	-8.274	0.0	0.0	0.0	50.0
C00235	Dimethylallyl_diphosphate	3.681	-4.336	0.635	33.022	-4.39	80.0
C01613	Stachyose	10.231	1.585	0.155	1204.816	7.544	80.0
C00159	D-Mannose	11.233	7.95	0.708	2654.246	10.875	90.0
C05984	2-Hydroxybutanoic_acid	12.847	6.687	0.521	7470.743	11.925	90.0
C00014	Ammonia	7.98	-9.177	0.436	831.307	-8.502	90.0
C00015	UDP	-5.276	-5.762	0.0	0.0	0.0	50.0
C00018	Pyridoxal_phosphate	-11.604	-4.585	0.0	0.0	0.0	50.0
C05823	3-Mercaptolactate	-12.847	-6.687	0.0	0.0	0.0	50.0
C00153	Nicotinamide	-8.079	-5.781	0.0	0.0	0.0	50.0
C00152	L-Asparagine	-7.951	7.232	0.608	397.782	-7.917	90.0
C00155	L-Homocysteine	-7.405	-2.907	0.0	0.0	0.0	50.0
C02835	Imidazole-4-acetate	-3.0	-2.807	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-7.2	6.788	0.752	257.541	-7.597	90.0
C02336	beta-D-Fructose	8.994	2.0	0.222	513.875	6.836	70.0
C00058	Formate	11.603	8.63	0.744	3506.826	11.349	90.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-8.311	4.845	0.09	346.325	-4.97	80.0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	3.672	7.181	0.511	157.856	6.335	70.0
C00301	ADP-ribose	8.801	6.539	0.743	539.021	8.646	90.0
C00718	Amylose	-8.003	-7.476	0.0	0.0	0.0	50.0
C02232	3-Oxoadipyl-CoA	-4.322	-10.82	0.0	0.0	0.0	50.0
C14089	1-Hydroxymethylnaphthalene	11.713	10.223	0.873	4552.27	11.956	90.0
C02909	(2-Naphthyl)methanol	11.713	10.223	0.873	4552.27	11.956	90.0
C17551	2-Polyprenyl-6-hydroxyphenol	-7.418	-3.17	0.0	0.0	0.0	50.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-5.672	-3.0	0.0	0.0	0.0	50.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	1.585	5.492	0.289	48.005	3.792	60.0
C00681	1-Acyl-sn-glycerol_3-phosphate	-6.264	-2.619	0.0	0.0	0.0	50.0
C01127	4-Hydroxy-2-oxoglutarate	4.644	6.57	0.707	120.012	6.407	70.0
C06188	Salicin_6-phosphate	11.96	6.87	0.574	4100.965	11.202	90.0
C05665	3-Aminopropanal	3.0	2.807	0.936	14.998	3.811	60.0
C06186	Arbutin	7.066	4.0	0.566	149.992	6.408	70.0
C06187	Arbutin_6-phosphate	-7.0	5.977	0.492	190.988	-6.554	90.0
C00655	Xanthosine_5'-phosphate	8.02	4.971	0.62	290.937	7.494	80.0
C18902	Methylselenic_acid	10.79	10.043	0.931	2825.552	11.361	90.0
C03294	N-Formylmethionyl-tRNA	-8.267	-5.209	0.0	0.0	0.0	50.0
C02051	Lipoylprotein	-10.237	-5.7	0.0	0.0	0.0	50.0
C06613	trans-3-Chloroallyl_aldehyde	-9.752	-8.481	0.0	0.0	0.0	50.0
C00979	O-Acetyl-L-serine	9.126	3.644	0.399	571.228	7.833	80.0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	7.451	-2.322	0.029	179.975	-2.363	70.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-6.615	-5.322	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	9.57	-5.087	0.045	794.065	-5.15	80.0
C00402	D-Aspartate	-9.392	-6.459	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	-6.845	7.384	0.688	281.995	-7.601	90.0
C06056	4-Hydroxy-L-threonine	-8.375	-4.322	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	6.6	4.322	0.655	117.007	6.26	70.0
C03479	Folinic_acid	5.0	5.644	0.886	82.005	6.183	70.0
C01144	(S)-3-Hydroxybutanoyl-CoA	-6.705	8.666	0.257	510.516	-7.035	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-7.665	-5.248	0.0	0.0	0.0	50.0
C02576	Perillyl_aldehyde	3.0	2.807	0.936	14.998	3.811	60.0
C03972	2,3,4,5-Tetrahydrodipicolinate	-5.489	3.494	0.251	56.178	-3.817	70.0
C03974	2-Acyl-sn-glycerol_3-phosphate	-7.451	-2.807	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-13.823	-9.794	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	13.733	-8.259	0.022	13922.198	-8.291	90.0
C00906	5,6-Dihydrothymine	3.17	4.087	0.776	25.995	4.334	70.0
C00275	D-Mannose_6-phosphate	-11.701	-7.866	0.0	0.0	0.0	50.0
C00270	N-Acetylneuraminate	8.409	7.658	0.911	541.878	8.947	90.0
C00900	2-Acetolactate	8.347	1.0	0.12	327.61	5.295	70.0
C12215	Iminoerythrose_4-phosphate	-5.392	-10.015	0.0	0.0	0.0	50.0
C00473	Retinol	11.379	5.285	0.464	2702.291	10.294	90.0
C00294	Inosine	8.074	5.807	0.719	325.46	7.871	80.0
C04494	Guanosine_3'-diphosphate_5'-triphosphate	-7.039	-4.087	0.0	0.0	0.0	50.0
C05698	Selenohomocysteine	-7.665	-3.907	0.0	0.0	0.0	50.0
C00354	D-Fructose_1,6-bisphosphate	-11.238	-7.151	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-6.983	-4.524	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	-9.615	-2.104	0.0	0.0	0.0	50.0
C00299	Uridine	6.222	-3.016	0.108	82.736	-3.164	70.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-3.459	-1.474	0.0	0.0	0.0	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-8.923	-7.547	0.0	0.0	0.0	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-8.963	-7.547	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	8.771	5.044	0.575	469.843	8.078	80.0
C05596	p-Hydroxyphenylacetylglycine	-7.451	-2.807	0.0	0.0	0.0	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-8.053	-9.277	0.0	0.0	0.0	50.0
C00993	D-Alanyl-D-alanine	-11.324	4.322	0.008	2583.68	-4.333	70.0
C05382	Sedoheptulose_7-phosphate	-3.846	-8.763	0.0	0.0	0.0	50.0
C00120	Biotin	6.714	1.585	0.236	107.982	4.672	70.0
C00121	D-Ribose	10.267	4.0	0.39	1248.182	8.926	90.0
C00122	Fumarate	-7.875	-3.048	0.0	0.0	0.0	50.0
C00123	L-Leucine	-6.143	6.615	0.721	168.688	-6.926	90.0
C00129	Isopentenyl_diphosphate	-5.14	-4.248	0.0	0.0	0.0	50.0
C04088	Octadecanoyl-[acyl-carrier_protein]	-8.253	-5.322	0.0	0.0	0.0	50.0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	10.341	7.442	0.72	1470.92	10.048	90.0
C05749	Hexanoyl-[acp]	-7.741	5.755	0.252	267.935	-6.08	90.0
C05748	trans-Hex-2-enoyl-[acp]	-6.615	-5.322	0.0	0.0	0.0	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-8.725	5.248	0.09	461.144	-5.372	80.0
C05746	3-Oxohexanoyl-[acp]	9.518	-5.7	0.071	785.152	-5.799	80.0
C05745	Butyryl-[acp]	-7.741	5.755	0.252	267.935	-6.08	90.0
C05744	Acetoacetyl-[acp]	8.849	-4.19	0.04	479.373	-4.246	70.0
C03150	Nicotinamide-beta-riboside	8.079	5.781	0.716	325.395	7.863	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-7.99	4.536	0.091	277.431	-4.662	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-8.311	4.845	0.09	346.325	-4.97	80.0
C00054	Adenosine_3',5'-bisphosphate	-8.418	-5.285	0.0	0.0	0.0	50.0
C00725	Lipoate	10.472	6.358	0.607	1502.345	9.833	90.0
C00199	D-Ribulose_5-phosphate	-9.321	-5.694	0.0	0.0	0.0	50.0
C00051	Glutathione	4.0	5.044	0.793	48.991	5.28	70.0
C00052	UDP-alpha-D-galactose	9.114	2.865	0.314	561.384	7.463	80.0
C00010	CoA	7.372	-9.407	0.244	844.525	-7.687	90.0
C00197	3-Phospho-D-glycerate	-7.725	-2.682	0.0	0.0	0.0	50.0
C03785	D-Tagatose_1,6-bisphosphate	-11.875	6.263	0.02	3832.847	-6.292	90.0
C00192	Hydroxylamine	3.17	3.17	1.0	18.001	4.17	70.0
C00011	CO2	4.24	9.412	0.45	700.127	8.301	80.0
C01050	UDP-N-acetylmuramate	7.892	6.084	0.771	305.373	7.879	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	7.726	-6.15	0.335	282.73	-6.567	90.0
C05130	Imidazole-4-acetaldehyde	3.0	2.807	0.936	14.998	3.811	60.0
C01212	UDP-N-acetylmuramoyl-L-alanine	6.234	-4.883	0.392	104.777	-5.36	80.0
C03028	Thiamin_triphosphate	-8.721	-4.807	0.0	0.0	0.0	50.0
C03539	S-Ribosyl-L-homocysteine	9.428	4.459	0.473	710.821	8.393	80.0
C06010	(S)-2-Acetolactate	6.042	0.737	0.122	67.557	3.043	60.0
