compound_code	compound_name	olsenella_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C00183	L-Valine	0.222	-6.917	0.01	122.01	-0.236	60.0
C00180	Benzoate	-3.17	-6.418	0.105	94.509	-3.314	60.0
C00181	D-Xylose	3.7	3.7	1.0	25.992	4.7	70.0
C05985	2-Propynal	3.0	3.0	1.0	16.0	4.0	60.0
C02839	L-Tyrosyl-tRNA(Tyr)	-3.322	-8.954	0.02	505.933	-3.351	60.0
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	-0.263	-2.939	0.156	8.869	-0.473	50.0
C00689	alpha,alpha'-Trehalose_6-phosphate	4.087	-6.937	0.139	139.525	-4.274	80.0
C16348	cis-3-Chloroallyl_aldehyde	-2.939	-9.752	0.009	869.941	-2.952	60.0
C02946	4-Acetamidobutanoate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C00842	dTDP-glucose	-4.585	-3.0	0.333	32.001	-3.415	60.0
C05100	3-Ureidoisobutyrate	-3.17	-3.17	1.0	18.001	-4.17	80.0
C00160	Glycolate	-4.248	-7.507	0.104	200.901	-4.391	80.0
C02554	L-Valyl-tRNA(Val)	-3.585	-9.326	0.019	653.809	-3.612	70.0
C14519	1-Hydroxypyrene	4.524	4.524	1.0	46.014	5.524	70.0
C18239	Precursor_Z	-3.459	-3.459	1.0	21.993	-4.459	80.0
C00446	alpha-D-Galactose_1-phosphate	-0.848	-8.122	0.006	280.39	-0.857	50.0
C00445	5,10-Methenyltetrahydrofolate	2.663	5.7	0.467	58.318	4.768	70.0
C01762	Xanthosine	3.7	8.381	0.441	346.371	7.257	80.0
C00441	L-Aspartate_4-semialdehyde	4.143	-4.807	0.631	45.66	-4.849	90.0
C00440	5-Methyltetrahydrofolate	1.222	1.222	1.0	4.665	2.222	60.0
C00526	Deoxyuridine	4.248	8.971	0.474	520.812	7.946	90.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	1.7	1.7	1.0	6.498	2.7	60.0
C00831	Pantetheine	3.322	7.547	0.44	197.014	6.438	80.0
C03838	5'-Phosphoribosylglycinamide	-3.0	-5.858	0.138	66.001	-3.186	60.0
C03722	Quinolinate	-3.585	-3.585	1.0	24.001	-4.585	80.0
C05402	Melibiose	-2.807	8.794	0.016	450.87	-2.83	50.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	-2.807	9.793	0.008	894.127	-2.818	50.0
C04039	2,3-Dihydroxy-3-methylbutanoate	3.322	3.322	1.0	20.001	4.322	70.0
C00627	Pyridoxine_phosphate	-3.807	-11.604	0.004	3126.803	-3.813	70.0
C00459	dTTP	3.682	-8.68	0.031	422.983	-3.726	70.0
C00780	Serotonin	4.524	4.524	1.0	46.014	5.524	70.0
C05966	15(S)-HPETE	4.0	4.0	1.0	32.0	5.0	70.0
C00231	D-Xylulose_5-phosphate	-3.54	7.431	0.067	184.197	-3.634	70.0
C01345	dITP	3.17	-6.741	0.084	115.966	-3.287	60.0
C05688	L-Selenocysteine	3.7	9.061	0.408	547.109	7.804	90.0
C01613	Stachyose	2.807	10.231	0.274	1208.814	8.374	90.0
C00159	D-Mannose	6.331	11.233	0.564	2487.471	10.453	90.0
C00011	CO2	4.674	4.24	0.907	44.424	5.333	70.0
C05689	Se-Methyl-L-selenocysteine	3.7	9.061	0.408	547.109	7.804	90.0
C00014	Ammonia	3.17	7.98	0.397	261.476	6.699	80.0
C00015	UDP	1.0	-5.276	0.052	40.747	-1.073	50.0
C00018	Pyridoxal_phosphate	-3.807	-11.604	0.004	3126.803	-3.813	70.0
C00019	S-Adenosyl-L-methionine	0.807	0.807	1.0	3.499	1.807	60.0
C00153	Nicotinamide	-3.7	-8.079	0.048	283.405	-3.768	70.0
C00152	L-Asparagine	3.807	-7.951	0.057	261.448	-3.886	70.0
C00155	L-Homocysteine	2.248	-7.405	0.028	174.234	-2.288	50.0
C02835	Imidazole-4-acetate	-3.0	-3.0	1.0	16.0	-4.0	80.0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	-3.585	-3.585	1.0	24.001	-4.585	80.0
C00197	3-Phospho-D-glycerate	3.51	-7.725	0.054	222.964	-3.586	70.0
C02336	beta-D-Fructose	2.0	8.994	0.222	513.875	6.836	80.0
C00058	Formate	3.209	11.603	0.277	3119.896	9.753	90.0
C16630	5,6-Dihydro-5-fluorouracil	3.17	3.17	1.0	18.001	4.17	60.0
C00301	ADP-ribose	3.585	8.801	0.407	458.031	7.544	90.0
C00718	Amylose	2.907	-8.003	0.029	264.033	-2.949	60.0
C02232	3-Oxoadipyl-CoA	-4.322	-4.322	1.0	40.002	-5.322	90.0
C14089	1-Hydroxymethylnaphthalene	4.807	11.713	0.41	3385.094	10.44	90.0
C02909	(2-Naphthyl)methanol	4.807	11.713	0.41	3385.094	10.44	90.0
C17551	2-Polyprenyl-6-hydroxyphenol	-3.807	-7.418	0.082	185.014	-3.92	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	1.0	-5.672	0.039	52.985	-1.056	50.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	1.585	1.585	1.0	6.0	2.585	60.0
C01127	4-Hydroxy-2-oxoglutarate	4.644	4.644	1.0	50.005	5.644	70.0
C06188	Salicin_6-phosphate	4.585	11.96	0.383	4007.995	10.585	90.0
C05665	3-Aminopropanal	3.0	3.0	1.0	16.0	4.0	60.0
C06186	Arbutin	4.755	7.066	0.673	160.994	6.759	80.0
C06187	Arbutin_6-phosphate	-4.392	-7.0	0.164	148.995	-4.611	80.0
C00655	Xanthosine_5'-phosphate	-1.047	8.02	0.008	261.64	-1.058	50.0
C06613	trans-3-Chloroallyl_aldehyde	-2.939	-9.752	0.009	869.941	-2.952	60.0
C00857	Deamino-NAD+	1.0	-6.748	0.019	109.486	-1.027	50.0
C00979	O-Acetyl-L-serine	2.354	9.126	0.258	563.84	7.184	80.0
C00407	L-Isoleucine	-0.263	-6.845	0.01	116.161	-0.278	50.0
C06056	4-Hydroxy-L-threonine	-3.17	-8.375	0.027	340.991	-3.209	60.0
C06055	O-Phospho-4-hydroxy-L-threonine	-0.585	6.6	0.015	98.506	-0.607	50.0
C03479	Folinic_acid	1.585	5.0	0.317	35.0	3.472	60.0
C06113	L-Aspartyl-tRNA(Asn)	-3.663	-9.282	0.02	635.197	-3.692	70.0
C06112	L-Glutamyl-tRNA(Gln)	-3.663	8.982	0.025	518.319	-3.699	70.0
C09332	Tetrahydrofolyl-[Glu](2)	-2.807	-7.665	0.034	209.951	-2.856	60.0
C00583	Propane-1,2-diol	5.392	5.392	1.0	83.982	6.392	80.0
C02576	Perillyl_aldehyde	3.0	3.0	1.0	16.0	4.0	60.0
C04079	N-((R)-Pantothenoyl)-L-cysteine	3.322	7.547	0.44	197.014	6.438	80.0
C00577	D-Glyceraldehyde	-5.358	-13.823	0.003	14533.323	-5.362	90.0
C00279	D-Erythrose_4-phosphate	4.077	13.733	0.297	13632.733	11.983	90.0
C01801	Deoxyribose	3.459	10.267	0.337	1243.179	8.71	90.0
C00275	D-Mannose_6-phosphate	-5.966	-11.701	0.019	3391.802	-5.993	90.0
C00900	2-Acetolactate	-3.585	8.347	0.037	337.61	-3.637	70.0
C12215	Iminoerythrose_4-phosphate	-5.392	-5.392	1.0	83.982	-6.392	90.0
C12214	Aminofructose_6-phosphate	5.392	5.392	1.0	83.982	6.392	80.0
C00294	Inosine	3.7	8.074	0.458	282.47	7.016	80.0
C05396	Lactose_6-phosphate	3.585	-5.524	0.261	58.014	-3.919	70.0
C05699	L-Selenocystathionine	3.17	7.748	0.409	223.972	6.518	80.0
C05698	Selenohomocysteine	2.322	-7.665	0.025	207.953	-2.357	50.0
C00354	D-Fructose_1,6-bisphosphate	-2.907	-11.238	0.003	2422.823	-2.911	60.0
C00353	Geranylgeranyl_diphosphate	-3.585	-6.983	0.095	138.501	-3.716	70.0
C00352	D-Glucosamine_6-phosphate	-0.553	-9.615	0.002	785.625	-0.556	50.0
C00299	Uridine	4.954	6.222	0.796	105.642	6.394	80.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-3.459	-3.459	1.0	21.993	-4.459	80.0
C00158	Citrate	1.341	1.341	1.0	5.067	2.341	60.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	2.907	-8.923	0.015	492.89	-2.929	60.0
C00632	3-Hydroxyanthranilate	4.524	4.524	1.0	46.014	5.524	70.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-3.0	-8.963	0.016	507.036	-3.023	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	3.322	8.771	0.379	446.852	7.403	90.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-1.585	6.781	0.027	112.973	-1.624	50.0
C06206	Benzoyl_phosphate	3.17	3.17	1.0	18.001	4.17	60.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-3.0	-8.053	0.03	273.58	-3.043	60.0
C00993	D-Alanyl-D-alanine	-3.907	-11.324	0.006	2578.68	-3.915	70.0
C05382	Sedoheptulose_7-phosphate	-3.846	-3.846	1.0	28.76	-4.846	90.0
C00120	Biotin	3.907	6.714	0.582	119.983	6.126	70.0
C00121	D-Ribose	3.459	10.267	0.337	1243.179	8.71	90.0
C00122	Fumarate	-2.907	-7.875	0.032	242.254	-2.952	60.0
C00123	L-Leucine	1.0	-6.143	0.028	72.669	-1.04	50.0
C00127	Glutathione_disulfide	-4.0	-4.0	1.0	32.0	-5.0	90.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-6.209	-8.725	0.175	497.119	-6.441	90.0
C05746	3-Oxohexanoyl-[acp]	6.209	9.518	0.652	807.145	9.04	90.0
C03150	Nicotinamide-beta-riboside	3.7	8.079	0.458	283.405	7.02	80.0
C00054	Adenosine_3',5'-bisphosphate	-3.0	-8.418	0.023	350.035	-3.033	60.0
C00199	D-Ribulose_5-phosphate	-1.354	-9.321	0.004	642.145	-1.36	50.0
C00051	Glutathione	4.0	4.0	1.0	32.0	5.0	70.0
C00052	UDP-alpha-D-galactose	0.652	9.114	0.072	555.67	5.313	70.0
C00010	CoA	-0.737	7.372	0.01	167.317	-0.751	50.0
C02876	Propanoyl_phosphate	1.0	-7.2	0.014	149.033	-1.019	50.0
C03785	D-Tagatose_1,6-bisphosphate	-3.536	-11.875	0.003	3767.648	-3.54	70.0
C00192	Hydroxylamine	3.17	3.17	1.0	18.001	4.17	60.0
C01113	D-Galactose_6-phosphate	3.585	-4.807	0.429	39.993	-4.1	80.0
C01050	UDP-N-acetylmuramate	2.147	7.892	0.272	241.965	6.041	70.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-2.524	7.726	0.027	217.47	-2.563	50.0
C05130	Imidazole-4-acetaldehyde	3.0	3.0	1.0	16.0	4.0	60.0
C00206	dADP	-1.585	-7.71	0.014	212.383	-1.606	50.0
C04805	5(S)-HETE	-4.0	-4.0	1.0	32.0	-5.0	90.0
C03028	Thiamin_triphosphate	-3.17	-8.721	0.021	430.971	-3.2	60.0
C03539	S-Ribosyl-L-homocysteine	-2.0	9.428	0.006	692.828	-2.008	50.0
