compound_code	compound_name	parabacteroides_630_score	lactobacillus_630_score	ratio	magnitude	interaction_score	percentile
C01290	beta-D-Galactosyl-(1->4)-beta-D-glucosyl-(1<->1)-ceramide	6.741	10.317	0.653	1382.6	9.819	90.0
C00445	5,10-Methenyltetrahydrofolate	6.256	5.7	0.911	128.411	6.87	70.0
C01762	Xanthosine	3.459	8.381	0.413	344.371	7.151	80.0
C00441	L-Aspartate_4-semialdehyde	1.322	-4.807	0.089	30.493	-1.445	60.0
C00526	Deoxyuridine	3.459	8.971	0.386	512.808	7.627	80.0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	3.524	1.7	0.482	14.753	2.831	60.0
C00831	Pantetheine	4.907	7.547	0.65	217.016	7.141	80.0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	3.17	-5.585	0.188	57.002	-3.418	80.0
C01190	beta-D-Glucosyl-(1<->1)-ceramide	-5.764	-10.317	0.0	0.0	0.0	50.0
C03838	5'-Phosphoribosylglycinamide	-4.322	-5.858	0.0	0.0	0.0	50.0
C05400	Epimelibiose	5.358	10.684	0.501	1686.159	9.724	90.0
C03722	Quinolinate	2.807	-3.585	0.583	18.999	-3.47	80.0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	5.358	9.793	0.547	928.142	8.988	90.0
C03939	Acetyl-[acyl-carrier_protein]	3.051	-6.68	0.081	110.825	-3.163	70.0
C04039	2,3-Dihydroxy-3-methylbutanoate	-4.459	3.322	0.455	31.994	-3.863	80.0
C00627	Pyridoxine_phosphate	-5.0	-11.604	0.0	0.0	0.0	50.0
C05335	L-Selenomethionine	2.0	9.18	0.218	584.037	6.991	70.0
C04895	7,8-Dihydroneopterin_3'-triphosphate	1.585	6.381	0.248	86.344	4.423	60.0
C00780	Serotonin	4.459	4.524	0.986	45.0	5.471	70.0
C01346	dUDP	3.585	7.103	0.505	149.473	6.237	70.0
C01345	dITP	4.087	-6.741	0.159	123.96	-4.3	80.0
C01344	dIDP	5.883	9.635	0.611	854.119	9.027	90.0
C00234	10-Formyltetrahydrofolate	-1.138	-6.643	0.0	0.0	0.0	50.0
C00235	Dimethylallyl_diphosphate	3.888	3.681	0.947	27.631	4.709	70.0
C01613	Stachyose	5.358	10.231	0.524	1242.828	9.346	90.0
C00010	CoA	-4.807	7.372	0.169	193.644	-5.032	90.0
C02839	L-Tyrosyl-tRNA(Tyr)	-5.248	-8.954	0.0	0.0	0.0	50.0
C00062	L-Arginine	-2.17	-8.523	0.0	0.0	0.0	50.0
C00014	Ammonia	-8.131	7.98	0.901	532.809	-8.906	90.0
C05980	Cardiolipin	-4.954	-7.948	0.0	0.0	0.0	50.0
C00019	S-Adenosyl-L-methionine	3.0	0.807	0.269	9.75	1.391	60.0
C00153	Nicotinamide	-5.392	-8.079	0.0	0.0	0.0	50.0
C00152	L-Asparagine	5.75	-7.951	0.217	301.269	-6.034	90.0
C00155	L-Homocysteine	-4.954	-7.405	0.0	0.0	0.0	50.0
C00066	tRNA	5.728	7.435	0.77	226.048	7.444	80.0
C00197	3-Phospho-D-glycerate	4.569	-7.725	0.112	235.307	-4.722	90.0
C04146	all-trans-Octaprenyl_diphosphate	-3.585	8.397	0.036	349.093	-3.635	80.0
C02336	beta-D-Fructose	4.17	8.994	0.464	527.876	7.935	80.0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-8.537	-8.311	0.0	0.0	0.0	50.0
C00655	Xanthosine_5'-phosphate	-2.7	8.02	0.025	266.072	-2.736	70.0
C00718	Amylose	-4.644	-8.003	0.0	0.0	0.0	50.0
C02554	L-Valyl-tRNA(Val)	-5.248	-9.326	0.0	0.0	0.0	50.0
C01697	Galactitol	3.222	5.334	0.604	49.667	4.907	70.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.0	-5.672	0.078	54.985	-2.109	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-3.644	1.585	0.24	15.501	-1.895	70.0
C01127	4-Hydroxy-2-oxoglutarate	4.585	4.644	0.987	49.003	5.596	70.0
C06188	Salicin_6-phosphate	1.0	11.96	0.084	3985.995	8.381	80.0
C18902	Methylselenic_acid	5.17	10.79	0.479	1806.574	9.758	90.0
C03294	N-Formylmethionyl-tRNA	-4.7	-8.267	0.0	0.0	0.0	50.0
C02051	Lipoylprotein	1.585	-10.237	0.002	1209.824	-1.589	70.0
C00870	4-Nitrophenol	-5.248	-8.011	0.0	0.0	0.0	50.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-4.907	-6.615	0.0	0.0	0.0	50.0
C04242	5-Fluorodeoxyuridine_monophosphate	-4.585	-8.43	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-5.209	9.57	0.049	797.064	-5.278	90.0
C04432	tRNA_containing_6-isopentenyladenosine	-5.728	-7.435	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-5.285	-8.375	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-2.415	6.6	0.055	102.339	-2.492	70.0
C03479	Folinic_acid	-8.539	5.0	0.086	403.959	-5.119	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-4.459	-7.665	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-6.977	-13.823	0.0	0.0	0.0	50.0
C00279	D-Erythrose_4-phosphate	-4.892	13.733	0.002	13645.547	-4.895	90.0
C02470	Xanthurenic_acid	4.459	4.524	0.986	45.0	5.471	70.0
C00275	D-Mannose_6-phosphate	-4.087	-11.701	0.0	0.0	0.0	50.0
C13638	1-(4'-Hydroxyphenyl)ethanol	4.644	10.811	0.43	1821.536	9.612	90.0
C00900	2-Acetolactate	4.672	8.347	0.56	351.102	7.619	80.0
C12215	Iminoerythrose_4-phosphate	-6.304	-5.392	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	6.304	5.392	0.855	121.003	6.693	70.0
C00294	Inosine	-2.222	8.074	0.017	274.139	-2.247	70.0
C05699	L-Selenocystathionine	6.15	7.748	0.794	285.984	7.827	80.0
C05698	Selenohomocysteine	-4.954	-7.665	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-5.087	-6.983	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	4.728	-9.615	0.034	810.659	-4.776	90.0
C00299	Uridine	2.695	6.222	0.433	81.122	5.135	70.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	5.17	-8.923	0.074	521.392	-5.273	90.0
C01152	N(pi)-Methyl-L-histidine	-4.459	-4.524	0.0	0.0	0.0	50.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-4.322	-8.963	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	4.585	8.771	0.523	460.852	7.912	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-3.7	6.781	0.118	122.969	-3.861	80.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-2.0	-8.053	0.0	0.0	0.0	50.0
C00993	D-Alanyl-D-alanine	-3.322	-11.324	0.0	0.0	0.0	50.0
C00120	Biotin	4.524	6.714	0.674	127.989	6.43	70.0
C00122	Fumarate	-6.264	-7.875	0.0	0.0	0.0	50.0
C00123	L-Leucine	-2.503	-6.143	0.0	0.0	0.0	50.0
C00124	D-Galactose	-1.503	8.489	0.008	362.123	-1.514	60.0
C00129	Isopentenyl_diphosphate	1.7	-5.14	0.092	38.51	-1.827	70.0
C05749	Hexanoyl-[acp]	5.977	-7.741	0.294	276.919	-6.349	90.0
C05748	trans-Hex-2-enoyl-[acp]	-4.907	-6.615	0.0	0.0	0.0	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-8.951	-8.725	0.0	0.0	0.0	50.0
C05746	3-Oxohexanoyl-[acp]	8.852	9.518	0.93	1195.248	10.118	90.0
C05745	Butyryl-[acp]	5.977	-7.741	0.294	276.919	-6.349	90.0
C05744	Acetoacetyl-[acp]	8.464	8.849	0.956	814.237	9.605	90.0
C03150	Nicotinamide-beta-riboside	3.459	8.079	0.428	281.406	6.913	70.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-8.216	-7.99	0.0	0.0	0.0	50.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-8.537	-8.311	0.0	0.0	0.0	50.0
C00725	Lipoate	8.524	10.472	0.814	1788.431	10.508	90.0
C00199	D-Ribulose_5-phosphate	-4.199	-9.321	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-2.322	-7.2	0.0	0.0	0.0	50.0
C03785	D-Tagatose_1,6-bisphosphate	-5.7	-11.875	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	4.594	7.892	0.582	261.686	7.251	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-3.7	7.726	0.061	224.714	-3.786	80.0
C00206	dADP	4.437	-7.71	0.103	231.044	-4.579	80.0
C18261	1-Hydroxy-6-methoxypyrene	4.459	4.524	0.986	45.0	5.471	70.0
C03539	S-Ribosyl-L-homocysteine	-4.322	9.428	0.029	708.829	-4.363	80.0
C06010	(S)-2-Acetolactate	3.728	6.042	0.617	79.141	5.61	70.0
