compound_code	compound_name	cd630_streptomycin_score	olsenella_630_score	ratio	magnitude	interaction_score	percentile
C17551	2-Polyprenyl-6-hydroxyphenol	-3.17	-3.807	0.643	22.997	-3.886	80.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	-3.0	1.0	0.25	10.0	-1.322	50.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	5.492	1.585	0.289	48.005	3.792	70.0
C01127	4-Hydroxy-2-oxoglutarate	6.57	4.644	0.707	120.012	6.407	90.0
C06188	Salicin_6-phosphate	6.87	4.585	0.667	140.971	6.556	90.0
C05665	3-Aminopropanal	2.807	3.0	0.936	14.998	3.811	70.0
C06186	Arbutin	4.0	4.755	0.841	43.002	5.177	80.0
C06187	Arbutin_6-phosphate	5.977	-4.392	0.333	83.983	-4.807	90.0
C00655	Xanthosine_5'-phosphate	4.971	-1.047	0.066	33.429	-1.139	50.0
C06613	trans-3-Chloroallyl_aldehyde	-8.481	-2.939	0.021	364.971	-2.97	60.0
C00979	O-Acetyl-L-serine	3.644	2.354	0.646	17.614	3.508	70.0
C00407	L-Isoleucine	7.384	-0.263	0.007	168.234	-0.273	60.0
C06056	4-Hydroxy-L-threonine	-4.322	-3.17	0.45	29.001	-3.706	70.0
C06055	O-Phospho-4-hydroxy-L-threonine	4.322	-0.585	0.075	21.501	-0.689	60.0
C03479	Folinic_acid	5.644	1.585	0.281	53.005	3.896	70.0
C09332	Tetrahydrofolyl-[Glu](2)	-5.248	-2.807	0.184	45.0	-3.051	60.0
C02576	Perillyl_aldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C00577	D-Glyceraldehyde	-9.794	-5.358	0.046	928.757	-5.423	90.0
C00279	D-Erythrose_4-phosphate	-8.259	4.077	0.055	323.219	-4.154	80.0
C01801	Deoxyribose	4.0	3.459	0.865	26.997	4.545	80.0
C00275	D-Mannose_6-phosphate	-7.866	-5.966	0.268	295.802	-6.308	90.0
C00900	2-Acetolactate	1.0	-3.585	0.167	14.0	-1.222	50.0
C00831	Pantetheine	5.492	3.322	0.605	55.005	5.056	80.0
C12215	Iminoerythrose_4-phosphate	-10.015	-5.392	0.041	1076.693	-5.449	90.0
C12214	Aminofructose_6-phosphate	10.015	5.392	0.538	1076.693	9.179	90.0
C00294	Inosine	5.807	3.7	0.637	68.982	5.458	80.0
C05699	L-Selenocystathionine	5.392	3.17	0.588	50.991	4.906	80.0
C05698	Selenohomocysteine	-3.907	2.322	0.333	20.001	-2.737	60.0
C00354	D-Fructose_1,6-bisphosphate	-7.151	-2.907	0.053	149.624	-2.981	60.0
C00353	Geranylgeranyl_diphosphate	-4.524	-3.585	0.522	35.007	-4.191	80.0
C00352	D-Glucosamine_6-phosphate	-2.104	-0.553	0.341	5.766	-0.977	50.0
C00299	Uridine	-3.016	4.954	0.261	39.085	-3.351	60.0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	-1.474	-3.459	0.253	13.775	-1.799	50.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-7.547	2.907	0.04	194.514	-2.964	60.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-7.547	-3.0	0.043	195.014	-3.06	60.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.044	3.322	0.659	42.991	4.823	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	7.15	-1.585	0.021	145.025	-1.615	50.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-9.277	-3.0	0.013	628.376	-3.018	60.0
C00993	D-Alanyl-D-alanine	4.322	-3.907	0.75	35.002	-4.714	90.0
C05382	Sedoheptulose_7-phosphate	-8.763	-3.846	0.033	448.816	-3.893	80.0
C00120	Biotin	1.585	3.907	0.406	18.001	2.868	70.0
C00121	D-Ribose	4.0	3.459	0.865	26.997	4.545	80.0
C00122	Fumarate	-3.048	-2.907	0.907	15.771	-3.838	80.0
C00123	L-Leucine	6.615	1.0	0.151	100.02	3.918	70.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	5.248	-6.209	0.514	111.979	-5.846	90.0
C05746	3-Oxohexanoyl-[acp]	-5.7	6.209	0.703	125.961	-6.468	90.0
C03150	Nicotinamide-beta-riboside	5.781	3.7	0.64	67.982	5.443	80.0
C00054	Adenosine_3',5'-bisphosphate	-5.285	-3.0	0.205	46.989	-3.269	60.0
C00199	D-Ribulose_5-phosphate	-5.694	-1.354	0.049	54.325	-1.424	50.0
C00051	Glutathione	5.044	4.0	0.793	48.991	5.28	80.0
C00052	UDP-alpha-D-galactose	2.865	0.652	0.228	8.857	1.011	60.0
C00010	CoA	-9.407	-0.737	0.002	680.541	-0.741	60.0
C02876	Propanoyl_phosphate	6.788	1.0	0.147	112.507	4.051	70.0
C03785	D-Tagatose_1,6-bisphosphate	6.263	-3.536	0.151	88.398	-3.739	70.0
C00192	Hydroxylamine	3.17	3.17	1.0	18.001	4.17	70.0
C01050	UDP-N-acetylmuramate	6.084	2.147	0.353	72.266	4.673	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.15	-2.524	0.081	76.764	-2.636	60.0
C05130	Imidazole-4-acetaldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C00206	dADP	8.088	-1.585	0.011	275.101	-1.601	50.0
C03028	Thiamin_triphosphate	-4.807	-3.17	0.322	36.994	-3.572	70.0
C03539	S-Ribosyl-L-homocysteine	4.459	-2.0	0.182	25.993	-2.241	50.0
