compound_code	compound_name	parabacteroides_630_score	cd630_streptomycin_score	ratio	magnitude	interaction_score	percentile
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	-8.537	4.845	0.077	400.184	-4.953	80.0
C00655	Xanthosine_5'-phosphate	-2.7	4.971	0.207	37.861	-2.972	70.0
C00718	Amylose	-4.644	-7.476	0.0	0.0	0.0	50.0
C01134	Pantetheine_4'-phosphate	-3.059	-5.755	0.0	0.0	0.0	50.0
C01697	Galactitol	3.222	8.745	0.368	438.38	7.336	90.0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	2.0	-3.0	0.5	12.0	-2.585	70.0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	-3.644	5.492	0.278	57.506	-3.998	80.0
C01127	4-Hydroxy-2-oxoglutarate	4.585	6.57	0.698	119.01	6.376	80.0
C06188	Salicin_6-phosphate	1.0	6.87	0.146	118.97	4.114	70.0
C18902	Methylselenic_acid	5.17	10.043	0.515	1090.982	9.133	90.0
C03294	N-Formylmethionyl-tRNA	-4.7	-5.209	0.0	0.0	0.0	50.0
C02051	Lipoylprotein	1.585	-5.7	0.058	54.984	-1.666	60.0
C04246	But-2-enoyl-[acyl-carrier_protein]	-4.907	-5.322	0.0	0.0	0.0	50.0
C03373	Aminoimidazole_ribotide	-5.209	-5.087	0.0	0.0	0.0	50.0
C00407	L-Isoleucine	2.536	7.384	0.343	172.834	5.891	80.0
C01151	D-Ribose_1,5-bisphosphate	-4.585	-5.524	0.0	0.0	0.0	50.0
C06056	4-Hydroxy-L-threonine	-5.285	-4.322	0.0	0.0	0.0	50.0
C06055	O-Phospho-4-hydroxy-L-threonine	-2.415	4.322	0.267	25.334	-2.756	70.0
C03479	Folinic_acid	-8.539	5.644	0.134	421.964	-5.826	90.0
C09332	Tetrahydrofolyl-[Glu](2)	-4.459	-5.248	0.0	0.0	0.0	50.0
C00577	D-Glyceraldehyde	-6.977	-9.794	0.0	0.0	0.0	50.0
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	-3.322	3.459	0.909	20.997	-4.255	80.0
C00279	D-Erythrose_4-phosphate	-4.892	-8.259	0.0	0.0	0.0	50.0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-3.17	-2.0	0.0	0.0	0.0	50.0
C00275	D-Mannose_6-phosphate	-4.087	-7.866	0.0	0.0	0.0	50.0
C00270	N-Acetylneuraminate	4.392	7.658	0.574	222.966	6.999	90.0
C00900	2-Acetolactate	4.672	1.0	0.214	27.492	2.557	70.0
C00475	Cytidine	-3.887	1.07	0.142	16.894	-1.261	60.0
C12215	Iminoerythrose_4-phosphate	-6.304	-10.015	0.0	0.0	0.0	50.0
C12214	Aminofructose_6-phosphate	6.304	10.015	0.629	1113.714	9.453	90.0
C00294	Inosine	-2.222	5.807	0.083	60.652	-2.337	70.0
C05699	L-Selenocystathionine	6.15	5.392	0.877	113.003	6.63	80.0
C05698	Selenohomocysteine	-4.954	-3.907	0.0	0.0	0.0	50.0
C00353	Geranylgeranyl_diphosphate	-5.087	-4.524	0.0	0.0	0.0	50.0
C00352	D-Glucosamine_6-phosphate	4.728	-2.104	0.162	30.8	-2.321	70.0
C00299	Uridine	2.695	-3.016	0.801	14.565	-3.543	80.0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	5.17	-7.547	0.193	223.016	-5.424	90.0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-4.322	-7.547	0.0	0.0	0.0	50.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	4.585	5.044	0.909	56.992	5.695	80.0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-3.7	7.15	0.092	155.021	-3.826	80.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-2.0	-9.277	0.0	0.0	0.0	50.0
C00993	D-Alanyl-D-alanine	-3.322	4.322	0.5	30.001	-3.907	80.0
C00120	Biotin	4.524	1.585	0.35	26.007	3.188	70.0
C00122	Fumarate	-6.264	-3.048	0.0	0.0	0.0	50.0
C00123	L-Leucine	-2.503	6.615	0.058	103.688	-2.584	70.0
C00129	Isopentenyl_diphosphate	1.7	-4.248	0.171	22.25	-1.928	70.0
C15532	N-Acetyl-L-citrulline	4.17	4.954	0.842	48.997	5.366	80.0
C05749	Hexanoyl-[acp]	5.977	5.755	0.963	116.992	6.816	90.0
C05748	trans-Hex-2-enoyl-[acp]	-4.907	-5.322	0.0	0.0	0.0	50.0
C05747	(R)-3-Hydroxyhexanoyl-[acp]	-8.951	5.248	0.077	532.904	-5.355	90.0
C05746	3-Oxohexanoyl-[acp]	8.852	-5.7	0.113	514.065	-5.854	90.0
C05745	Butyryl-[acp]	5.977	5.755	0.963	116.992	6.816	90.0
C05744	Acetoacetyl-[acp]	8.464	-4.19	0.052	371.369	-4.263	80.0
C03150	Nicotinamide-beta-riboside	3.459	5.781	0.598	65.983	5.303	80.0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	-8.216	4.536	0.078	320.545	-4.644	80.0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	-8.537	4.845	0.077	400.184	-4.953	80.0
C00725	Lipoate	8.524	6.358	0.746	450.137	8.391	90.0
C00199	D-Ribulose_5-phosphate	-4.199	-5.694	0.0	0.0	0.0	50.0
C02876	Propanoyl_phosphate	-2.322	6.788	0.045	115.508	-2.386	70.0
C03785	D-Tagatose_1,6-bisphosphate	-5.7	6.263	0.677	128.782	-6.446	90.0
C02714	N-Acetylputrescine	-4.17	-5.555	0.0	0.0	0.0	50.0
C01050	UDP-N-acetylmuramate	4.594	6.084	0.755	91.988	6.118	80.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-3.7	-6.15	0.0	0.0	0.0	50.0
C00206	dADP	4.437	8.088	0.549	293.762	7.332	90.0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	5.0	2.807	0.561	38.998	4.452	70.0
C03539	S-Ribosyl-L-homocysteine	-4.322	4.459	0.909	41.994	-5.255	90.0
C06010	(S)-2-Acetolactate	3.728	0.737	0.198	14.917	1.56	60.0
