compound_code	compound_name	cd630_streptomycin_score	clostridium_630_score	ratio	magnitude	interaction_score	percentile
C00475	Cytidine	1.07	-0.503	0.675	3.517	-1.247	50.0
C00473	Retinol	5.285	4.044	0.765	55.485	5.408	80.0
C00294	Inosine	5.807	-3.907	0.268	70.987	-4.249	70.0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-9.277	-5.476	0.072	664.885	-5.576	80.0
C05698	Selenohomocysteine	-3.907	-3.585	0.8	27.001	-4.433	70.0
C00352	D-Glucosamine_6-phosphate	-2.104	-0.737	0.388	5.966	-1.21	50.0
C00299	Uridine	-3.016	2.471	0.685	13.633	-3.224	60.0
C00631	2-Phospho-D-glycerate	-3.632	-4.05	0.748	28.962	-4.438	70.0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	5.044	5.248	0.961	70.993	6.092	80.0
C05596	p-Hydroxyphenylacetylglycine	-2.807	-3.459	0.636	17.995	-3.518	60.0
C00993	D-Alanyl-D-alanine	4.322	5.248	0.824	58.003	5.578	80.0
C05382	Sedoheptulose_7-phosphate	-8.763	5.573	0.11	482.04	-5.723	90.0
C00123	L-Leucine	6.615	4.143	0.626	115.687	6.179	80.0
C00129	Isopentenyl_diphosphate	-4.248	-5.762	0.35	73.268	-4.681	70.0
C02091	(S)-Ureidoglycine	-6.392	-7.555	0.447	272.035	-6.925	90.0
C00054	Adenosine_3',5'-bisphosphate	-5.285	-4.728	0.68	65.491	-5.476	80.0
C00725	Lipoate	6.358	5.426	0.853	125.018	6.737	90.0
C00052	UDP-alpha-D-galactose	2.865	-5.129	0.208	42.278	-3.138	50.0
C00010	CoA	-9.407	4.728	0.039	705.375	-4.783	80.0
C00194	Cobamide_coenzyme	-4.682	-4.907	0.856	55.672	-5.574	80.0
C00197	3-Phospho-D-glycerate	-2.682	2.631	0.965	12.612	-3.606	60.0
C00058	Formate	8.63	-5.839	0.144	453.419	-6.034	90.0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-6.15	2.0	0.056	75.012	-2.079	50.0
C05130	Imidazole-4-acetaldehyde	2.807	3.0	0.936	14.998	3.811	70.0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	-4.03	3.17	0.551	25.337	-3.803	60.0
C20422	alpha-D-Ribose_1-methylphosphonate_5-triphosphate	0.807	-0.585	0.857	3.25	-1.478	50.0
C02457	Propane-1,3-diol	-5.285	-5.524	0.847	85.003	-6.17	90.0
C06010	(S)-2-Acetolactate	0.737	2.17	0.34	6.167	1.067	60.0
